date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-01-01,,,23.958,47.625,23.667,,,20.834,,9.333
2011-01-02,,,8.032,12.193,4.16,,,10.875,,3.522
2011-01-03,,,5.438,8.354,2.916,,,6.083,,2.958
2011-01-04,,,11.084,18.854,7.77,,,9.396,,4.042
2011-01-05,,,12.125,19.916,7.792,,,7.625,,4.458
2011-01-06,,,17.083,31.438,14.355,,,10.875,,5.042
2011-01-07,,,8.792,16.5,7.708,,,7.938,,3.917
2011-01-08,,,8.542,12.896,4.354,,,4.938,,4.167
2011-01-09,,,16.608,28.197,11.589,,,9.292,,4.565
2011-01-10,,,13.09,22.112,9.022,,,12.694,,3.739
2011-01-11,,,8.896,14.916,6.02,,,12.271,,3.208
2011-01-12,,,18.184,35.119,16.935,,,8.015,,5.417
2011-01-13,,,20.892,37.288,16.396,,,15.104,,5.375
2011-01-14,,,12.182,24.246,12.063,,,13.667,,5.625
2011-01-15,,,7.334,11.604,4.271,,,11.521,,4.167
2011-01-16,,,8.238,15.438,7.2,,,10.762,,3.05
2011-01-17,,,16.25,28.688,12.438,,,12.812,,4.083
2011-01-18,,,28.017,61.272,33.256,,,18.479,,8.375
2011-01-19,,,17.292,29.084,11.792,,,19.896,,4.458
2011-01-20,,,11.98,19.458,7.48,,,13.125,,3.667
2011-01-21,,,15.792,27.604,11.812,,,12.896,,4.792
2011-01-22,,,10.938,17.416,6.479,,,4.812,,4.583
2011-01-23,,,7.593,13.538,5.945,,,10.104,,3.348
2011-01-24,,,11.934,20.609,8.674,,,9.63,,3.826
2011-01-25,,,13.375,22.708,9.334,,,13.854,,3.958
2011-01-26,,,11.532,19.865,8.334,,,11.139,,4.318
2011-01-27,,,14.333,25.396,11.062,,,12.667,,4.417
2011-01-28,,,6.542,11.292,4.75,,,9.625,,3.917
2011-01-29,,,5.854,9.812,3.958,,,5.042,,3.917
2011-01-30,,,16.996,36.055,19.058,,,9.375,,5.391
2011-01-31,,,17.167,30.021,12.854,,,9.375,,4.542
2011-02-01,,,16.458,29.938,13.48,,,12.083,,4.167
2011-02-02,,,13.23,24.521,11.292,,,8.125,,3.875
2011-02-03,,,22.357,41.822,19.464,,,10.25,,5.583
2011-02-04,,,19.271,35.294,16.022,,,13.292,,5.417
2011-02-05,,,15.584,27.812,12.229,,,11.708,,5.125
2011-02-06,,,28.278,71.25,42.972,,,28.375,,6.609
2011-02-07,,,24.188,55.134,30.946,,,22.583,,6.208
2011-02-08,,,5.916,11.958,6.042,,,8.667,,3.167
2011-02-09,,,13.869,27.352,13.484,,,9.75,,4.0
2011-02-10,,,15.938,27.866,11.928,,,12.833,,4.292
2011-02-11,,,14.312,21.708,7.396,,,11.0,,4.542
2011-02-12,,,6.646,9.666,3.021,,,7.875,,3.542
2011-02-13,,,26.009,52.452,26.444,,,17.818,,5.545
2011-02-14,,,27.292,51.792,24.5,,,21.0,,6.042
2011-02-15,,,16.285,35.094,18.809,,,24.208,,5.292
2011-02-16,,,9.375,17.292,7.917,,,8.125,,3.125
2011-02-17,,,12.417,22.375,9.958,,,12.292,,3.792
2011-02-18,,,11.25,18.708,7.458,,,10.417,,4.208
2011-02-19,,,13.625,18.438,4.812,,,12.875,,4.833
2011-02-20,,,28.891,63.625,34.734,,,18.833,,8.13
2011-02-21,,,22.874,45.364,22.49,,,23.0,,6.167
2011-02-22,,,16.04,23.944,7.905,,,14.714,,3.667
2011-02-23,,,22.416,40.25,17.834,,,21.875,,5.208
2011-02-24,,,7.166,11.479,4.312,,,25.458,,3.958
2011-02-25,,,16.729,31.208,14.479,,,13.583,,4.292
2011-02-26,,,10.438,18.23,7.792,,,12.25,,4.042
2011-02-27,,,9.334,17.034,7.7,,,9.5,,3.261
2011-02-28,,,22.042,39.208,17.167,,,13.375,,4.75
2011-03-01,,,27.872,42.766,14.894,,,32.208,,4.625
2011-03-02,,,27.705,45.707,18.002,,,23.75,,6.0
2011-03-03,,,10.438,17.042,6.604,,,14.833,,3.5
2011-03-04,,,6.98,9.146,2.167,,,10.167,,3.25
2011-03-05,,,20.592,38.348,17.756,,,15.042,,4.783
2011-03-06,,,14.979,25.042,10.062,,,8.958,,3.917
2011-03-07,,,9.042,14.604,5.562,,,10.75,,3.25
2011-03-08,,,16.142,25.122,8.98,,,18.417,,4.167
2011-03-09,,,16.48,25.875,9.396,,,24.333,,4.583
2011-03-10,,,15.084,24.271,9.188,,,13.083,,4.5
2011-03-11,,,6.334,8.542,2.208,,,10.375,,3.292
2011-03-12,,,12.45,20.48,8.029,,,12.045,,4.318
2011-03-13,,,11.48,19.125,7.646,,,7.417,,3.208
2011-03-14,,,16.209,26.509,10.299,,,13.25,,3.958
2011-03-15,,,15.458,23.042,7.583,,,23.834,,3.958
2011-03-16,,,8.292,11.875,3.584,,,20.792,,3.0
2011-03-17,,,30.771,51.396,20.625,,,37.854,,5.5
2011-03-18,,,15.125,20.021,4.896,,,35.146,,4.167
2011-03-19,,,6.794,11.593,4.799,,,9.562,,3.0
2011-03-20,,,9.0,13.438,4.438,,,7.938,,3.333
2011-03-21,,,11.312,16.771,5.458,,,14.375,,3.5
2011-03-22,,,15.021,22.0,6.98,,,29.292,,3.958
2011-03-23,,,11.584,16.834,5.25,,,31.604,,3.792
2011-03-24,,,12.855,19.77,6.917,,,5.958,,4.208
2011-03-25,,,12.188,17.292,5.104,,,6.896,,4.125
2011-03-26,,,12.451,20.126,7.674,,,11.329,,3.773
2011-03-27,,,16.792,24.708,7.916,,,17.854,,4.25
2011-03-28,,,17.964,30.8,12.836,,,23.73,,4.75
2011-03-29,,,15.605,21.792,6.188,,,23.021,,3.708
2011-03-30,,,33.835,47.96,14.125,,,36.979,,5.583
2011-03-31,,,19.248,29.982,10.734,,,30.625,,4.417
2011-04-01,189.261,18.261,,,,,,28.75,207.522,
2011-04-02,191.261,10.043,,,,,,31.583,201.304,
2011-04-03,191.826,6.217,,,,,,15.333,198.043,
2011-04-04,190.261,5.043,,,,,,13.75,195.304,
2011-04-05,191.261,8.696,7.083,7.375,0.292,,,,199.957,
2011-04-06,191.619,51.571,13.591,14.091,0.5,,,35.231,243.19,
2011-04-07,193.273,72.091,17.652,19.0,1.348,,,43.696,265.364,
2011-04-08,,,3.25,3.25,0.0,,,7.25,,
2011-04-09,,,5.833,5.917,0.083,,,12.8,,
2011-04-10,,,3.667,3.667,0.0,,,,,
2011-04-11,,,,,,,,,,
2011-04-12,189.083,11.5,,,,,,32.667,200.583,
2011-04-13,191.261,22.957,,,,,,49.25,214.217,
2011-04-14,197.043,27.13,,,,,,57.042,224.174,
2011-04-15,193.043,36.261,,,,,,68.667,229.304,
2011-04-16,190.913,27.739,,,,,,50.042,218.652,
