date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,PM25_mean
2011-01-01,194.5625,4.20825,98.0,82.083,56.0,8.6875,11.9167,17.0917,5.175,7.0,0.948,7.714285714285714,96.0,47.875,-1.0,203.25,
2011-01-02,192.292,4.2255,98.0,93.25,77.0,7.354,8.9043,13.8717,4.9674,33.0,0.89575,5.75,50.0,29.458,11.0,199.64600000000002,
2011-01-03,195.41649999999998,4.21875,98.0,88.5,70.0,6.708,9.643600000000001,14.335400000000002,4.6918999999999995,7.0,1.02075,6.7261428571428565,49.0,25.167,7.0,202.125,
2011-01-04,192.417,4.5565,98.0,92.333,76.0,7.6875,10.4911,17.6525,7.1614,34.0,2.1157500000000002,10.119285714285715,54.0,19.833,5.0,200.1045,
2011-01-05,194.4345,4.146,98.0,87.0,68.0,8.087,11.8636,18.3806,6.5172,5.0,1.21875,8.75,43.0,20.375,4.0,202.5215,
2011-01-06,196.623,6.21575,98.0,93.417,82.0,12.6435,17.827,30.7599,12.932999999999998,13.0,1.9689999999999999,7.125,45.0,22.333,8.0,209.2665,
2011-01-07,196.875,5.398,98.0,95.958,89.0,9.4165,14.9959,23.9125,8.916799999999999,16.0,0.8454999999999999,7.160571428571429,31.0,14.208,5.0,206.29149999999998,
2011-01-08,195.875,4.52075,98.0,89.708,64.0,8.646,11.712399999999999,18.1666,6.4542,2.0,0.875,4.928571428571429,53.0,18.958,5.0,204.52100000000002,
2011-01-09,193.1875,4.0855,96.0,86.208,68.0,8.771,9.6896,14.3403,4.6508,8.0,1.5,8.845142857142857,71.0,46.167,13.0,201.958,
2011-01-10,198.4795,7.302,98.0,85.917,66.0,13.6875,17.7656,30.2748,12.5093,1.0,3.13525,15.023857142857143,81.0,48.417,15.0,212.167,
2011-01-11,190.77100000000002,4.8175,98.0,92.458,75.0,7.604,10.662600000000001,17.490000000000002,6.8274,12.0,2.70175,9.672714285714287,62.0,21.208,-13.0,198.375,
2011-01-12,195.127,5.38525,97.0,79.417,59.0,10.7715,15.4682,25.2105,9.7422,3.0,2.052,5.791571428571428,40.0,11.75,-19.0,205.8985,
