date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2012-01-01,90.0,86.75,78.0,6.85,8.933,2.083,0.667,9.717,-2.2,-3.35,-4.9,5.667,192.958,2.5,8.292,201.25
2012-01-02,89.0,81.25,66.0,12.677,16.884,4.207,1.708,14.117,1.4,-1.525,-4.5,8.625,194.667,3.521,10.125,204.792
2012-01-03,85.0,80.833,69.0,6.858,8.975,2.117,1.667,14.866,-4.2,-5.842,-6.7,7.792,193.396,2.812,8.542,201.938
2012-01-04,84.0,78.792,68.0,8.925,11.642,2.717,1.292,12.283,-5.0,-6.075,-7.1,5.0,192.27,2.354,8.708,200.98
2012-01-05,88.0,76.667,61.0,13.755,17.956,4.201,0.958,7.646,1.1,-1.862,-5.2,4.375,194.083,3.5,11.792,205.875
2012-01-06,91.0,81.667,61.0,5.638,7.575,1.937,1.0,11.114,0.2,-2.496,-4.3,7.833,193.375,2.708,7.458,200.834
2012-01-07,89.0,82.833,74.0,10.042,13.483,3.442,1.333,10.656,-2.1,-3.112,-4.0,5.565,194.08,3.112,8.547,202.626
2012-01-08,88.0,83.25,66.0,10.875,14.525,3.65,1.591,10.625,-2.1,-3.254,-4.3,6.417,193.066,3.312,8.476,201.542
2012-01-09,85.0,81.958,73.0,14.95,20.775,5.825,1.625,12.075,-2.2,-3.604,-5.2,6.917,192.812,3.91,11.73,204.542
2012-01-10,86.0,82.625,77.0,11.256,14.943,3.686,1.25,9.591,-3.6,-5.138,-5.9,4.542,191.208,3.236,9.188,200.396
2012-01-11,85.0,81.625,73.0,11.441,15.518,4.078,1.292,9.365,-2.1,-4.05,-6.0,6.417,191.98,3.428,8.854,200.834
2012-01-12,93.0,81.542,66.0,24.075,34.458,10.383,4.25,23.683,0.8,-0.262,-2.7,19.0,195.583,5.75,15.583,211.167
2012-01-13,94.0,75.917,58.0,9.145,11.18,2.035,3.333,21.3,2.1,-0.238,-2.3,16.375,194.666,3.771,9.604,204.271
2012-01-14,86.0,77.958,66.0,16.311,23.988,7.677,1.417,11.958,-0.8,-1.817,-3.1,6.792,192.312,3.23,10.375,202.688
2012-01-15,87.0,79.083,67.0,15.9,21.042,5.141,2.833,12.308,-1.4,-3.079,-4.1,7.333,192.729,3.812,11.312,204.042
2012-01-16,88.0,85.0,80.0,14.875,19.925,5.05,1.682,9.292,-1.7,-3.008,-4.1,4.5,192.839,4.229,11.737,204.576
2012-01-17,88.0,82.792,66.0,15.658,20.992,5.333,1.917,9.517,-1.0,-3.5,-4.9,3.75,193.562,4.27,11.23,204.792
2012-01-18,87.0,82.333,74.0,11.126,14.466,3.34,2.0,9.717,-3.1,-4.9,-5.7,4.25,192.021,3.066,9.5,201.52
2012-01-19,89.0,76.5,61.0,9.025,12.017,2.992,1.167,13.742,1.4,-0.517,-2.8,8.167,192.208,2.938,8.666,200.875
2012-01-20,89.0,82.875,76.0,11.133,14.292,3.158,1.125,10.483,1.6,0.179,-0.6,5.042,193.521,2.792,8.021,201.542
2012-01-21,89.0,73.375,47.0,25.164,37.059,11.896,1.778,12.558,4.5,0.771,-1.6,7.167,195.458,4.542,14.02,209.479
2012-01-22,87.0,80.458,73.0,27.756,47.138,19.382,2.045,13.125,1.2,-0.729,-2.5,8.375,194.5,4.34,13.771,208.271
2012-01-23,85.0,69.25,44.0,29.875,47.467,17.592,1.667,12.433,3.8,-1.392,-4.8,7.625,194.108,5.458,17.242,211.35
2012-01-24,84.0,73.0,55.0,32.375,57.716,25.342,2.708,12.882,3.5,-0.792,-6.6,10.304,192.983,5.152,19.417,212.4
2012-01-25,86.0,79.667,66.0,13.616,18.584,4.968,1.0,17.25,2.4,-2.283,-6.5,13.0,192.521,3.604,11.98,204.5
2012-01-26,84.0,74.333,61.0,7.668,10.546,2.878,0.125,12.575,-1.5,-4.779,-7.3,8.167,191.48,3.25,10.5,201.979
2012-01-27,83.0,73.042,59.0,12.85,16.2,3.35,0.042,8.8,2.0,-1.2,-5.1,3.75,191.334,2.625,13.062,204.396
2012-01-28,87.0,70.875,49.0,18.25,26.317,8.067,0.5,10.191,2.6,-0.817,-3.8,4.208,191.638,3.434,12.384,204.022
2012-01-29,89.0,84.75,74.0,9.595,13.461,3.865,0.125,9.933,0.9,-1.121,-2.5,6.292,192.667,2.354,8.521,201.188
2012-01-30,91.0,74.25,49.0,18.717,26.417,7.7,1.955,9.4,3.4,-0.217,-3.5,4.375,194.542,3.792,13.166,207.708
2012-01-31,84.0,74.875,57.0,18.908,25.358,6.45,1.417,10.133,4.6,1.329,-2.9,4.75,195.858,3.625,13.714,209.574
2012-02-01,85.0,67.833,45.0,23.608,35.65,12.042,2.25,23.972,7.5,3.604,1.0,21.083,194.21,5.087,15.985,210.196
2012-02-02,84.0,69.125,59.0,7.386,9.98,2.594,1.292,16.6,9.3,3.808,-1.2,12.875,190.104,4.229,9.125,199.229
2012-02-03,83.0,65.417,53.0,3.227,4.056,0.829,0.708,11.275,2.9,-0.933,-3.9,6.417,190.542,3.084,6.916,197.458
2012-02-04,90.0,64.0,44.0,10.217,14.25,4.033,1.167,11.8,10.4,4.717,-0.1,7.167,190.416,4.125,9.916,200.334
2012-02-05,82.0,71.542,59.0,6.244,7.935,1.69,1.292,12.892,1.7,0.154,-2.3,6.304,190.738,3.229,7.42,198.159
2012-02-06,78.0,68.625,54.0,20.634,28.003,7.369,1.542,12.519,9.0,2.292,-3.3,7.333,192.45,4.526,12.004,204.454
2012-02-07,90.0,80.833,68.0,20.589,30.108,9.52,1.944,14.604,7.7,0.717,-5.9,9.875,192.334,4.938,15.358,207.692
2012-02-08,91.0,84.417,73.0,5.112,6.798,1.686,0.818,10.925,3.1,0.683,-0.9,5.792,189.685,3.292,6.776,196.461
2012-02-09,84.0,71.208,60.0,8.9,11.333,2.433,0.917,11.442,3.8,-0.342,-3.0,7.125,193.596,3.949,2.668,196.266
2012-02-10,80.0,69.292,49.0,9.167,11.025,1.858,1.125,13.925,7.0,1.388,-3.1,9.708,193.416,4.292,4.916,198.333
2012-02-11,88.0,80.833,73.0,6.54,8.48,1.939,1.292,13.808,4.4,0.271,-2.0,8.917,193.458,3.958,2.146,195.604
2012-02-12,90.0,75.625,50.0,17.717,23.692,5.975,1.292,14.683,6.5,0.667,-2.7,10.375,195.5,4.979,5.334,200.834
2012-02-13,90.0,80.625,66.0,23.541,36.724,13.183,1.417,16.592,7.4,1.946,-2.9,11.083,195.666,5.22,10.816,206.484
2012-02-14,90.0,76.083,49.0,12.471,16.355,3.884,1.083,14.033,11.2,4.175,0.8,9.625,193.708,4.5,8.208,201.916
2012-02-15,90.0,84.292,73.0,15.526,19.84,4.314,3.292,29.275,6.5,3.079,-1.1,23.167,194.944,5.896,9.203,204.146
2012-02-16,89.0,86.333,77.0,10.535,12.954,2.42,1.591,13.508,2.9,-1.792,-3.8,9.458,193.208,4.062,6.812,200.021
2012-02-17,93.0,86.417,73.0,14.167,17.717,3.55,1.292,11.967,2.1,-1.917,-4.8,8.083,193.752,4.802,9.124,202.875
2012-02-18,86.0,78.333,64.0,24.608,44.633,20.025,3.042,16.008,8.6,2.1,-4.5,11.667,195.146,5.584,13.25,208.396
2012-02-19,88.0,79.167,64.0,7.575,10.542,2.967,1.667,16.625,3.4,1.0,-2.5,12.083,193.458,3.854,7.812,201.271
2012-02-20,86.0,81.792,66.0,7.808,10.217,2.408,1.667,14.009,1.4,-3.029,-5.7,10.25,193.771,3.417,6.542,200.312
2012-02-21,87.0,84.083,80.0,8.408,11.233,2.825,2.083,15.192,-0.8,-3.517,-5.1,10.625,194.333,3.604,7.562,201.896
2012-02-22,90.0,81.583,65.0,11.578,15.201,3.624,1.792,15.7,1.4,-1.988,-4.4,11.667,193.146,3.521,9.208,202.354
2012-02-23,89.0,82.5,72.0,10.145,12.979,2.833,1.667,14.025,-0.3,-1.958,-2.8,9.5,192.88,3.104,7.104,199.983
2012-02-24,89.0,82.833,75.0,14.689,17.934,3.245,0.773,11.017,0.6,-2.171,-4.6,7.792,192.729,2.771,7.188,199.916
2012-02-25,88.0,82.292,73.0,15.392,21.542,6.15,0.75,10.608,4.3,-3.05,-5.8,7.522,194.834,3.739,9.621,204.454
2012-02-26,87.0,72.25,46.0,15.967,21.95,5.983,0.75,10.275,3.9,-1.5,-5.2,5.083,194.104,3.479,9.729,203.834
2012-02-27,86.0,72.875,47.0,35.133,70.075,34.942,3.083,16.161,16.8,2.854,-7.0,12.583,194.938,5.358,21.25,216.188
2012-02-28,87.0,70.083,48.0,13.05,15.983,2.933,3.042,35.117,13.4,6.133,2.6,32.292,196.229,5.312,8.75,204.979
2012-02-29,,,,,,,,,,,,,,,,
2012-03-01,86.0,78.625,67.0,32.808,52.475,19.667,3.042,28.258,7.7,4.921,2.4,25.083,194.771,5.854,18.396,213.166
2012-03-02,91.0,82.542,65.0,3.446,4.473,1.026,0.625,12.958,4.7,2.238,0.6,7.833,189.708,2.416,6.688,196.396
2012-03-03,85.0,75.625,53.0,6.15,7.885,1.735,0.625,11.784,9.5,2.771,0.3,7.083,191.43,2.542,5.966,197.396
2012-03-04,88.0,70.375,44.0,18.578,24.546,5.968,1.636,12.65,11.3,2.912,-1.2,8.667,193.584,3.938,9.584,203.166
2012-03-05,89.0,75.417,63.0,18.8,24.492,5.692,1.708,16.217,7.2,2.596,-1.8,13.417,194.805,3.867,10.771,205.576
2012-03-06,83.0,69.0,61.0,14.642,17.267,2.625,1.708,23.511,12.2,6.346,0.6,19.565,194.75,4.125,10.5,205.25
2012-03-07,83.0,64.542,37.0,20.883,28.175,7.292,2.625,35.425,14.1,7.175,-2.3,28.667,196.834,5.271,13.125,209.958
2012-03-08,85.0,70.542,50.0,19.669,26.521,6.852,2.042,34.86,16.0,8.792,3.5,28.708,193.658,5.375,15.262,208.918
2012-03-09,81.0,69.583,57.0,10.184,12.158,1.975,0.792,13.542,2.7,0.188,-2.7,9.833,192.771,3.729,8.167,200.938
2012-03-10,83.0,76.833,60.0,9.353,11.014,1.661,0.5,17.19,13.6,0.712,-3.7,12.083,192.625,3.625,10.584,203.208
2012-03-11,88.0,73.708,55.0,6.669,9.228,2.56,0.75,12.567,4.1,-0.133,-4.3,8.958,196.102,3.438,6.883,202.984
2012-03-12,68.0,57.042,45.0,15.4,20.019,4.618,1.045,13.75,13.7,6.608,-0.1,9.375,197.133,4.729,10.772,207.905
2012-03-13,93.0,80.25,57.0,16.021,21.49,5.469,1.292,13.868,9.0,6.346,2.2,9.458,195.988,4.763,14.134,210.121
2012-03-14,77.0,60.042,48.0,5.302,6.927,1.625,1.542,15.058,6.1,2.15,0.0,11.75,199.021,3.458,6.584,205.604
2012-03-15,69.0,51.667,36.0,7.729,10.292,2.562,0.958,14.175,12.8,6.754,-0.2,8.875,199.771,4.166,9.104,208.875
2012-03-16,89.0,70.0,56.0,5.906,7.552,1.646,1.0,14.816,14.0,5.483,-0.1,10.958,197.166,3.708,8.625,205.792
2012-03-17,72.0,52.25,36.0,8.51,10.979,2.469,1.083,14.667,15.4,7.288,1.3,9.417,198.583,4.584,8.146,206.73
2012-03-18,94.0,78.208,38.0,23.005,32.02,9.015,2.208,23.592,12.6,9.254,6.6,18.583,199.438,5.708,18.896,218.334
2012-03-19,86.0,73.25,52.0,7.44,9.128,1.688,1.208,14.625,11.7,7.846,2.4,10.25,194.558,3.386,9.928,204.486
2012-03-20,93.0,79.667,61.0,15.008,18.708,3.7,0.955,14.975,12.2,6.292,1.5,10.375,195.916,2.521,12.044,207.96
2012-03-21,92.0,71.125,56.0,6.354,7.99,1.636,0.833,13.917,2.5,0.171,-2.2,11.417,194.206,1.858,8.568,202.774
2012-03-22,82.0,68.125,57.0,12.667,15.479,2.813,1.125,17.967,12.9,6.842,-1.3,11.696,196.056,3.85,11.968,208.024
2012-03-23,66.0,57.667,49.0,4.729,5.875,1.146,0.917,14.617,5.1,3.512,1.9,9.5,196.02,4.438,6.416,202.438
2012-03-24,78.0,59.708,44.0,12.073,14.864,2.792,0.833,14.792,9.9,4.412,0.5,9.542,197.5,5.438,9.438,206.938
2012-03-25,88.0,75.542,56.0,14.386,18.354,3.969,1.125,16.916,11.7,4.667,-1.2,10.708,197.583,5.854,11.438,209.021
