date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,12.083,13.708,1.625,3.417,,3.1,1.142,-0.9
2011-01-02,6.609,7.217,0.609,3.417,,0.1,-2.112,-3.7
2011-01-03,7.875,9.083,1.208,3.458,,-1.5,-2.896,-4.3
2011-01-04,8.375,9.167,0.792,5.458,,-1.2,-3.733,-4.9
2011-01-05,8.957,10.217,1.261,3.0,,-2.2,-3.688,-5.0
2011-01-06,12.833,16.833,4.0,2.958,,-1.4,-2.358,-3.4
2011-01-07,7.833,8.958,1.125,2.792,,-2.0,-3.067,-3.7
2011-01-08,9.583,11.333,1.75,2.875,,-1.4,-2.854,-4.4
2011-01-09,10.913,13.652,2.739,3.5,,0.1,-0.971,-2.1
2011-01-10,17.25,22.958,5.708,4.0,,1.9,-0.092,-1.7
2011-01-11,11.417,15.375,3.958,3.565,,0.4,-2.088,-5.9
2011-01-12,12.0,15.083,3.083,3.0,,-3.0,-4.542,-6.2
2011-01-13,14.208,18.625,4.417,3.792,,0.3,-2.167,-3.6
2011-01-14,7.708,8.167,0.458,4.333,,-1.8,-2.433,-2.9
2011-01-15,7.917,8.792,0.875,3.125,,-1.4,-2.204,-3.0
2011-01-16,9.087,9.913,0.826,3.083,,-2.2,-2.904,-3.7
2011-01-17,12.875,15.833,2.958,3.0,,0.5,-1.95,-3.2
2011-01-18,18.583,22.292,3.708,3.333,,3.8,0.996,-2.7
2011-01-19,16.042,20.667,4.625,3.087,,4.3,1.862,-0.4
2011-01-20,14.083,15.333,1.25,3.0,,2.8,1.354,-0.2
2011-01-21,12.458,13.792,1.333,3.0,,2.3,1.425,0.3
2011-01-22,16.333,20.167,3.833,2.75,,3.4,1.846,0.4
2011-01-23,6.913,7.652,0.739,3.0,,1.0,-1.246,-3.9
2011-01-24,8.125,9.333,1.208,2.833,,-4.1,-5.535,-7.0
2011-01-25,8.167,9.333,1.167,3.682,,-4.0,-6.3,-7.8
2011-01-26,7.875,8.792,0.917,3.208,,-4.9,-6.05,-7.3
2011-01-27,14.083,16.25,2.167,4.125,,-2.7,-4.792,-7.0
2011-01-28,12.5,13.792,1.292,3.792,,-2.3,-3.921,-4.9
2011-01-29,7.0,7.792,0.792,3.0,,-3.9,-5.008,-6.1
2011-01-30,12.435,14.435,2.0,2.917,,-3.3,-4.504,-5.8
2011-01-31,12.375,14.167,1.792,3.043,,-3.4,-4.75,-6.3
2011-02-01,12.75,18.833,6.083,4.042,,-1.0,-3.754,-7.0
2011-02-02,4.458,5.125,0.667,3.083,,-7.3,-8.196,-9.1
2011-02-03,14.458,17.542,3.083,3.478,,-3.7,-6.75,-9.4
2011-02-04,12.875,14.833,1.958,4.875,,-0.4,-3.575,-6.1
2011-02-05,14.0,15.375,1.375,6.458,,1.1,-1.542,-3.7
2011-02-06,23.826,28.391,4.565,5.043,,8.1,3.829,0.3
2011-02-07,12.167,13.875,1.708,3.5,,6.7,1.729,-2.6
2011-02-08,4.87,5.609,0.739,3.045,,-3.1,-5.175,-8.1
2011-02-09,8.625,9.667,1.042,3.5,,-2.7,-6.179,-9.4
2011-02-10,13.583,17.417,3.833,3.5,,-1.1,-4.246,-6.7
2011-02-11,7.208,7.625,0.417,3.0,,-1.0,-3.883,-5.5
2011-02-12,9.75,10.5,0.75,3.208,,-2.2,-3.908,-5.0
2011-02-13,15.261,16.739,1.478,3.25,,3.2,-0.379,-3.1
2011-02-14,24.25,33.167,8.917,3.0,,2.5,1.05,0.4
2011-02-15,11.917,14.958,3.042,3.292,,1.7,-0.788,-4.1
2011-02-16,12.958,14.875,1.917,3.292,,0.9,-3.167,-5.0
2011-02-17,5.042,5.625,0.583,3.417,,-3.0,-4.775,-6.8
2011-02-18,6.125,6.667,0.542,3.0,,-5.3,-6.446,-7.2
2011-02-19,10.042,11.75,1.708,2.792,,-3.4,-5.308,-7.6
2011-02-20,13.3,16.4,3.1,2.958,,0.8,-2.383,-5.1
2011-02-21,22.875,26.375,3.5,4.542,,1.0,-0.346,-1.9
