date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean
2011-01-01,2.979,3.0,0.021,5.125,2.542
2011-01-02,2.208,2.208,0.0,6.23,2.375
2011-01-03,3.723,3.894,0.171,5.292,2.375
2011-01-04,2.782,2.954,0.172,5.916,2.435
2011-01-05,5.354,5.542,0.188,5.667,2.458
2011-01-06,10.125,11.604,1.479,6.292,2.625
2011-01-07,4.77,5.104,0.333,5.625,2.0
2011-01-08,6.146,6.833,0.688,5.0,2.333
2011-01-09,7.938,8.52,0.583,6.812,2.208
2011-01-10,10.536,12.542,2.006,13.771,2.667
2011-01-11,5.022,5.426,0.404,8.862,2.333
2011-01-12,8.458,9.438,0.979,7.208,2.125
2011-01-13,7.104,7.688,0.584,8.883,2.417
2011-01-14,6.875,7.646,0.771,8.896,2.75
2011-01-15,4.062,4.271,0.208,6.854,2.0
2011-01-16,5.334,5.688,0.354,9.604,2.625
2011-01-17,7.616,9.578,1.962,6.792,2.333
2011-01-18,15.299,23.508,8.209,10.062,3.375
2011-01-19,19.896,32.375,12.48,14.333,4.042
2011-01-20,11.479,13.375,1.896,8.688,3.875
2011-01-21,11.312,13.771,2.458,9.625,3.5
2011-01-22,6.75,7.73,0.979,7.292,3.042
2011-01-23,3.27,3.562,0.292,4.896,2.217
2011-01-24,4.475,5.322,0.848,5.75,2.375
2011-01-25,4.896,5.598,0.703,3.848,2.292
2011-01-26,8.396,9.979,1.584,7.166,2.833
2011-01-27,9.875,10.917,1.042,12.812,3.667
2011-01-28,4.834,5.188,0.354,9.042,2.917
2011-01-29,1.875,1.896,0.021,6.271,2.25
2011-01-30,8.041,9.521,1.479,6.854,2.875
2011-01-31,10.782,12.552,1.77,7.375,2.667
2011-02-01,3.655,4.019,0.364,8.938,3.083
2011-02-02,2.167,2.416,0.25,7.511,2.739
2011-02-03,7.875,9.75,1.875,5.438,2.542
2011-02-04,5.625,6.375,0.75,13.062,3.042
2011-02-05,11.084,12.375,1.292,15.584,3.375
2011-02-06,26.188,40.938,14.75,27.27,4.25
2011-02-07,24.996,46.972,21.976,12.792,3.708
2011-02-08,2.496,2.902,0.405,3.542,2.375
2011-02-09,5.104,5.625,0.52,4.958,2.375
2011-02-10,9.354,10.958,1.604,5.474,2.435
2011-02-11,5.271,6.062,0.792,6.334,3.042
2011-02-12,5.27,5.458,0.188,9.98,3.292
2011-02-13,17.604,21.979,4.375,9.875,2.917
2011-02-14,23.348,33.424,10.076,15.625,3.75
2011-02-15,11.221,13.44,2.218,15.188,2.958
2011-02-16,6.562,8.334,1.771,6.834,3.25
2011-02-17,5.812,6.771,0.958,6.438,2.5
2011-02-18,2.75,2.916,0.167,5.27,2.5
2011-02-19,6.062,6.584,0.521,7.52,2.667
2011-02-20,12.316,16.016,3.7,12.962,2.833
2011-02-21,17.087,21.13,4.044,11.875,4.333
2011-02-22,19.042,26.166,7.125,18.75,4.792
2011-02-23,17.666,21.542,3.875,21.666,3.75
2011-02-24,9.084,9.875,0.792,27.938,5.583
2011-02-25,12.896,14.833,1.938,20.104,3.5
2011-02-26,4.083,4.166,0.084,10.292,2.25
2011-02-27,3.188,3.48,0.292,8.5,2.292
2011-02-28,12.696,14.782,2.087,8.625,3.625
2011-03-01,16.0,24.812,8.812,13.5,4.625
2011-03-02,17.625,26.834,9.208,15.958,3.522
2011-03-03,3.708,3.958,0.25,15.625,3.417
2011-03-04,8.146,8.812,0.666,20.104,2.583
2011-03-05,16.292,18.042,1.75,9.021,2.917
2011-03-06,9.934,12.304,2.37,8.0,3.042
2011-03-07,9.23,10.25,1.021,27.584,4.792
2011-03-08,13.708,19.396,5.688,21.438,3.708
2011-03-09,12.5,16.021,3.521,21.022,3.87
2011-03-10,2.854,3.125,0.271,11.979,2.708
2011-03-11,3.542,3.73,0.188,9.229,2.417
2011-03-12,2.646,2.854,0.208,11.604,2.0
2011-03-13,7.478,8.218,0.739,10.562,2.542
2011-03-14,9.104,10.521,1.417,11.396,3.708
2011-03-15,9.084,9.958,0.875,13.77,3.375
2011-03-16,12.646,17.625,4.98,12.375,4.042
2011-03-17,4.979,5.208,0.229,7.604,3.75
2011-03-18,3.417,3.458,0.042,7.48,3.125
2011-03-19,5.993,6.986,0.993,8.083,2.167
2011-03-20,5.174,6.044,0.869,9.604,2.417
2011-03-21,8.021,8.854,0.834,12.583,2.833
2011-03-22,12.436,14.268,1.832,16.792,3.25
2011-03-23,14.125,19.042,4.917,16.5,2.458
2011-03-24,3.542,3.958,0.416,4.375,2.25
2011-03-25,2.834,3.188,0.354,12.312,1.917
