date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,HUM_max,HUM_mean,HUM_min,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,14.23,16.98,2.75,,21.125,83.0,58.958,37.0,1.5,7.7,1.888,-1.8
2011-01-02,10.021,13.25,3.229,,15.77,91.0,59.792,34.0,0.708,10.2,3.075,-3.3
2011-01-03,4.938,5.25,0.312,,7.438,62.0,39.125,22.0,0.417,10.3,4.642,0.5
2011-01-04,10.396,12.688,2.292,,11.146,82.0,53.875,30.0,1.125,10.2,2.758,-3.1
2011-01-05,10.354,11.75,1.396,,8.229,69.0,45.458,19.0,1.0,8.0,2.267,-1.6
2011-01-06,20.438,32.812,12.375,,13.979,60.0,43.0,18.0,1.667,10.5,3.796,-1.1
2011-01-07,7.326,7.987,0.661,,6.542,62.0,41.25,23.0,0.833,9.1,3.812,-0.5
2011-01-08,7.812,8.354,0.542,,8.646,60.0,42.875,24.0,0.792,9.6,3.096,-1.3
2011-01-09,21.104,30.625,9.52,,23.312,84.0,54.208,31.0,2.0,8.6,2.596,-3.1
2011-01-10,26.25,34.854,8.604,,21.021,73.0,51.083,30.0,1.958,9.6,4.421,-1.3
2011-01-11,16.155,23.94,7.784,,17.262,68.0,46.25,21.0,1.81,11.3,3.892,-0.2
2011-01-12,14.708,21.812,7.104,,9.292,56.0,38.167,20.0,1.208,7.6,1.512,-2.4
2011-01-13,21.146,29.688,8.542,,13.084,67.0,43.0,21.0,1.958,11.0,3.033,-5.1
2011-01-14,11.623,13.522,1.898,,10.438,62.0,40.458,21.0,1.542,8.5,2.904,-2.8
2011-01-15,16.771,19.979,3.208,,19.896,69.0,50.292,32.0,1.833,6.4,1.933,-2.6
2011-01-16,22.25,39.062,16.812,,22.416,61.0,48.542,36.0,1.25,4.4,2.262,-0.2
2011-01-17,26.188,42.229,16.042,,21.48,67.0,50.292,28.0,1.75,8.0,2.617,-1.9
2011-01-18,32.542,69.354,36.812,,27.271,83.0,57.75,35.0,2.5,7.7,1.442,-5.1
2011-01-19,21.12,39.754,18.634,,24.74,85.0,60.958,38.0,2.091,9.3,3.725,-3.0
2011-01-20,16.75,18.604,1.854,,18.062,99.0,95.875,89.0,0.542,2.5,1.704,0.4
2011-01-21,13.986,15.1,1.114,,14.083,99.0,96.292,91.0,0.042,3.5,2.529,1.8
2011-01-22,15.166,19.646,4.479,,12.0,99.0,92.375,77.0,0.667,7.8,4.117,0.5
2011-01-23,18.666,50.042,31.375,,15.083,99.0,92.458,77.0,1.167,7.2,2.617,-1.2
2011-01-24,15.73,19.562,3.834,,10.27,99.0,62.792,31.0,0.708,7.3,1.879,-0.9
2011-01-25,19.625,32.104,12.479,,15.729,91.0,64.333,25.0,1.458,8.2,1.921,-3.6
2011-01-26,19.312,27.084,7.771,,12.121,93.0,54.375,27.0,1.375,6.4,0.904,-3.4
2011-01-27,24.739,54.304,29.565,,14.981,88.0,62.875,28.0,2.609,7.9,-0.092,-7.2
2011-01-28,14.728,32.135,17.408,,14.854,91.0,53.75,24.0,2.25,6.6,0.362,-4.4
