date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,THC_mean
2011-01-28,19.792,46.5,26.708,4.5,17.021,,,12.042,
2011-01-29,8.417,10.167,1.75,1.0,8.667,,,3.917,
2011-01-30,15.631,22.0355,6.4045000000000005,2.417,10.3335,,,5.083,
2011-01-31,20.6625,49.252,28.5895,5.304,14.8125,,,10.167,
2011-02-01,18.4795,42.375,23.896,6.833,14.3125,,,10.458,
2011-02-02,11.672,18.4555,6.7835,1.238,8.8125,,,6.174,
2011-02-03,21.1595,40.1285,18.9695,3.667,13.333,,,8.292,
2011-02-04,17.6665,39.375,21.7085,2.833,17.0415,,,14.583,
2011-02-05,12.7295,15.625,2.8955,3.542,21.4165,,,17.833,
2011-02-06,26.5625,59.5625,33.0,5.708,44.4585,,,41.458,
2011-02-07,19.9795,52.5,32.5205,1.304,32.167,,,22.458,
2011-02-08,10.5835,23.833,13.25,0.792,8.25,,,4.208,
2011-02-09,18.7685,41.0055,22.237,1.333,10.083,,,4.542,
2011-02-10,21.6685,45.0945,23.426000000000002,2.792,13.9165,,,9.458,
2011-02-11,17.4375,27.6665,10.2295,2.5,14.953,,,10.409,
2011-02-12,8.5625,11.146,2.5835,2.333,10.271,,,8.167,
2011-02-13,20.9795,35.6875,14.707999999999998,6.333,19.625,,,14.083,
2011-02-14,27.1045,61.5,34.3955,5.435,39.875,,,31.625,
2011-02-15,21.333,52.1875,30.854,1.375,35.479,,,28.458,
2011-02-16,21.6905,34.357,12.6665,2.727,23.493,,,21.348,
2011-02-17,15.896,30.0,14.104,2.208,20.125,,,18.0,
2011-02-18,10.6045,14.0835,3.479,0.583,9.7295,,,6.042,
2011-02-19,13.367,16.2155,2.8485,3.333,11.9585,,,8.625,
2011-02-20,23.1665,38.479,15.3125,5.542,18.146,,,14.25,
2011-02-21,23.119,42.4855,19.367,4.609,23.6665,,,18.458,
2011-02-22,14.125,24.2915,10.167000000000002,2.292,26.229,,,20.5,
2011-02-23,18.152,33.0,14.848,1.0,27.146,,,20.667,
2011-02-24,14.7085,18.646,3.9375,2.208,25.125,,,23.167,
2011-02-25,12.5215,16.517,3.9955000000000003,0.458,14.229,,,10.167,
2011-02-26,9.979,12.583,2.604,0.458,15.0625,,,11.792,
2011-02-27,12.78,16.435,3.655,0.25,10.854,,,6.583,
2011-02-28,16.5625,23.4585,6.8955,0.826,15.854,,,12.417,
2011-03-01,24.386,43.4845,19.0985,0.542,16.042,,,9.667,
2011-03-02,19.5415,47.894,28.3525,0.792,17.4165,,,10.708,
2011-03-03,10.4585,12.833,2.375,0.917,14.729,,,12.208,
2011-03-04,4.396,5.0625,0.6665,0.75,18.5,,,16.542,
2011-03-05,21.375,39.0625,17.6875,0.167,16.0625,,,12.125,
2011-03-06,19.4585,45.8125,26.354,0.565,24.0835,,,13.292,
2011-03-07,14.104,21.25,7.1455,0.708,25.646,,,17.542,
2011-03-08,14.690999999999999,18.345,3.654,1.083,23.9795,,,20.167,
2011-03-09,15.315000000000001,19.085,3.77,0.75,13.8955,,,9.208,
2011-03-10,8.646,10.375,1.729,0.292,5.146,,,-0.167,
2011-03-11,6.146,7.104,0.9585,0.25,8.271,,,4.958,
2011-03-12,13.8125,20.875,7.0625,0.375,8.1875,,,4.083,
2011-03-13,13.0,16.146,3.146,0.087,8.1875,,,3.417,
2011-03-14,18.1875,26.521,8.3335,0.875,15.520499999999998,,,10.375,
2011-03-15,13.8615,25.575,11.713000000000001,0.364,16.625,,,15.048,
2011-03-16,17.759,24.2145,6.4559999999999995,1.208,22.5,,,17.0,
2011-03-17,25.104,49.896,24.792,1.042,33.771,,,26.208,
2011-03-18,12.917,22.375,9.4585,0.458,22.521,,,14.375,
2011-03-19,13.7085,18.021,4.3125,0.083,12.292,,,6.0,
2011-03-20,13.6875,18.146,4.4585,0.652,17.9375,,,11.208,
2011-03-21,9.875,12.229500000000002,2.354,0.125,10.5415,,,6.417,
2011-03-22,30.4475,49.9245,19.4775,1.208,30.5,,,23.875,
2011-03-23,24.860500000000002,45.56,20.698999999999998,1.292,39.5625,,,29.792,
2011-03-24,11.896,14.5,2.604,0.292,10.104,,,5.125,
2011-03-25,7.354,8.917,1.5625,0.667,7.9165,,,4.292,
2011-03-26,16.9585,25.1875,8.229,0.25,11.7915,,,7.25,
2011-03-27,21.0205,31.5625,10.542000000000002,0.913,17.604,,,12.0,
2011-03-28,16.333,29.25,12.9165,0.958,24.1875,,,18.833,
2011-03-29,18.0825,23.025,4.943,0.875,20.0835,,,14.417,
2011-03-30,22.451,34.2355,11.784500000000001,1.0,28.125,,,18.875,
2011-03-31,9.4165,11.8125,2.3955,0.083,17.8125,,,7.917,
2011-04-01,22.25,33.1045,10.854,2.043,24.0,,,,
2011-04-02,15.0,24.9165,9.917,2.042,30.5415,,,,
2011-04-03,6.375,7.5625,1.1875,1.167,18.1875,,,,
2011-04-04,13.846499999999999,23.412999999999997,9.567,1.364,16.312,,,,
2011-04-05,20.146,31.9375,11.7915,2.667,20.479,,,,
2011-04-06,25.375,38.3125,12.9375,3.25,24.9375,,,,
2011-04-07,27.652,37.3915,9.7395,3.583,32.3545,,,,
2011-04-08,19.375,31.6665,12.2915,1.957,25.3125,,,,
2011-04-09,8.2705,12.1665,3.896,0.417,16.4585,,,,
2011-04-10,5.8335,8.0625,2.2295,0.542,20.25,,,,
2011-04-11,10.9375,20.146,9.208,3.333,30.2915,,,,
2011-04-12,9.2915,13.9585,4.6665,1.208,17.042,,,,
2011-04-13,21.4375,31.3125,9.875,5.583,27.0625,,,,
2011-04-14,23.0435,32.652,9.609,6.25,35.271,,,,
2011-04-15,17.375,23.854,6.4795,5.609,37.0,,,,
2011-04-16,13.417000000000002,19.604,6.1875,2.875,25.5,,,,
2011-04-17,5.5415,7.5205,1.979,2.167,19.1455,,,,
2011-04-18,7.625,11.3545,3.7295,1.542,23.0415,,,,
2011-04-19,9.591000000000001,13.091,3.5,0.087,12.2515,,,,
2011-04-20,10.875,17.7295,6.8545,0.208,13.5625,,,,
2011-04-21,12.869499999999999,19.739,6.8695,0.583,21.979,,,,
2011-04-22,15.75,23.125,7.375,0.957,38.0625,,,,
2011-04-23,6.2915,8.3125,2.021,0.458,19.8335,,,,
2011-04-24,4.9585,6.4585,1.5,0.208,13.2915,,,,
2011-04-25,17.1875,26.958,9.771,3.458,18.042,,,,
2011-04-26,22.7085,34.146,11.4375,5.292,22.7915,,,,
2011-04-27,11.979,21.3955,9.4165,3.375,36.792,,,,
2011-04-28,12.326,15.738999999999999,3.4130000000000003,0.375,19.3125,,,,
2011-04-29,9.646,10.125,0.479,0.783,16.1455,,,,
2011-04-30,20.5835,27.1875,6.604,2.833,28.2705,,,,
2011-05-01,15.479,19.25,3.771,0.917,27.9375,,,,
2011-05-02,13.396,17.458,4.0625,0.25,87.75,,,,
2011-05-03,10.604,12.2705,1.6665,1.75,52.5415,,,,
2011-05-04,8.6665,9.875,1.2080000000000002,0.667,31.1875,,,,
2011-05-05,4.761,5.5,0.739,0.792,23.646,,,,
2011-05-06,9.776,12.133,2.358,0.565,26.116,,,,
2011-05-07,14.292,19.6875,5.396,0.833,28.479,,,,
2011-05-08,6.3335,10.521,4.1875,0.625,24.5415,,,,
2011-05-09,15.646,19.8955,4.25,1.333,25.104,,,,
2011-05-10,22.625,33.875,11.25,0.958,34.25,,,,
2011-05-11,12.8125,15.271,2.4585,0.0,18.375,,,,
2011-05-12,12.565000000000001,16.1955,3.6305,0.0,20.9165,,,,
2011-05-13,11.3125,18.5205,7.208,0.478,17.875,,,,
2011-05-14,13.0585,19.1625,6.104,0.435,34.945,,,,
2011-05-15,6.6665,7.229,0.5625,1.125,22.021,,,,
2011-05-16,16.3955,20.146,3.75,1.5,34.25,,,,
2011-05-17,16.7085,22.9375,6.229,1.25,41.667,,,,
2011-05-18,12.042,17.1665,5.125,1.167,35.25,,,,
2011-05-19,16.065,19.087,3.0215,1.667,38.9375,,,,
2011-05-20,18.122,22.009,3.8865000000000003,1.429,43.25,,,,
2011-05-21,14.125,17.6045,3.479,1.292,48.396,,,,
2011-05-22,5.021,5.9585,0.9375,0.375,31.542,,,,
2011-05-23,10.0,12.521,2.5205,0.0,18.1455,,,,
2011-05-24,12.2915,16.875,4.5835,0.0,13.4165,,,,
2011-05-25,17.625,25.5205,7.8955,1.583,22.896,,,,
2011-05-26,12.239,14.671,2.432,1.458,27.8125,,,,
2011-05-27,13.259,15.117,1.8579999999999999,0.522,22.7085,,,,
2011-05-28,13.6875,17.271,3.583,0.542,21.0835,,,,
2011-05-29,3.958,4.896,0.9375,0.0,14.4375,,,,
2011-05-30,5.5,6.9375,1.4375,0.0,9.0,,,,
2011-05-31,4.625,4.854,0.229,0.0,15.896,,,,
2011-06-01,7.7915,8.5835,0.7915,0.917,35.1665,,,,
2011-06-02,19.9295,31.088,11.1585,0.636,38.25,,,,
2011-06-03,19.0735,29.528,10.4545,1.783,34.2085,,,,
2011-06-04,15.6665,21.9585,6.2915,3.333,39.2295,,,,
2011-06-05,8.5835,10.3125,1.729,2.292,53.646,,,,
2011-06-06,12.1875,15.5,3.3125,0.583,33.083,,,,
2011-06-07,16.1665,18.4375,2.271,4.458,41.3125,,,,
2011-06-08,16.75,22.896,6.146,4.375,23.1875,,,,
2011-06-09,15.2195,16.827,1.6079999999999999,1.333,27.3335,,,,
2011-06-10,19.106,23.185000000000002,4.079,2.957,42.125,,,,
2011-06-11,14.021,16.75,2.729,0.792,38.25,,,,
2011-06-12,9.6875,10.667,0.979,1.292,44.9165,,,,
2011-06-13,13.0625,15.0835,2.021,0.875,32.583,,,,
2011-06-14,10.521,11.4585,0.9375,1.042,31.1045,,,,
2011-06-15,12.771,15.0625,2.2915,1.125,17.0625,,,,
2011-06-16,15.172999999999998,23.1035,7.93,2.958,25.5,,,,
2011-06-17,8.981,10.092,1.1105,0.13,16.163,,,,
2011-06-18,10.75,11.75,1.0,0.417,24.125,,,,
2011-06-19,7.0415,8.25,1.2085,0.333,22.4375,,,,
2011-06-20,15.25,18.646,3.396,1.042,30.1455,,,,
2011-06-21,17.6895,29.8505,12.161000000000001,0.75,30.7395,,,,
2011-06-22,16.6045,22.8125,6.208,1.0,32.875,,,,
2011-06-23,19.242,28.709,9.4675,0.958,37.396,,,,
2011-06-24,13.965499999999999,27.3375,13.3725,0.87,22.958,,,,
2011-06-25,6.604,7.7915,1.1875,0.583,18.7915,,,,
2011-06-26,3.375,3.6045,0.229,0.0,18.479,,,,
2011-06-27,11.208,13.667,2.458,0.083,30.146,,,,
2011-06-28,13.75,21.8125,8.0625,1.083,40.354,,,,
2011-06-29,11.5625,16.667,5.104,0.792,34.5835,,,,
2011-06-30,16.051,23.8755,7.8255,0.708,29.3335,,,,
2011-07-01,14.25,19.639499999999998,5.3895,0.478,31.021,,,,
2011-07-02,7.292,8.25,0.9585,0.5,28.9165,,,,
2011-07-03,6.3125,7.146,0.833,0.792,24.6875,,,,
2011-07-04,16.8335,22.4795,5.646,0.833,41.375,,,,
2011-07-05,13.098500000000001,18.237000000000002,5.138,0.364,19.8525,,,,
2011-07-06,12.604,16.8335,4.229,1.875,21.5625,,,,
2011-07-07,15.06,17.0985,2.039,0.667,32.5,,,,
2011-07-08,13.8535,20.152,6.299,0.739,34.7915,,,,
2011-07-09,12.5625,16.5415,3.9795,0.708,33.7085,,,,
2011-07-10,6.6875,8.2085,1.5205000000000002,0.417,21.5415,,,,
2011-07-11,10.4375,16.5,6.0625,1.042,23.021,,,,
2011-07-12,10.5835,19.979,9.3955,1.083,20.521,,,,
2011-07-13,11.8125,20.2915,8.479,1.458,21.0,,,,
2011-07-14,14.75,23.3955,8.646,1.958,23.021,,,,
2011-07-15,13.994,21.752499999999998,7.759,1.174,24.917,,,,
2011-07-16,14.458,18.375,3.917,3.417,29.1665,,,,
2011-07-17,9.4375,12.3125,2.875,2.25,28.3125,,,,
2011-07-18,8.896,12.4585,3.5625,1.5,25.0,,,,
2011-07-19,8.142,14.495999999999999,6.354,0.375,14.4735,,,,
2011-07-20,6.6850000000000005,8.725,2.04,0.083,17.9795,,,,
2011-07-21,3.208,3.4165,0.2085,0.042,14.020499999999998,,,,
2011-07-22,7.3445,9.1795,1.8350000000000002,0.217,13.9375,,,,
2011-07-23,5.958,7.167,1.2080000000000002,0.167,12.854,,,,
2011-07-24,7.167,8.479,1.3125,0.792,17.542,,,,
2011-07-25,12.833,14.3545,1.5205000000000002,1.583,25.5625,,,,
2011-07-26,16.9375,23.9375,7.0,1.083,26.8545,,,,
2011-07-27,14.2255,19.313,5.0875,0.458,30.479,,,,
2011-07-28,12.5625,16.2295,3.6665,0.25,18.3335,,,,
2011-07-29,13.381,21.6025,8.221,0.087,17.5415,,,,
2011-07-30,10.2295,14.25,4.0205,0.0,14.020499999999998,,,,
2011-07-31,2.9375,3.2915,0.354,0.0,16.354,,,,
2011-08-01,9.375,15.207999999999998,5.8335,0.125,24.75,,,,
2011-08-02,11.7085,16.583,4.875,0.458,30.9375,,,,
2011-08-03,9.325,16.197000000000003,6.8725000000000005,0.455,23.823999999999998,,,,
2011-08-04,10.104,14.520499999999998,4.4165,0.708,18.229,,,,
2011-08-05,10.844999999999999,14.555,3.71,0.435,18.7915,,,,
2011-08-06,11.854,18.7085,6.8545,0.833,23.104,,,,
2011-08-07,8.9795,11.5835,2.604,0.208,22.167,,,,
2011-08-08,11.542,17.8125,6.271,0.542,23.833,,,,
2011-08-09,13.6665,19.4585,5.7915,0.792,33.9795,,,,
2011-08-10,16.7845,21.942,5.1575,1.417,40.9585,,,,
2011-08-11,15.5625,21.146,5.5835,0.75,35.625,,,,
2011-08-12,12.810500000000001,16.817999999999998,4.0075,1.652,35.104,,,,
2011-08-13,9.729,11.1875,1.4585,1.208,41.771,,,,
2011-08-14,7.0625,7.7085,0.646,1.0,47.2295,,,,
2011-08-15,7.896,8.8335,0.9375,0.625,28.5625,,,,
2011-08-16,6.7295,7.7085,0.979,0.5,29.5625,,,,
2011-08-17,11.5565,14.314499999999999,2.758,0.75,35.708,,,,
2011-08-18,12.4165,15.229500000000002,2.8125,1.042,45.481,,,,
2011-08-19,9.089500000000001,11.375499999999999,2.286,0.043,15.082999999999998,,,,
2011-08-20,11.792000000000002,16.021,4.229,0.0,14.9165,,,,
2011-08-21,4.4165,4.75,0.3335,0.0,12.1875,,,,
2011-08-22,10.3125,14.2915,3.979,0.0,14.354500000000002,,,,
2011-08-23,14.479,17.5,3.021,0.0,25.4375,,,,
2011-08-24,11.2725,19.029,7.756,0.833,31.5625,,,,
2011-08-25,9.6665,20.8955,11.229,0.333,13.354500000000002,,,,
2011-08-26,8.778,16.744,7.9655000000000005,0.174,17.4375,,,,
2011-08-27,9.1665,11.771,2.604,0.083,16.5415,,,,
2011-08-28,5.4165,6.0835,0.667,0.25,15.395499999999998,,,,
2011-08-29,8.229,11.917,3.6875,0.333,18.4375,,,,
2011-08-30,8.354,11.104,2.75,0.375,17.125,,,,
2011-08-31,8.6435,12.4375,3.794,0.125,17.021,,,,
