date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,CH4_mean,NMHC_mean,THC_mean,CO_mean
2011-01-01,10.7696,12.9609,2.1912,16.097333333333335,1.907625,190.3065,11.27475,201.5815,4.521
2011-01-02,4.4978,5.1548,0.6567999999999999,9.402666666666667,1.14075,189.90125,7.051,196.9525,4.125
2011-01-03,6.325,7.4168,1.0916000000000001,19.083333333333332,1.520625,189.31225,7.72925,197.04175,4.5835
2011-01-04,6.275,7.5375,1.2626,22.458333333333332,2.2342500000000003,191.34375,8.375,199.719,4.7085
2011-01-05,10.5124,15.05,4.537699999999999,8.597333333333333,0.562625,189.6775,10.43825,200.1155,4.7425
2011-01-06,16.8833,27.875099999999996,10.9917,13.097333333333333,0.822111111111111,191.19875,16.182,207.38075,5.52
2011-01-07,12.5875,19.2,6.612299999999999,6.736,0.6574444444444444,191.24325,12.774750000000001,204.018,4.583
2011-01-08,11.3651,13.7392,2.3739,7.833333333333333,0.5411111111111111,191.7185,11.70125,203.41975,3.9375
2011-01-09,13.668199999999999,18.5579,4.8894,18.888666666666666,1.3888888888888888,191.76024999999998,13.8335,205.59375,5.125
2011-01-10,21.3541,38.3624,17.0083,31.805333333333333,2.222,192.39175,20.97075,213.3625,7.5835
2011-01-11,12.2208,18.3375,6.1167,20.194333333333333,1.5093333333333332,189.45600000000002,11.2355,200.6915,4.75
2011-01-12,19.7541,29.7209,9.9665,8.958333333333334,1.175888888888889,190.33724999999998,13.057500000000001,203.39475,4.8335
2011-01-13,14.0292,25.2332,11.2043,17.361333333333334,1.5092222222222222,189.4685,14.533,204.002,5.0205
2011-01-14,12.600100000000001,16.9459,4.3459,30.347333333333335,2.226888888888889,191.17675,12.41675,203.59375,5.7915
2011-01-15,9.182500000000001,11.3391,2.1565000000000003,11.694666666666668,0.9033333333333332,188.74075,9.50525,198.24599999999998,4.0
2011-01-16,8.106,10.174199999999999,2.0683999999999996,8.652666666666667,0.4166666666666667,188.519,7.894500000000001,196.4135,3.104
2011-01-17,13.7915,20.9377,7.1457,6.972333333333334,0.5740000000000001,188.18574999999998,10.66375,198.8495,4.146
2011-01-18,24.65,41.5043,16.8542,14.333333333333334,1.536,191.75,22.68775,214.4375,5.8785
2011-01-19,14.212399999999999,20.8958,6.683199999999999,5.833333333333333,0.81775,187.7415,13.000499999999999,200.74200000000002,3.792
2011-01-20,10.0875,12.3708,2.2832999999999997,5.348,0.35188888888888886,185.963,9.1015,195.0645,3.174
2011-01-21,15.7666,22.296,6.529000000000001,6.666666666666667,0.5417777777777777,187.28125,13.927,201.20825,4.3335
2011-01-22,13.978199999999998,19.2652,5.287000000000001,9.847333333333333,1.4249999999999998,189.45466666666667,13.600999999999999,203.05566666666667,4.9585
2011-01-23,7.746599999999999,10.480500000000001,2.7338999999999998,5.125,0.8612222222222221,189.389,9.777666666666667,199.16666666666666,4.0
2011-01-24,8.5582,11.2792,2.7209,5.764,0.6453333333333333,191.57325,8.125,199.698,3.396
2011-01-25,9.844272727272728,12.790636363636365,2.9464545454545457,14.777666666666667,1.0416666666666667,194.302,9.97925,204.2815,4.5625
2011-01-26,10.397363636363638,14.144545454545455,3.747181818181818,7.639,0.6065555555555555,194.18175,10.41075,204.5925,4.229
2011-01-27,17.545454545454547,27.42427272727273,9.878909090909092,21.805666666666667,1.7083333333333333,197.47899999999998,15.5625,213.04175,6.1875
2011-01-28,13.617454545454546,17.193181818181817,3.575909090909091,19.694333333333333,1.389,195.1875,11.30225,206.4895,4.6665
2011-01-29,8.54109090909091,10.309181818181818,1.768090909090909,6.958333333333333,0.49277777777777776,194.89275,8.79575,203.6885,3.4375
2011-01-30,12.701636363636366,21.46827272727273,8.766545454545454,6.4863333333333335,0.7639999999999999,195.22925,11.729000000000001,206.95825,4.708
2011-01-31,14.628818181818183,20.757636363636365,6.128818181818182,7.7363333333333335,0.8887777777777778,192.8315,11.350249999999999,204.18175,4.5
2011-02-01,13.48109090909091,21.704636363636364,8.223545454545455,13.735999999999999,1.5274444444444444,193.09375,11.71875,204.8125,3.6045
2011-02-02,6.682363636363636,8.49390909090909,1.8115454545454546,6.611,0.7731111111111111,192.2935,6.433,198.7265,2.8125
2011-02-03,13.140181818181818,17.670454545454547,4.530363636363637,10.860999999999999,1.074111111111111,194.0625,9.5105,203.573,3.6665
2011-02-04,13.772727272727273,18.507545454545454,4.734909090909091,19.875,2.351888888888889,194.81225,10.5835,205.39575,3.8545
2011-02-05,13.325727272727272,15.881181818181819,2.5553636363636367,33.02766666666667,3.0192222222222225,196.441,11.477,207.9175,4.0625
2011-02-06,20.04381818181818,27.782363636363637,7.738636363636363,35.72233333333333,1.6109999999999998,194.903,19.18925,214.09225,4.9345
2011-02-07,13.09772727272727,19.66590909090909,6.568181818181818,14.889000000000001,1.375,192.2815,15.09375,207.375,4.6455
