date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,7.594,9.364,1.771,27.917,7.468,,188.75,4.5,20.208,208.958
2011-01-02,4.844,6.042,1.198,14.625,18.065,,187.042,3.458,15.584,202.625
2011-01-03,8.177,10.302,2.125,22.666,12.504,,189.021,4.292,18.188,207.208
2011-01-04,6.469,9.385,2.917,19.562,25.556,,187.77,3.583,16.938,204.708
2011-01-05,11.882,18.586,6.704,20.208,6.627,,186.958,4.333,19.375,206.334
2011-01-06,12.479,20.458,7.979,14.896,6.773,,186.312,4.125,19.583,205.896
2011-01-07,13.625,19.864,6.24,21.417,8.88,,187.896,4.5,21.875,209.771
2011-01-08,12.614,17.01,4.396,21.02,2.38,,189.23,4.792,20.979,210.208
2011-01-09,9.516,12.193,2.678,23.458,3.693,,189.798,4.261,20.292,210.09
2011-01-10,12.667,18.177,5.51,55.854,12.861,,194.188,6.708,24.042,218.23
2011-01-11,10.604,15.458,4.854,36.042,18.134,,189.854,5.0,19.042,208.896
2011-01-12,12.698,18.354,5.656,16.292,4.583,,189.542,4.25,19.938,209.48
2011-01-13,14.812,24.687,9.875,24.256,13.077,,189.916,5.083,20.708,210.625
2011-01-14,15.125,22.906,7.781,42.146,7.843,,192.75,6.5,22.875,215.625
2011-01-15,10.344,13.177,2.833,33.583,2.62,,188.542,5.625,20.958,209.5
2011-01-16,12.396,18.802,6.406,8.896,4.63,,185.917,3.542,19.583,205.5
2011-01-17,14.383,29.314,14.932,15.625,6.709,,187.958,6.417,24.958,212.917
2011-01-18,17.375,37.844,20.468,19.5,4.086,,187.73,6.25,31.042,218.77
2011-01-19,16.969,34.229,17.26,19.146,2.63,,183.562,5.667,26.125,209.688
2011-01-20,12.344,20.625,8.281,14.468,1.861,,182.768,4.333,24.488,207.256
2011-01-21,13.354,21.948,8.594,17.0,3.796,,183.188,4.833,23.0,206.188
2011-01-22,5.916,8.188,2.271,13.375,5.13,,183.104,3.375,19.042,202.146
2011-01-23,6.464,9.301,2.837,12.479,15.507,,188.52,2.957,17.728,206.247
2011-01-24,7.771,11.208,3.438,15.833,12.324,,191.166,3.583,18.667,209.834
2011-01-25,11.125,18.073,6.948,22.292,26.661,,193.354,5.0,22.021,215.375
2011-01-26,10.652,16.894,6.243,9.708,38.274,,192.916,3.958,19.083,212.0
2011-01-27,16.396,24.573,8.177,19.812,8.903,,193.438,8.042,25.875,219.312
2011-01-28,15.958,24.802,8.844,21.604,10.009,,189.104,4.958,25.562,214.666
2011-01-29,7.969,10.042,2.073,29.479,24.375,,190.188,4.875,23.229,213.416
2011-01-30,10.364,14.281,3.917,22.625,9.653,,191.104,4.167,18.958,210.062
2011-01-31,13.208,17.458,4.25,28.834,7.194,,194.25,4.667,20.834,215.083
2011-02-01,13.292,21.688,8.396,36.938,10.954,,194.5,5.667,22.104,216.604
2011-02-02,5.25,7.531,2.281,8.104,11.518,,190.479,2.625,17.625,208.104
2011-02-03,12.604,20.24,7.636,12.688,3.454,,192.979,4.458,23.271,216.25
2011-02-04,10.771,15.552,4.781,16.979,4.38,,193.375,4.292,23.5,216.875
2011-02-05,12.136,16.365,4.229,25.771,2.477,,193.292,4.5,32.208,225.5
2011-02-06,17.716,38.676,20.96,18.312,1.662,,187.498,7.304,31.096,218.594
2011-02-07,5.219,7.521,2.302,13.146,2.31,,184.708,3.542,16.52,201.23
2011-02-08,5.177,8.125,2.948,9.084,13.727,,189.396,2.917,19.292,208.688
2011-02-09,9.885,18.469,8.583,13.25,3.468,,190.833,4.167,22.104,212.938
2011-02-10,11.82,20.264,8.444,15.146,19.003,,190.625,4.958,26.083,216.708
2011-02-11,7.229,9.375,2.146,10.23,11.704,,188.396,3.417,26.729,215.125
2011-02-12,10.062,13.333,3.271,15.667,4.528,,188.792,4.292,24.646,213.438
