date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,SPM_mean
2011-01-01,14.75,19.77,5.02,1.625,7.958,6.042
2011-01-02,17.83,28.978,11.148,0.875,8.625,8.792
2011-01-03,10.77,18.708,7.938,0.5,6.375,7.167
2011-01-04,14.812,28.042,13.23,1.0,7.5,8.625
2011-01-05,15.062,29.458,14.396,0.875,7.333,8.167
2011-01-06,25.308,54.386,29.079,1.083,12.652,12.652
2011-01-07,36.084,83.084,47.0,1.833,18.125,17.833
2011-01-08,38.646,84.542,45.896,2.625,21.75,17.958
2011-01-09,20.208,35.208,15.0,1.435,12.667,10.792
2011-01-10,29.542,65.604,36.062,2.167,13.75,9.5
2011-01-11,15.5,30.292,14.792,1.167,7.167,6.125
2011-01-12,27.688,54.375,26.688,1.375,10.25,7.208
2011-01-13,26.229,53.875,27.646,2.083,19.25,18.167
2011-01-14,15.625,30.208,14.584,1.208,10.0,10.708
2011-01-15,12.23,23.73,11.5,1.25,9.125,8.583
2011-01-16,27.434,65.172,37.738,1.583,13.083,13.542
2011-01-17,30.979,63.312,32.334,1.917,13.667,12.208
2011-01-18,27.812,52.646,24.834,1.75,11.333,10.625
2011-01-19,39.513,95.709,56.196,4.208,17.667,17.304
2011-01-20,34.494,69.324,34.831,3.25,15.435,12.583
2011-01-21,24.604,47.396,22.792,2.708,12.833,12.667
2011-01-22,12.0,16.854,4.854,1.208,5.708,5.458
2011-01-23,19.188,35.896,16.708,0.87,14.25,12.917
2011-01-24,19.542,35.271,15.73,1.083,12.708,11.542
2011-01-25,27.938,52.479,24.542,1.167,14.25,13.208
2011-01-26,26.667,55.583,28.917,1.708,15.708,14.0
2011-01-27,24.312,48.208,23.896,1.708,12.958,13.208
2011-01-28,20.77,39.584,18.812,1.458,11.667,9.792
2011-01-29,27.27,55.542,28.271,1.625,12.5,12.25
2011-01-30,31.479,60.646,29.168,1.917,10.958,10.042
2011-01-31,26.104,48.438,22.333,2.0,13.75,11.542
2011-02-01,31.73,62.792,31.062,3.583,13.125,12.042
2011-02-02,20.812,33.084,12.271,1.333,8.75,7.708
2011-02-03,29.612,54.907,25.294,1.667,12.042,10.833
2011-02-04,25.562,45.896,20.334,2.208,14.208,15.375
2011-02-05,14.062,21.0,6.938,1.458,10.167,9.542
2011-02-06,20.521,33.084,12.562,1.783,11.625,13.125
2011-02-07,30.166,60.666,30.5,2.875,22.043,19.957
2011-02-08,15.062,27.688,12.625,1.458,14.583,13.792
2011-02-09,17.062,34.083,17.021,1.333,12.375,10.833
2011-02-10,13.75,28.667,14.916,1.208,13.125,10.917
2011-02-11,18.208,32.604,14.395,1.167,10.292,9.083
2011-02-12,11.312,20.521,9.208,1.125,10.875,10.292
2011-02-13,19.1,36.761,17.661,1.625,12.542,12.917
2011-02-14,25.667,36.312,10.646,5.583,30.083,32.375
2011-02-15,15.334,27.104,11.771,2.125,21.375,22.417
2011-02-16,18.125,34.0,15.875,1.542,13.083,13.625
2011-02-17,24.486,44.036,19.549,1.708,11.75,9.958
2011-02-18,26.25,46.166,19.917,3.583,12.333,9.625
2011-02-19,29.708,53.146,23.438,2.333,14.625,12.458
2011-02-20,15.708,29.729,14.021,1.696,13.583,12.5
2011-02-21,12.354,23.271,10.916,1.375,15.957,16.0
2011-02-22,21.688,37.854,16.166,1.333,10.75,13.75
2011-02-23,23.625,34.271,10.646,3.958,21.583,24.583
2011-02-24,22.875,39.396,16.521,2.25,12.667,12.167
2011-02-25,25.5,34.98,9.48,7.875,11.833,11.708
2011-02-26,14.542,20.292,5.75,2.75,9.458,7.583
2011-02-27,23.162,37.254,14.092,1.583,10.167,10.5
2011-02-28,28.042,45.792,17.75,1.75,13.792,14.625
2011-03-01,25.5,36.5,11.0,2.708,21.167,24.167
2011-03-02,15.896,27.348,11.453,1.375,18.375,18.75
2011-03-03,19.708,34.812,15.105,3.417,15.917,14.292
2011-03-04,20.542,33.125,12.584,1.5,10.958,12.333
2011-03-05,32.562,54.458,21.896,4.391,14.375,14.0
2011-03-06,36.021,71.333,35.312,3.25,14.0,15.958
2011-03-07,14.105,21.27,7.167,1.333,7.917,9.292
2011-03-08,21.833,40.438,18.604,1.042,11.75,8.875
2011-03-09,22.334,35.688,13.354,2.375,14.13,13.304
2011-03-10,25.646,40.104,14.458,3.0,15.625,15.375
2011-03-11,10.917,14.895,3.98,1.25,11.833,11.25
2011-03-12,18.804,31.06,12.256,2.208,15.625,16.5
2011-03-13,18.042,29.312,11.271,1.667,13.75,12.792
2011-03-14,13.125,17.229,4.104,2.042,13.417,13.917
2011-03-15,15.355,25.146,9.792,1.667,21.167,21.5
2011-03-16,15.494,22.555,7.062,1.875,13.292,14.5
2011-03-17,11.979,15.708,3.729,1.458,14.042,12.833
2011-03-18,16.834,27.312,10.48,1.0,14.25,16.375
2011-03-19,11.916,23.938,12.021,1.0,14.042,13.0
2011-03-20,15.542,25.666,10.125,1.042,13.417,13.375
2011-03-21,18.688,32.396,13.708,0.958,14.417,14.833
2011-03-22,26.438,37.396,10.958,1.5,21.333,25.333
2011-03-23,22.875,35.958,13.083,1.042,20.292,20.667
2011-03-24,23.646,38.416,14.771,2.292,15.958,16.708
2011-03-25,15.958,24.812,8.854,2.042,11.625,12.125
2011-03-26,16.532,28.618,12.086,1.083,15.125,14.167
2011-03-27,22.87,36.109,13.24,1.167,15.478,16.583
2011-03-28,23.688,33.834,10.146,1.958,21.167,23.0
2011-03-29,14.834,18.375,3.542,1.583,21.167,23.542
2011-03-30,10.716,13.79,3.074,1.75,27.708,35.417
2011-03-31,15.395,27.146,11.75,1.042,13.792,17.292
2011-04-01,7.316,9.126,1.81,0.583,24.083,21.292
2011-04-02,10.958,21.438,10.479,0.083,11.833,9.667
2011-04-03,11.562,19.375,7.812,0.125,10.792,8.542
2011-04-04,19.834,32.666,12.833,1.087,12.708,9.333
2011-04-05,22.312,28.25,5.938,1.667,19.792,20.875
2011-04-06,23.479,33.0,9.521,1.958,31.542,29.458
2011-04-07,10.458,12.458,2.0,1.875,19.75,21.208
2011-04-08,17.146,26.646,9.5,1.0,18.458,17.375
2011-04-09,11.625,14.605,2.979,1.125,15.708,14.167
2011-04-10,7.292,8.0,0.708,1.125,19.583,17.875
2011-04-11,15.938,25.734,9.797,1.042,22.625,22.417
2011-04-12,15.188,24.479,9.292,1.125,20.227,18.174
2011-04-13,15.146,18.458,3.312,1.125,19.792,27.25
2011-04-14,21.416,28.479,7.062,1.667,31.625,31.75
2011-04-15,8.933,9.624,0.691,2.708,45.417,52.333
2011-04-16,10.312,14.729,4.416,1.417,17.542,19.125
2011-04-17,6.604,11.542,4.938,1.0,10.0,10.125
2011-04-18,11.667,21.354,9.688,0.043,9.667,10.417
