date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,78.0,61.5,39.0,19.403,23.375,3.972,,4.444,17.056,11.4,6.867,2.5,199.553,5.652,21.945,221.498
2011-01-02,85.0,65.292,46.0,6.346,6.75,0.404,,4.597,12.222,8.2,6.254,4.6,192.106,3.958,9.396,201.502
2011-01-03,65.0,55.5,43.0,9.791,11.222,1.431,,5.236,15.847,7.9,6.071,3.5,192.042,4.083,9.646,201.688
2011-01-04,71.0,53.125,27.0,6.96,7.565,0.605,,7.625,23.125,7.2,5.05,2.7,191.996,4.0,7.884,199.88
2011-01-05,83.0,67.958,49.0,23.208,36.444,13.236,,4.042,11.0,7.2,4.004,1.7,195.458,5.458,20.146,215.604
2011-01-06,91.0,59.0,28.0,28.333,54.903,26.569,,5.181,16.361,9.1,5.658,1.4,201.784,6.708,34.055,235.839
2011-01-07,79.0,60.333,36.0,11.708,13.778,2.07,,3.264,6.681,8.5,5.25,1.9,192.884,3.087,11.256,204.14
2011-01-08,82.0,62.708,37.0,18.943,25.308,6.365,,3.5,9.792,7.4,4.517,1.8,199.51,5.667,22.85,222.36
2011-01-09,86.0,66.625,51.0,25.014,37.195,12.181,,6.208,22.083,10.8,6.204,3.4,202.771,6.875,27.104,229.875
2011-01-10,95.0,66.042,36.0,34.502,66.422,31.921,,7.389,34.528,11.0,6.592,1.8,203.442,8.625,42.218,245.659
2011-01-11,67.0,56.417,37.0,16.786,21.468,4.683,,6.584,25.075,10.1,6.421,1.9,193.216,4.792,14.488,207.704
2011-01-12,82.0,57.083,38.0,23.335,36.722,13.388,,4.218,9.79,6.8,3.408,-0.2,196.961,5.652,24.542,221.503
2011-01-13,82.0,55.792,40.0,23.264,40.875,17.611,,6.194,18.958,9.4,6.379,3.7,197.432,5.913,28.773,226.204
2011-01-14,70.0,57.667,48.0,20.149,23.686,3.537,,8.667,36.625,8.2,6.475,5.0,195.396,6.0,17.208,212.604
2011-01-15,78.0,62.25,47.0,18.319,24.083,5.764,,5.333,17.556,8.1,5.946,3.3,196.797,5.5,22.714,219.512
2011-01-16,71.0,55.417,44.0,19.068,26.728,7.66,,3.861,12.097,6.2,5.208,4.2,191.792,4.583,15.604,207.396
2011-01-17,85.0,57.542,32.0,21.972,32.667,10.695,,3.76,11.449,9.7,5.733,2.2,193.794,4.792,23.542,217.335
2011-01-18,86.0,54.875,26.0,38.022,77.069,39.047,,4.556,17.72,10.9,5.546,0.4,201.996,9.0,56.343,258.34
2011-01-19,99.0,77.625,56.0,32.736,57.93,25.194,,4.042,18.194,7.2,5.925,4.7,194.886,6.261,36.114,231.0
2011-01-20,99.0,85.5,78.0,22.105,29.262,7.157,,2.976,6.746,9.6,7.704,5.1,189.154,4.478,21.166,210.318
2011-01-21,98.0,88.417,77.0,23.75,30.917,7.167,,3.153,11.25,9.3,7.783,7.0,190.979,4.708,23.166,214.146
2011-01-22,99.0,83.333,59.0,23.742,30.673,6.931,,4.444,16.208,11.5,7.675,4.2,195.976,5.833,26.716,222.692
2011-01-23,82.0,67.917,47.0,12.903,15.639,2.736,,4.042,5.458,9.9,7.171,3.8,191.812,3.25,12.438,204.25
2011-01-24,60.0,49.5,36.0,14.222,18.569,4.347,,3.653,7.041,5.7,3.579,2.2,190.811,2.792,11.057,201.868
2011-01-25,59.0,46.958,31.0,14.927,18.188,3.26,,5.693,15.876,5.5,2.954,0.9,192.364,4.0,10.303,202.666
2011-01-26,69.0,52.958,41.0,21.688,32.108,10.42,,4.444,9.139,4.9,2.454,0.0,195.017,4.625,17.197,212.214
2011-01-27,77.0,59.333,45.0,24.482,34.048,9.566,,7.808,25.37,7.6,4.037,1.0,196.214,6.0,19.578,215.792
2011-01-28,78.0,60.958,45.0,21.464,26.558,5.094,,6.667,23.083,7.7,4.529,2.4,195.333,5.25,17.125,212.458
2011-01-29,81.0,66.625,45.0,13.667,16.055,2.389,,3.847,7.375,5.7,3.108,1.2,193.458,4.083,11.845,205.303
