date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,5.396,25.519,33.602,8.084,21.833,199.625,74.0,59.625,52.0,15.625,,1.083,8.6,5.054,2.3,215.25
2011-01-02,4.312,17.438,23.333,5.896,15.646,196.25,85.0,63.292,37.0,11.417,,0.292,10.5,5.25,2.4,207.667
2011-01-03,3.16,12.204,15.038,2.834,3.417,190.792,57.0,43.958,30.0,6.917,,0.0,10.1,6.021,2.5,197.708
2011-01-04,4.354,22.812,32.625,9.812,10.688,195.417,70.0,53.833,42.0,10.917,,1.045,10.0,5.008,1.7,206.333
2011-01-05,3.583,21.083,32.979,11.896,4.312,192.864,55.0,41.417,29.0,7.227,,0.667,9.0,5.192,0.1,200.091
2011-01-06,5.02,34.271,56.458,22.188,13.396,199.125,76.0,53.25,39.0,14.542,,1.875,8.3,5.196,2.5,213.667
2011-01-07,3.438,20.592,31.002,10.409,6.69,194.81,74.0,44.739,21.0,9.619,,0.565,8.4,4.717,1.2,204.429
2011-01-08,3.375,15.584,18.834,3.25,5.834,194.083,44.0,33.708,23.0,7.583,,0.583,9.2,5.446,2.0,201.667
2011-01-09,4.779,29.334,43.479,14.146,19.062,198.75,79.0,52.042,38.0,14.625,,1.583,9.3,5.308,1.8,213.375
2011-01-10,4.625,31.63,54.546,22.916,18.48,197.917,78.0,58.5,35.0,14.333,,1.591,9.6,5.775,0.6,212.25
2011-01-11,3.979,27.25,47.312,20.062,17.73,193.955,93.0,61.875,41.0,15.591,,1.375,9.9,5.062,1.5,209.545
2011-01-12,3.562,25.167,41.896,16.729,8.125,195.0,59.0,39.917,29.0,14.625,,0.792,6.3,3.125,0.3,209.625
2011-01-13,6.271,43.546,96.912,53.366,18.375,206.375,78.0,55.042,39.0,30.292,,2.583,9.2,4.375,-0.7,236.667
2011-01-14,4.958,30.833,59.625,28.792,10.25,199.083,71.0,47.833,35.0,17.875,,1.042,7.6,4.246,0.5,216.958
2011-01-15,5.655,32.271,53.146,20.875,15.583,206.958,64.0,53.583,45.0,23.208,,1.75,5.4,3.479,0.2,230.167
2011-01-16,4.496,36.02,61.271,25.25,19.562,198.25,61.0,53.458,48.0,16.375,,0.909,4.6,3.475,1.7,214.625
2011-01-17,3.463,25.908,41.134,15.228,11.017,192.773,79.0,55.167,42.0,7.955,,0.667,7.4,4.1,1.7,200.727
2011-01-18,6.761,48.984,105.769,56.784,29.77,202.875,80.0,65.042,47.0,26.458,,1.875,8.9,4.333,-0.1,229.333
2011-01-19,5.146,31.032,61.962,30.93,27.292,196.792,72.0,65.75,57.0,17.75,,1.875,10.1,5.546,1.1,214.542
