date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean,CO_mean
2011-01-01,10.042,12.021,1.979,8.667,0.139,5.729,197.458,9.25,206.708,3.083
2011-01-02,5.104,6.073,0.969,5.625,0.056,3.781,195.083,6.417,201.5,2.375
2011-01-03,9.323,10.896,1.573,6.25,0.181,5.25,195.417,9.417,204.833,2.958
2011-01-04,8.979,10.99,2.01,14.625,0.565,10.896,197.083,9.167,206.25,4.042
2011-01-05,12.458,16.105,3.646,6.458,0.25,4.458,197.5,7.917,205.417,4.167
2011-01-06,16.152,21.435,5.283,9.667,0.203,6.312,196.227,9.545,205.773,4.417
2011-01-07,7.562,9.594,2.031,4.5,0.236,2.979,194.542,6.5,201.042,2.792
2011-01-08,9.402,11.63,2.228,5.125,0.116,4.365,195.391,8.304,203.696,2.783
2011-01-09,13.062,15.802,2.74,9.625,0.389,10.344,197.75,13.417,211.167,3.667
2011-01-10,19.531,29.781,10.25,17.833,0.653,15.51,198.042,19.042,217.083,6.0
2011-01-11,12.684,20.233,7.55,13.75,0.542,10.837,197.333,16.708,214.042,4.208
2011-01-12,12.364,15.896,3.532,7.412,0.531,3.99,196.708,11.458,208.167,3.708
2011-01-13,15.146,20.136,4.99,10.875,0.528,8.281,196.542,14.708,211.25,4.208
2011-01-14,10.969,14.604,3.635,11.417,0.486,10.438,198.833,13.667,212.5,4.5
2011-01-15,11.125,14.354,3.229,10.833,0.292,10.052,198.208,15.167,213.375,3.875
2011-01-16,17.935,25.076,7.141,12.833,1.333,11.552,197.739,14.783,212.522,4.957
2011-01-17,16.448,22.833,6.385,11.792,0.875,9.656,197.875,13.75,211.625,4.375
2011-01-18,19.326,26.62,7.293,14.636,0.855,11.094,197.875,19.583,217.458,4.5
2011-01-19,20.771,28.114,7.344,17.167,0.792,14.375,196.958,19.083,216.042,4.875
2011-01-20,17.646,22.948,5.302,7.458,0.056,7.104,196.375,15.0,211.375,4.375
2011-01-21,16.01,19.666,3.656,6.625,0.0,6.125,196.708,20.042,216.75,3.625
2011-01-22,10.177,12.615,2.438,4.708,0.181,3.667,195.875,13.833,209.708,3.208
2011-01-23,11.365,17.302,5.938,4.917,0.403,4.573,197.125,14.875,212.0,3.875
2011-01-24,9.902,13.326,3.424,4.833,0.42,2.771,196.348,11.435,207.783,3.391
2011-01-25,9.823,12.886,3.062,9.25,0.694,8.229,196.292,7.708,204.0,3.5
2011-01-26,10.688,14.99,4.302,5.0,0.32,5.573,197.708,7.417,205.125,6.75
2011-01-27,11.812,14.792,2.979,12.25,0.562,9.719,198.864,9.045,207.909,5.292
2011-01-28,12.594,15.562,2.968,13.917,0.722,12.167,201.667,9.917,211.583,4.0
2011-01-29,7.167,8.74,1.573,7.875,0.347,4.5,202.292,9.458,211.75,3.042
2011-01-30,14.125,21.938,7.812,9.208,0.417,6.375,203.042,13.125,216.167,4.208
2011-01-31,15.864,20.917,5.052,8.125,0.403,5.385,201.696,11.174,212.87,4.167
2011-02-01,11.8,16.26,4.46,6.792,0.486,7.418,201.7,12.3,214.0,3.913
2011-02-02,9.823,12.125,2.302,6.625,0.333,4.094,200.75,17.708,218.458,3.458
