date,PM25_mean,SO2_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean
2011-01-01,7.625,0.458,6.525,17.472,27.695,10.278
2011-01-02,6.333,0.125,4.442,12.0,20.111,8.125
2011-01-03,4.667,0.097,3.367,7.972,12.014,4.083
2011-01-04,6.042,0.57,4.6,13.414,19.54,6.127
2011-01-05,6.625,0.639,4.65,9.625,15.069,5.417
2011-01-06,9.174,0.842,6.617,15.335,25.031,9.737
2011-01-07,10.083,0.833,7.783,23.014,43.556,20.708
2011-01-08,8.5,0.236,6.817,20.319,31.93,11.722
2011-01-09,12.458,0.456,8.142,20.158,38.291,18.26
2011-01-10,7.75,0.694,6.933,17.084,28.833,11.778
2011-01-11,4.542,0.611,4.044,15.931,24.681,8.722
2011-01-12,8.833,0.723,6.293,25.028,45.597,20.653
2011-01-13,14.708,1.208,13.0,20.431,36.055,15.639
2011-01-14,6.5,0.458,5.867,11.236,18.347,7.208
2011-01-15,8.625,0.32,6.066,9.25,13.68,4.486
2011-01-16,13.0,0.875,9.533,22.0,41.319,19.403
2011-01-17,12.458,0.972,7.225,22.986,39.945,17.042
2011-01-18,16.042,0.972,9.042,30.748,60.782,30.006
2011-01-19,14.87,0.512,9.15,32.653,68.847,36.25
2011-01-20,13.125,0.823,6.458,17.287,30.513,13.353
2011-01-21,7.042,0.111,5.667,5.694,8.972,3.292
2011-01-22,5.417,0.042,4.408,7.194,10.528,3.347
2011-01-23,11.917,0.453,7.333,10.349,16.288,5.855
2011-01-24,11.25,0.68,7.317,13.083,21.653,8.569
2011-01-25,12.208,0.458,8.6,20.431,34.514,14.042
2011-01-26,13.25,0.542,7.417,20.347,34.653,14.403
2011-01-27,12.167,0.458,6.8,20.514,31.542,11.097
2011-01-28,14.542,0.694,7.55,25.278,45.681,20.472
2011-01-29,11.792,0.528,5.817,22.583,38.0,15.5
2011-01-30,14.458,1.208,7.833,21.944,49.083,27.18
2011-01-31,10.042,0.85,7.002,12.972,22.153,9.167
