date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean,CO_mean
2011-01-01,11.3552,15.771799999999999,4.4168,6.708,2.10975,8.216800000000001,193.66649999999998,11.9375,205.60399999999998,5.208
2011-01-02,11.875200000000001,18.0834,6.2084,3.583,2.021,5.8915999999999995,191.0,16.15,207.15,7.083
2011-01-03,5.75,8.7918,3.0416,0.667,2.979,2.2414,188.708,9.417,198.125,4.583
2011-01-04,7.228,10.9886,3.7606,3.042,2.09375,3.725,188.417,8.0,196.417,4.625
2011-01-05,5.3,8.4084,3.1082,2.125,2.107,2.8166,189.455,9.364,198.818,4.167
2011-01-06,5.676,8.3176,2.6416,4.455,1.961,4.3202,191.361,10.623000000000001,201.98399999999998,3.708
2011-01-07,11.087,19.4712,8.384,3.0,2.54175,5.7418,191.29399999999998,13.219999999999999,204.5145,5.167
2011-01-08,5.1462,6.772,1.6258,3.0,1.98975,3.5168,190.4375,11.1455,201.58350000000002,3.478
2011-01-09,7.809,10.8312,3.022,3.042,1.8692499999999999,3.5914,190.326,10.565,200.8915,4.042
2011-01-10,10.475,14.3834,3.9082,4.458,2.1875,4.45,189.875,11.2705,201.14600000000002,4.25
2011-01-11,9.2932,14.8358,5.5428,3.167,1.9460000000000002,4.1312,191.82600000000002,13.239,205.0655,5.292
2011-01-12,9.3414,13.3676,4.025799999999999,4.875,1.6105,2.3858,191.95600000000002,12.424,204.3795,3.917
2011-01-13,10.280000000000001,17.278,6.997800000000001,5.333,1.71475,7.2581999999999995,191.90699999999998,13.157,205.063,5.75
2011-01-14,7.8835999999999995,13.0024,5.118599999999999,3.167,1.5415,5.1166,194.363,17.3835,211.7465,9.083
2011-01-15,5.7424,9.5204,3.778,2.458,1.8645,4.325,192.5265,11.0715,203.598,4.417
2011-01-16,11.448,19.7738,8.326,8.174,2.1665,7.4075999999999995,194.333,13.75,208.08350000000002,6.739
2011-01-17,15.3506,25.3016,9.950399999999998,4.958,1.9985,6.4582,192.3475,13.8915,206.2395,6.5
2011-01-18,18.890800000000002,30.069200000000002,11.1788,6.25,2.0105,7.2,191.95600000000002,16.329,208.285,6.833
2011-01-19,17.8166,30.9334,13.116800000000001,6.292,2.2035,9.9084,192.017,17.9015,209.9185,7.75
2011-01-20,13.162799999999999,20.4478,7.2848,7.958,2.06275,7.2918,192.5,12.125,204.625,5.083
2011-01-21,12.675,18.6416,5.9666,5.25,1.76775,5.933400000000001,191.887,14.7205,206.607,6.75
2011-01-22,14.8916,25.8834,10.991800000000001,4.292,1.5625,10.1918,192.426,19.041,211.4665,8.125
2011-01-23,11.172,19.1378,7.965999999999999,4.667,2.375,7.816599999999999,190.712,11.2635,201.9755,5.375
2011-01-24,8.211400000000001,12.3612,4.1498,5.217,1.7135,5.6084000000000005,189.873,11.445,201.31799999999998,4.652
2011-01-25,10.719199999999999,15.8744,5.154999999999999,7.25,1.931,6.7326,192.4565,11.913,204.36950000000002,4.739
2011-01-26,10.8,16.8916,6.0916,5.833,2.1895,6.183400000000001,192.6455,11.8125,204.45850000000002,5.25
2011-01-27,9.9,15.624799999999999,5.725,5.167,1.85425,6.0252,193.6695,11.527000000000001,205.19650000000001,5.375
2011-01-28,11.5334,18.232400000000002,6.6992,5.375,1.7602499999999999,7.566599999999999,195.2585,13.3875,208.64600000000002,6.542
2011-01-29,6.253,8.2652,2.0124,3.75,1.72475,3.8665999999999996,193.91649999999998,13.875,207.79149999999998,3.75
2011-01-30,11.6332,18.0166,6.3834,5.083,1.89575,5.1084000000000005,194.917,11.125,206.042,5.75
2011-01-31,8.155199999999999,12.1978,4.0424,6.042,1.9849999999999999,6.6666,192.8375,10.9025,203.74,4.167
2011-02-01,12.118,17.5506,5.4326,8.0,2.08025,4.925,192.9375,11.5625,204.5,4.957
2011-02-02,12.6752,20.5134,7.8386,2.417,2.468,4.225199999999999,191.989,12.2635,204.2525,5.125
2011-02-03,16.2666,26.9914,10.725,5.375,2.177,6.4918000000000005,193.583,15.0415,208.625,5.208
2011-02-04,11.1766,19.276600000000002,8.1,7.292,2.45825,9.2584,193.187,14.214500000000001,207.4015,9.5
2011-02-05,7.6286000000000005,10.2098,2.5808,4.583,2.177,6.608199999999999,192.79149999999998,10.75,203.54149999999998,4.458
2011-02-06,16.666800000000002,26.8584,10.1916,9.75,2.734,12.8666,193.52100000000002,17.479,211.0,7.917
2011-02-07,16.325,26.6216,10.2966,11.304,3.11575,15.607999999999999,194.5325,18.643,213.175,9.042
2011-02-08,6.6122,11.200199999999999,4.5878,5.583,2.54325,7.526400000000001,193.659,9.375,203.034,5.125
2011-02-09,8.6396,13.7964,5.1568,3.667,2.449,4.15,195.27100000000002,10.104,205.375,5.478
2011-02-10,13.370600000000001,21.4922,8.122,6.5,2.5795,6.6666,194.23899999999998,13.1085,207.348,5.792
2011-02-11,8.05,14.625,6.575200000000001,4.792,2.28125,7.2918,194.36950000000002,14.1035,208.473,7.292
2011-02-12,5.1166,7.175,2.0584,5.208,2.17725,5.9084,193.47899999999998,8.7915,202.2705,3.625
2011-02-13,10.353,14.0074,3.6544,5.292,2.354,5.8748000000000005,192.625,8.958,201.58350000000002,4.458
2011-02-14,14.156799999999999,18.9768,4.82,9.75,2.7195,8.7636,190.553,8.405999999999999,198.95850000000002,4.625
2011-02-15,10.9416,17.142000000000003,6.2,9.875,3.30225,13.841800000000001,190.6455,7.7295,198.375,5.333
