date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean
2011-01-01,8.896,10.562,1.666,7.417,1.167
2011-01-02,5.312,6.98,1.666,12.167,1.75
2011-01-03,5.396,6.646,1.25,1.958,1.0
2011-01-04,5.604,6.708,1.104,22.833,3.083
2011-01-05,9.141,11.293,2.152,6.667,1.0
2011-01-06,15.708,20.625,4.916,13.875,1.125
2011-01-07,15.395,19.604,4.208,8.417,1.167
2011-01-08,13.625,15.895,2.271,7.958,1.25
2011-01-09,16.104,20.729,4.625,9.875,1.958
2011-01-10,20.604,27.02,6.416,21.167,2.042
2011-01-11,9.375,11.916,2.542,15.75,2.208
2011-01-12,19.841,26.454,6.614,10.25,3.571
2011-01-13,13.438,17.417,3.979,10.625,1.75
2011-01-14,8.875,10.062,1.188,14.417,2.458
2011-01-15,11.479,13.02,1.542,12.083,1.583
2011-01-16,17.75,21.208,3.458,14.375,1.917
2011-01-17,16.979,22.021,5.042,14.682,1.042
2011-01-18,24.354,39.042,14.688,26.25,2.125
2011-01-19,18.932,29.772,10.841,12.125,1.81
2011-01-20,9.334,12.104,2.771,4.083,1.0
2011-01-21,11.438,13.708,2.271,7.583,1.0
2011-01-22,12.146,16.334,4.188,9.25,1.0
2011-01-23,12.756,21.278,8.522,10.292,1.13
2011-01-24,14.792,22.083,7.292,10.75,1.167
2011-01-25,8.708,10.062,1.354,7.167,1.417
2011-01-26,14.204,17.318,3.114,10.083,1.762
2011-01-27,9.729,11.02,1.292,14.167,2.25
2011-01-28,11.125,12.458,1.334,15.958,2.583
2011-01-29,9.584,11.354,1.771,10.75,1.333
2011-01-30,12.792,15.584,2.792,9.833,1.417
2011-01-31,13.542,15.562,2.021,8.292,1.417
2011-02-01,18.312,32.188,13.875,17.417,3.292
2011-02-02,9.756,11.087,1.331,8.875,1.792
2011-02-03,13.396,16.604,3.208,9.958,1.167
2011-02-04,6.584,7.896,1.312,12.833,1.958
2011-02-05,10.104,11.688,1.584,15.292,2.792
2011-02-06,25.229,39.708,14.48,25.708,3.125
2011-02-07,12.583,19.77,7.188,12.25,1.167
2011-02-08,5.396,7.958,2.562,8.75,1.208
2011-02-09,7.276,8.517,1.24,5.625,1.042
2011-02-10,9.688,12.416,2.73,7.292,1.0
2011-02-11,6.958,8.604,1.646,6.042,1.0
2011-02-12,7.021,8.729,1.708,8.875,1.208
2011-02-13,20.875,27.98,7.104,18.917,2.333
2011-02-14,31.312,42.375,11.062,26.167,1.833
2011-02-15,25.548,39.076,13.528,18.957,1.958
2011-02-16,19.712,28.416,8.704,21.292,1.917
2011-02-17,7.875,9.354,1.479,7.958,1.25
2011-02-18,8.312,11.0,2.688,4.792,1.167
2011-02-19,10.584,12.312,1.729,4.0,1.75
2011-02-20,17.375,19.834,2.458,13.375,1.875
2011-02-21,18.812,23.48,4.666,15.042,1.417
2011-02-22,16.208,18.958,2.75,25.5,2.625
2011-02-23,16.878,22.092,5.214,12.292,1.0
2011-02-24,19.854,26.625,6.77,25.75,3.167
2011-02-25,15.042,18.125,3.083,22.333,1.875
2011-02-26,9.604,10.771,1.167,14.875,1.125
2011-02-27,11.417,15.084,3.666,14.583,1.417
2011-02-28,15.854,17.75,1.896,12.25,1.667
2011-03-01,22.982,37.306,14.324,13.042,1.857
2011-03-02,27.854,42.188,14.334,14.042,2.042
2011-03-03,13.208,15.521,2.312,11.542,1.208
2011-03-04,8.416,10.042,1.625,23.958,1.625
2011-03-05,19.188,24.708,5.521,8.542,1.083
2011-03-06,18.521,28.438,9.916,15.958,1.167
2011-03-07,14.375,19.542,5.166,22.708,1.667
2011-03-08,16.886,20.546,3.66,21.625,1.238
2011-03-09,13.771,16.0,2.229,15.208,1.083
2011-03-10,10.896,12.688,1.792,3.042,1.0
2011-03-11,7.584,9.812,2.229,7.542,1.417
2011-03-12,5.354,7.792,2.438,9.917,1.0
2011-03-13,9.5,12.521,3.021,10.875,1.0
2011-03-14,13.48,16.084,2.604,14.333,1.25
2011-03-15,19.546,24.296,4.75,22.292,2.571
2011-03-16,22.159,27.0,4.841,15.478,2.739
2011-03-17,26.52,31.062,4.542,21.375,1.083
2011-03-18,14.834,18.062,3.23,13.042,1.0
2011-03-19,7.729,10.0,2.271,9.417,1.0
2011-03-20,8.208,10.25,2.042,10.125,1.042
2011-03-21,11.166,13.062,1.896,8.125,1.042
2011-03-22,12.5,16.023,3.522,11.458,1.476
2011-03-23,21.226,24.43,3.204,14.542,1.292
2011-03-24,9.27,12.688,3.416,5.167,1.0
2011-03-25,4.416,6.396,1.98,8.583,1.0
2011-03-26,7.334,10.042,2.708,11.833,1.083
2011-03-27,13.75,16.938,3.188,15.833,1.375
2011-03-28,17.703,22.587,4.884,24.875,2.667
2011-03-29,17.939,21.746,3.807,17.5,1.905
2011-03-30,19.703,25.61,5.908,15.167,1.625
2011-03-31,4.438,8.479,4.042,14.292,1.0
2011-04-01,20.854,22.833,1.979,18.375,1.917
2011-04-02,15.354,17.188,1.833,23.625,1.917
2011-04-03,8.708,9.708,1.0,18.625,1.375
2011-04-04,15.068,17.212,2.145,17.167,1.333
2011-04-05,18.542,22.479,3.938,12.417,1.708
2011-04-06,23.417,29.479,6.062,19.75,1.792
2011-04-07,22.72,31.337,8.617,16.458,1.286
2011-04-08,22.062,28.438,6.375,15.292,1.083
2011-04-09,11.125,13.958,2.833,16.25,1.0
2011-04-10,8.77,11.062,2.292,15.625,1.083
2011-04-11,14.021,17.083,3.062,32.25,2.042
2011-04-12,12.75,14.625,1.875,21.125,1.042
2011-04-13,18.77,23.104,4.333,23.667,1.708
2011-04-14,24.284,30.254,5.97,27.167,2.238
2011-04-15,21.021,25.792,4.771,28.304,2.333
2011-04-16,10.708,13.98,3.27,32.167,1.0
2011-04-17,5.062,6.916,1.854,13.083,1.0
2011-04-18,7.104,9.312,2.208,15.875,1.125
2011-04-19,6.854,8.375,1.52,12.042,1.0
2011-04-20,11.0,12.854,1.854,9.542,1.417
2011-04-21,14.895,19.004,4.11,17.917,2.571
2011-04-22,19.584,23.812,4.229,19.833,1.708
2011-04-23,8.229,10.084,1.854,16.292,1.0
2011-04-24,7.042,8.5,1.458,11.542,1.0
2011-04-25,14.98,16.896,1.917,16.333,1.042
2011-04-26,19.875,26.666,6.792,22.0,1.625
2011-04-27,6.271,9.208,2.938,41.5,1.0
2011-04-28,9.138,10.258,1.119,15.958,1.143
2011-04-29,9.896,11.02,1.125,9.875,1.042
2011-04-30,14.896,16.521,1.625,19.375,1.75
2011-05-01,12.23,13.271,1.042,17.417,1.083
2011-05-02,15.334,18.084,2.75,69.833,1.042
2011-05-03,16.916,18.416,1.5,63.667,2.167
2011-05-04,10.084,11.479,1.396,43.708,1.458
2011-05-05,13.169,15.706,2.538,36.917,1.571
2011-05-06,15.645,18.084,2.438,30.792,1.375
2011-05-07,12.27,14.542,2.27,15.208,1.083
2011-05-08,8.334,11.875,3.542,18.458,1.75
2011-05-09,18.792,24.208,5.417,34.958,2.833
2011-05-10,13.208,18.271,5.062,31.958,1.917
2011-05-11,18.916,23.25,4.334,11.208,0.792
2011-05-12,24.768,30.716,5.949,12.708,0.19
2011-05-13,9.146,12.354,3.208,30.375,0.708
2011-05-14,7.625,10.396,2.771,25.375,1.125
2011-05-15,9.438,11.604,2.166,20.5,1.292
2011-05-16,22.25,27.771,5.52,28.167,1.5
2011-05-17,18.834,21.229,2.396,27.333,1.167
2011-05-18,21.875,26.938,5.062,28.25,1.5
2011-05-19,16.284,18.892,2.609,33.667,1.905
2011-05-20,15.438,20.125,4.688,36.292,1.292
2011-05-21,11.396,15.584,4.188,21.917,1.25
2011-05-22,6.688,9.792,3.104,15.417,0.833
2011-05-23,11.48,14.062,2.584,8.875,0.667
2011-05-24,11.875,13.188,1.312,5.75,0.375
2011-05-25,21.5,25.75,4.25,15.792,1.292
2011-05-26,18.766,23.024,4.258,19.0,1.571
2011-05-27,13.792,16.312,2.52,12.143,1.0
2011-05-28,15.292,19.333,4.042,13.0,0.542
2011-05-29,9.104,14.104,5.0,20.0,0.25
2011-05-30,9.896,13.271,3.375,43.958,0.875
2011-05-31,13.708,16.875,3.166,13.958,1.042
2011-06-01,14.646,16.98,2.333,27.0,1.167
2011-06-02,20.145,23.6,3.454,22.0,1.0
2011-06-03,18.417,26.708,8.292,26.667,1.208
2011-06-04,13.292,21.25,7.958,33.083,1.167
2011-06-05,9.562,13.542,3.979,31.292,1.292
2011-06-06,15.854,22.292,6.438,31.083,1.417
2011-06-07,20.833,27.48,6.646,27.625,1.5
2011-06-08,10.5,14.48,3.979,14.417,1.083
2011-06-09,11.904,13.23,1.326,24.125,3.524
2011-06-10,16.167,20.979,4.812,24.792,2.083
2011-06-11,8.104,10.208,2.104,27.333,1.0
2011-06-12,12.417,15.812,3.396,27.292,2.0
2011-06-13,16.396,19.396,3.0,16.417,1.042
2011-06-14,16.604,25.396,8.792,29.125,1.458
2011-06-15,13.771,16.458,2.688,21.708,1.542
2011-06-16,17.746,21.595,3.848,16.333,1.286
2011-06-17,14.166,15.667,1.5,8.875,1.042
2011-06-18,12.834,14.27,1.438,16.917,1.375
2011-06-19,9.312,10.521,1.208,12.458,1.25
2011-06-20,17.438,19.666,2.23,19.667,1.083
2011-06-21,13.355,15.526,2.171,15.0,1.042
2011-06-22,16.105,21.583,5.48,29.792,2.625
2011-06-23,7.978,11.308,3.33,26.208,1.095
2011-06-24,5.979,8.188,2.208,26.417,1.0
2011-06-25,7.625,10.584,2.958,24.5,1.542
2011-06-26,7.188,8.584,1.396,27.75,1.5
2011-06-27,5.146,7.75,2.604,19.708,1.208
2011-06-28,7.958,10.562,2.604,23.708,1.375
2011-06-29,17.312,26.375,9.062,36.0,2.292
2011-06-30,21.966,28.522,6.556,44.208,2.81
2011-07-01,17.438,24.042,6.604,32.583,2.042
2011-07-02,11.75,16.834,5.083,24.917,1.375
2011-07-03,10.802,12.954,2.152,35.958,2.0
2011-07-04,6.438,7.73,1.292,42.833,1.333
2011-07-05,13.188,15.042,1.854,18.87,1.0
2011-07-06,17.417,24.354,6.938,34.792,1.917
2011-07-07,12.604,17.377,4.774,15.75,1.0
2011-07-08,8.98,13.146,4.166,18.042,1.0
2011-07-09,10.938,22.875,11.938,20.542,1.417
2011-07-10,7.27,14.042,6.77,16.0,1.125
2011-07-11,9.208,21.0,11.792,13.208,1.292
2011-07-12,8.887,22.012,13.125,13.042,1.286
2011-07-13,8.208,19.104,10.896,11.958,1.25
2011-07-14,9.772,17.784,8.01,13.375,1.19
2011-07-15,10.854,21.0,10.146,19.625,1.25
2011-07-16,8.375,11.167,2.792,17.625,1.75
2011-07-17,5.812,9.042,3.229,17.708,1.125
2011-07-18,4.979,9.896,4.916,27.458,1.083
2011-07-19,3.188,7.188,4.0,47.125,1.083
2011-07-20,4.0,6.521,2.52,42.542,1.0
2011-07-21,4.54,6.186,1.646,11.875,1.0
2011-07-22,10.562,12.666,2.104,15.458,1.0
2011-07-23,15.271,18.167,2.896,26.375,1.625
2011-07-24,12.375,13.833,1.458,30.667,2.167
2011-07-25,12.083,16.584,4.5,21.167,1.375
2011-07-26,16.104,26.167,10.062,23.208,1.167
2011-07-27,13.334,17.98,4.646,15.833,1.083
2011-07-28,18.872,33.92,15.048,25.167,1.333
2011-07-29,18.916,33.375,14.458,32.458,1.792
2011-07-30,16.271,22.042,5.77,34.833,1.542
2011-07-31,8.479,10.375,1.896,16.958,1.0
2011-08-01,7.854,10.604,2.75,25.958,1.042
