date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,15.812,20.708,4.896,19.375,2.417,23.188,191.042,14.125,205.167
2011-01-02,9.146,10.458,1.312,13.5,1.5,17.417,187.667,8.583,196.25
2011-01-03,12.646,15.958,3.312,28.917,4.375,33.188,190.708,11.083,201.792
2011-01-04,14.762,20.722,5.96,25.217,2.571,27.312,189.958,11.25,201.208
2011-01-05,26.384,43.574,17.19,19.167,1.333,21.708,190.958,19.958,210.917
2011-01-06,28.269,46.908,18.638,14.125,1.208,17.875,188.826,18.435,207.261
2011-01-07,16.896,25.417,8.52,6.208,1.083,10.583,188.333,12.5,200.833
2011-01-08,16.875,22.667,5.792,8.083,1.25,11.708,189.0,12.625,201.625
2011-01-09,23.46,32.057,8.596,30.75,4.333,33.604,192.583,17.208,209.792
2011-01-10,26.294,39.581,13.288,41.583,4.042,46.042,192.545,18.591,211.136
2011-01-11,22.625,39.042,16.416,22.625,1.87,26.625,191.391,14.652,206.043
2011-01-12,24.318,43.805,19.487,9.125,1.75,11.958,191.792,16.583,208.375
2011-01-13,25.05,43.448,18.398,25.875,3.25,29.208,190.75,16.875,207.625
2011-01-14,24.0,37.146,13.146,33.25,2.75,37.917,191.75,17.833,209.583
2011-01-15,15.812,20.062,4.25,14.208,1.625,17.354,189.167,11.667,200.833
2011-01-16,15.66,22.206,6.544,10.792,1.0,15.146,187.75,11.417,199.167
2011-01-17,24.106,40.602,16.495,7.182,0.826,12.381,188.409,14.909,203.318
2011-01-18,29.0,55.27,26.271,13.833,2.125,19.104,189.435,24.87,214.304
2011-01-19,20.09,27.115,7.024,9.042,0.87,10.25,185.167,12.417,197.583
2011-01-20,11.97,16.953,4.983,3.333,0.417,5.77,182.875,9.125,192.0
2011-01-21,14.75,19.416,4.666,5.875,0.417,9.5,183.292,10.708,194.0
2011-01-22,9.667,13.146,3.479,5.792,0.5,7.896,184.958,9.625,194.583
2011-01-23,14.605,24.5,9.896,8.833,0.708,12.167,186.667,10.292,196.958
2011-01-24,16.917,28.438,11.521,9.542,1.0,12.271,188.25,10.792,199.042
2011-01-25,19.376,30.124,10.746,14.417,1.333,17.812,189.609,14.217,203.826
2011-01-26,20.229,34.45,14.222,12.333,1.261,13.25,190.458,12.792,203.25
2011-01-27,25.802,37.81,12.008,29.042,2.417,30.834,190.917,14.333,205.25
2011-01-28,18.588,25.698,7.11,30.167,2.042,34.25,189.917,12.75,202.667
2011-01-29,17.354,22.271,4.916,10.583,1.042,13.438,189.667,11.875,201.542
2011-01-30,17.356,25.0,7.644,11.0,1.083,13.98,188.167,11.167,199.333
2011-01-31,28.052,45.301,17.248,14.167,2.435,18.142,190.0,17.25,207.25
2011-02-01,22.958,37.666,14.708,20.0,2.542,23.542,190.261,12.957,203.217
2011-02-02,14.625,24.555,9.93,6.333,0.739,6.833,188.667,8.875,197.542
2011-02-03,20.49,35.039,14.549,10.833,1.0,12.042,190.375,14.25,204.625
2011-02-04,22.958,35.666,12.708,21.458,2.708,24.938,190.333,14.5,204.833
2011-02-05,20.458,26.021,5.562,36.583,2.208,39.396,192.375,14.583,206.958
2011-02-06,22.92,38.268,15.348,40.478,2.091,43.811,190.727,15.773,206.5
2011-02-07,22.958,35.25,12.292,12.875,0.958,16.521,188.208,14.25,202.458
2011-02-08,13.229,23.167,9.938,6.042,0.708,9.271,187.0,8.652,195.652
2011-02-09,22.68,35.413,12.733,10.667,1.13,13.146,188.917,14.583,203.5
2011-02-10,21.974,31.275,9.3,9.667,1.333,12.428,187.917,13.333,201.25
2011-02-11,16.375,21.896,5.52,6.708,0.833,11.542,188.0,11.083,199.083
2011-02-12,19.625,25.458,5.833,11.417,1.417,15.333,189.708,13.167,202.875
2011-02-13,23.336,32.406,9.07,13.625,1.0,16.438,189.458,13.208,202.667
2011-02-14,26.146,42.75,16.604,7.208,0.458,11.5,188.75,15.917,204.667
2011-02-15,21.25,35.062,13.812,10.667,0.667,13.083,189.043,13.87,202.913
2011-02-16,17.806,26.373,8.567,11.042,0.87,15.02,187.667,10.833,198.5
2011-02-17,20.434,32.191,11.757,8.875,0.833,12.312,188.667,12.583,201.25
2011-02-18,13.815,20.044,6.228,9.667,0.833,12.938,190.083,10.083,200.167
2011-02-19,11.542,14.812,3.27,8.292,0.708,10.708,189.042,8.708,197.75
2011-02-20,22.938,32.986,10.048,11.458,1.083,13.12,189.417,10.083,199.5
2011-02-21,33.12,48.159,15.04,21.083,2.208,22.604,192.111,17.556,209.667
2011-02-22,23.246,30.908,7.662,21.417,1.208,24.479,188.609,13.435,202.043
2011-02-23,20.604,35.562,14.958,19.042,1.087,22.75,189.125,15.917,205.042
2011-02-24,21.778,27.985,6.208,32.25,2.667,38.792,190.375,14.917,205.292
2011-02-25,22.579,30.888,8.308,28.542,2.0,32.5,189.625,15.5,205.125
2011-02-26,7.816,8.958,1.142,7.708,0.083,9.729,187.333,7.625,194.958
2011-02-27,19.788,29.487,9.699,12.625,1.042,14.938,189.583,13.042,202.625
2011-02-28,17.708,23.875,6.166,12.333,1.625,15.916,189.458,12.0,201.458
2011-03-01,31.608,58.567,26.958,22.25,2.0,27.688,189.5,29.417,218.917
2011-03-02,30.642,75.342,44.701,21.542,1.708,22.434,189.292,25.333,214.625
2011-03-03,11.875,16.458,4.584,15.958,0.5,17.458,185.625,9.667,195.292
2011-03-04,9.812,12.271,2.458,11.208,0.458,13.583,187.25,8.667,195.917
2011-03-05,27.068,52.091,25.022,7.208,0.739,11.188,190.318,19.955,210.273
2011-03-06,25.584,54.146,28.562,15.208,1.208,21.334,191.208,21.375,212.583
2011-03-07,29.729,44.48,14.75,37.458,1.542,43.979,193.826,21.565,215.391
2011-03-08,26.021,35.334,9.312,52.625,2.435,58.354,193.125,17.0,210.125
2011-03-09,24.163,33.972,9.809,30.75,1.542,34.896,190.833,15.417,206.25
2011-03-10,12.583,15.125,2.542,16.5,0.833,20.062,187.083,9.458,196.542
2011-03-11,12.458,15.396,2.938,17.042,1.583,19.312,188.208,9.208,197.417
2011-03-12,15.63,24.576,8.945,11.565,0.667,12.938,188.625,9.333,197.958
2011-03-13,22.334,30.916,8.584,13.542,0.958,17.084,188.75,12.958,201.708
2011-03-14,25.312,34.167,8.854,13.5,1.792,17.542,187.435,14.478,201.913
2011-03-15,25.542,39.27,13.729,27.5,2.13,30.062,188.542,15.583,204.125
2011-03-16,30.168,40.546,10.378,22.917,2.042,28.104,189.042,15.083,204.125
2011-03-17,34.396,53.792,19.396,21.417,1.375,27.5,188.833,25.792,214.625
2011-03-18,27.292,37.084,9.792,17.0,1.667,20.229,190.458,20.542,211.0
2011-03-19,11.954,16.226,4.272,8.905,0.5,9.916,185.958,10.0,195.958
2011-03-20,15.708,20.917,5.208,9.583,1.167,15.395,186.375,9.875,196.25
2011-03-21,23.208,33.25,10.042,14.208,1.375,20.777,188.261,14.261,202.522
2011-03-22,30.062,42.688,12.625,19.375,2.957,27.646,188.125,17.333,205.458
