date,HUM_max,HUM_mean,HUM_min,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2015-01-01,80.0,60.167,37.0,2.625,9.0,3.954,0.3
2015-01-02,82.0,64.75,43.0,4.292,14.1,6.292,-1.1
2015-01-03,93.0,74.708,45.0,9.417,15.1,8.004,2.1
2015-01-04,83.0,67.0,53.0,13.208,15.2,10.304,4.8
2015-01-05,85.0,66.208,50.0,5.208,10.4,7.067,3.6
2015-01-06,86.0,71.917,55.0,1.957,7.8,4.212,1.2
2015-01-07,78.0,59.333,40.0,1.5,8.1,5.129,-0.1
2015-01-08,82.0,67.125,46.0,2.5,9.9,4.088,-1.9
2015-01-09,76.0,60.292,40.0,1.792,8.4,4.329,2.0
2015-01-10,91.0,67.583,46.0,1.25,10.5,4.671,-0.5
2015-01-11,83.0,59.083,37.0,2.917,7.3,2.9,-0.4
2015-01-12,83.0,62.583,49.0,1.875,5.0,1.229,-3.6
2015-01-13,83.0,63.5,42.0,2.375,7.5,2.729,-3.8
2015-01-14,90.0,64.292,52.0,2.208,8.0,3.354,-1.3
2015-01-15,93.0,80.458,61.0,3.667,2.7,-0.004,-1.6
2015-01-16,84.0,67.458,50.0,4.208,6.1,1.346,-3.1
2015-01-17,94.0,63.208,40.0,6.333,8.0,2.675,-3.1
2015-01-18,98.0,89.042,69.0,3.833,6.5,3.929,0.2
2015-01-19,94.0,52.125,37.0,1.875,6.8,3.904,1.2
2015-01-20,66.0,51.917,37.0,2.5,6.9,3.021,-0.2
2015-01-21,91.0,65.375,42.0,0.417,7.0,1.683,-3.2
2015-01-22,78.0,57.875,41.0,2.667,6.7,1.662,-3.0
2015-01-23,96.0,69.0,52.0,3.542,3.5,0.742,-2.4
2015-01-24,96.0,76.125,52.0,2.167,3.3,-0.079,-3.2
2015-01-25,82.0,59.417,39.0,3.167,4.7,0.167,-4.2
2015-01-26,85.0,66.375,37.0,4.042,9.5,1.546,-4.6
2015-01-27,75.0,54.958,43.0,3.792,10.7,6.333,2.6
2015-01-28,79.0,59.958,39.0,11.042,12.8,7.142,2.4
2015-01-29,96.0,89.542,73.0,5.25,4.6,1.425,-1.0
2015-01-30,96.0,91.0,82.0,4.625,2.3,0.512,-0.9
2015-01-31,94.0,76.417,49.0,6.25,6.3,1.838,-2.4
2015-02-01,92.0,64.708,49.0,2.087,4.8,1.679,-0.3
2015-02-02,76.0,58.542,40.0,2.333,6.5,1.062,-3.6
2015-02-03,86.0,72.5,53.0,2.792,4.0,-0.175,-4.5
2015-02-04,83.0,64.792,43.0,4.167,8.6,2.483,-3.4
2015-02-05,86.0,65.958,45.0,7.958,8.4,4.162,-0.6
2015-02-06,95.0,82.083,67.0,6.25,3.3,1.908,0.0
2015-02-07,76.0,58.375,40.0,4.625,4.1,0.629,-1.9
2015-02-08,90.0,69.375,47.0,5.083,5.9,0.738,-4.3
2015-02-09,92.0,66.0,45.0,6.292,8.9,3.958,-1.4
2015-02-10,80.0,58.083,35.0,7.25,7.1,1.508,-2.4
2015-02-11,74.0,58.375,35.0,4.583,8.2,2.196,-2.5
2015-02-12,82.0,69.792,58.0,10.375,10.8,5.196,-2.8
2015-02-13,95.0,79.917,65.0,24.375,16.6,11.204,6.3
2015-02-14,97.0,78.25,59.0,7.833,21.7,15.046,9.8
2015-02-15,74.0,55.375,44.0,1.958,9.5,4.329,-2.3
2015-02-16,79.0,62.625,33.0,4.792,6.8,1.371,-4.5
2015-02-17,80.0,57.417,30.0,3.708,10.1,3.029,-2.2
2015-02-18,87.0,65.5,39.0,6.083,9.6,2.971,-4.8
2015-02-19,90.0,53.167,27.0,9.625,15.3,8.467,-0.6
2015-02-20,99.0,77.667,51.0,13.208,12.2,7.538,3.4
2015-02-21,99.0,63.667,44.0,2.958,11.6,7.612,3.9
2015-02-22,77.0,63.583,38.0,5.042,7.3,3.862,0.3
2015-02-23,95.0,82.167,66.0,6.625,10.2,5.358,2.5
2015-02-24,80.0,57.292,37.0,3.292,6.6,2.825,-1.3
2015-02-25,74.0,53.208,30.0,2.417,6.5,0.833,-3.3
2015-02-26,78.0,56.208,32.0,5.167,8.7,3.346,-0.6
2015-02-27,76.0,58.958,37.0,6.542,8.6,5.021,2.4
2015-02-28,75.0,66.708,54.0,7.375,6.5,5.075,3.8
2015-03-01,71.0,54.417,37.0,3.833,4.4,1.242,-2.5
2015-03-02,80.0,62.792,39.0,3.739,8.0,2.154,-4.2
2015-03-03,83.0,63.25,40.0,18.167,11.7,5.842,-0.5
2015-03-04,87.0,71.0,54.0,18.708,7.8,3.458,0.0
2015-03-05,90.0,79.0,63.0,14.708,8.1,4.762,0.3
2015-03-06,98.0,88.0,75.0,20.708,14.3,9.675,5.7
2015-03-07,99.0,91.833,81.0,18.833,16.9,13.571,9.9
2015-03-08,99.0,81.833,57.0,11.0,17.2,12.217,8.9
2015-03-09,96.0,85.75,59.0,10.125,12.0,4.246,0.6
2015-03-10,93.0,73.042,57.0,9.042,5.7,3.067,0.5
2015-03-11,90.0,75.208,52.0,9.083,4.5,1.821,-0.9
2015-03-12,83.0,68.5,51.0,4.708,5.3,2.6,-0.6
2015-03-13,90.0,69.458,55.0,4.5,8.0,5.092,1.4
2015-03-14,96.0,93.417,90.0,5.917,5.7,4.333,3.4
2015-03-15,90.0,54.583,34.0,10.333,10.0,5.854,2.2
2015-03-16,73.0,57.625,43.0,10.0,12.7,7.696,-0.2
2015-03-17,78.0,51.417,26.0,8.789,18.5,11.246,5.0
2015-03-18,88.0,66.458,46.0,14.292,19.0,12.271,3.4
2015-03-19,95.0,77.417,56.0,10.125,19.7,13.85,11.2
2015-03-20,68.0,53.083,40.0,21.125,14.1,9.65,4.1
2015-03-21,78.0,59.708,45.0,4.833,7.9,4.946,1.4
2015-03-22,78.0,53.292,36.0,9.708,14.3,8.979,5.1
2015-03-23,91.0,53.875,30.0,9.708,11.9,8.967,3.6
2015-03-24,93.0,71.333,55.0,5.25,7.1,4.283,1.0
2015-03-25,79.0,53.958,29.0,1.083,10.1,4.429,-1.2
2015-03-26,81.0,58.25,42.0,1.708,10.7,5.308,-0.7
2015-03-27,92.0,70.917,53.0,3.125,13.2,6.554,-0.6
2015-03-28,92.0,78.167,60.0,7.542,13.2,8.404,4.2
2015-03-29,82.0,65.458,38.0,10.042,12.8,8.508,3.2
2015-03-30,88.0,65.458,46.0,17.792,18.0,12.108,5.0
2015-03-31,81.0,56.417,30.0,19.208,17.4,10.358,3.6
2015-04-01,,,,34.542,,,
2015-04-02,,,,7.083,,,
2015-04-03,86.0,69.25,57.0,11.833,18.8,17.2,15.3
2015-04-04,80.0,69.167,49.0,7.708,13.4,9.142,6.6
2015-04-05,100.0,93.667,79.0,7.75,9.6,7.733,5.7
2015-04-06,100.0,85.542,69.0,8.125,16.2,11.425,7.1
2015-04-07,98.0,93.083,78.0,11.5,7.1,5.892,4.2
2015-04-08,96.0,76.167,55.0,8.833,3.8,2.013,-0.7
2015-04-09,85.0,69.542,51.0,5.708,6.6,3.971,0.4
2015-04-10,99.0,91.833,77.0,3.739,7.5,5.896,1.8
2015-04-11,99.0,96.708,91.0,2.583,9.7,8.121,4.8
2015-04-12,96.0,80.833,61.0,8.5,11.3,7.292,3.3
2015-04-13,100.0,88.292,72.0,8.083,11.2,7.154,2.7
2015-04-14,100.0,96.292,85.0,3.75,13.2,10.325,8.4
2015-04-15,100.0,85.125,67.0,3.375,18.3,11.8,7.0
2015-04-16,91.0,70.75,41.0,15.958,19.3,11.967,6.5
2015-04-17,89.0,67.5,51.0,24.333,16.0,11.062,5.9
2015-04-18,68.0,46.375,29.0,25.583,17.0,12.067,4.7
2015-04-19,90.0,60.417,46.0,20.375,17.6,12.121,6.9
2015-04-20,100.0,95.583,86.0,37.125,17.2,12.054,8.7
2015-04-21,98.0,70.875,42.0,6.583,16.9,13.317,7.2
2015-04-22,83.0,60.708,28.0,20.75,19.0,11.454,2.1
2015-04-23,95.0,78.417,58.0,25.458,17.0,11.654,7.2
2015-04-24,90.0,73.583,56.0,13.875,20.3,15.35,7.5
2015-04-25,83.0,55.667,29.0,21.958,17.0,12.204,5.1
2015-04-26,79.0,56.375,28.0,16.625,21.0,14.429,4.6
2015-04-27,83.0,58.75,38.0,27.583,26.6,18.804,9.0
2015-04-28,76.0,49.917,27.0,22.083,26.4,18.658,11.1
2015-04-29,94.0,72.833,55.0,19.25,20.5,15.162,9.3
2015-04-30,99.0,76.917,56.0,9.083,22.1,15.058,8.8
2015-05-01,96.0,75.167,55.0,8.083,22.9,15.975,9.1
2015-05-02,96.0,68.375,42.0,20.708,20.7,15.325,8.7
2015-05-03,95.0,78.917,61.0,9.667,21.8,15.892,7.6
2015-05-04,99.0,82.542,59.0,13.375,22.1,18.062,13.9
2015-05-05,89.0,58.792,35.0,11.375,17.9,13.092,5.9
2015-05-06,79.0,57.875,40.0,10.958,19.6,14.888,6.8
2015-05-07,92.0,69.5,45.0,17.25,21.8,15.242,10.5
2015-05-08,94.0,68.0,51.0,24.75,17.9,14.521,11.1
2015-05-09,97.0,74.292,49.0,22.333,16.5,13.467,10.0
2015-05-10,97.0,53.333,32.0,11.0,20.0,14.275,6.3
2015-05-11,79.0,49.083,28.0,6.217,21.0,14.392,5.3
2015-05-12,99.0,71.083,50.0,21.042,22.2,17.012,12.5
2015-05-13,99.0,62.958,33.0,7.833,22.7,18.158,12.6
2015-05-14,81.0,55.417,29.0,24.917,28.2,20.625,13.7
2015-05-15,98.0,79.917,66.0,22.125,18.5,15.021,12.7
2015-05-16,99.0,90.667,75.0,25.917,21.0,15.504,11.7
2015-05-17,91.0,47.417,23.0,18.25,24.9,19.05,12.8
2015-05-18,95.0,60.042,35.0,16.208,25.4,18.112,10.8
2015-05-19,100.0,95.875,85.0,9.333,17.9,14.192,12.6
2015-05-20,99.0,74.042,47.0,12.708,21.9,17.288,12.9
2015-05-21,86.0,52.625,41.0,8.583,20.7,16.792,11.6
2015-05-22,75.0,53.917,32.0,10.958,24.8,19.046,11.0
2015-05-23,89.0,61.0,26.0,18.917,27.8,20.496,13.0
2015-05-24,87.0,62.667,38.0,15.042,26.2,19.467,13.4
2015-05-25,96.0,74.625,50.0,21.917,19.1,16.042,13.7
2015-05-26,96.0,76.958,55.0,23.5,22.0,17.7,13.8
2015-05-27,92.0,71.792,40.0,20.083,23.1,17.017,11.7
2015-05-28,93.0,86.25,76.0,21.833,19.6,16.633,13.7
2015-05-29,100.0,86.083,64.0,15.667,23.1,19.575,17.1
2015-05-30,99.0,87.25,66.0,5.833,23.4,19.05,15.6
2015-05-31,98.0,64.542,42.0,11.5,26.3,20.962,14.7
2015-06-01,90.0,68.792,45.0,7.583,21.6,17.1,9.9
2015-06-02,95.0,73.0,53.0,18.917,28.0,20.521,13.6
2015-06-03,98.0,83.125,55.0,23.417,22.2,19.133,15.3
2015-06-04,59.0,48.958,42.0,5.042,23.0,19.017,15.3
2015-06-05,89.0,59.833,38.0,6.304,22.7,17.962,14.3
2015-06-06,99.0,93.917,76.0,5.5,15.8,13.129,9.9
2015-06-07,99.0,77.542,59.0,5.25,20.7,15.608,8.4
2015-06-08,99.0,76.958,58.0,8.042,23.7,18.462,12.4
2015-06-09,99.0,93.458,81.0,4.875,19.8,17.196,15.5
2015-06-10,97.0,72.875,43.0,10.375,26.4,20.262,14.5
2015-06-11,96.0,76.667,59.0,12.292,25.2,19.958,14.7
2015-06-12,99.0,92.417,80.0,17.542,22.3,18.642,16.6
2015-06-13,99.0,71.667,34.0,19.083,30.3,22.962,16.8
2015-06-14,99.0,87.25,74.0,36.542,23.6,20.342,17.6
2015-06-15,99.0,85.208,65.0,41.75,26.3,21.046,16.5
2015-06-16,99.0,92.917,76.0,47.708,23.4,19.279,17.4
2015-06-17,99.0,96.667,87.0,25.542,20.8,18.404,17.1
2015-06-18,99.0,89.375,72.0,12.875,22.6,19.012,17.3
2015-06-19,99.0,93.125,81.0,10.708,20.4,17.483,15.3
2015-06-20,99.0,81.958,64.0,7.333,23.0,18.725,14.0
2015-06-21,99.0,86.125,65.0,13.625,24.4,19.754,16.5
2015-06-22,99.0,85.917,69.0,6.542,24.6,19.767,16.1
2015-06-23,99.0,94.417,72.0,15.625,24.5,18.567,15.9
2015-06-24,100.0,88.75,68.0,23.542,24.7,19.746,14.7
2015-06-25,99.0,85.083,70.0,17.542,25.7,20.988,16.4
2015-06-26,99.0,90.875,72.0,7.333,24.6,19.846,14.5
2015-06-27,99.0,99.0,99.0,2.333,21.0,19.767,18.5
2015-06-28,99.0,97.458,91.0,4.667,18.2,15.733,13.4
2015-06-29,99.0,86.917,72.0,8.0,21.4,16.608,12.4
2015-06-30,99.0,87.375,70.0,9.083,22.5,18.333,14.8
2015-07-01,99.0,98.292,95.0,12.833,19.1,17.425,16.4
2015-07-02,99.0,81.875,59.0,11.167,26.3,21.146,16.2
2015-07-03,99.0,92.625,85.0,23.708,21.9,20.242,18.8
2015-07-04,99.0,99.0,99.0,24.042,19.4,18.625,17.4
2015-07-05,99.0,94.667,78.0,21.958,21.3,18.454,17.0
2015-07-06,99.0,94.083,79.0,13.667,21.5,18.117,16.4
2015-07-07,99.0,83.625,69.0,12.565,24.2,20.821,14.9
2015-07-08,99.0,87.792,57.0,12.792,23.0,19.329,17.3
2015-07-09,99.0,88.875,72.0,7.458,21.5,18.196,14.9
2015-07-10,99.0,84.5,66.0,16.958,25.5,20.175,14.0
2015-07-11,99.0,75.375,56.0,24.208,28.5,22.808,15.3
2015-07-12,95.0,65.875,42.0,20.042,30.5,24.175,18.9
2015-07-13,97.0,82.625,70.0,36.75,29.4,23.912,18.2
2015-07-14,99.0,74.542,54.0,36.25,33.9,27.417,20.4
2015-07-15,98.0,78.583,62.0,23.083,31.5,26.262,22.2
2015-07-16,99.0,96.917,79.0,12.875,24.2,21.862,20.7
2015-07-17,99.0,94.375,82.0,31.125,26.4,23.467,21.3
2015-07-18,99.0,90.375,69.0,28.083,29.0,24.108,21.4
2015-07-19,99.0,78.667,59.0,18.792,30.6,26.079,22.1
2015-07-20,99.0,88.917,71.0,14.292,29.6,24.421,21.0
2015-07-21,99.0,86.375,68.0,20.458,30.8,24.867,20.6
2015-07-22,99.0,81.125,60.0,20.417,31.4,25.388,20.5
2015-07-23,97.0,85.375,75.0,16.958,28.2,25.492,22.1
2015-07-24,98.0,83.583,65.0,10.75,30.3,25.738,22.7
2015-07-25,98.0,88.375,65.0,20.167,28.6,24.908,22.2
2015-07-26,99.0,73.417,53.0,28.125,31.3,26.367,21.8
2015-07-27,98.0,79.125,53.0,26.083,32.0,26.458,21.9
2015-07-28,99.0,88.375,73.0,33.292,28.4,24.708,21.4
2015-07-29,99.0,82.667,60.0,22.542,30.5,25.75,21.3
2015-07-30,99.0,92.25,77.0,20.5,27.3,23.371,21.0
2015-07-31,99.0,80.375,59.0,41.833,32.6,27.358,22.2
2015-08-01,98.0,78.25,56.0,49.417,33.3,27.621,22.7
2015-08-02,99.0,88.458,68.0,45.292,29.7,25.392,22.5
2015-08-03,99.0,85.958,68.0,49.417,29.7,25.454,21.6
2015-08-04,99.0,83.792,61.0,53.083,31.4,26.954,22.4
2015-08-05,99.0,75.208,50.0,48.958,34.8,29.25,23.3
2015-08-06,94.0,74.875,55.0,47.826,32.7,28.192,23.7
2015-08-07,93.0,76.542,59.0,48.375,30.8,27.079,23.0
2015-08-08,99.0,89.375,81.0,10.083,24.8,22.896,20.6
2015-08-09,99.0,90.125,72.0,13.875,28.6,23.788,20.6
2015-08-10,99.0,89.083,71.0,20.083,30.0,25.15,21.1
2015-08-11,99.0,88.958,71.0,15.333,29.9,25.225,21.2
2015-08-12,99.0,87.833,73.0,15.583,28.5,24.412,21.2
2015-08-13,99.0,98.5,94.0,12.0,21.9,21.021,20.0
2015-08-14,99.0,91.75,76.0,4.292,26.1,22.767,20.9
2015-08-15,99.0,90.417,74.0,10.208,27.0,23.108,20.3
2015-08-16,99.0,91.417,74.0,12.5,27.9,23.938,20.9
2015-08-17,99.0,98.208,92.0,10.0,23.6,22.962,22.3
2015-08-18,99.0,74.208,52.0,6.542,31.7,26.429,22.5
2015-08-19,97.0,78.667,58.0,9.5,28.2,23.667,20.3
2015-08-20,99.0,89.333,74.0,14.417,24.3,21.979,20.1
2015-08-21,99.0,97.583,90.0,18.208,23.2,21.975,20.5
2015-08-22,99.0,90.875,68.0,33.375,30.7,24.525,21.2
2015-08-23,99.0,99.0,99.0,6.167,21.6,20.383,19.3
2015-08-24,99.0,92.875,79.0,9.042,20.9,18.692,17.0
2015-08-25,100.0,88.208,69.0,8.167,19.9,17.442,15.8
2015-08-26,99.0,95.875,81.0,11.958,21.5,18.183,16.3
2015-08-27,100.0,99.042,99.0,1.542,18.5,17.783,17.1
2015-08-28,99.0,94.75,84.0,6.875,19.9,18.029,16.4
2015-08-29,99.0,99.0,99.0,8.375,18.5,17.738,17.1
2015-08-30,99.0,99.0,99.0,4.208,19.2,18.588,17.5
2015-08-31,99.0,98.333,95.0,8.25,20.2,19.325,18.6
2015-09-01,99.0,94.25,83.0,11.375,23.8,21.133,18.5
2015-09-02,99.0,80.792,57.0,11.5,30.5,24.392,19.7
2015-09-03,99.0,82.375,63.0,10.75,26.7,21.938,19.2
2015-09-04,99.0,77.833,55.0,13.333,27.3,22.867,19.8
2015-09-05,96.0,78.542,54.0,10.083,25.4,21.738,18.5
2015-09-06,99.0,91.833,74.0,10.792,23.8,20.125,18.2
2015-09-07,99.0,99.0,99.0,0.435,18.9,18.029,17.4
2015-09-08,99.0,99.0,99.0,1.25,17.9,17.562,17.3
2015-09-09,99.0,99.0,99.0,15.792,21.8,20.483,17.3
2015-09-10,99.0,98.833,96.0,27.0,22.7,21.429,20.3
2015-09-11,99.0,93.958,80.0,13.75,24.2,19.9,17.3
2015-09-12,99.0,79.0,63.0,10.083,25.6,20.788,15.6
2015-09-13,99.0,83.625,59.0,15.542,27.0,21.192,17.0
2015-09-14,91.0,79.75,55.0,2.458,22.6,18.446,14.7
2015-09-15,99.0,86.875,67.0,6.625,22.5,18.121,14.6
2015-09-16,99.0,84.0,63.0,7.0,23.1,18.254,14.7
2015-09-17,99.0,96.792,88.0,5.208,17.9,16.65,15.9
2015-09-18,99.0,95.875,82.0,5.75,21.2,18.808,16.5
2015-09-19,99.0,78.042,61.0,4.083,25.7,21.6,18.5
2015-09-20,96.0,75.875,58.0,3.583,24.9,19.754,16.0
2015-09-21,98.0,82.375,65.0,5.708,22.7,18.262,14.2
2015-09-22,98.0,74.833,44.0,8.792,25.1,18.938,13.8
2015-09-23,97.0,83.0,61.0,11.917,23.1,17.696,14.0
2015-09-24,99.0,87.167,73.0,12.708,21.3,17.396,13.2
2015-09-25,99.0,98.375,96.0,4.417,17.0,15.862,15.0
2015-09-26,99.0,95.625,86.0,4.5,20.4,17.675,15.3
2015-09-27,99.0,88.167,69.0,6.667,22.9,18.767,15.5
2015-09-28,99.0,75.667,52.0,10.833,24.2,19.25,12.9
2015-09-29,80.0,61.75,42.0,6.125,22.6,17.704,14.4
2015-09-30,84.0,62.042,41.0,3.792,22.6,16.4,11.1
2015-10-01,99.0,83.375,62.0,9.75,23.0,17.188,9.9
2015-10-02,94.0,68.5,45.0,9.792,22.4,19.046,12.8
2015-10-03,95.0,69.0,49.0,9.167,24.6,18.512,12.0
2015-10-04,82.0,65.625,54.0,7.25,18.6,15.979,12.3
