date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-03-20,6.958,8.208,1.25,,0.708,13.584,185.955,7.0,192.955
2011-03-21,4.875,5.931,1.056,,1.166,17.792,186.042,5.583,191.625
2011-03-22,10.451,11.985,1.534,,1.708,34.148,188.542,9.375,197.917
2011-03-23,9.319,10.748,1.428,,1.932,24.661,192.625,8.833,201.458
2011-03-24,4.806,5.431,0.625,,0.684,10.958,184.0,6.833,190.833
2011-03-25,2.875,3.333,0.458,,0.458,10.688,183.625,5.208,188.833
2011-03-26,4.75,5.149,0.398,,0.894,13.676,187.19,5.524,192.714
2011-03-27,6.597,7.25,0.653,,1.084,18.688,188.091,7.773,195.864
2011-03-28,6.611,7.0,0.389,,1.729,26.729,186.375,7.75,194.125
2011-03-29,10.746,11.703,0.958,,1.733,22.739,192.542,11.167,203.708
2011-03-30,13.278,14.681,1.403,,2.688,27.875,187.125,11.833,198.958
2011-03-31,8.75,9.417,0.666,,0.916,20.77,187.75,9.792,197.542
2011-04-01,9.319,10.319,1.0,,1.334,18.52,189.333,9.917,199.25
2011-04-02,3.639,4.07,0.431,,0.604,17.979,187.136,5.682,192.818
2011-04-03,3.181,3.556,0.375,,0.604,13.0,188.25,5.083,193.333
2011-04-04,5.656,5.852,0.196,,0.7,12.115,190.136,6.409,196.545
2011-04-05,9.722,10.709,0.986,,1.562,17.271,197.458,11.125,208.583
2011-04-06,16.759,18.749,1.99,,3.217,24.254,204.167,16.875,221.042
2011-04-07,13.646,14.537,0.89,,2.341,19.364,191.682,13.273,204.955
2011-04-08,10.612,11.318,0.706,,2.25,20.646,189.375,11.583,200.958
2011-04-09,9.194,9.75,0.556,,1.479,16.584,193.182,10.682,203.864
2011-04-10,6.569,7.056,0.486,,0.979,20.417,188.458,10.0,198.458
2011-04-11,7.134,7.644,0.511,,1.376,20.894,186.3,8.65,194.95
2011-04-12,5.375,6.07,0.694,,1.021,16.416,186.083,7.75,193.833
2011-04-13,8.945,9.972,1.028,,1.896,30.938,186.708,10.792,197.5
2011-04-14,9.013,9.52,0.507,,2.736,30.38,187.208,11.542,198.75
2011-04-15,13.084,13.833,0.75,,3.062,35.396,192.583,15.333,207.917
2011-04-16,6.75,7.389,0.639,,1.25,27.042,188.227,9.864,198.091
2011-04-17,4.284,4.843,0.559,,1.129,15.354,188.417,5.833,194.25
2011-04-18,12.295,14.173,1.878,,1.527,19.492,193.826,13.957,207.783
2011-04-19,7.472,8.181,0.708,,0.604,10.309,184.917,7.958,192.875
2011-04-20,4.958,5.736,0.778,,0.771,8.0,187.292,6.542,193.833
2011-04-21,10.249,11.664,1.416,,2.269,12.259,193.667,10.083,203.75
2011-04-22,13.778,15.389,1.611,,2.562,25.917,196.625,15.917,212.542
2011-04-23,7.903,9.056,1.153,,1.584,16.084,189.045,11.818,200.864
2011-04-24,3.917,4.444,0.528,,0.917,16.5,185.5,7.125,192.625
2011-04-25,6.517,7.293,0.775,,1.304,22.206,188.095,8.286,196.381
2011-04-26,8.486,9.542,1.056,,1.396,23.666,189.792,10.958,200.75
2011-04-27,6.736,7.694,0.958,,1.292,18.604,186.375,8.958,195.333
2011-04-28,4.179,4.74,0.561,,0.842,14.934,183.917,5.542,189.458
2011-04-29,5.028,5.583,0.555,,0.979,15.188,186.833,6.667,193.5
2011-04-30,10.153,11.014,0.861,,1.146,21.812,188.091,10.682,198.773
2011-05-01,6.667,7.375,0.708,,1.375,33.229,186.042,9.75,195.792
2011-05-02,4.794,5.474,0.679,,0.312,21.696,186.5,6.727,193.227
2011-05-03,8.153,9.083,0.931,,0.875,19.416,193.917,9.833,203.75
2011-05-04,4.986,5.68,0.695,,0.73,33.292,191.542,10.292,201.833
2011-05-05,3.214,3.594,0.381,,0.634,21.288,185.0,5.292,190.292
2011-05-06,9.486,10.806,1.319,,1.812,21.084,193.208,10.292,203.5
2011-05-07,7.361,7.903,0.542,,1.146,24.646,185.909,10.091,196.0
2011-05-08,3.236,3.764,0.528,,1.0,20.646,183.042,7.417,190.458
2011-05-09,9.837,10.404,0.566,,2.225,16.839,190.19,14.857,205.048
2011-05-10,6.097,6.333,0.236,,1.125,19.792,185.333,7.542,192.875
2011-05-11,11.264,12.514,1.25,,1.146,22.438,196.167,16.458,212.625
2011-05-12,9.912,11.411,1.5,,0.889,14.8,189.25,10.25,199.5
2011-05-13,5.166,5.73,0.562,,1.521,62.104,181.042,5.958,187.0
2011-05-14,4.569,4.82,0.25,,1.75,45.396,186.0,9.591,195.591
2011-05-15,6.75,7.347,0.597,,1.354,37.25,193.667,9.958,203.625
2011-05-16,6.98,7.418,0.439,,2.383,35.4,191.136,9.591,200.727
2011-05-17,5.681,6.083,0.403,,3.48,41.958,189.458,8.625,198.083
2011-05-18,8.014,9.0,0.986,,1.416,23.875,197.5,11.0,208.5
2011-05-19,8.455,9.047,0.592,,1.88,25.284,192.542,11.5,204.042
2011-05-20,8.968,9.431,0.463,,2.312,33.438,196.0,14.19,210.19
2011-05-21,7.318,7.892,0.574,,1.809,31.12,185.682,13.864,199.545
2011-05-22,2.986,3.139,0.153,,0.125,14.729,183.625,6.458,190.083
2011-05-23,7.502,8.521,1.019,,1.3,13.968,189.696,7.652,197.348
2011-05-24,9.403,10.375,0.972,,1.5,13.062,198.292,12.333,210.625
2011-05-25,7.333,8.042,0.708,,1.292,17.27,189.875,9.208,199.083
2011-05-26,9.912,10.559,0.648,,1.388,16.358,191.625,11.375,203.0
2011-05-27,8.875,9.458,0.583,,1.292,22.438,190.458,12.875,203.333
2011-05-28,6.833,7.445,0.611,,1.125,17.375,186.955,10.091,197.045
2011-05-29,6.847,7.569,0.722,,0.938,16.984,185.458,9.083,194.542
2011-05-30,4.782,5.569,0.787,,0.75,16.161,182.364,5.318,187.682
2011-05-31,6.445,7.403,0.958,,1.354,13.667,186.75,6.208,192.958
2011-06-01,7.944,8.972,1.028,,1.125,21.021,189.667,10.75,200.417
2011-06-02,9.284,10.603,1.32,,0.996,20.81,194.917,12.208,207.125
2011-06-03,8.528,9.472,0.945,,3.312,21.5,189.5,9.875,199.375
2011-06-04,6.792,7.694,0.903,,1.938,35.875,195.682,11.636,207.318
2011-06-05,5.972,6.361,0.389,,2.438,49.604,187.625,9.417,197.042
2011-06-06,6.06,6.686,0.625,,0.966,42.979,189.773,11.182,200.955
2011-06-07,9.25,10.125,0.875,,1.521,25.458,202.75,18.875,221.625
2011-06-08,8.056,8.667,0.611,,2.271,34.438,202.792,14.958,217.75
2011-06-09,7.625,8.485,0.86,,1.214,30.306,211.75,12.75,224.5
2011-06-10,6.333,6.986,0.653,,1.354,39.667,199.75,11.875,211.625
2011-06-11,5.416,5.958,0.542,,1.104,37.458,202.045,11.545,213.591
2011-06-12,3.639,4.111,0.472,,0.625,27.917,194.833,9.375,204.208
2011-06-13,3.581,4.105,0.523,,0.698,20.5,188.619,8.905,197.524
2011-06-14,1.958,2.181,0.222,,0.208,9.708,186.375,4.958,191.333
2011-06-15,3.764,4.569,0.806,,1.875,5.583,193.875,6.417,200.292
2011-06-16,5.916,7.069,1.154,,1.142,11.846,212.708,10.917,223.625
2011-06-17,6.611,7.431,0.819,,1.312,19.958,196.542,11.333,207.875
2011-06-18,5.486,6.097,0.611,,1.875,22.458,190.0,7.682,197.682
2011-06-19,4.264,4.972,0.708,,1.166,19.834,212.417,9.583,222.0
2011-06-20,8.743,9.733,0.991,,2.696,23.214,233.714,12.857,246.571
2011-06-21,6.931,7.986,1.056,,1.5,19.292,201.5,11.208,212.708
2011-06-22,5.264,6.153,0.889,,2.48,28.132,188.292,8.792,197.083
2011-06-23,4.709,5.89,1.181,,1.01,19.348,182.167,7.625,189.792
2011-06-24,4.458,5.653,1.194,,0.896,16.245,182.0,8.458,190.458
2011-06-25,3.139,3.736,0.597,,0.542,13.062,183.182,14.955,198.136
2011-06-26,4.542,5.194,0.653,,0.458,12.605,198.5,13.833,212.333
2011-06-27,8.677,11.129,2.451,,0.973,12.472,203.913,14.913,218.826
2011-06-28,7.167,8.569,1.403,,1.396,19.458,193.375,10.875,204.25
2011-06-29,5.334,6.805,1.472,,1.896,21.0,187.625,9.792,197.417
2011-06-30,5.298,7.66,2.362,,2.098,19.635,198.833,11.792,210.625
2011-07-01,4.208,5.069,0.861,,1.479,27.5,178.25,6.833,185.083
2011-07-02,4.125,5.0,0.875,,2.0,22.896,183.0,9.409,192.409
2011-07-03,5.528,6.236,0.708,,1.583,24.216,205.0,11.083,216.083
2011-07-04,6.915,8.082,1.167,,0.696,20.666,189.696,9.739,199.435
2011-07-05,5.583,6.583,1.0,,1.334,17.854,197.333,9.125,206.458
2011-07-06,8.097,9.167,1.07,,1.438,31.521,203.667,11.375,215.042
2011-07-07,8.544,9.499,0.955,,2.017,27.154,211.333,13.667,225.0
2011-07-08,4.597,6.111,1.514,,1.084,19.5,191.667,10.0,201.667
2011-07-09,6.32,8.292,1.972,,2.062,24.462,202.864,13.909,216.773
2011-07-10,3.847,4.709,0.861,,1.562,23.728,185.833,9.25,195.083
2011-07-11,5.304,6.363,1.059,,1.06,25.932,196.81,9.857,206.667
2011-07-12,5.305,6.278,0.972,,1.188,21.42,195.667,8.708,204.375
2011-07-13,5.708,6.667,0.958,,0.979,25.812,208.458,11.542,220.0
2011-07-14,5.3,6.082,0.783,,0.896,24.133,191.625,10.375,202.0
2011-07-15,6.389,7.486,1.097,,2.104,26.916,197.667,13.958,211.625
2011-07-16,5.722,6.791,1.069,,1.396,26.792,190.227,8.455,198.682
2011-07-17,5.18,5.965,0.784,,1.261,24.134,202.583,10.958,213.542
2011-07-18,7.359,8.646,1.286,,2.893,23.138,194.261,9.957,204.217
2011-07-19,8.041,12.875,4.833,,1.5,17.182,185.125,10.083,195.208
2011-07-20,7.042,9.854,2.812,,1.792,13.834,180.042,9.375,189.417
2011-07-21,4.58,5.784,1.204,,1.481,12.95,182.292,5.917,188.208
2011-07-22,7.02,8.771,1.75,,1.354,15.062,182.333,7.458,189.792
2011-07-23,5.25,7.111,1.861,,2.146,18.98,184.955,8.045,193.0
2011-07-24,3.82,4.528,0.708,,0.875,21.104,185.083,6.667,191.75
2011-07-25,7.334,8.746,1.412,,3.407,22.82,188.818,9.045,197.864
2011-07-26,7.792,9.0,1.208,,1.938,29.208,191.583,10.333,201.917
2011-07-27,7.188,8.042,0.854,,1.208,18.584,186.5,9.542,196.042
2011-07-28,8.802,10.244,1.442,,1.32,20.061,181.5,8.708,190.208
2011-07-29,8.32,9.252,0.932,,0.928,18.434,181.652,9.522,191.174
2011-07-30,7.75,8.854,1.104,,1.875,12.139,187.045,10.364,197.409
2011-07-31,3.875,4.75,0.875,,0.979,12.354,197.583,8.708,206.292
2011-08-01,7.082,9.882,2.8,,0.996,14.058,196.909,13.045,209.955
2011-08-02,8.324,10.06,1.736,,1.854,19.708,199.792,14.167,213.958
2011-08-03,8.312,9.812,1.5,,1.834,29.646,202.75,11.708,214.458
2011-08-04,7.874,9.65,1.776,,1.551,23.274,195.042,11.458,206.5
2011-08-05,4.924,7.799,2.875,,2.549,19.334,188.333,13.667,202.0
2011-08-06,6.646,8.083,1.438,,1.458,22.915,186.818,10.636,197.455
2011-08-07,6.146,7.77,1.625,,2.812,24.556,194.042,9.917,203.958
2011-08-08,5.428,6.621,1.192,,1.591,23.3,184.429,9.19,193.619
2011-08-09,7.729,9.042,1.312,,1.076,31.312,197.125,12.75,209.875
2011-08-10,6.208,7.396,1.188,,1.416,25.521,183.75,11.417,195.167
2011-08-11,6.322,7.483,1.161,,2.804,39.146,178.375,7.167,185.542
2011-08-12,6.066,6.636,0.57,,1.256,45.514,186.0,8.583,194.583
2011-08-13,4.916,5.458,0.542,,0.771,35.416,186.182,9.955,196.136
2011-08-14,4.48,5.188,0.708,,0.938,24.562,192.917,9.542,202.458
2011-08-15,3.843,4.885,1.042,,0.774,24.323,184.304,8.348,192.652
2011-08-16,4.438,5.458,1.02,,0.729,29.625,187.5,9.083,196.583
2011-08-17,6.208,7.771,1.562,,1.479,37.77,186.917,10.625,197.542
2011-08-18,6.358,7.528,1.17,,1.392,31.468,178.75,8.208,186.958
2011-08-19,3.062,3.625,0.562,,0.708,13.166,182.333,7.875,190.208
2011-08-20,6.312,7.792,1.479,,1.166,16.792,195.545,10.773,206.318
2011-08-21,4.916,5.77,0.854,,0.75,10.542,189.458,6.875,196.333
2011-08-22,8.673,10.869,2.196,,1.409,10.988,188.261,8.696,196.957
2011-08-23,10.584,12.02,1.438,,1.583,16.396,196.375,12.333,208.708
2011-08-24,8.77,10.604,1.834,,0.834,14.0,191.0,12.958,203.958
2011-08-25,11.72,16.081,4.362,,1.114,19.518,191.667,18.042,209.708
2011-08-26,7.23,8.25,1.021,,2.167,14.229,183.625,10.375,194.0
2011-08-27,5.153,6.431,1.278,,2.062,16.979,192.273,9.136,201.409
2011-08-28,4.889,5.805,0.917,,1.646,16.812,197.583,10.5,208.083
2011-08-29,4.579,5.686,1.108,,0.918,20.184,204.048,11.619,215.667
2011-08-30,8.854,10.188,1.334,,1.416,20.917,195.333,12.292,207.625
2011-08-31,9.333,12.667,3.333,,1.292,19.158,186.167,14.083,200.25
2011-09-01,6.754,12.464,5.71,,1.085,15.575,178.625,13.125,191.75
2011-09-02,5.104,10.479,5.375,,0.854,14.312,173.667,6.792,180.458
2011-09-03,3.625,8.5,4.875,,0.979,16.604,175.682,5.818,181.5
2011-09-04,3.312,6.666,3.354,,0.604,14.896,175.167,5.0,180.167
2011-09-05,6.866,9.132,2.266,,0.512,12.35,179.864,6.636,186.5
2011-09-06,5.125,6.23,1.104,,0.583,13.646,185.458,7.75,193.208
2011-09-07,7.479,8.834,1.354,,1.23,19.667,187.542,9.375,196.917
2011-09-08,9.572,10.983,1.411,,1.072,24.811,191.833,12.667,204.5
2011-09-09,15.458,17.146,1.688,,1.771,31.584,200.0,20.458,220.458
2011-09-10,6.0,6.75,0.75,,0.916,20.312,186.545,10.091,196.636
2011-09-11,7.708,9.021,1.312,,1.604,24.812,193.083,14.167,207.25
2011-09-12,7.178,8.368,1.191,,1.209,24.194,184.5,11.9,196.4
2011-09-13,7.52,8.958,1.438,,1.562,23.0,185.125,11.417,196.542
2011-09-14,5.23,6.417,1.188,,1.083,23.688,181.125,11.708,192.833
2011-09-15,6.558,7.976,1.416,,1.253,27.644,185.5,12.708,198.208
2011-09-16,9.958,11.125,1.166,,4.52,35.77,191.125,15.625,206.75
2011-09-17,10.562,12.25,1.688,,1.354,26.375,182.591,12.955,195.545
2011-09-18,4.625,6.52,1.896,,0.958,21.907,180.667,10.292,190.958
2011-09-19,4.183,4.264,0.08,,0.183,12.898,182.0,7.182,189.182
2011-09-20,10.111,12.444,2.333,,1.584,11.146,184.792,9.083,193.875
2011-09-21,5.833,7.291,1.458,,0.98,12.417,181.0,7.25,188.25
2011-09-22,4.646,5.595,0.949,,0.26,10.786,180.833,5.417,186.25
2011-09-23,6.084,7.667,1.584,,0.979,13.02,184.5,7.083,191.583
2011-09-24,5.542,6.583,1.042,,0.834,9.584,184.318,6.682,191.0
2011-09-25,6.847,7.778,0.931,,1.75,14.021,191.167,10.875,202.042
2011-09-26,8.498,10.141,1.642,,1.32,16.301,189.0,9.565,198.565
2011-09-27,7.056,8.958,1.903,,1.312,18.476,188.167,9.708,197.875
2011-09-28,6.736,7.472,0.736,,1.188,19.584,187.167,10.208,197.375
2011-09-29,9.978,11.277,1.299,,1.605,20.625,187.292,12.167,199.458
2011-09-30,6.667,7.389,0.722,,0.688,18.25,181.208,8.125,189.333
2011-10-01,3.125,3.444,0.32,,0.104,11.917,183.773,4.455,188.227
2011-10-02,4.361,5.583,1.222,,0.292,11.77,185.25,7.042,192.292
2011-10-03,4.645,5.345,0.7,,0.659,11.696,183.286,5.143,188.429
2011-10-04,8.0,9.292,1.292,,1.292,10.646,187.25,9.417,196.667
2011-10-05,12.417,14.528,2.111,,1.166,15.812,192.875,18.583,211.458
2011-10-06,8.194,9.496,1.302,,1.494,13.772,184.125,11.5,195.625
2011-10-07,3.708,4.083,0.375,,0.979,24.458,182.708,5.625,188.333
2011-10-08,7.306,8.014,0.708,,1.396,29.0,188.773,9.773,198.545
2011-10-09,6.504,7.149,0.645,,1.046,25.958,192.208,12.0,204.208
2011-10-10,4.553,5.263,0.71,,1.325,34.91,186.227,8.409,194.636
2011-10-11,4.75,5.264,0.514,,0.896,21.771,187.292,7.792,195.083
2011-10-12,8.917,10.57,1.653,,1.166,21.084,189.208,13.042,202.25
2011-10-13,10.495,12.622,2.127,,1.098,22.13,189.375,14.0,203.375
2011-10-14,9.75,11.917,2.167,,1.792,27.938,193.792,16.542,210.333
2011-10-15,8.097,9.347,1.25,,1.666,21.444,184.182,11.5,195.682
2011-10-16,3.32,3.847,0.528,,1.021,22.146,184.833,7.208,192.042
2011-10-17,5.538,6.599,1.061,,1.086,23.808,184.55,7.0,191.55
2011-10-18,3.694,4.555,0.861,,0.229,13.125,186.333,5.625,191.958
2011-10-19,7.278,9.403,2.125,,0.979,14.855,191.792,10.167,201.958
2011-10-20,11.26,13.555,2.295,,1.044,16.42,193.25,15.667,208.917
2011-10-21,9.097,10.431,1.333,,0.896,12.52,192.958,13.75,206.708
2011-10-22,9.236,11.667,2.431,,0.958,12.938,186.455,17.364,203.818
2011-10-23,3.681,4.639,0.959,,0.5,12.458,181.417,8.75,190.167
2011-10-24,9.462,10.854,1.392,,0.143,14.445,189.0,10.45,199.45
2011-10-25,7.096,8.815,1.72,,0.727,15.478,184.875,9.083,193.958
2011-10-26,4.597,5.066,0.469,,0.625,16.676,184.727,5.273,190.0
2011-10-27,9.847,11.803,1.956,,1.079,17.408,188.25,11.0,199.25
2011-10-28,12.639,14.833,2.194,,1.375,21.396,193.958,14.292,208.25
2011-10-29,9.931,11.889,1.958,,1.271,20.542,193.045,11.273,204.318
2011-10-30,10.875,11.945,1.069,,1.125,22.042,190.958,13.25,204.208
2011-10-31,7.235,8.504,1.268,,1.124,17.505,185.95,8.6,194.55
2011-11-01,11.972,16.805,4.833,,2.5,22.542,197.864,16.364,214.227
2011-11-02,16.111,21.472,5.361,,2.875,22.084,190.833,19.583,210.417
2011-11-03,11.423,13.047,1.624,,1.654,24.339,188.167,16.25,204.417
2011-11-04,10.345,12.99,2.646,,1.354,24.854,193.792,11.917,205.708
2011-11-05,13.75,17.681,3.931,,1.458,28.062,195.0,17.773,212.773
2011-11-06,8.028,9.403,1.375,,0.834,21.271,189.208,14.167,203.375
2011-11-07,5.504,6.151,0.647,,0.25,13.125,180.75,4.75,185.5
2011-11-08,6.958,7.167,0.208,,0.438,13.25,183.417,8.333,191.75
2011-11-09,10.125,12.333,2.208,,0.896,14.0,187.667,10.917,198.583
2011-11-10,9.25,12.359,3.109,,0.822,15.051,189.625,10.208,199.833
2011-11-11,14.542,20.556,6.014,,1.146,15.062,188.375,20.333,208.708
2011-11-12,8.305,9.875,1.569,,1.229,13.451,190.091,12.364,202.455
2011-11-13,5.792,6.569,0.778,,0.416,16.834,188.458,9.833,198.292
2011-11-14,11.227,13.015,1.788,,1.64,28.83,187.318,8.727,196.045
2011-11-15,4.639,5.639,1.0,,0.729,12.958,185.25,5.333,190.583
2011-11-16,4.972,6.333,1.361,,0.792,13.75,186.25,6.333,192.583
2011-11-17,5.368,6.176,0.807,,0.856,11.741,188.875,6.875,195.75
2011-11-18,18.042,26.361,8.319,,2.146,16.021,202.25,23.458,225.708
2011-11-19,14.889,19.014,4.125,,1.292,16.188,189.955,13.955,203.909
2011-11-20,2.361,2.972,0.611,,0.416,12.312,184.0,5.833,189.833
2011-11-21,3.642,4.141,0.499,,0.162,10.345,185.818,4.955,190.773
2011-11-22,10.055,11.347,1.292,,0.896,10.896,188.875,9.0,197.875
2011-11-23,7.472,8.569,1.097,,1.416,13.125,187.167,8.75,195.917
2011-11-24,3.515,3.99,0.475,,0.933,13.474,184.708,5.083,189.792
2011-11-25,2.708,3.222,0.514,,0.646,14.25,185.042,3.5,188.542
2011-11-26,8.778,10.417,1.639,,2.271,14.416,186.227,10.227,196.455
2011-11-27,8.556,9.93,1.375,,1.125,11.98,186.083,9.042,195.125
2011-11-28,18.529,32.119,13.59,,1.506,22.418,196.364,28.273,224.636
2011-11-29,19.88,37.296,17.417,,2.229,30.75,198.708,23.583,222.292
2011-11-30,2.688,3.188,0.5,,0.834,10.918,183.042,6.958,190.0
2011-12-01,4.129,4.792,0.663,,0.449,9.009,183.125,5.833,188.958
2011-12-02,8.916,10.222,1.305,,0.916,8.938,185.583,8.542,194.125
2011-12-03,7.583,8.805,1.222,,0.604,10.125,184.818,8.682,193.5
2011-12-04,1.653,1.917,0.264,,0.312,14.812,183.333,4.167,187.5
2011-12-05,2.459,3.136,0.677,,0.257,15.322,185.318,4.182,189.5
2011-12-06,13.333,17.083,3.75,,1.5,18.208,191.292,13.542,204.833
2011-12-07,16.291,22.097,5.805,,1.438,16.0,192.083,17.667,209.75
2011-12-08,8.673,10.048,1.375,,1.13,14.879,189.625,9.292,198.917
2011-12-09,6.792,8.792,2.0,,1.458,9.833,186.458,7.25,193.708
2011-12-10,6.569,8.111,1.542,,0.458,9.104,187.409,8.273,195.682
2011-12-11,2.222,2.861,0.639,,0.458,11.334,183.792,4.917,188.708
2011-12-12,5.987,7.046,1.059,,0.605,11.714,185.682,5.955,191.636
2011-12-13,8.111,9.417,1.305,,1.438,12.062,188.25,9.5,197.75
