date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean
2011-04-09,17.194,21.958,4.764,,3.229,33.153,4.583
2011-04-10,16.153,18.625,2.472,,4.833,26.014,4.417
2011-04-11,19.486,24.347,4.861,,4.125,33.903,5.417
2011-04-12,20.625,27.986,7.361,,2.854,25.597,4.625
2011-04-13,16.875,20.486,3.611,,6.542,35.403,4.333
2011-04-14,19.903,24.042,4.139,,5.312,31.042,4.417
2011-04-15,19.125,26.903,7.778,,3.48,36.944,4.833
2011-04-16,16.931,24.07,7.139,,3.312,37.181,5.917
2011-04-17,27.417,37.055,9.639,,3.646,16.361,5.708
2011-04-18,17.444,23.306,5.861,,3.48,21.319,3.667
2011-04-19,13.014,19.18,6.167,,2.416,12.556,3.542
2011-04-20,17.536,24.493,6.956,,2.892,16.808,3.609
2011-04-21,30.069,46.417,16.347,,3.48,28.833,6.292
2011-04-22,22.681,38.597,15.917,,5.166,32.097,5.083
2011-04-23,15.07,20.764,5.694,,3.188,21.611,4.417
2011-04-24,10.861,12.958,2.097,,3.354,26.639,3.875
2011-04-25,16.417,21.944,5.528,,4.104,26.205,4.375
2011-04-26,14.764,20.32,5.555,,3.646,26.056,3.958
2011-04-27,13.125,17.514,4.389,,3.125,29.187,4.333
2011-04-28,15.75,22.597,6.847,,3.02,23.389,4.792
2011-04-29,19.208,24.264,5.055,,3.646,18.708,4.792
2011-04-30,12.861,18.236,5.375,,6.062,34.639,4.333
2011-05-01,8.041,10.264,2.222,,3.042,76.139,3.458
2011-05-02,15.778,22.084,6.306,,2.812,150.542,4.5
2011-05-03,20.736,25.472,4.736,,3.52,128.583,5.083
2011-05-04,17.087,20.464,3.377,,3.761,68.167,4.391
2011-05-05,24.083,30.819,6.736,,5.229,49.18,5.917
2011-05-06,26.973,45.12,18.147,,3.324,27.013,5.958
2011-05-07,22.986,33.5,10.514,,3.792,21.806,5.25
2011-05-08,17.444,24.181,6.736,,3.021,23.361,4.625
2011-05-09,15.775,33.754,17.978,,3.188,32.639,4.292
2011-05-10,8.778,18.944,10.167,,2.812,22.472,2.792
2011-05-11,15.181,37.986,22.806,,2.938,35.431,6.542
2011-05-12,17.39,41.548,24.158,,3.188,49.764,4.609
2011-05-13,12.736,17.153,4.417,,4.104,45.861,3.042
2011-05-14,13.75,16.514,2.764,,5.271,34.347,4.292
2011-05-15,12.75,15.778,3.028,,4.25,26.319,3.333
2011-05-16,15.778,19.236,3.458,,4.896,36.594,3.792
2011-05-17,18.597,23.319,4.722,,3.729,43.43,4.708
2011-05-18,33.985,45.797,11.811,,5.152,35.514,7.739
2011-05-19,31.945,43.708,11.764,,5.875,41.25,5.833
2011-05-20,32.541,51.403,18.861,,5.396,35.125,6.0
2011-05-21,22.097,40.153,18.055,,5.575,29.917,4.792
2011-05-22,14.569,20.597,6.028,,3.43,27.764,4.5
2011-05-23,28.416,45.972,17.556,,3.163,17.236,6.083
2011-05-24,25.458,46.208,20.75,,3.488,10.208,5.708
2011-05-25,28.694,49.57,20.875,,4.27,16.458,5.833
2011-05-26,25.167,41.764,16.597,,3.708,15.639,5.583
2011-05-27,30.875,58.361,27.486,,3.292,28.431,7.542
2011-05-28,31.014,57.069,26.056,,3.292,21.417,7.5
2011-05-29,13.014,17.555,4.542,,3.146,14.194,2.75
2011-05-30,13.347,19.847,6.5,,2.96,20.151,2.875
2011-05-31,24.958,39.472,14.514,,4.166,18.722,5.167
2011-06-01,26.101,39.754,13.652,,5.435,28.375,4.826
2011-06-02,16.042,23.32,7.278,,4.146,27.238,3.917
2011-06-03,21.458,31.153,9.695,,4.792,45.575,4.958
2011-06-04,15.819,22.555,6.736,,4.229,33.097,4.292
2011-06-05,21.306,29.486,8.181,,5.27,39.069,5.167
2011-06-06,28.583,42.75,14.167,,5.33,40.611,5.125
2011-06-07,24.611,40.167,15.556,,4.312,26.792,5.875
2011-06-08,22.958,32.972,10.014,,4.271,27.305,5.75
2011-06-09,23.195,35.653,12.458,,4.417,48.889,5.167
2011-06-10,22.125,39.166,17.042,,3.854,30.347,6.708
2011-06-11,19.792,26.861,7.07,,3.792,14.569,4.708
2011-06-12,17.917,25.931,8.014,,3.729,24.014,6.0
2011-06-13,14.722,20.694,5.972,,3.938,31.111,4.583
