date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,99.0,79.292,57.0,4.5,4.875,0.458,,4.208,95.0,70.0,42.0
2011-01-02,99.0,63.542,46.0,3.125,3.708,0.917,,4.792,73.0,51.708,15.0
2011-01-03,93.0,64.042,46.0,3.833,4.125,0.5,,5.5,78.0,60.375,42.0
2011-01-04,95.0,72.083,52.0,3.667,4.417,0.792,,3.583,65.0,37.708,23.0
2011-01-05,60.0,51.792,45.0,3.714,4.571,0.762,,1.609,70.0,55.417,39.0
2011-01-06,94.0,60.667,40.0,3.833,4.625,0.667,,1.708,88.0,62.583,44.0
2011-01-07,99.0,80.208,52.0,1.042,1.292,0.167,,1.375,68.0,45.208,25.0
2011-01-08,89.0,58.667,37.0,1.0,1.208,0.083,,1.083,110.0,68.917,39.0
2011-01-09,90.0,56.625,44.0,4.417,5.042,0.625,,7.333,96.0,84.75,72.0
2011-01-10,83.0,63.75,53.0,6.917,7.75,1.0,,7.875,87.0,75.667,68.0
2011-01-11,99.0,66.958,47.0,4.167,5.083,1.083,,2.458,78.0,51.125,12.0
2011-01-12,99.0,77.958,47.0,3.333,4.25,0.875,,1.458,75.0,41.958,10.0
2011-01-13,69.0,55.0,46.0,5.238,6.095,1.143,,5.565,77.0,66.292,53.0
2011-01-14,52.0,46.917,39.0,5.583,6.458,0.875,,4.333,91.0,75.167,65.0
2011-01-15,66.0,53.708,44.0,3.792,4.583,0.708,,3.208,92.0,71.333,51.0
2011-01-16,79.0,68.208,57.0,2.083,2.5,0.125,,1.0,69.0,54.75,32.0
2011-01-17,85.0,60.583,42.0,2.375,2.958,0.583,,1.0,101.0,63.375,26.0
2011-01-18,64.0,51.708,31.0,4.708,5.625,0.875,,1.75,126.0,79.391,31.0
2011-01-19,97.0,88.042,67.0,4.042,5.75,1.792,,1.083,85.0,72.625,66.0
2011-01-20,89.0,72.208,54.0,1.625,1.917,0.333,,1.0,112.0,85.667,53.0
2011-01-21,93.0,76.958,54.0,2.0,2.667,0.571,,1.0,114.0,73.458,44.0
2011-01-22,94.0,77.208,55.0,3.375,4.5,1.208,,2.833,101.0,73.083,42.0
2011-01-23,96.0,67.583,48.0,2.375,3.042,0.625,,1.0,72.0,50.625,23.0
2011-01-24,93.0,61.792,48.0,2.583,3.292,0.667,,1.333,32.0,21.125,8.0
2011-01-25,64.0,55.5,46.0,3.292,4.167,1.042,,2.417,38.0,22.417,10.0
2011-01-26,75.0,56.708,47.0,3.5,4.375,0.875,,2.625,50.0,30.5,18.0
2011-01-27,78.0,59.25,43.0,4.625,5.417,0.667,,4.625,74.0,55.0,34.0
2011-01-28,73.0,56.417,46.0,4.125,4.958,0.792,,8.5,94.0,67.5,35.0
2011-01-29,97.0,75.083,46.0,1.952,2.381,0.381,,3.217,64.0,45.417,23.0
2011-01-30,99.0,67.542,42.0,2.292,3.0,0.667,,1.333,69.0,37.375,10.0
2011-01-31,48.0,39.625,35.0,4.542,5.583,0.875,,3.458,67.0,51.208,32.0
2011-02-01,91.0,59.042,36.0,3.292,4.0,0.583,,6.333,73.0,40.708,18.0
2011-02-02,99.0,76.833,55.0,2.125,2.875,0.792,,4.778,17.0,-5.667,-27.0
2011-02-03,80.0,70.0,51.0,3.375,4.125,0.667,,0.875,46.0,16.708,-6.0
2011-02-04,69.0,55.25,48.0,4.375,5.208,0.833,,4.792,68.0,49.25,26.0
2011-02-05,74.0,59.435,45.0,3.875,4.25,0.542,,3.667,98.0,62.0,26.0
2011-02-06,99.0,80.292,67.0,6.333,7.381,1.048,,2.565,106.0,72.917,41.0
2011-02-07,99.0,68.5,44.0,4.542,5.5,0.958,,2.125,92.0,67.583,32.0
2011-02-08,73.0,58.833,47.0,2.81,3.762,0.952,,0.583,28.0,10.208,-10.0
2011-02-09,77.0,55.208,46.0,2.952,3.714,0.952,,0.833,34.0,22.292,9.0
2011-02-10,90.0,58.917,44.0,3.083,3.708,0.458,,0.875,67.0,42.667,18.0
2011-02-11,76.0,52.375,39.0,2.917,3.458,0.542,,1.333,76.0,48.417,17.0
2011-02-12,69.0,48.625,38.0,3.542,4.583,0.833,,2.708,77.0,55.167,30.0
2011-02-13,98.0,88.708,58.0,4.5,5.083,0.625,,1.458,62.0,43.917,28.0
2011-02-14,97.0,92.0,80.0,3.571,4.667,1.048,,0.609,93.0,66.667,44.0
2011-02-15,98.0,85.5,72.0,3.231,4.0,0.769,,1.042,86.0,59.125,21.0
2011-02-16,76.0,56.875,40.0,,,,,0.958,72.0,49.25,30.0
2011-02-17,80.0,53.792,34.0,3.4,4.4,1.0,,1.682,57.0,30.174,11.0
2011-02-18,97.0,81.478,60.0,3.167,4.125,1.0,,1.625,20.0,4.042,-7.0
2011-02-19,97.0,74.792,50.0,2.792,3.625,0.75,,1.167,33.0,9.458,-8.0
2011-02-20,80.0,59.833,42.0,3.875,4.958,0.958,,1.417,89.0,46.208,11.0
2011-02-21,93.0,66.167,52.0,6.792,8.375,1.792,,3.125,96.0,72.708,45.0
2011-02-22,95.0,78.5,48.0,2.8,3.4,0.65,,1.261,129.0,75.583,27.0
2011-02-23,99.0,75.792,55.0,3.833,4.375,0.833,,4.75,137.0,103.625,81.0
2011-02-24,70.0,57.667,46.0,3.292,4.167,0.75,,2.958,101.0,79.833,57.0
