date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean,SPM_mean,CO_mean
2011-01-01,197.522,17.217,16.771333333333335,21.343666666666667,4.572333333333333,,3.208,214.739,18.25,
2011-01-02,194.042,8.25,7.527333333333334,9.452,1.9243333333333332,,3.875,202.292,11.680666666666667,
2011-01-03,192.87,10.261,12.514000000000001,16.361,3.8473333333333333,,5.458,203.13,17.125,
2011-01-04,194.375,10.375,10.667,14.013666666666666,3.3473333333333333,,8.083,204.75,21.153000000000002,
2011-01-05,195.087,16.783,23.972333333333335,38.803666666666665,14.831666666666665,,4.375,211.87,12.347,
2011-01-06,194.292,15.333,27.376666666666665,53.49033333333333,26.113333333333333,,5.0,209.625,15.514000000000001,
2011-01-07,194.174,8.478,14.089333333333334,19.000333333333334,4.911333333333333,,3.083,202.652,6.361,
2011-01-08,198.458,20.917,21.810999999999996,29.594333333333335,7.782999999999999,,3.333,219.375,11.791666666666666,
2011-01-09,198.739,23.609,23.430666666666667,34.916666666666664,11.485999999999999,,5.125,222.348,22.027666666666665,
2011-01-10,198.909,28.091,34.098000000000006,71.22266666666667,37.12466666666666,,6.043,227.0,34.318666666666665,
2011-01-11,193.375,9.958,16.569333333333333,24.861,8.291666666666666,,6.542,203.333,24.333333333333332,
2011-01-12,195.435,16.826,25.166666666666668,45.02766666666667,19.861333333333334,,3.917,212.261,8.139000000000001,
2011-01-13,193.542,15.417,22.847333333333335,41.847,19.0,,6.167,208.958,19.014,
2011-01-14,196.522,13.261,22.183666666666667,31.718333333333334,9.534333333333334,,9.667,209.783,40.138666666666666,
2011-01-15,198.083,22.292,22.233999999999998,32.07966666666667,9.846000000000002,,4.792,220.375,16.542,
2011-01-16,194.739,14.435,17.327333333333332,20.875,3.5476666666666663,,3.625,209.174,11.479,
2011-01-17,194.333,16.458,21.194333333333333,37.40266666666667,16.208333333333332,,3.208,210.792,12.902666666666667,
2011-01-18,199.826,42.913,38.416666666666664,71.90266666666666,33.486,,4.542,242.739,21.972333333333335,
2011-01-19,196.083,39.958,32.5,54.10233333333334,21.602333333333334,,3.913,236.042,22.976333333333333,
2011-01-20,191.261,17.609,19.694333333333333,23.097333333333335,3.4026666666666667,,3.042,208.87,9.444333333333333,
2011-01-21,195.0,23.5,24.277666666666665,29.551333333333332,5.273666666666666,,3.375,218.5,17.319333333333333,
2011-01-22,195.87,22.0,23.757,32.836666666666666,9.080333333333332,,3.792,217.87,16.861333333333334,
2011-01-23,194.292,12.667,19.102,31.226333333333333,12.124333333333333,,4.417,206.958,7.414333333333334,
2011-01-24,191.783,9.957,16.847333333333335,27.680666666666667,10.833333333333334,,6.125,201.739,7.972333333333334,
2011-01-25,193.542,8.792,17.472333333333335,30.264,12.791333333333332,,7.208,202.333,17.416666666666668,
