date,NO2_mean,NOX_mean,NO_mean,CH4_mean,NMHC_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,23.084,33.396,10.312,,,,2.042,10.458,
2011-01-02,16.042,19.479,3.438,,,,0.417,6.417,
2011-01-03,5.708,7.271,1.562,,,,0.0,4.792,
2011-01-04,8.084,10.312,2.229,,,,0.208,4.792,
2011-01-05,7.708,10.146,2.438,,,,0.0,6.13,
2011-01-06,32.375,65.375,33.0,,,,1.375,11.417,
2011-01-07,29.042,49.834,20.792,,,,1.125,9.667,
2011-01-08,41.229,95.458,54.23,,,,2.833,21.542,
2011-01-09,15.562,19.666,4.104,,,,1.083,8.417,
2011-01-10,21.734,38.272,16.538,,,,1.375,6.833,
2011-01-11,7.194,10.438,3.244,,,,0.5,4.625,
2011-01-12,17.479,23.646,6.167,,,,1.087,5.417,
2011-01-13,15.711,24.604,8.894,,,,1.792,12.083,
2011-01-14,6.75,8.979,2.229,,,,1.083,5.667,
2011-01-15,6.292,8.334,2.042,,,,1.0,6.208,
2011-01-16,12.688,20.125,7.438,,,,0.708,6.625,
2011-01-17,22.146,38.48,16.334,,,,1.042,8.417,
2011-01-18,27.333,43.5,16.167,,,,1.25,9.0,
2011-01-19,44.938,109.834,64.896,,,,4.958,16.042,
2011-01-20,32.854,55.312,22.458,,,,2.875,10.333,
2011-01-21,29.458,57.75,28.292,,,,3.458,13.5,
2011-01-22,12.104,14.938,2.834,,,,1.583,4.875,
2011-01-23,11.646,15.0,3.354,,,,0.875,10.542,
2011-01-24,14.221,17.674,3.453,,,,1.042,8.75,
2011-01-25,24.958,38.336,13.378,,,,1.208,9.208,
2011-01-26,15.605,23.854,8.25,,,,1.174,9.083,
2011-01-27,17.708,26.083,8.375,,,,1.042,8.208,
2011-01-28,8.25,10.771,2.521,,,,0.875,6.75,
2011-01-29,19.5,33.333,13.834,,,,1.375,7.25,
2011-01-30,31.934,66.816,34.881,,,,1.292,6.75,
2011-01-31,23.0,37.312,14.312,,,,1.792,9.458,
2011-02-01,27.771,51.104,23.334,,,,3.667,10.167,
2011-02-02,20.396,30.208,9.812,,,,1.667,5.833,
2011-02-03,16.646,24.146,7.5,,,,0.833,6.667,
2011-02-04,22.73,35.583,12.854,,,,1.917,10.208,
2011-02-05,15.355,21.938,6.583,,,,1.208,9.042,
2011-02-06,22.062,30.271,8.208,,,,1.958,9.913,
2011-02-07,27.152,42.772,15.62,,,,2.083,13.083,
2011-02-08,6.331,8.076,1.745,,,,1.375,9.542,
2011-02-09,12.0,20.458,8.458,,,,1.739,7.042,
2011-02-10,7.104,9.292,2.188,,,,1.125,9.0,
2011-02-11,9.396,12.312,2.917,,,,1.0,6.417,
2011-02-12,5.562,7.334,1.771,,,,0.833,7.375,
2011-02-13,10.875,13.521,2.646,,,,1.125,8.083,
2011-02-14,40.25,69.354,29.104,,,,7.917,33.708,
2011-02-15,15.395,18.666,3.271,,,,2.167,17.292,
2011-02-16,10.584,13.52,2.938,,,,1.458,9.542,
2011-02-17,22.521,35.979,13.458,,,,1.875,7.625,
2011-02-18,31.834,48.084,16.25,,,,2.708,10.375,
2011-02-19,32.292,69.229,36.938,,,,2.792,12.875,
2011-02-20,15.792,22.166,6.375,,,,1.792,9.458,
2011-02-21,6.87,8.74,1.87,,,,1.458,13.708,
2011-02-22,14.598,17.764,3.165,,,,1.125,7.5,
2011-02-23,21.229,25.229,4.0,,,,2.478,21.208,
2011-02-24,21.188,26.0,4.812,,,,0.292,8.792,
2011-02-25,28.833,39.5,10.667,,,,4.125,12.75,
2011-02-26,17.916,22.188,4.27,,,,2.292,7.75,
2011-02-27,18.354,23.708,5.354,,,,0.667,5.833,
2011-02-28,27.729,40.625,12.895,,,,0.667,10.208,
2011-03-01,28.062,34.834,6.771,,,,2.167,19.208,
2011-03-02,10.77,12.604,1.834,,,,0.458,14.333,
2011-03-03,16.312,21.688,5.375,,,,0.583,11.25,
2011-03-04,14.834,18.104,3.271,,,,0.333,6.542,
2011-03-05,36.896,56.125,19.229,,,,5.25,15.333,
2011-03-06,28.694,43.824,15.13,,,,2.042,11.917,
2011-03-07,15.738,20.313,4.576,,,,0.792,6.333,
2011-03-08,14.104,16.416,2.312,,,,0.174,6.957,
2011-03-09,18.917,23.146,4.229,,,,1.417,9.25,
2011-03-10,22.146,29.416,7.271,,,,3.0,12.625,
2011-03-11,17.875,23.667,5.792,,,,1.167,11.25,
2011-03-12,16.458,19.292,2.834,,,,1.792,12.667,
2011-03-13,14.625,17.688,3.062,,,,0.75,10.708,
2011-03-14,17.958,23.979,6.021,,,,1.833,14.083,
2011-03-15,12.958,15.479,2.521,,,,1.708,18.542,
2011-03-16,17.75,23.375,5.625,,,,2.208,12.0,
2011-03-17,14.208,17.375,3.167,,,,0.958,11.917,
2011-03-18,13.896,16.396,2.5,,,,0.375,13.708,
2011-03-19,6.562,8.354,1.792,,,,0.458,10.25,
2011-03-20,9.131,11.678,2.546,,,,0.625,10.333,
2011-03-21,15.41,19.496,4.086,,,,0.875,12.25,
2011-03-22,26.125,31.958,5.833,,,,1.478,23.292,
2011-03-23,16.229,17.979,1.75,,,,1.0,15.208,
2011-03-24,18.854,21.5,2.646,,,,0.708,10.042,
2011-03-25,11.354,13.396,2.042,,,,0.833,7.5,
2011-03-26,12.674,16.326,3.652,,,,0.958,11.75,
