date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean
2011-03-19,4.528,4.847,0.319,0.601,5.792
2011-03-20,7.028,7.778,0.75,1.506,11.625
2011-03-21,5.945,6.458,0.514,1.351,13.042
2011-03-22,10.399,11.355,0.956,1.973,13.875
2011-03-23,12.736,13.903,1.166,0.958,12.292
2011-03-24,5.611,5.875,0.264,1.03,17.083
2011-03-25,3.431,3.611,0.181,0.866,12.542
2011-03-26,4.792,5.209,0.417,1.115,10.75
2011-03-27,7.972,9.222,1.25,1.97,15.625
2011-03-28,6.87,7.656,0.786,2.018,24.125
2011-03-29,6.375,7.069,0.695,1.379,20.0
2011-03-30,7.181,8.194,1.014,1.238,12.0
2011-03-31,3.625,3.861,0.236,0.411,8.417
2011-04-01,9.361,10.528,1.167,2.452,
2011-04-02,9.806,10.875,1.069,2.804,
2011-04-03,2.5,2.861,0.361,0.768,
2011-04-04,2.597,3.083,0.486,0.899,
2011-04-05,5.957,6.631,0.674,1.441,
2011-04-06,8.361,9.681,1.32,1.783,
2011-04-07,6.042,7.097,1.055,0.98,
2011-04-08,3.5,4.194,0.695,0.48,
2011-04-09,10.39,12.208,1.818,1.057,
2011-04-10,9.125,10.042,0.917,2.513,
2011-04-11,7.25,8.139,0.889,2.554,
2011-04-12,4.597,5.125,0.528,1.161,
2011-04-13,8.329,9.496,1.167,2.183,
2011-04-14,7.216,8.247,1.03,2.91,
2011-04-15,11.635,13.29,1.655,2.935,
2011-04-16,7.472,8.597,1.125,2.065,
2011-04-17,5.209,5.889,0.681,0.975,
2011-04-18,7.611,8.931,1.32,1.19,
2011-04-19,4.69,5.741,1.051,0.913,
2011-04-20,3.792,4.361,0.569,0.682,
2011-04-21,7.32,9.694,2.375,1.75,
2011-04-22,8.014,9.847,1.834,0.934,
2011-04-23,3.611,4.222,0.611,0.47,
2011-04-24,5.611,6.583,0.972,1.071,
2011-04-25,7.749,9.489,1.74,2.048,
2011-04-26,5.583,6.639,1.056,1.953,
2011-04-27,3.486,4.194,0.708,0.709,
2011-04-28,5.125,5.972,0.847,0.928,
2011-04-29,4.615,5.426,0.811,1.223,
2011-04-30,3.319,3.778,0.458,1.314,
2011-05-01,4.833,5.57,0.736,0.631,
2011-05-02,6.403,7.25,0.847,1.661,
2011-05-03,9.903,11.361,1.459,1.256,
2011-05-04,5.847,7.292,1.444,1.571,
2011-05-05,6.019,6.678,0.658,1.929,
2011-05-06,2.861,3.5,0.639,0.809,
2011-05-07,3.903,4.722,0.82,1.133,
2011-05-08,5.667,7.111,1.444,1.032,
2011-05-09,6.114,7.698,1.585,1.577,
2011-05-10,9.208,12.194,2.986,1.51,
2011-05-11,8.514,13.042,4.528,0.637,
2011-05-12,5.236,7.403,2.167,0.446,
2011-05-13,5.569,7.639,2.069,1.155,
