date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,PM25_mean
2011-01-01,199.0,5.375,23.271,18.625,30.5,11.875,1.167,20.771,222.27100000000002,19.833
2011-01-02,198.1085,4.608499999999999,16.739,15.587,27.326,11.739,1.261,16.1875,214.8475,13.292
2011-01-03,190.70850000000002,3.8335,11.7915,13.125,24.0,10.875,1.125,7.958,202.5,2.75
2011-01-04,194.64600000000002,4.9375,14.645499999999998,18.9795,40.0835,21.104,1.5,13.3955,209.29149999999998,9.25
2011-01-05,192.3835,4.25,13.120999999999999,21.479,51.75,30.271,1.167,11.125,205.50400000000002,6.75
2011-01-06,199.04149999999998,5.521,32.396,33.7915,86.479,52.6875,1.833,17.2085,231.4375,14.042
2011-01-07,191.70850000000002,3.8335,13.6875,16.4795,34.354,17.875,1.083,10.8125,205.39600000000002,6.208
2011-01-08,192.3125,4.104,12.542,13.4165,25.042,11.625,1.042,9.3955,204.85399999999998,5.417
2011-01-09,198.4785,6.3260000000000005,30.0435,28.326,68.89150000000001,40.5655,1.478,27.5415,228.522,27.125
2011-01-10,197.70850000000002,5.5205,28.6875,34.2915,72.4585,38.1665,1.833,25.2295,226.39600000000002,24.792
2011-01-11,194.72899999999998,4.8335,23.6045,25.1665,75.6045,50.4375,1.833,23.2295,218.33350000000002,22.958
2011-01-12,192.20850000000002,5.292,22.5625,29.5625,86.6665,57.104,1.208,14.5625,214.77100000000002,9.958
2011-01-13,194.14600000000002,6.292,30.354,36.4375,112.8955,76.458,1.75,21.1875,224.5,19.125
2011-01-14,194.708,5.854,23.3335,21.5625,55.729,34.1665,1.542,15.7085,218.04149999999998,11.208
2011-01-15,199.39600000000002,6.0,25.1045,24.1875,46.6875,22.5,1.458,19.1045,224.5,19.083
2011-01-16,196.087,5.0649999999999995,23.652,27.5865,49.913,22.326,1.174,26.1455,219.739,23.708
2011-01-17,196.5625,5.125,27.979,32.146,73.021,40.875,1.792,26.146,224.54149999999998,23.042
2011-01-18,199.7295,7.125,40.646,43.521,125.3955,81.875,2.042,33.5415,240.375,34.375
2011-01-19,195.35399999999998,4.8545,26.5835,28.6665,79.25,50.583,2.167,30.583,221.9375,28.792
2011-01-20,192.41649999999998,4.229,20.854,27.958,60.792,32.833,1.042,20.979,213.27100000000002,17.667
2011-01-21,191.5625,3.9585,20.271,23.979,48.8545,24.875,1.0,15.0625,211.83350000000002,11.958
2011-01-22,193.958,5.3125,28.0,22.0,52.8335,30.833,1.0,12.729,221.95850000000002,11.0
2011-01-23,202.6575,6.9535,38.143,26.893500000000003,103.1875,76.29400000000001,1.381,19.2085,240.8005,17.708
2011-01-24,193.958,4.945,17.75,29.6005,71.076,41.4755,1.0,14.604,211.70850000000002,11.565
2011-01-25,193.3125,5.667,24.8125,31.5,98.5625,67.0625,1.417,20.8545,218.125,16.917
2011-01-26,195.79149999999998,5.3125,25.0,29.708,74.0,44.2915,1.375,17.8545,220.79149999999998,13.583
2011-01-27,200.8125,7.083,34.8955,33.646,114.5625,80.9165,1.5,22.9375,235.70850000000002,18.542
2011-01-28,197.3955,5.4375,24.75,25.7915,68.9795,43.1875,1.75,21.542,222.14600000000002,15.542
2011-01-29,193.25,3.9165,13.6875,14.0625,26.2705,12.2085,1.167,13.0835,206.9375,6.417
2011-01-30,196.783,6.0649999999999995,27.783,34.0,105.89099999999999,71.8915,1.348,18.854,224.565,14.375
2011-01-31,195.996,5.146,22.7095,31.6875,83.0415,51.354,1.75,19.9585,218.70600000000002,13.333
2011-02-01,193.5265,5.4165,20.049500000000002,30.1665,90.021,59.8545,1.917,20.0625,213.5755,14.875
2011-02-02,191.167,3.9795,12.333,18.8125,46.104,27.292,1.667,13.4165,203.5,7.125
2011-02-03,195.41649999999998,6.5205,27.875,37.771,108.5625,70.7915,1.75,20.2915,223.29149999999998,15.417
2011-02-04,192.75,6.104,29.25,28.625,79.3125,50.6875,2.042,22.083,222.0,19.708
2011-02-05,192.25,5.083,18.292,20.0835,30.875,10.792000000000002,2.375,20.8125,210.54149999999998,17.292
2011-02-06,200.9345,7.630000000000001,31.848,39.5435,105.9785,66.435,1.391,52.2915,232.7825,52.792
2011-02-07,197.14600000000002,7.0415,33.833,34.1875,76.229,42.0415,1.417,38.7915,230.97899999999998,33.667
2011-02-08,189.1875,4.0625,15.646,20.7915,48.4375,27.6455,1.083,10.333,204.83350000000002,6.083
2011-02-09,188.6875,3.9795,16.7085,23.5,58.646,35.1455,1.333,12.3335,205.39600000000002,7.0
2011-02-10,197.7995,6.25,30.127000000000002,36.2085,101.75,65.542,1.833,23.896,227.9265,19.542
2011-02-11,193.4375,4.229,16.6665,20.604,46.2085,25.6045,1.333,14.5,210.10399999999998,9.5
2011-02-12,193.5,4.0625,13.458,15.207999999999998,28.5625,13.354500000000002,1.292,12.7705,206.95850000000002,9.167
2011-02-13,194.2175,5.4565,23.0435,34.478500000000004,69.30449999999999,34.826,1.87,22.5415,217.261,24.208
2011-02-14,194.54149999999998,6.0625,29.667,37.917,92.4585,54.5415,1.542,45.072,224.20850000000002,41.292
2011-02-15,193.89600000000002,6.25,25.958,29.7915,83.1875,53.396,1.625,30.771,219.85399999999998,28.042
2011-02-16,191.083,4.021,18.771,26.6875,44.8335,18.1455,1.0,18.6665,209.85399999999998,15.208
2011-02-17,191.52100000000002,4.4375,20.7295,25.625,56.7295,31.1045,1.667,22.833,212.25,18.833
2011-02-18,189.77100000000002,3.583,12.9585,16.7915,31.9375,15.146,1.167,12.9585,202.7295,7.167
2011-02-19,195.75,6.0835,25.5625,26.4165,58.0625,31.646,1.375,18.625,221.3125,14.958
2011-02-20,197.9275,5.3260000000000005,25.0975,35.283500000000004,82.58,47.296499999999995,2.0,23.855,223.0245,18.292
2011-02-21,196.72899999999998,5.5205,26.8955,41.0415,89.7915,48.75,2.458,25.917,223.625,21.417
2011-02-22,193.765,4.1665,14.872,23.546,32.9855,9.439499999999999,2.792,26.758,208.6365,22.478
2011-02-23,194.70850000000002,5.7915,26.0,35.0625,80.9375,45.875,1.458,34.4795,220.70850000000002,29.708
2011-02-24,192.167,4.771,13.0,24.375,40.5625,16.1875,3.458,32.0415,205.16649999999998,28.333
2011-02-25,192.60399999999998,4.417,15.9585,22.5835,33.3545,10.771,1.042,18.375,208.5625,16.042
2011-02-26,191.625,3.75,11.458,14.1665,21.2085,7.0415,1.292,14.5835,203.08350000000002,10.417
2011-02-27,191.82600000000002,3.565,12.478,16.1305,34.1085,17.9785,1.043,13.875,204.3045,9.917
2011-02-28,193.9795,3.5835,14.0,20.2915,26.7915,6.5,1.292,14.7915,207.97899999999998,11.042
2011-03-01,198.04149999999998,7.0415,37.729,41.0415,99.4165,58.375,1.375,27.75,235.7705,22.833
2011-03-02,197.04149999999998,5.833,33.8335,32.646,87.8125,55.1665,1.208,25.8545,230.875,21.125
2011-03-03,191.375,3.792,12.833,14.104,16.292,2.1875,1.708,16.1045,204.20850000000002,11.875
2011-03-04,192.97899999999998,3.5415,11.333,9.646,11.3335,1.6875,1.0,19.4375,204.3125,15.375
2011-03-05,196.54399999999998,5.9565,25.331,32.674,79.1955,46.5215,1.0,16.0,221.8755,12.708
2011-03-06,198.8955,6.146,33.375,28.479,75.125,46.646,2.125,22.5205,232.2705,15.542
2011-03-07,190.79149999999998,5.2295,18.979,26.146,49.2295,23.0835,2.292,34.6875,209.7705,22.75
2011-03-08,191.167,4.6665,18.5,22.6875,33.521,10.8335,1.75,26.5625,209.66649999999998,19.0
2011-03-09,193.22899999999998,4.7705,23.208,28.9795,44.0835,15.104,1.042,20.3335,216.4375,15.708
2011-03-10,190.3545,3.625,12.9375,15.479500000000002,19.5625,4.0835,1.0,7.479,203.292,2.625
2011-03-11,191.375,4.104,13.104,16.0,22.396,6.3955,1.458,14.125,204.47899999999998,8.542
2011-03-12,191.495,4.1735,11.998000000000001,21.848,49.87,28.022000000000002,1.304,11.7295,203.493,7.125
2011-03-13,193.6455,4.125,13.7085,24.9375,52.021,27.0835,1.208,12.979,207.35399999999998,9.292
2011-03-14,194.625,4.167,17.125,29.229,52.8545,23.625,1.542,16.375,211.75,13.625
2011-03-15,195.5205,4.6045,20.5415,25.8955,66.1045,40.208,1.5,22.2295,216.0625,18.333
2011-03-16,193.77100000000002,4.271,15.396,26.146,36.4585,10.3125,1.792,23.229,209.16649999999998,17.958
2011-03-17,198.16649999999998,6.2295,30.375,39.0415,67.7915,28.75,1.417,42.5,228.54149999999998,36.75
2011-03-18,197.7705,6.708,30.5415,25.6045,53.771,28.1665,1.292,36.2915,228.3125,27.375
2011-03-19,192.087,3.3975,15.7765,19.003,41.950500000000005,22.9475,1.364,13.126999999999999,207.8635,7.625
2011-03-20,192.3125,3.8545,15.145499999999998,19.25,32.625,13.375,1.75,19.1875,207.458,14.292
2011-03-21,191.8955,3.25,10.125,17.854,37.5,19.646,1.167,14.75,202.0205,9.625
2011-03-22,199.6775,6.4355,36.3785,47.335,103.8485,56.5135,1.958,34.6525,236.0565,30.739
2011-03-23,195.875,6.1665,31.2915,43.25,71.0625,27.8125,1.667,44.479,227.16649999999998,38.083
2011-03-24,190.5,4.583,17.8545,25.083,38.4165,13.3335,1.25,13.3335,208.35399999999998,7.833
2011-03-25,192.3955,4.1875,16.8335,16.875,34.5,17.625,1.417,11.708,209.22899999999998,7.542
2011-03-26,194.761,4.2395,16.2605,29.804499999999997,66.174,36.37,1.043,15.5625,211.0215,11.708
2011-03-27,194.25,4.354,17.333,30.8955,63.396,32.5,1.625,19.042,211.583,14.625
2011-03-28,195.292,4.7085,19.167,29.0,64.5,35.5,1.792,30.9375,214.458,26.542
2011-03-29,196.667,3.771,13.979,24.667,41.75,17.083,1.958,20.729,210.64600000000002,13.708
2011-03-30,200.72899999999998,5.0835,29.5835,34.083,77.625,43.5415,2.083,33.375,230.3125,25.958
2011-03-31,190.9375,2.8125,10.5,9.604,14.5625,4.9585,1.292,19.8335,201.4375,8.917
2011-04-01,,3.7295,,29.5835,59.1665,29.583,1.917,22.854,,20.792
2011-04-02,,4.4375,,26.521,52.396,25.875,2.0,33.5415,,29.167
2011-04-03,,2.8335,,13.457999999999998,18.625,5.1665,1.375,17.7915,,12.083
2011-04-04,,2.9505,,20.6525,40.2175,19.565,1.217,13.375,,9.583
2011-04-05,,4.271,,33.021,64.896,31.875,1.917,20.604,,19.292
2011-04-06,,4.4375,,34.0205,69.6875,35.6665,2.292,24.417,,23.042
2011-04-07,,4.25,,34.2085,65.875,31.6665,2.25,29.4375,,25.375
2011-04-08,183.769,2.8125,14.154,22.6875,39.0415,16.3545,2.0,21.146,197.923,14.083
2011-04-09,189.542,4.0,26.208,24.3125,48.5,24.1875,1.958,25.3335,215.75,17.583
2011-04-10,188.917,3.354,13.0,11.0415,13.8125,2.7705,2.292,21.0415,201.917,14.458
2011-04-11,193.0,4.348,21.0,23.5435,46.587,23.0435,2.435,32.333,214.0,25.583
2011-04-12,197.72899999999998,3.3225,15.625,18.958,35.125,16.167,1.583,21.5415,213.3545,16.458
2011-04-13,198.48000000000002,4.625,27.356499999999997,32.667,63.5,30.8335,2.042,28.1045,225.837,22.083
2011-04-14,194.54149999999998,4.8335,27.875,34.417,57.146,22.729,3.125,36.792,222.41649999999998,28.917
2011-04-15,193.458,4.479,28.333,30.8125,59.271,28.458,3.292,39.0,221.792,32.333
2011-04-16,187.1875,3.625,17.5,17.0625,30.9795,13.917000000000002,1.958,25.25,204.6875,19.5
2011-04-17,190.10399999999998,3.125,14.5,10.208,13.6875,3.479,1.958,19.0205,204.60399999999998,13.667
2011-04-18,189.8135,3.2560000000000002,16.1035,15.459499999999998,25.2035,9.744,2.2,20.5355,205.917,14.875
2011-04-19,190.08350000000002,3.667,17.4795,20.521,34.2705,13.75,1.542,13.332999999999998,207.5625,8.792
2011-04-20,194.65300000000002,4.0985,21.4165,22.7045,53.1745,30.47,1.75,12.989999999999998,216.07,10.043
2011-04-21,191.58350000000002,3.458,15.6665,19.4165,26.3545,6.9375,2.083,18.7085,207.25,11.167
2011-04-22,191.58350000000002,4.1875,19.9375,24.854,40.521,15.6665,2.0,28.1875,211.52100000000002,23.417
2011-04-23,185.542,2.6875,12.25,11.125,15.5835,4.4585,1.917,14.082999999999998,197.792,8.042
2011-04-24,187.833,3.25,11.896,9.229,12.9375,3.7085,1.833,11.8955,199.72899999999998,8.125
2011-04-25,193.079,4.5,20.5985,29.3765,59.485,30.1085,1.696,18.3125,213.678,15.083
