date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,THC_mean
2011-01-01,9.271,9.375,0.104,38.375,191.955,4.0,35.0,195.955
2011-01-02,12.108,14.37,2.261,15.084,189.292,3.625,11.292,192.917
2011-01-03,7.875,8.271,0.396,30.479,190.958,2.333,27.417,193.292
2011-01-04,5.0,5.604,0.604,16.646,187.682,2.682,15.0,190.364
2011-01-05,11.938,14.583,2.646,10.396,186.792,4.208,9.667,191.0
2011-01-06,18.625,22.666,4.042,13.084,188.708,8.792,12.625,197.5
2011-01-07,27.02,39.729,12.708,17.0,190.727,15.727,14.667,206.455
2011-01-08,15.27,17.812,2.542,13.104,188.958,8.292,9.333,197.25
2011-01-09,14.739,15.892,1.152,36.688,195.292,10.042,32.792,205.333
2011-01-10,28.0,37.73,9.729,55.854,196.045,15.864,49.0,211.909
2011-01-11,10.188,12.208,2.021,21.875,188.958,5.458,18.875,194.417
2011-01-12,19.229,25.958,6.73,16.292,188.708,8.292,11.292,197.0
2011-01-13,9.988,11.024,1.036,24.652,188.95,3.95,23.391,192.9
2011-01-14,23.166,33.438,10.271,29.73,193.875,11.833,25.458,205.708
2011-01-15,19.02,23.333,4.312,14.396,191.583,9.458,12.125,201.042
2011-01-16,14.717,15.782,1.066,12.0,187.636,6.455,8.417,194.091
2011-01-17,20.916,33.396,12.479,9.584,189.917,11.75,5.792,201.667
2011-01-18,28.304,44.59,16.285,13.52,188.667,13.708,9.625,202.375
2011-01-19,22.146,30.625,8.479,20.729,187.591,13.818,11.542,201.409
2011-01-20,9.542,10.812,1.27,8.229,184.958,8.458,5.792,193.417
2011-01-21,17.271,24.146,6.875,7.666,187.083,12.833,4.833,199.917
2011-01-22,14.729,17.812,3.084,13.688,191.545,9.864,11.625,201.409
2011-01-23,5.804,6.782,0.978,4.416,187.5,1.917,2.042,189.417
2011-01-24,5.916,6.52,0.604,9.375,188.5,3.0,10.417,191.5
2011-01-25,7.812,8.688,0.875,15.625,189.273,1.364,14.917,190.636
2011-01-26,9.854,10.938,1.083,6.938,188.783,2.348,5.833,191.13
2011-01-27,23.438,29.833,6.396,20.042,190.375,8.875,18.125,199.25
2011-01-28,19.062,32.688,13.625,29.688,192.417,11.5,24.833,203.917
2011-01-29,13.23,15.75,2.521,18.416,192.0,8.045,15.375,200.045
2011-01-30,17.913,26.326,8.413,15.271,192.708,9.292,12.625,202.0
2011-01-31,26.708,44.75,18.042,21.188,194.042,12.792,20.875,206.833
2011-02-01,8.708,9.77,1.062,25.75,189.476,3.952,21.391,193.429
2011-02-02,6.375,7.458,1.083,6.896,188.167,3.0,6.5,191.167
2011-02-03,20.062,24.292,4.229,15.0,189.292,8.208,11.792,197.5
2011-02-04,14.479,17.75,3.271,24.854,189.864,5.909,22.042,195.773
2011-02-05,18.834,21.833,3.0,37.083,192.5,11.208,30.875,203.708
2011-02-06,23.609,38.5,14.892,35.229,195.958,23.083,27.542,219.042
2011-02-07,9.25,10.125,0.875,21.458,189.5,5.364,18.042,194.864
2011-02-08,5.146,5.896,0.75,6.312,187.625,2.042,4.792,189.667
2011-02-09,9.604,10.5,0.896,10.146,187.708,3.292,7.292,191.0
2011-02-10,18.792,23.834,5.042,10.372,188.818,8.773,8.478,197.591
2011-02-11,17.188,23.334,6.146,7.812,190.583,8.708,3.542,199.292
2011-02-12,16.938,20.416,3.48,13.396,192.708,8.958,10.083,201.667
2011-02-13,23.392,33.978,10.586,18.646,191.318,15.818,10.375,207.136
2011-02-14,28.812,70.854,42.042,17.77,195.625,29.292,7.458,224.917
2011-02-15,19.792,27.396,7.604,29.062,192.375,16.333,18.0,208.708
2011-02-16,18.25,26.271,8.021,15.208,190.773,9.727,10.208,200.5
2011-02-17,6.146,7.5,1.354,12.146,188.167,2.5,9.417,190.667
2011-02-18,8.583,9.875,1.292,10.208,189.75,4.333,7.542,194.083
2011-02-19,10.792,12.146,1.354,14.98,189.364,5.455,10.833,194.818
2011-02-20,19.652,25.804,6.152,12.625,188.708,7.458,9.333,196.167
2011-02-21,26.416,32.188,5.771,17.708,189.292,10.958,12.542,200.25
2011-02-22,20.229,28.958,8.729,16.646,190.773,15.091,8.875,205.864
2011-02-23,15.084,24.396,9.312,22.208,191.583,11.333,15.958,202.917
2011-02-24,9.562,9.792,0.229,35.021,190.833,5.708,31.696,196.542
2011-02-25,12.042,12.584,0.542,28.042,189.5,10.5,21.458,200.0
2011-02-26,9.5,10.146,0.646,9.479,188.875,6.417,8.375,195.292
2011-02-27,12.456,14.848,2.392,9.646,190.0,8.167,7.542,198.167
2011-02-28,15.708,18.229,2.521,11.646,189.636,8.273,9.708,197.909
2011-03-01,30.73,58.834,28.104,27.188,192.167,22.75,17.5,214.917
2011-03-02,14.583,19.542,4.958,13.646,187.227,10.045,6.958,197.273
2011-03-03,7.875,8.5,0.625,17.52,188.542,5.875,14.5,194.417
2011-03-04,10.062,11.854,1.792,12.646,190.292,8.042,9.833,198.333
2011-03-05,24.304,37.826,13.522,9.125,191.864,17.182,4.25,209.045
2011-03-06,19.5,25.604,6.104,25.954,192.167,10.667,21.913,202.833
2011-03-07,17.104,21.875,4.771,46.902,194.375,13.0,40.75,207.375
2011-03-08,19.792,31.375,11.584,53.771,198.091,14.636,46.458,212.727
2011-03-09,7.438,7.604,0.166,25.0,189.875,7.625,22.875,197.5
2011-03-10,6.542,6.77,0.229,14.646,189.333,6.333,13.667,195.667
2011-03-11,9.25,9.854,0.604,26.521,190.727,5.227,25.5,195.955
2011-03-12,9.282,10.434,1.152,9.292,188.783,3.435,9.375,192.217
2011-03-13,18.896,22.292,3.396,14.062,189.625,8.292,12.125,197.917
2011-03-14,23.938,31.875,7.938,21.896,193.917,8.458,18.958,202.375
2011-03-15,22.271,26.146,3.875,38.229,192.682,9.773,33.875,202.455
2011-03-16,23.354,27.354,4.0,35.438,190.25,9.5,28.25,199.75
2011-03-17,11.416,12.688,1.27,24.479,189.5,6.875,19.25,196.375
2011-03-18,10.854,11.292,0.438,24.666,190.136,7.727,19.75,197.864
2011-03-19,7.152,7.478,0.326,15.271,188.417,8.542,10.957,196.958
