date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,CO_mean
2011-02-17,18.883,36.642,17.759,1.708,11.917,4.087
2011-02-18,11.183,18.205,7.022,0.813,6.333,3.583
2011-02-19,17.395,25.44,8.046,1.202,11.833,4.75
2011-02-20,34.342,65.342,31.0,2.303,14.75,6.391
2011-02-21,48.642,112.634,63.992,4.561,31.833,9.042
2011-02-22,28.832,44.253,15.421,1.854,22.583,4.667
2011-02-23,25.192,53.125,27.933,1.25,14.75,5.25
2011-02-24,15.1,23.65,8.55,1.542,28.167,3.739
2011-02-25,28.928,44.412,15.484,1.104,26.417,6.375
2011-02-26,8.851,11.933,3.082,0.266,9.5,3.708
2011-02-27,14.775,24.667,9.892,0.242,11.542,3.167
2011-02-28,21.175,38.142,16.967,0.842,11.391,3.625
2011-03-01,46.027,86.912,40.886,3.219,18.958,6.458
2011-03-02,30.63,65.494,34.864,1.854,14.792,5.261
2011-03-03,10.231,14.465,4.233,0.906,18.083,3.292
2011-03-04,11.037,13.773,2.735,0.472,13.958,3.458
2011-03-05,27.876,53.565,25.69,0.935,7.708,5.174
2011-03-06,37.709,94.114,56.405,4.043,18.333,9.375
2011-03-07,22.414,38.164,15.75,2.104,29.917,5.875
2011-03-08,23.125,37.142,14.017,2.521,28.125,5.833
2011-03-09,23.304,37.177,13.873,0.926,20.417,5.333
2011-03-10,9.5,13.965,4.464,0.25,12.75,3.25
2011-03-11,11.991,15.725,3.733,1.698,15.625,4.083
2011-03-12,15.647,26.482,10.835,0.597,12.556,3.391
2011-03-13,20.845,36.655,15.81,0.953,11.222,4.292
2011-03-14,34.234,57.288,23.054,2.438,15.292,5.292
2011-03-15,28.783,52.767,23.983,1.886,19.583,4.708
2011-03-16,34.175,53.5,19.325,1.594,14.0,4.783
2011-03-17,36.472,63.14,26.668,0.865,14.083,6.75
2011-03-18,33.459,68.642,35.183,2.114,23.0,10.333
2011-03-19,12.277,19.438,7.161,0.188,5.75,2.696
2011-03-20,21.492,30.625,9.133,1.979,12.667,4.417
2011-03-21,20.025,32.096,12.071,1.374,14.042,2.909
2011-03-22,46.281,80.833,34.552,5.302,23.25,6.231
2011-03-23,30.667,47.531,16.865,0.792,10.25,3.826
2011-03-24,25.0,36.13,11.13,2.031,17.708,6.208
2011-03-25,10.525,13.825,3.3,1.125,15.375,3.958
2011-03-26,22.83,36.343,13.512,0.853,13.458,4.652
2011-03-27,34.358,59.239,24.88,3.087,21.292,5.75
2011-03-28,28.852,47.433,18.581,3.562,28.292,5.208
2011-03-29,28.3,44.317,16.017,2.688,20.042,5.125
2011-03-30,34.008,56.367,22.358,4.167,17.125,5.435
2011-03-31,19.203,27.35,8.147,1.646,9.167,4.0
2011-04-01,34.725,51.258,16.533,3.052,31.429,5.652
2011-04-02,30.408,43.182,12.774,3.542,30.958,5.292
2011-04-03,6.532,9.048,2.516,0.283,7.292,2.167
2011-04-04,13.575,21.142,7.567,0.345,8.167,2.609
2011-04-05,26.458,41.367,14.908,2.156,16.167,3.792
2011-04-06,33.823,52.029,18.206,2.864,18.375,5.0
2011-04-07,34.892,55.842,20.95,3.084,15.667,5.333
2011-04-08,35.183,56.717,21.533,2.166,13.826,5.261
2011-04-09,21.496,32.559,11.063,0.865,11.667,4.167
2011-04-10,24.157,28.467,4.31,3.506,30.333,6.208
2011-04-11,30.803,47.129,16.325,3.487,26.333,5.417
2011-04-12,27.333,41.642,14.308,2.198,23.542,5.167
2011-04-13,38.307,61.424,23.117,4.375,27.208,5.522
2011-04-14,42.875,65.883,23.008,7.812,35.708,5.708
2011-04-15,36.617,53.758,17.142,5.25,24.833,5.652
2011-04-16,20.356,31.908,11.553,1.875,26.458,4.625
2011-04-17,16.136,20.683,4.547,1.657,10.458,4.167
2011-04-18,24.7,39.345,14.511,1.866,19.958,4.217
2011-04-19,22.175,37.508,15.333,1.048,7.083,4.708
2011-04-20,19.309,33.575,14.267,0.417,2.933,3.0
2011-04-21,32.325,53.742,21.417,3.375,,5.083
2011-04-22,46.508,77.517,31.008,1.333,,5.783
2011-04-23,27.72,47.223,19.503,0.417,,4.75
2011-04-24,20.495,25.959,5.463,1.602,,5.25
2011-04-25,32.534,50.242,17.708,2.178,,5.708
2011-04-26,30.475,48.583,18.109,2.916,36.286,5.217
2011-04-27,29.426,46.822,17.396,3.625,24.583,5.625
2011-04-28,24.183,37.875,13.691,2.354,18.75,4.542
2011-04-29,24.917,34.217,9.3,3.521,16.375,5.217
2011-04-30,26.783,37.564,10.781,2.844,21.417,5.583
2011-05-01,22.829,30.038,7.209,1.128,18.667,5.333
2011-05-02,26.567,42.117,15.55,1.78,63.042,5.375
2011-05-03,27.867,35.317,7.45,3.76,73.792,5.958
2011-05-04,22.957,30.206,7.248,3.594,51.875,5.792
2011-05-05,14.958,17.992,3.033,1.364,18.667,4.167
2011-05-06,25.775,36.6,10.825,1.552,24.739,4.217
2011-05-07,16.081,20.977,4.896,1.114,11.333,3.667
2011-05-08,15.95,19.529,3.579,2.938,21.708,4.458
2011-05-09,23.833,35.075,11.241,2.192,35.125,4.435
2011-05-10,23.136,51.211,28.075,2.976,25.583,4.333
2011-05-11,23.792,61.173,37.382,1.708,9.375,4.75
2011-05-12,26.183,45.083,18.9,0.479,4.833,3.708
2011-05-13,24.217,38.492,14.275,2.656,24.625,4.957
2011-05-14,21.991,29.884,7.893,3.354,24.0,5.042
2011-05-15,21.413,26.305,4.892,2.85,22.208,4.75
2011-05-16,30.658,43.733,13.075,4.818,28.417,5.542
2011-05-17,30.125,43.25,13.125,5.219,33.708,5.542
2011-05-18,39.951,56.237,16.285,4.35,29.667,5.913
2011-05-19,32.25,47.542,15.292,3.646,29.458,5.042
2011-05-20,26.517,42.334,15.817,3.698,22.792,4.957
2011-05-21,19.012,31.293,12.281,2.834,12.0,4.25
2011-05-22,10.23,13.402,3.173,1.164,4.542,2.875
2011-05-23,14.842,25.158,10.317,0.167,5.417,2.261
2011-05-24,22.081,33.958,11.877,1.427,5.958,4.042
2011-05-25,34.938,52.775,17.838,3.749,14.833,4.875
2011-05-26,22.983,32.375,9.392,1.46,16.043,2.708
2011-05-27,18.725,25.6,6.875,0.125,6.708,2.261
2011-05-28,20.011,29.221,9.21,0.0,3.125,3.333
2011-05-29,5.564,7.17,1.606,0.0,1.083,2.0
2011-05-30,9.266,13.192,3.925,0.042,1.625,1.783
2011-05-31,19.23,29.876,10.646,1.226,5.292,3.583
2011-06-01,25.263,41.614,16.352,0.531,7.417,3.042
2011-06-02,24.092,42.05,17.958,1.229,14.75,4.375
2011-06-03,28.89,47.715,18.825,3.364,31.417,5.913
2011-06-04,20.846,30.243,9.397,4.114,32.417,5.083
2011-06-05,19.781,24.779,4.998,4.285,21.708,5.25
2011-06-06,33.733,50.037,16.304,3.238,31.083,5.957
2011-06-07,35.117,51.608,16.492,2.677,27.875,5.25
2011-06-08,27.073,37.21,10.136,2.834,14.958,4.208
2011-06-09,25.617,40.717,15.1,3.281,16.478,5.125
2011-06-10,30.417,50.092,19.675,3.688,26.75,5.957
2011-06-11,23.006,34.321,11.314,1.958,12.708,5.125
2011-06-12,24.17,28.478,4.308,1.678,24.917,5.5
2011-06-13,30.7,47.708,17.008,4.263,20.333,6.217
2011-06-14,23.315,36.626,13.311,1.74,18.042,3.875
2011-06-15,27.248,41.553,14.305,1.635,10.875,3.417
2011-06-16,24.542,38.017,13.475,1.208,15.833,3.292
2011-06-17,31.108,46.842,15.733,2.719,10.958,5.522
2011-06-18,33.253,45.729,12.476,2.323,18.125,6.208
2011-06-19,20.896,28.282,7.386,2.372,15.583,6.625
2011-06-20,28.57,50.441,21.872,1.121,10.167,4.957
2011-06-21,23.733,46.375,22.642,3.896,14.083,4.625
2011-06-22,21.172,45.631,24.459,5.237,25.292,4.667
