date,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-03-01,4.299,48.558,187.2,20.0,14.292,28.479,14.188,34.167,207.2
2011-03-02,4.083,37.333,186.125,27.292,13.938,27.229,13.292,26.167,213.417
2011-03-03,4.54,19.004,186.875,10.458,7.068,8.191,1.123,18.25,197.333
2011-03-04,2.709,24.905,188.125,11.0,6.584,7.666,1.084,21.5,199.125
2011-03-05,2.927,18.177,188.273,22.182,11.335,16.605,5.27,11.875,210.455
2011-03-06,2.78,19.781,190.833,22.75,9.585,18.566,8.981,16.5,213.583
2011-03-07,4.634,44.438,192.75,23.083,9.062,10.542,1.479,45.458,215.833
2011-03-08,3.77,44.436,192.542,17.917,9.46,13.039,3.579,42.792,210.458
2011-03-09,2.989,24.737,190.625,15.583,9.062,10.438,1.375,19.208,206.208
2011-03-10,3.025,24.677,189.25,12.208,6.95,8.362,1.412,20.042,201.458
2011-03-11,4.295,23.156,189.833,6.583,4.312,4.854,0.542,25.042,196.417
2011-03-12,2.633,11.052,188.875,5.0,4.358,4.838,0.48,11.875,193.875
2011-03-13,2.582,12.221,189.045,7.682,6.416,7.208,0.792,14.042,196.727
2011-03-14,4.191,16.005,187.958,8.25,7.271,8.416,1.146,16.542,196.208
2011-03-15,6.353,35.878,189.375,7.583,6.438,6.834,0.396,35.792,196.958
2011-03-16,5.542,27.615,188.818,14.227,13.188,14.688,1.5,27.0,203.045
2011-03-17,5.036,45.443,187.458,20.792,12.458,16.255,3.798,28.167,208.25
2011-03-18,3.661,32.803,190.0,16.042,11.646,16.396,4.75,29.042,206.042
2011-03-19,3.853,11.691,187.083,9.583,6.024,6.926,0.902,12.042,196.667
2011-03-20,5.021,18.385,187.909,11.909,8.146,9.896,1.75,18.583,199.818
2011-03-21,4.328,15.927,187.792,12.667,7.744,8.808,1.064,15.708,200.458
2011-03-22,6.216,17.122,187.875,14.333,10.77,12.562,1.792,17.625,202.208
2011-03-23,3.066,23.87,185.875,15.75,12.15,13.695,1.546,21.5,201.625
2011-03-24,3.88,24.891,187.458,5.833,4.088,4.65,0.562,26.375,193.292
2011-03-25,3.672,12.693,188.667,3.958,3.625,3.729,0.104,11.708,192.625
2011-03-26,3.126,14.682,188.727,7.864,5.938,6.699,0.762,14.917,196.591
2011-03-27,4.947,25.127,189.5,12.5,7.0,8.0,1.0,26.773,202.0
2011-03-28,5.355,28.768,188.167,10.042,5.905,6.428,0.524,24.292,198.208
2011-03-29,6.667,28.198,188.333,16.292,10.188,11.708,1.52,25.375,204.625
2011-03-30,6.807,25.984,186.75,15.792,10.833,14.917,4.083,24.625,202.542
2011-03-31,3.446,13.417,185.458,6.042,4.398,5.024,0.625,9.292,191.5
2011-04-01,8.726,40.501,187.917,32.625,19.188,22.854,3.666,,220.542
2011-04-02,6.874,33.932,185.083,23.75,10.146,11.354,1.208,,208.833
2011-04-03,4.547,14.203,184.583,14.5,5.166,6.042,0.875,,199.083
2011-04-04,4.182,10.536,191.087,12.826,5.878,6.86,0.982,,203.913
2011-04-05,5.374,16.375,187.167,24.542,12.5,15.326,2.826,,211.708
2011-04-06,6.453,21.63,187.292,32.667,18.688,22.27,3.584,,219.958
2011-04-07,6.764,17.819,184.769,32.538,15.696,19.016,3.321,,217.308
2011-04-08,6.453,22.26,182.625,45.708,23.118,28.356,5.238,,228.333
2011-04-09,4.895,33.151,183.583,37.625,15.875,21.292,5.416,,221.208
2011-04-10,6.592,26.237,184.917,26.208,9.0,10.084,1.084,,211.125
2011-04-11,6.806,34.735,184.5,19.042,6.272,6.941,0.668,,203.542
2011-04-12,5.422,24.592,184.818,28.182,9.479,10.854,1.375,,213.0
2011-04-13,6.224,24.672,185.583,22.708,8.334,9.542,1.208,,208.292
