date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CO_mean
2011-01-01,74.0,54.361,37.667,16.281,22.104,5.823,,0.75,13.01,8.0,3.342,0.2,3.208
2011-01-02,78.667,57.125,32.0,14.49,22.614,8.125,,0.597,8.49,10.767,3.685,-1.5,3.25
2011-01-03,56.667,39.125,19.667,8.434,9.685,1.25,,0.449,2.156,9.967,4.881,0.1,1.609
2011-01-04,72.0,50.153,32.667,13.437,19.802,6.365,,0.778,5.01,8.267,3.349,-1.567,2.583
2011-01-05,56.0,36.431,19.0,14.68,21.886,7.206,,0.639,2.932,8.533,3.937,-0.733,2.348
2011-01-06,62.667,44.069,21.667,28.271,58.229,29.958,,1.264,9.062,9.967,4.106,-1.833,3.75
2011-01-07,58.333,40.056,19.0,9.542,11.667,2.125,,0.861,2.354,8.667,4.418,1.4,1.875
2011-01-08,52.333,38.028,23.667,7.521,8.49,0.969,,0.417,1.844,8.467,4.218,-0.633,1.625
2011-01-09,69.0,51.93,32.667,23.542,41.625,18.084,,0.972,17.334,8.9,3.519,-1.1,4.75
2011-01-10,77.0,54.111,33.667,32.913,75.968,43.054,,1.319,18.667,9.5,4.169,-1.633,5.0
2011-01-11,76.333,51.347,27.0,18.933,49.45,30.518,,1.084,12.941,9.7,3.539,-0.133,3.333
2011-01-12,54.0,38.375,22.0,22.318,45.966,23.648,,0.822,5.97,6.733,1.865,-2.433,3.208
2011-01-13,71.333,45.236,23.0,32.084,89.823,57.74,,1.305,13.916,11.133,3.601,-4.2,4.833
2011-01-14,59.333,42.014,24.667,14.177,22.865,8.688,,1.014,6.969,7.6,3.55,-0.5,3.083
2011-01-15,63.0,47.417,35.333,17.219,25.625,8.406,,1.125,12.646,6.467,3.079,-0.6,4.167
2011-01-16,51.667,42.556,36.0,20.156,34.292,14.136,,1.014,17.583,4.833,3.535,1.833,3.5
2011-01-17,61.667,47.028,29.0,30.098,60.38,30.283,,1.217,20.969,7.533,3.464,0.233,4.348
2011-01-18,71.333,54.597,35.667,36.204,89.326,53.122,,1.355,22.292,8.667,2.631,-2.9,5.625
2011-01-19,82.333,62.333,39.0,24.958,64.312,39.354,,1.181,21.719,9.233,4.133,-1.667,3.958
2011-01-20,95.333,90.861,76.0,16.843,20.068,3.226,,0.478,12.661,3.1,1.779,0.633,2.458
2011-01-21,96.0,90.361,83.333,13.26,15.833,2.573,,0.028,6.854,3.667,2.899,2.133,1.958
2011-01-22,96.0,87.486,73.0,15.646,29.677,14.031,,0.042,10.708,7.733,4.896,2.6,3.5
2011-01-23,95.667,86.07,65.667,21.719,73.125,51.406,,0.542,14.208,7.967,3.681,0.367,5.208
2011-01-24,93.667,61.417,36.333,18.837,34.25,15.413,,0.551,7.0,5.367,2.006,-0.433,2.87
2011-01-25,88.333,62.014,28.667,26.625,61.427,34.802,,0.792,10.458,8.3,2.518,-2.433,3.667
2011-01-26,82.333,53.139,32.0,22.078,41.669,19.591,,0.998,7.854,5.4,1.297,-2.267,3.0
2011-01-27,82.333,59.319,28.333,25.177,76.261,51.083,,1.208,13.625,6.8,0.519,-5.067,4.875
2011-01-28,79.667,50.889,29.0,16.552,30.969,14.417,,1.125,10.021,5.033,0.747,-3.233,2.875
2011-01-29,57.667,42.306,20.333,10.927,14.531,3.604,,1.055,5.677,5.5,0.907,-2.1,2.125
2011-01-30,67.0,43.986,23.667,26.469,63.417,36.948,,1.111,9.01,5.733,0.853,-3.967,5.083
2011-01-31,65.667,43.722,22.0,22.75,47.326,24.576,,0.985,8.375,8.567,2.167,-3.333,3.565
2011-02-01,72.0,51.792,31.333,22.844,50.364,27.521,,1.611,11.604,9.4,1.975,-3.967,3.625
2011-02-02,53.333,32.111,13.333,10.694,14.76,4.066,,1.216,5.42,4.4,1.093,-1.867,2.292
2011-02-03,64.667,41.542,15.0,33.165,86.336,53.171,,1.625,11.684,6.267,0.712,-5.7,5.182
2011-02-04,73.667,44.028,17.0,24.823,59.136,34.312,,1.319,12.854,10.4,3.085,-4.4,4.417
2011-02-05,70.0,49.333,31.333,20.167,27.573,7.406,,1.93,16.032,9.3,4.685,-1.267,4.167
2011-02-06,91.667,74.875,57.667,32.229,55.333,23.104,,1.444,41.156,4.833,3.251,0.467,5.375
2011-02-07,96.333,87.861,60.333,29.663,65.152,35.489,,0.928,36.396,10.767,7.136,3.867,5.261
2011-02-08,62.0,43.917,32.667,11.172,15.422,4.25,,0.824,3.359,8.3,5.36,1.267,2.208
2011-02-09,62.333,40.125,20.667,19.972,38.362,18.389,,0.754,5.483,7.6,2.799,-2.3,2.727
2011-02-10,75.333,51.5,25.667,31.156,72.833,41.677,,1.097,13.938,9.3,3.654,-2.133,4.5
2011-02-11,77.333,44.0,24.0,11.938,15.875,3.938,,0.736,6.542,8.0,3.776,-1.367,2.375
2011-02-12,62.333,41.569,25.667,8.958,11.333,2.375,,0.68,6.448,7.867,3.118,-2.0,1.833
2011-02-13,58.667,43.292,30.667,27.812,47.781,19.969,,1.18,19.334,7.6,3.714,-0.667,3.542
2011-02-14,94.333,74.458,56.667,31.272,58.663,27.391,,1.102,33.26,5.967,3.482,0.8,4.261
2011-02-15,95.333,66.153,36.667,19.604,50.135,30.531,,1.25,21.969,11.667,5.678,3.167,4.042
2011-02-16,84.0,54.445,39.0,21.612,32.749,11.136,,0.718,12.789,3.767,2.532,1.0,2.667
2011-02-17,90.333,61.931,24.333,19.74,33.927,14.188,,0.972,15.729,8.2,3.101,-0.367,2.875
2011-02-18,85.333,43.931,17.0,7.886,9.646,1.76,,0.903,5.552,5.1,1.422,-1.467,1.542
2011-02-19,65.333,41.208,12.667,18.666,28.334,9.667,,1.069,11.073,7.033,1.561,-4.733,3.875
2011-02-20,71.667,45.208,18.667,31.563,65.448,33.886,,1.305,14.396,10.4,3.911,-3.467,5.042
2011-02-21,73.0,40.736,13.0,32.815,74.87,42.054,,1.464,18.188,13.133,6.274,-1.767,4.0
2011-02-22,77.667,53.278,40.333,22.666,34.384,11.718,,2.466,21.489,10.2,7.151,4.467,3.375
2011-02-23,94.333,81.792,48.667,25.521,39.583,14.062,,1.194,32.473,11.4,7.238,4.133,4.5
2011-02-24,73.667,44.556,27.667,16.75,21.396,4.646,,2.916,26.16,14.8,10.583,7.133,3.833
2011-02-25,94.0,83.25,67.667,15.729,20.042,4.312,,0.903,14.083,6.933,5.171,2.967,3.333
2011-02-26,75.667,54.208,35.667,10.636,13.917,3.281,,0.514,9.208,8.233,4.96,2.9,3.042
2011-02-27,43.0,33.014,23.0,6.427,7.823,1.396,,0.528,7.688,7.4,3.581,0.567,1.875
2011-02-28,58.667,42.347,28.333,19.62,30.348,10.728,,1.116,10.0,6.6,2.819,-1.167,3.13
