date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,SO2_mean
2011-01-01,6.792,23.5,35.021,11.521,21.625,21.084,3.625
2011-01-02,4.958,15.562,22.188,6.625,12.542,13.5,3.125
2011-01-03,4.708,15.333,22.062,6.729,5.0,8.75,2.75
2011-01-04,6.292,22.938,38.042,15.104,11.833,12.834,3.458
2011-01-05,6.5,27.364,54.223,26.86,7.292,10.513,2.87
2011-01-06,8.125,39.542,85.625,46.084,13.875,15.334,4.333
2011-01-07,5.708,20.875,37.792,16.917,6.333,9.875,3.042
2011-01-08,5.917,18.958,27.958,9.0,6.5,8.417,3.0
2011-01-09,8.125,30.646,61.958,31.312,19.208,20.375,4.042
2011-01-10,8.435,39.262,94.173,54.911,23.478,22.517,4.667
2011-01-11,5.167,26.498,62.739,36.242,19.917,20.368,3.95
2011-01-12,5.125,30.166,64.833,34.666,11.75,12.938,4.625
2011-01-13,7.5,38.979,101.312,62.334,17.75,20.542,5.333
2011-01-14,6.917,28.188,58.521,30.333,16.625,18.396,5.583
2011-01-15,6.792,27.104,48.334,21.23,16.792,19.48,5.917
2011-01-16,5.667,29.708,53.25,23.542,19.167,23.104,4.333
2011-01-17,6.957,38.478,77.022,38.544,24.429,28.665,4.591
2011-01-18,8.5,47.792,116.375,68.583,35.208,33.938,4.435
2011-01-19,6.042,32.916,65.396,32.48,28.0,27.75,4.625
2011-01-20,3.667,18.958,29.833,10.875,21.042,15.542,4.958
2011-01-21,3.833,18.188,28.146,9.958,9.0,9.542,4.0
2011-01-22,6.167,17.834,36.729,18.896,13.833,10.562,4.0
2011-01-23,8.043,27.403,96.75,69.348,16.636,16.124,4.583
2011-01-24,5.333,26.777,58.496,31.72,12.833,12.0,3.455
2011-01-25,6.75,32.854,85.666,52.812,20.0,18.416,3.167
2011-01-26,6.25,30.354,64.084,33.73,12.042,14.354,3.542
2011-01-27,6.625,31.938,75.104,43.166,14.042,17.02,3.833
2011-01-28,5.833,23.938,46.854,22.916,15.333,17.688,3.583
2011-01-29,3.833,11.208,15.542,4.334,6.167,11.688,3.042
2011-01-30,5.913,29.684,63.623,33.94,9.13,13.744,3.333
2011-01-31,5.542,31.0,75.062,44.062,12.042,15.792,4.083
2011-02-01,5.458,25.354,58.312,32.958,15.417,20.5,4.458
2011-02-02,4.75,23.386,46.157,22.771,7.667,11.912,3.348
2011-02-03,7.167,32.75,76.896,44.146,11.167,15.125,4.083
2011-02-04,6.875,33.479,71.666,38.188,16.25,18.584,4.208
2011-02-05,8.042,29.17,44.6,15.43,22.208,23.146,5.583
2011-02-06,8.652,39.916,79.416,39.5,62.958,38.979,4.083
2011-02-07,8.958,35.438,79.979,44.542,41.957,38.292,2.75
2011-02-08,5.375,22.57,40.504,17.933,10.0,11.364,3.5
2011-02-09,5.875,30.5,59.792,29.292,9.292,12.979,3.75
2011-02-10,7.333,35.708,80.729,45.021,19.25,20.354,5.083
2011-02-11,5.917,26.084,44.792,18.708,17.667,17.479,4.583
2011-02-12,5.417,16.27,25.834,9.562,12.417,14.146,3.667
2011-02-13,6.565,39.014,76.0,36.987,22.435,26.578,4.917
2011-02-14,5.458,32.5,55.896,23.396,50.125,38.479,4.5
2011-02-15,6.083,25.978,53.625,27.648,39.792,37.878,4.391
2011-02-16,3.875,25.0,39.75,14.75,21.833,22.5,3.708
2011-02-17,4.917,29.021,52.896,23.875,33.417,23.792,4.042
2011-02-18,3.458,15.0,25.354,10.355,12.833,12.666,3.542
2011-02-19,5.0,20.52,29.938,9.417,14.0,15.354,4.583
2011-02-20,6.0,34.458,67.416,32.958,18.917,19.125,4.625
2011-02-21,7.043,41.0,82.674,41.674,19.455,24.318,5.174
2011-02-22,5.667,27.854,43.021,15.166,25.375,29.166,6.417
2011-02-23,6.417,28.938,50.396,21.458,35.417,32.833,3.917
2011-02-24,6.0,25.479,33.688,8.208,25.167,31.646,7.083
2011-02-25,6.208,25.521,37.98,12.458,21.042,21.104,3.75
2011-02-26,4.625,16.375,21.438,5.062,8.75,12.958,3.875
2011-02-27,3.739,12.926,21.538,8.612,7.522,13.302,3.333
2011-02-28,4.042,22.0,33.834,11.834,9.5,15.125,4.042
2011-03-01,7.917,32.884,80.45,47.566,18.25,18.786,3.609
2011-03-02,6.917,30.416,74.042,43.625,29.333,24.604,3.417
2011-03-03,4.958,17.396,26.104,8.708,12.5,16.104,3.875
2011-03-04,5.042,16.584,21.98,5.396,21.958,21.854,4.208
2011-03-05,6.0,27.532,49.748,22.214,8.333,10.7,3.125
2011-03-06,8.375,36.208,77.542,41.333,26.652,29.542,4.045
2011-03-07,6.25,25.562,39.729,14.166,23.958,33.958,5.458
