date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,85.5,68.916,43.5,14.895,24.125,9.229,,1.583,15.146,9.15,4.421,-0.5,182.957,7.5,11.957,194.913
2011-01-02,89.5,75.792,54.5,8.021,12.542,4.521,,1.938,13.542,8.05,4.479,2.8,182.087,6.833,5.609,187.696
2011-01-03,74.0,60.125,48.5,9.104,16.125,7.021,,2.0,17.083,7.0,4.583,2.4,180.522,7.25,6.087,186.609
2011-01-04,91.5,62.625,29.0,8.021,13.802,5.782,,4.392,24.646,7.75,3.319,0.9,182.478,7.348,6.87,189.348
2011-01-05,78.5,70.521,50.0,11.134,22.028,10.894,,1.551,8.449,6.85,3.046,0.85,181.136,6.261,5.864,187.0
2011-01-06,83.0,62.208,34.0,20.87,49.574,28.704,,1.928,13.621,9.75,4.7,0.75,181.609,7.375,11.0,192.609
2011-01-07,87.5,74.604,57.5,9.771,16.875,7.104,,1.312,7.396,6.6,3.608,2.2,181.348,5.583,5.0,186.348
2011-01-08,83.5,68.542,54.0,14.312,26.416,12.104,,1.521,11.083,5.6,2.76,-0.65,182.348,7.375,9.957,192.304
2011-01-09,83.0,68.146,49.0,18.334,37.312,18.979,,2.75,16.771,9.6,4.467,0.05,183.739,8.0,14.913,198.652
2011-01-10,87.0,67.979,40.0,26.583,64.52,37.938,,2.916,27.729,10.85,5.367,1.4,184.478,9.625,19.652,204.13
2011-01-11,93.0,65.416,36.5,15.87,29.918,14.047,,3.566,25.73,9.75,4.654,0.25,182.522,7.174,8.913,191.435
2011-01-12,90.5,75.312,55.5,25.73,72.672,46.942,,2.009,12.482,4.0,1.369,-0.65,182.381,8.739,21.0,203.381
2011-01-13,86.0,58.917,37.0,22.208,63.167,40.958,,2.729,16.625,9.25,4.329,-0.85,182.304,7.917,16.043,198.348
2011-01-14,73.5,62.688,52.5,11.375,23.375,12.0,,3.042,20.23,6.9,5.023,3.25,182.522,7.625,6.087,188.609
2011-01-15,70.0,60.167,46.0,7.292,12.916,5.625,,2.146,13.625,7.75,5.188,3.15,181.087,6.208,5.13,186.217
2011-01-16,61.0,53.146,43.0,18.125,37.875,19.75,,2.0,16.166,5.15,3.998,3.25,180.913,7.25,10.696,191.609
2011-01-17,80.5,56.438,30.0,25.438,71.104,45.667,,2.083,17.188,8.85,4.215,0.2,182.522,7.833,17.913,200.435
2011-01-18,86.5,66.916,42.0,33.565,120.62,87.055,,2.761,17.084,8.55,2.762,-2.45,183.957,9.696,34.13,218.087
2011-01-19,92.5,82.604,66.5,32.381,114.608,82.226,,2.606,19.442,6.5,3.817,0.8,182.682,8.826,31.409,214.091
2011-01-20,92.5,85.062,73.5,25.125,50.896,25.771,,1.938,13.292,8.6,6.477,4.45,178.783,7.625,17.0,195.783
2011-01-21,91.0,84.625,75.5,22.854,38.75,15.895,,1.917,16.604,7.55,6.535,5.75,180.0,7.458,14.696,194.696
2011-01-22,95.5,77.792,56.0,17.25,31.062,13.812,,1.896,12.354,10.9,6.594,2.35,180.217,7.5,12.261,192.478
2011-01-23,82.0,70.771,53.0,13.688,30.104,16.417,,1.916,7.479,9.3,5.654,2.3,180.75,6.833,6.75,187.5
2011-01-24,79.5,60.604,46.5,13.062,34.188,21.125,,1.875,9.812,5.1,2.367,0.6,180.333,6.875,7.556,187.889
2011-01-25,54.5,46.396,28.5,12.754,26.22,13.466,,2.413,16.25,5.85,1.815,-0.25,180.435,7.0,6.87,187.304
2011-01-26,66.0,54.688,42.0,14.298,35.462,21.164,,2.138,11.913,4.8,1.496,-0.55,180.727,7.087,7.318,188.045
2011-01-27,76.5,58.125,48.5,19.23,42.0,22.77,,3.646,22.229,6.35,2.419,-0.2,181.087,8.208,11.217,192.304
2011-01-28,68.5,59.666,50.0,12.688,20.875,8.188,,3.312,19.521,7.4,3.433,1.9,181.13,6.625,5.522,186.652
2011-01-29,75.5,61.021,46.5,4.125,5.146,1.021,,1.979,9.646,4.15,1.817,0.0,180.348,5.042,2.957,183.304
2011-01-30,89.0,74.584,61.5,20.646,42.854,22.208,,2.042,12.146,3.5,1.34,-0.95,181.217,7.208,11.174,192.391
2011-01-31,79.5,60.604,41.0,21.396,50.916,29.521,,2.188,13.125,5.1,1.873,-1.9,181.043,7.708,11.435,192.478
2011-02-01,83.0,61.896,39.5,20.192,52.262,32.07,,3.348,19.917,6.05,1.96,-2.75,181.565,7.261,14.435,196.0
2011-02-02,80.5,61.125,50.5,7.864,15.454,7.59,,2.159,10.636,2.5,-0.571,-2.5,180.762,5.773,4.429,185.19
2011-02-03,71.5,54.562,34.0,19.666,42.666,23.0,,2.5,14.5,4.9,0.658,-2.9,181.739,7.917,10.217,191.957
2011-02-04,70.0,49.5,30.0,17.604,36.125,18.52,,3.833,23.75,7.9,3.758,-0.3,181.217,7.375,8.318,189.455
2011-02-05,68.0,53.917,33.5,15.625,26.458,10.833,,4.938,33.667,8.7,4.967,1.25,182.217,8.125,9.435,191.652
2011-02-06,95.5,88.312,72.5,26.958,40.521,13.562,,3.292,34.042,6.35,5.019,3.6,180.957,8.25,17.478,198.435
