date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-01-01,188.667,8.014,7.725,8.967,1.242,20.667,4.658,25.5,196.681,4.264
2011-01-02,187.958,6.625,7.092,8.95,1.858,14.958,3.642,15.717,194.583,4.208
2011-01-03,189.929,8.105,8.421,10.039,1.617,24.208,6.601,27.1,198.033,4.852
2011-01-04,189.611,8.324,7.761,9.698,1.937,28.167,7.545,23.692,197.935,4.454
2011-01-05,188.708,8.389,11.534,14.995,3.46,26.0,5.815,19.868,197.097,4.431
2011-01-06,189.814,10.541,15.392,21.375,5.983,14.667,3.185,13.129,200.354,4.949
2011-01-07,192.222,11.917,12.25,18.842,6.592,8.167,1.591,9.342,204.139,5.625
2011-01-08,191.25,10.722,11.725,14.717,2.992,8.625,2.025,10.091,201.972,4.597
2011-01-09,193.861,12.944,14.366,18.992,4.625,28.167,6.425,28.517,206.806,6.625
2011-01-10,192.906,11.985,16.611,23.212,6.602,33.667,4.938,37.691,204.891,6.364
2011-01-11,190.514,9.445,10.15,13.915,3.765,28.458,6.661,22.272,199.959,4.775
2011-01-12,192.381,12.189,13.789,20.612,6.823,10.333,2.053,10.06,204.57,5.532
2011-01-13,191.055,10.782,11.014,14.365,3.35,26.667,7.655,27.783,201.837,4.96
2011-01-14,193.375,12.167,15.117,19.9,4.783,33.083,4.775,36.133,205.542,6.153
2011-01-15,191.806,11.486,11.892,15.375,3.483,13.708,1.925,15.542,203.292,5.181
2011-01-16,192.264,12.75,13.892,17.175,3.283,12.792,1.825,15.417,205.014,4.514
2011-01-17,189.75,15.583,15.408,25.142,9.733,11.333,1.783,12.392,205.333,6.264
2011-01-18,189.406,14.398,19.696,30.904,11.208,13.958,4.445,16.083,203.804,6.074
2011-01-19,189.587,19.134,26.423,45.069,18.646,17.727,3.493,24.814,208.721,6.525
2011-01-20,187.056,9.847,12.216,17.403,5.187,6.458,1.773,11.795,196.903,4.625
2011-01-21,187.097,12.583,14.925,19.675,4.75,13.875,2.217,15.683,199.681,4.597
2011-01-22,187.083,11.319,11.058,15.3,4.242,10.75,3.683,11.683,198.403,4.444
2011-01-23,187.833,6.695,7.35,10.275,2.925,16.5,4.85,13.517,194.528,3.625
2011-01-24,188.397,6.675,8.079,11.62,3.541,21.208,6.051,11.934,195.072,3.735
2011-01-25,189.383,8.993,10.756,15.883,5.127,24.417,5.285,16.659,198.376,4.687
2011-01-26,191.924,6.664,8.717,12.693,3.976,18.5,6.213,10.458,198.587,4.161
2011-01-27,193.375,9.778,16.402,21.455,5.054,24.5,3.568,27.667,203.153,5.404
2011-01-28,193.819,8.722,12.192,18.192,6.0,29.792,3.617,33.25,202.542,5.792
2011-01-29,191.667,6.847,9.25,12.516,3.267,11.625,3.117,12.192,198.514,4.111
2011-01-30,192.083,9.042,13.417,19.833,6.416,11.958,3.358,14.708,201.125,5.403
2011-01-31,191.385,8.592,14.792,20.217,5.425,12.917,3.532,13.783,199.977,4.686
2011-02-01,191.294,6.307,8.483,10.611,2.128,27.375,6.666,26.164,197.601,4.083
