date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,SPM_mean
2011-01-01,17.271,22.344,5.073,0.0,,16.083
2011-01-02,10.673,14.555,3.882,0.042,,14.208
2011-01-03,8.848,9.798,0.95,0.25,,8.333
2011-01-04,9.42,10.177,0.757,1.435,,15.833
2011-01-05,13.125,14.667,1.542,0.042,,5.125
2011-01-06,25.186,31.862,6.677,0.542,,9.455
2011-01-07,13.729,16.073,2.344,0.0,,4.708
2011-01-08,16.396,20.323,3.927,0.042,,5.208
2011-01-09,18.552,24.221,5.67,0.333,,7.5
2011-01-10,28.939,54.43,25.491,0.479,,19.208
2011-01-11,19.443,39.437,19.994,0.115,,12.958
2011-01-12,17.719,23.927,6.208,0.188,,7.958
2011-01-13,23.76,46.562,22.802,0.75,,14.833
2011-01-14,12.968,15.438,2.469,1.604,,8.083
2011-01-15,11.333,12.625,1.292,0.166,,9.375
2011-01-16,22.825,28.318,5.493,0.375,,8.333
2011-01-17,28.004,48.302,20.297,0.334,,13.542
2011-01-18,35.381,77.446,42.065,0.782,,25.292
2011-01-19,40.781,90.185,49.404,0.708,,33.333
2011-01-20,30.094,42.958,12.864,0.0,,19.583
2011-01-21,26.271,34.094,7.823,0.0,,15.625
2011-01-22,13.302,16.156,2.854,0.042,,5.583
2011-01-23,19.0,31.876,12.876,0.25,,6.458
2011-01-24,16.617,19.826,3.21,0.333,,3.417
2011-01-25,18.725,24.958,6.234,1.37,,11.292
2011-01-26,19.156,25.104,5.948,0.916,,5.125
2011-01-27,25.281,52.5,27.219,0.834,,14.417
2011-01-28,20.281,24.802,4.521,1.229,,17.875
2011-01-29,8.39,8.558,0.169,0.271,,3.25
2011-01-30,17.362,22.988,5.626,0.208,,6.25
2011-01-31,23.514,37.638,14.125,0.225,,4.292
2011-02-01,22.689,50.982,28.294,0.913,,9.542
2011-02-02,14.958,17.136,2.177,0.583,,6.625
2011-02-03,30.253,57.964,27.71,0.562,,13.682
2011-02-04,20.927,40.51,19.584,0.938,,19.417
2011-02-05,14.49,17.365,2.875,0.854,,23.125
2011-02-06,31.708,54.844,23.136,0.354,,35.417
2011-02-07,22.157,40.47,18.314,0.166,,14.25
2011-02-08,8.348,9.142,0.794,0.113,,5.083
2011-02-09,14.032,18.594,4.562,0.271,,8.625
2011-02-10,19.75,30.292,10.542,0.229,,13.083
2011-02-11,12.427,15.677,3.25,0.104,,11.917
2011-02-12,9.573,10.635,1.062,0.062,,7.625
2011-02-13,29.122,38.014,8.892,0.188,,15.958
2011-02-14,33.998,65.968,31.97,0.0,,21.917
2011-02-15,25.709,43.781,18.072,0.652,,21.625
2011-02-16,19.844,23.813,3.969,0.188,,10.417
2011-02-17,13.198,15.76,2.563,0.458,,11.167
2011-02-18,9.688,10.958,1.271,0.021,,6.708
2011-02-19,11.166,12.594,1.427,0.25,,7.042
2011-02-20,25.232,34.669,9.437,0.042,,9.125
2011-02-21,27.432,46.155,18.723,0.834,,19.417
2011-02-22,25.187,35.667,10.481,0.478,,30.083
2011-02-23,24.948,32.844,7.897,0.125,,32.667
2011-02-24,21.969,25.844,3.875,2.0,,33.875
2011-02-25,23.969,28.427,4.458,0.396,,27.375
2011-02-26,8.636,9.073,0.438,0.042,,10.125
2011-02-27,9.773,10.584,0.811,0.084,,7.958
2011-02-28,22.842,28.029,5.187,0.282,,16.583
2011-03-01,33.365,47.188,13.823,0.979,,25.042
2011-03-02,31.252,65.08,33.828,0.084,,27.913
2011-03-03,9.771,10.635,0.865,0.104,,11.167
2011-03-04,20.688,22.719,2.031,0.334,,26.125
2011-03-05,39.009,58.793,19.784,0.0,,22.25
2011-03-06,32.285,59.898,27.612,0.334,,26.625
2011-03-07,16.144,16.84,0.696,0.74,,30.542
2011-03-08,25.198,27.667,2.469,1.542,,32.875
2011-03-09,23.812,25.24,1.427,0.292,,24.375
2011-03-10,9.656,9.948,0.292,0.0,,9.625
2011-03-11,5.823,5.948,0.125,0.333,,6.625
2011-03-12,9.542,10.44,0.898,0.021,,7.792
2011-03-13,11.54,12.954,1.414,0.0,,8.292
2011-03-14,29.288,39.868,10.58,0.391,,12.542
2011-03-15,22.86,37.695,14.834,0.592,,13.708
2011-03-16,22.917,29.708,6.792,0.584,,12.875
2011-03-17,24.229,33.323,9.094,0.021,,23.417
2011-03-18,20.031,28.719,8.688,0.104,,25.708
2011-03-19,6.148,6.621,0.473,0.042,,3.833
2011-03-20,9.158,9.958,0.8,0.0,,4.25
2011-03-21,7.747,8.512,0.764,0.13,,10.083
2011-03-22,18.396,24.396,6.0,0.73,,15.875
2011-03-23,22.469,26.125,3.656,0.021,,21.417
2011-03-24,13.542,15.958,2.417,0.042,,5.542
2011-03-25,5.614,5.812,0.198,0.0,,8.833
2011-03-26,8.108,8.727,0.619,0.042,,11.833
2011-03-27,16.706,21.806,5.1,0.167,,17.625
2011-03-28,18.295,25.177,6.882,1.13,,26.375
2011-03-29,16.073,21.792,5.719,0.52,,19.208
2011-03-30,17.521,23.792,6.271,0.604,,18.542
2011-03-31,3.99,4.302,0.313,0.0,,12.833
2011-04-01,24.104,30.469,6.364,0.375,,19.708
2011-04-02,17.76,21.823,4.062,0.417,,23.958
2011-04-03,5.854,6.01,0.156,0.0,,10.042
2011-04-04,11.15,11.962,0.812,0.0,,7.917
2011-04-05,18.698,21.294,2.597,0.166,,15.609
2011-04-06,23.541,27.872,4.332,0.5,,20.042
2011-04-07,19.021,22.917,3.896,0.166,,15.875
2011-04-08,9.615,10.625,1.01,0.0,,15.875
2011-04-09,8.385,9.802,1.417,0.042,,19.375
2011-04-10,11.396,12.344,0.948,0.354,,32.75
2011-04-11,17.629,19.948,2.319,0.979,,30.75
2011-04-12,12.17,13.491,1.321,0.106,,20.125
2011-04-13,30.522,37.506,6.984,0.91,,31.792
2011-04-14,27.627,35.53,7.904,0.818,,32.667
2011-04-15,24.285,28.206,3.92,0.521,,33.125
2011-04-16,13.812,17.833,4.021,0.25,,35.542
2011-04-17,7.656,8.739,1.083,0.084,,17.25
2011-04-18,12.961,15.797,2.836,0.062,,21.0
2011-04-19,13.194,14.106,0.912,0.125,,7.542
2011-04-20,8.74,9.076,0.336,0.0,,3.25
2011-04-21,20.906,27.708,6.802,0.375,,13.417
2011-04-22,17.666,20.697,3.031,0.062,,18.875
2011-04-23,5.49,5.625,0.136,0.0,,16.125
2011-04-24,10.531,11.177,0.646,0.104,,13.458
2011-04-25,20.3,26.972,6.672,0.271,,12.25
2011-04-26,17.541,23.645,6.104,0.416,,28.958
2011-04-27,5.341,6.336,0.995,0.0,,40.333
2011-04-28,12.521,14.032,1.51,0.333,,13.875
2011-04-29,12.063,13.187,1.125,0.021,,12.917
2011-04-30,12.323,14.448,2.125,0.104,,19.958
2011-05-01,6.24,6.927,0.688,0.0,,20.542
2011-05-02,9.685,10.78,1.094,0.0,,106.091
2011-05-03,15.328,16.937,1.609,0.209,,108.125
2011-05-04,9.828,10.798,0.97,0.152,,42.208
2011-05-05,11.271,11.688,0.416,0.208,,26.417
2011-05-06,11.74,12.333,0.594,0.208,,35.75
2011-05-07,11.031,11.636,0.604,1.521,,21.958
2011-05-08,11.219,12.292,1.073,0.958,,36.167
2011-05-09,12.831,13.254,0.422,0.688,,38.625
2011-05-10,21.52,30.57,9.05,1.087,,50.417
2011-05-11,18.273,20.023,1.75,0.0,,8.417
2011-05-12,19.94,25.784,5.845,0.044,,15.667
2011-05-13,9.708,10.77,1.062,0.062,,74.958
2011-05-14,14.729,19.115,4.386,0.854,,41.083
2011-05-15,11.26,11.99,0.729,1.188,,33.417
2011-05-16,13.28,14.854,1.573,0.521,,36.125
2011-05-17,18.582,21.616,3.034,0.896,,35.417
2011-05-18,18.897,22.658,3.761,0.958,,21.958
2011-05-19,18.854,20.812,1.958,1.542,,38.083
2011-05-20,17.99,20.825,2.835,1.5,,39.708
2011-05-21,13.968,15.677,1.708,1.146,,38.75
2011-05-22,10.042,11.49,1.448,0.438,,20.083
2011-05-23,24.35,29.348,4.999,0.271,,19.833
2011-05-24,13.33,14.324,0.994,0.48,,6.208
2011-05-25,16.308,18.064,1.756,1.021,,18.833
2011-05-26,16.463,20.935,4.472,0.229,,17.792
2011-05-27,14.688,15.166,0.479,0.083,,22.875
2011-05-28,24.146,26.823,2.677,0.021,,26.667
2011-05-29,9.99,12.386,2.396,0.0,,22.0
2011-05-30,7.296,8.282,0.986,0.0,,32.583
2011-05-31,9.041,10.483,1.441,0.167,,10.875
2011-06-01,11.956,14.078,2.122,0.0,,29.208
2011-06-02,18.042,23.948,5.906,0.0,,16.375
2011-06-03,19.006,26.341,7.335,0.646,,41.455
2011-06-04,12.083,20.208,8.125,0.812,,50.25
2011-06-05,9.955,14.875,4.92,1.562,,50.25
2011-06-06,12.875,18.347,5.472,0.688,,29.917
2011-06-07,14.721,18.413,3.692,0.334,,32.833
2011-06-08,12.562,16.083,3.521,0.875,,35.458
2011-06-09,10.722,13.32,2.597,2.729,,29.375
2011-06-10,12.173,16.443,4.27,1.084,,38.875
2011-06-11,7.389,8.5,1.111,0.562,,25.042
2011-06-12,9.153,9.542,0.389,1.042,,29.042
2011-06-13,12.139,14.417,2.278,0.875,,21.042
2011-06-14,7.825,8.46,0.635,0.044,,21.292
2011-06-15,9.833,13.958,4.125,0.75,,23.25
2011-06-16,15.361,22.542,7.181,0.229,,31.125
2011-06-17,13.806,16.264,2.459,0.208,,19.083
2011-06-18,14.222,17.403,3.181,0.0,,24.417
2011-06-19,9.934,11.281,1.347,0.438,,37.917
2011-06-20,15.722,20.929,5.206,0.0,,14.727
2011-06-21,16.224,24.296,8.071,0.542,,19.333
2011-06-22,20.344,33.688,13.344,1.542,,37.458
2011-06-23,15.042,25.666,10.625,0.604,,35.542
2011-06-24,9.51,14.104,4.594,0.562,,29.542
2011-06-25,9.177,11.25,2.073,1.084,,26.708
2011-06-26,2.698,3.0,0.302,0.0,,29.75
2011-06-27,3.544,5.323,1.78,0.0,,23.042
2011-06-28,11.886,18.818,6.932,1.333,,37.042
2011-06-29,13.252,18.171,4.919,0.917,,29.792
2011-06-30,17.052,30.26,13.208,1.938,,41.167
2011-07-01,13.323,19.562,6.24,1.229,,27.792
2011-07-02,9.667,14.427,4.76,0.75,,23.667
2011-07-03,11.25,12.906,1.656,1.042,,44.375
2011-07-04,10.178,12.076,1.898,0.896,,48.625
2011-07-05,12.199,13.381,1.182,0.25,,27.435
2011-07-06,13.155,16.032,2.877,0.48,,26.625
2011-07-07,12.5,18.885,6.386,0.0,,21.75
2011-07-08,8.406,14.281,5.875,0.0,,22.333
2011-07-09,10.552,15.521,4.969,0.604,,33.0
2011-07-10,5.656,8.021,2.364,0.083,,22.208
2011-07-11,6.969,13.66,6.69,0.0,,10.5
2011-07-12,7.557,16.665,9.108,0.044,,13.375
2011-07-13,7.523,15.251,7.728,0.021,,15.5
2011-07-14,7.052,13.552,6.5,0.062,,16.542
2011-07-15,9.24,14.115,4.875,0.625,,16.417
2011-07-16,8.354,12.625,4.271,0.208,,21.333
2011-07-17,6.875,11.208,4.333,0.062,,22.958
2011-07-18,5.629,11.885,6.256,0.0,,25.042
2011-07-19,3.054,5.549,2.495,0.0,,23.625
2011-07-20,7.274,9.912,2.638,0.062,,12.542
2011-07-21,11.792,19.972,8.181,0.334,,21.167
2011-07-22,9.07,9.945,0.875,0.188,,27.042
2011-07-23,14.555,16.403,1.847,0.854,,36.208
2011-07-24,10.486,11.736,1.25,0.229,,40.292
2011-07-25,9.28,13.558,4.278,0.0,,23.625
2011-07-26,11.739,19.305,7.565,0.0,,20.292
2011-07-27,12.222,23.319,11.097,0.0,,23.042
2011-07-28,11.125,21.514,10.389,0.666,,22.75
2011-07-29,9.153,15.792,6.639,0.271,,23.667
2011-07-30,9.555,12.32,2.764,0.292,,25.833
2011-07-31,9.125,10.375,1.25,0.021,,20.25
2011-08-01,10.231,13.507,3.277,0.042,,20.75
2011-08-02,14.028,19.3,5.272,0.0,,28.292
2011-08-03,11.154,21.803,10.648,2.312,,23.375
2011-08-04,11.278,20.458,9.181,0.77,,24.958
2011-08-05,8.454,13.734,5.28,0.188,,14.087
2011-08-06,8.708,13.25,4.542,0.562,,22.5
2011-08-07,10.944,13.542,2.597,0.729,,26.875
2011-08-08,13.749,17.479,3.73,0.809,,34.25
2011-08-09,19.603,24.891,5.288,2.021,,41.708
2011-08-10,17.661,20.946,3.285,1.562,,50.208
2011-08-11,10.152,11.461,1.309,0.148,,27.417
2011-08-12,11.208,11.854,0.646,0.604,,29.208
2011-08-13,8.656,9.812,1.156,0.375,,31.125
2011-08-14,5.75,6.271,0.521,0.542,,52.292
2011-08-15,7.466,8.619,1.153,0.584,,47.208
2011-08-16,10.683,11.67,0.986,0.521,,35.5
2011-08-17,11.422,14.586,3.164,0.584,,47.333
2011-08-18,14.031,22.292,8.26,0.666,,42.875
