date,NO2_mean,NOX_mean,NO_mean,SPM_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO2_mean,CO_mean,NMHC_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,11.014000000000001,13.090166666666667,2.0765,25.472166666666666,99.0,82.667,62.0,82.0,38.0,-3.0,197.792,4300.5,5.217,12.375,,1.25,210.167
2011-01-02,7.979166666666667,9.527833333333334,1.5486666666666666,15.958166666666665,99.0,74.375,42.0,103.0,46.75,11.0,193.292,4156.292,3.958,8.708,,1.0833333333333333,202.0
2011-01-03,6.361666666666667,7.156333333333333,0.7948333333333334,8.243,75.0,54.75,33.0,99.0,41.875,-10.0,187.042,4050.417,3.083,4.958,,0.5379999999999999,192.0
2011-01-04,9.659666666666666,12.444166666666666,2.7846666666666664,12.6875,95.0,65.125,34.0,100.0,42.042,-3.0,192.864,4099.458,4.083,7.818,,2.0276666666666667,200.682
2011-01-05,8.002166666666666,10.407333333333334,2.4048333333333334,9.491666666666667,76.0,51.833,29.0,83.0,34.083,-11.0,190.826,4052.783,3.478,8.696,,0.6970000000000001,199.522
2011-01-06,22.820000000000004,39.439,16.619333333333334,21.366666666666664,96.0,70.542,38.0,82.0,24.792,-29.0,198.25,4292.542,5.708,18.125,,1.246,216.375
2011-01-07,12.552,15.947166666666666,3.3953333333333333,10.902666666666667,92.0,60.292,31.0,81.0,30.417,-17.0,192.0,4117.609,3.375,9.375,,1.0156666666666665,201.375
2011-01-08,12.951166666666666,17.229333333333333,4.277666666666667,14.618166666666667,99.0,68.917,30.0,79.0,20.458,-34.0,197.333,4310.5,4.783,15.333,,1.611,212.667
2011-01-09,13.805666666666667,17.382,3.5765,15.909666666666666,99.0,73.708,47.0,103.0,50.75,12.0,195.375,4252.5,3.917,16.125,,1.6666666666666667,211.5
2011-01-10,13.446333333333333,17.73483333333333,4.288833333333334,12.714333333333334,99.0,68.417,36.0,98.0,57.625,-3.0,191.875,4172.75,3.5,9.958,,2.2613333333333334,201.833
2011-01-11,10.0555,13.611166666666668,3.5555000000000003,12.951500000000001,99.0,71.25,41.0,93.0,51.5,-1.0,189.909,4133.708,4.5,12.5,,2.4723333333333333,202.409
2011-01-12,18.2235,31.16433333333333,12.940833333333332,14.041666666666666,98.0,57.583,28.0,55.0,7.833,-44.0,193.792,4307.25,5.375,11.625,,2.811666666666667,205.417
2011-01-13,23.993166666666667,38.84733333333333,14.854166666666666,20.4375,99.0,64.583,30.0,110.0,36.0,-26.0,195.5,4339.375,5.708,17.875,,1.6666666666666667,213.375
2011-01-14,14.326666666666668,20.645666666666667,6.319,13.972166666666666,87.0,56.25,32.0,75.0,26.333,-17.0,193.375,4209.0,4.583,8.292,,3.2929999999999997,201.667
2011-01-15,10.277666666666667,12.222166666666666,1.9445,18.62483333333333,85.0,59.292,38.0,61.0,28.75,-12.0,192.5,4160.0,3.783,7.167,,1.5836666666666666,199.667
2011-01-16,10.208499999999999,12.902833333333334,2.6945,14.507,69.0,60.917,56.0,60.0,42.458,15.0,189.708,4161.292,3.167,11.042,,2.6526666666666667,200.75
2011-01-17,9.0585,10.757666666666665,1.6988333333333332,13.192666666666668,75.0,62.583,53.0,62.0,43.125,10.0,189.238,4182.545,4.682,9.476,,3.767666666666667,198.714
2011-01-18,20.8125,29.083333333333332,8.270666666666667,19.965166666666665,95.0,73.833,47.0,89.0,35.958,-20.0,189.636,4306.292,5.083,12.682,,2.861,202.318
2011-01-19,13.301833333333335,17.5665,4.264666666666667,27.166666666666668,99.0,73.958,59.0,93.0,56.125,-4.0,191.0,4255.375,3.125,10.75,,2.588,201.75
2011-01-20,4.645666666666666,5.513833333333333,0.8683333333333333,17.423833333333334,93.0,81.75,66.0,76.0,63.5,55.0,186.125,4101.292,2.167,6.125,,2.4776666666666665,192.25
