date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,21.08366666666667,26.458333333333332,5.374666666666667,3.486333333333333,14.375,,197.739,84.0,66.542,42.0,20.522,106.0,55.208,5.0,218.261
2011-01-02,7.565333333333332,8.087,0.5216666666666666,3.361,13.708,,194.217,86.0,73.583,58.0,8.13,78.0,48.75,32.0,202.348
2011-01-03,10.347333333333333,11.360999999999999,1.014,3.763666666666667,16.167,,192.478,75.0,62.75,48.0,7.957,76.0,46.5,17.0,200.435
2011-01-04,7.514,8.217,0.703,5.938,23.625,,194.087,84.0,62.542,26.0,6.522,82.0,32.5,9.0,200.609
2011-01-05,12.920333333333334,15.225999999999999,2.3056666666666668,2.5656666666666665,10.087,,192.174,88.0,70.833,52.0,9.696,78.0,29.25,0.0,201.87
2011-01-06,25.416666666666668,51.222,25.805333333333333,3.111,15.667,,196.043,90.0,68.042,36.0,20.957,99.0,40.833,-8.0,217.0
2011-01-07,9.985999999999999,11.555333333333332,1.5693333333333335,2.5276666666666667,7.542,,193.174,83.0,69.708,48.0,8.522,75.0,41.958,20.0,201.696
2011-01-08,16.333333333333332,21.930333333333333,5.597333333333334,2.75,10.458,,195.478,87.0,71.583,54.0,13.783,71.0,29.917,-2.0,209.261
2011-01-09,18.420333333333335,23.493,5.072666666666667,4.083333333333333,19.0,,198.609,88.0,70.292,48.0,19.783,97.0,44.458,10.0,218.391
2011-01-10,34.416666666666664,70.11133333333333,35.69466666666667,4.715,30.375,,200.609,91.0,73.625,41.0,30.391,106.0,45.417,-1.0,231.0
2011-01-11,21.069666666666667,38.916666666666664,17.847333333333335,4.097333333333333,24.667,,196.913,84.0,70.167,34.0,19.783,103.0,42.333,6.0,216.696
2011-01-12,22.694333333333333,34.361,11.666666666666666,3.0909999999999997,9.5,,193.609,88.0,69.75,38.0,13.87,71.0,23.333,-8.0,207.478
2011-01-13,25.680666666666667,60.25,34.56966666666667,3.841333333333333,16.217,,197.818,86.0,64.667,36.0,24.682,89.0,37.292,-14.0,222.5
2011-01-14,12.166666666666666,13.25,1.0833333333333333,4.708666666666667,21.083,,194.043,77.0,66.083,53.0,11.13,75.0,50.375,33.0,205.174
2011-01-15,13.75,16.805333333333333,3.0553333333333335,3.375,12.792,,193.652,86.0,66.833,44.0,11.13,83.0,46.875,10.0,204.783
2011-01-16,15.318999999999997,16.869333333333334,1.5506666666666666,3.062,12.913,,193.609,64.0,53.25,40.0,11.391,60.0,47.125,37.0,205.0
2011-01-17,19.903000000000002,27.972333333333335,8.069333333333333,3.0693333333333332,14.75,,193.826,89.0,62.75,30.0,15.217,106.0,41.458,-5.0,209.043
2011-01-18,35.014,67.722,32.708333333333336,3.833,13.875,,198.13,88.0,64.542,34.0,25.261,107.0,35.458,-23.0,223.391
2011-01-19,28.333333333333332,47.94433333333333,19.611333333333334,3.2913333333333328,13.458,,194.565,88.0,78.667,53.0,23.435,81.0,44.833,15.0,218.0
2011-01-20,21.833333333333332,25.847333333333335,4.014,2.5406666666666666,7.174,,190.826,89.0,84.458,73.0,14.435,97.0,71.833,50.0,205.261
2011-01-21,22.611,25.708333333333332,3.097,2.597,10.125,,192.087,90.0,86.083,76.0,13.87,83.0,68.417,48.0,205.957
2011-01-22,17.805666666666667,22.375,4.5696666666666665,2.722,5.333,,193.261,93.0,82.708,62.0,17.043,106.0,60.75,22.0,210.304
2011-01-23,8.478333333333333,9.464,0.9856666666666666,2.5413333333333337,1.417,,193.0,87.0,75.875,59.0,8.261,77.0,52.125,24.0,201.261
2011-01-24,10.763666666666666,12.291666666666666,1.5276666666666667,2.2920000000000003,2.75,,191.304,83.0,64.625,46.0,7.478,53.0,24.0,9.0,198.783
2011-01-25,16.028000000000002,18.819666666666667,2.7916666666666665,3.736333333333333,13.958,,192.913,71.0,53.083,27.0,9.696,64.0,19.292,-5.0,202.609
2011-01-26,16.889,19.569333333333333,2.6803333333333335,2.989666666666667,5.417,,194.043,77.0,60.5,44.0,10.957,54.0,11.333,-10.0,205.0
2011-01-27,22.041666666666668,28.083,6.041666666666667,4.319,19.217,,194.429,90.0,68.875,54.0,14.619,58.0,17.167,-26.0,209.048
2011-01-28,20.041666666666668,28.722333333333335,8.680666666666667,3.861,17.5,,196.261,89.0,70.792,48.0,19.174,70.0,29.042,-5.0,215.435
2011-01-29,10.375,10.944333333333333,0.5693333333333334,2.611333333333333,7.417,,193.783,85.0,69.958,49.0,8.739,56.0,20.5,-12.0,202.522
