date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean
2011-01-01,12.75,14.979,2.23,3.042,42.406,
2011-01-02,13.458,17.354,3.896,1.5,20.084,
2011-01-03,15.312,20.375,5.062,4.021,36.292,
2011-01-04,8.916,10.438,1.521,2.125,21.906,
2011-01-05,21.413,27.848,6.435,3.565,23.323,
2011-01-06,27.354,42.916,15.562,2.166,22.604,
2011-01-07,24.604,42.084,17.48,2.062,26.5,
2011-01-08,14.562,17.438,2.875,1.729,21.334,
2011-01-09,21.688,27.188,5.5,5.958,45.469,
2011-01-10,24.396,33.542,9.146,5.75,67.344,
2011-01-11,18.792,26.208,7.417,3.938,36.146,
2011-01-12,17.938,22.167,4.23,3.229,20.854,
2011-01-13,18.875,21.792,2.917,5.958,33.031,
2011-01-14,26.021,42.646,16.625,3.416,43.062,
2011-01-15,15.395,18.062,2.666,2.25,24.812,
2011-01-16,15.895,19.146,3.25,1.625,17.864,
2011-01-17,18.083,24.312,6.229,1.416,12.177,
2011-01-18,27.042,46.312,19.27,2.125,26.771,
2011-01-19,24.87,44.022,19.152,1.836,27.696,
2011-01-20,15.021,18.292,3.27,1.854,12.406,
2011-01-21,19.0,23.084,4.084,2.312,10.896,
2011-01-22,11.729,13.958,2.23,1.667,17.25,
2011-01-23,12.021,13.958,1.938,2.521,9.094,
2011-01-24,10.458,12.292,1.833,3.166,14.542,
2011-01-25,12.479,14.5,2.021,3.479,21.354,
2011-01-26,15.084,18.166,3.084,2.958,10.781,
2011-01-27,27.834,40.875,13.042,3.708,26.625,
2011-01-28,16.646,20.792,4.146,3.354,36.468,
2011-01-29,11.542,13.166,1.625,3.521,22.896,
2011-01-30,21.208,28.104,6.896,2.75,20.708,
2011-01-31,23.188,36.312,13.125,5.229,28.156,
2011-02-01,14.854,19.354,4.5,4.104,34.177,
2011-02-02,8.652,10.282,1.63,1.76,10.948,
2011-02-03,17.375,21.708,4.334,2.896,18.562,
2011-02-04,19.812,25.98,6.167,5.062,30.344,
2011-02-05,14.855,17.875,3.02,2.208,43.469,
2011-02-06,22.104,30.729,8.625,1.834,42.448,
2011-02-07,11.272,12.961,1.69,2.0,18.25,
2011-02-08,7.229,8.958,1.729,1.625,9.636,
2011-02-09,16.375,19.896,3.521,2.104,17.302,
2011-02-10,21.146,29.166,8.02,2.062,16.979,
2011-02-11,18.333,24.416,6.084,1.979,12.364,
2011-02-12,13.375,15.458,2.083,2.458,18.552,
2011-02-13,22.708,29.458,6.75,2.094,19.664,
2011-02-14,26.042,41.812,15.77,1.542,16.417,
2011-02-15,27.917,33.958,6.042,2.062,30.666,
2011-02-16,20.456,27.565,7.108,2.022,20.469,
2011-02-17,8.708,10.354,1.646,2.542,13.292,
2011-02-18,8.354,9.854,1.5,2.042,14.917,
2011-02-19,13.23,14.895,1.667,2.416,20.042,
2011-02-20,20.25,27.312,7.062,2.021,20.469,
2011-02-21,20.146,26.438,6.292,1.834,24.01,
2011-02-22,21.271,34.979,13.708,1.875,20.729,
2011-02-23,19.48,30.396,10.916,1.938,26.76,
2011-02-24,15.479,17.396,1.916,3.896,40.292,
2011-02-25,20.208,22.333,2.125,2.354,41.416,
2011-02-26,12.75,14.354,1.604,1.666,13.052,
2011-02-27,14.895,19.604,4.708,1.688,11.396,
2011-02-28,17.042,20.312,3.271,2.009,17.052,
2011-03-01,27.508,42.8,15.292,0.0,25.729,
2011-03-02,20.408,23.574,3.166,4.25,19.5,
2011-03-03,11.584,13.167,1.584,4.458,17.771,
2011-03-04,11.666,13.443,1.777,4.104,18.927,
2011-03-05,26.875,40.188,13.312,3.928,15.396,
2011-03-06,16.084,20.542,4.458,3.958,28.375,
2011-03-07,25.0,29.542,4.542,5.146,57.823,
2011-03-08,22.812,27.021,4.208,4.604,57.365,
2011-03-09,17.208,19.521,2.312,3.416,32.583,
2011-03-10,14.312,15.896,1.584,2.542,20.458,
2011-03-11,11.625,13.584,1.958,4.021,27.615,
2011-03-12,10.562,12.208,1.646,2.688,12.938,
2011-03-13,20.854,25.312,4.458,3.646,20.823,
2011-03-14,25.666,33.229,7.562,4.604,30.01,
2011-03-15,24.066,30.24,6.174,4.522,41.952,
2011-03-16,29.271,34.354,5.084,4.458,52.75,
2011-03-17,14.73,16.521,1.792,2.084,40.76,
2011-03-18,11.104,12.25,1.146,1.958,36.49,
2011-03-19,14.854,16.688,1.833,2.104,22.698,
2011-03-20,14.875,17.166,2.292,2.188,21.26,
2011-03-21,22.729,27.75,5.021,2.396,21.052,
2011-03-22,26.479,33.833,7.354,2.666,25.521,
2011-03-23,16.834,20.333,3.5,2.083,19.729,
2011-03-24,7.896,9.812,1.916,3.042,32.062,
2011-03-25,6.354,7.5,1.146,2.208,16.188,
2011-03-26,11.292,12.708,1.416,2.167,12.636,
2011-03-27,17.02,21.166,4.146,3.021,22.666,
2011-03-28,14.458,15.917,1.458,3.312,33.521,
2011-03-29,14.956,17.218,2.261,4.385,36.794,
2011-03-30,8.688,9.646,0.958,9.812,32.052,
2011-03-31,7.188,8.729,1.542,2.771,20.448,
2011-04-01,17.27,19.625,2.354,2.688,39.416,
2011-04-02,15.542,17.646,2.104,2.166,38.812,
2011-04-03,9.584,11.021,1.438,1.396,24.656,
2011-04-04,12.542,14.875,2.333,1.229,12.323,
2011-04-05,15.334,17.688,2.354,1.375,13.386,
2011-04-06,16.021,19.104,3.084,2.625,16.562,
2011-04-07,11.854,13.416,1.562,2.896,14.927,
2011-04-08,12.834,14.292,1.458,2.938,20.208,
2011-04-09,12.166,13.834,1.667,1.375,38.386,
2011-04-10,10.938,12.417,1.48,1.834,30.74,
2011-04-11,19.188,21.416,2.229,1.916,34.042,
2011-04-12,12.688,15.458,2.771,1.5,26.708,
2011-04-13,12.354,14.229,1.875,3.729,33.229,
2011-04-14,13.413,14.804,1.392,2.739,32.344,
2011-04-15,10.271,11.458,1.188,1.625,45.583,
