date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CO_mean
2011-01-01,81.0,61.354,44.5,19.625,26.667,7.042,,1.292,32.086,7.95,3.4,0.3,6.0
2011-01-02,84.5,58.916,30.0,12.881,19.726,6.846,,0.958,23.764,9.85,4.39,0.15,4.333
2011-01-03,55.5,36.021,22.0,8.647,11.169,2.523,,0.696,5.972,9.5,5.269,1.55,3.13
2011-01-04,74.5,49.833,32.0,17.472,27.708,10.236,,1.25,13.486,8.6,3.542,-1.75,5.125
2011-01-05,52.5,34.729,21.0,11.194,14.361,3.167,,1.042,6.833,8.25,4.188,0.55,3.667
2011-01-06,68.0,48.875,29.0,26.933,53.102,26.17,,1.792,19.746,9.05,3.154,-1.1,6.792
2011-01-07,82.0,47.834,23.0,19.069,42.458,23.389,,0.917,12.625,8.0,2.508,-3.0,5.75
2011-01-08,68.0,47.021,25.0,18.292,30.958,12.667,,0.792,13.542,8.65,2.75,-2.65,6.125
2011-01-09,85.5,58.062,37.5,20.664,26.922,6.258,,2.208,26.194,9.8,4.054,-0.45,4.917
2011-01-10,84.5,61.146,31.0,25.28,39.622,14.342,,1.435,23.557,9.25,4.179,-1.75,5.348
2011-01-11,85.5,68.375,39.5,18.306,27.667,9.361,,1.708,18.486,9.45,3.544,0.2,3.833
2011-01-12,71.5,44.458,28.5,19.611,39.875,20.264,,0.833,15.653,5.5,1.135,-2.45,5.5
2011-01-13,80.5,56.833,30.0,34.783,82.228,47.446,,2.458,26.75,9.4,2.756,-4.0,8.333
2011-01-14,82.5,50.562,25.5,21.32,48.153,26.833,,0.958,14.931,7.35,1.956,-3.25,6.583
2011-01-15,69.0,51.25,34.0,24.07,40.236,16.166,,1.333,25.375,5.75,1.69,-2.9,7.25
2011-01-16,67.5,51.188,37.0,18.389,23.385,4.995,,1.125,19.944,4.3,2.256,-0.5,3.75
2011-01-17,80.5,52.917,34.0,16.746,32.13,15.384,,1.0,15.139,7.0,3.01,-0.95,4.609
2011-01-18,86.5,65.271,39.5,29.903,59.417,29.514,,1.75,29.435,9.1,2.788,-3.15,6.208
2011-01-19,81.5,65.271,54.0,20.458,39.736,19.278,,2.292,33.75,9.95,4.673,-1.15,4.625
2011-01-20,95.0,89.416,64.0,8.249,9.589,1.34,,1.208,15.267,5.25,2.925,1.85,2.875
2011-01-21,96.0,89.354,80.5,9.708,11.486,1.778,,0.625,13.055,3.6,2.8,2.25,2.833
2011-01-22,97.5,95.625,92.0,11.445,17.695,6.25,,0.125,12.458,6.55,3.956,1.55,3.667
2011-01-23,97.5,90.498,68.5,19.24,65.455,46.215,,0.727,18.129,8.0,3.147,-0.1,7.208
2011-01-24,96.0,76.083,49.0,21.326,34.807,13.481,,1.0,15.597,3.55,0.983,-1.7,5.087
2011-01-25,92.0,66.458,22.0,27.181,62.861,35.681,,1.167,25.403,8.3,2.383,-2.5,7.083
2011-01-26,90.0,58.042,29.0,20.666,28.986,8.319,,1.458,16.639,5.85,0.948,-2.8,4.333
2011-01-27,81.5,61.98,34.0,24.893,57.916,33.024,,1.583,21.0,7.0,0.717,-4.8,6.333
2011-01-28,82.5,54.125,26.0,19.458,28.653,9.194,,1.292,18.792,5.7,0.535,-3.55,4.458
2011-01-29,54.5,38.104,24.5,6.819,8.417,1.597,,1.0,9.444,5.6,1.825,-1.35,3.25
2011-01-30,64.5,40.854,22.5,19.854,39.46,19.606,,1.0,13.417,5.85,1.248,-2.75,5.458
2011-01-31,74.5,47.208,27.5,30.977,68.688,37.711,,2.591,22.248,7.95,1.733,-5.2,9.143
2011-02-01,72.5,46.812,32.0,17.014,29.778,12.764,,2.042,18.986,11.85,5.019,-3.25,4.333
2011-02-02,53.0,32.75,16.0,10.139,12.583,2.444,,1.083,8.944,4.95,1.446,-1.55,2.958
2011-02-03,69.5,44.292,18.0,28.049,63.94,35.89,,1.5,19.513,6.15,0.504,-5.1,7.792
2011-02-04,77.5,46.229,18.5,31.611,87.847,56.236,,2.125,24.681,10.15,3.096,-4.65,9.792
2011-02-05,83.5,53.479,30.0,12.861,17.291,4.43,,2.25,20.556,8.75,4.223,-1.7,4.542
