date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CO_mean,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,20.708,35.062,14.355,1.416,15.375,5.333,74.0,60.417,40.0,9.5,4.55,0.6
2011-01-02,12.739,22.804,10.065,0.239,10.688,3.667,95.0,68.833,41.0,10.0,5.267,2.2
2011-01-03,18.938,30.979,12.042,0.042,6.688,4.292,77.0,61.542,48.0,8.3,5.154,2.0
2011-01-04,17.748,30.866,13.119,1.03,15.924,4.167,84.0,65.667,35.0,7.9,4.35,1.4
2011-01-05,29.646,65.625,35.979,0.188,9.958,4.75,92.0,70.917,42.0,6.6,3.017,-0.2
2011-01-06,35.75,94.042,58.292,0.646,13.0,4.958,92.0,71.042,58.0,7.2,4.342,0.9
2011-01-07,26.062,78.208,52.146,0.0,7.125,4.708,96.0,61.833,34.0,7.9,4.317,1.1
2011-01-08,21.771,40.416,18.646,0.0,6.292,4.458,75.0,54.417,33.0,8.5,3.762,-0.5
2011-01-09,25.891,52.978,27.087,1.13,13.188,5.261,89.0,68.5,51.0,9.1,4.783,1.7
2011-01-10,36.958,114.438,77.479,1.396,27.229,7.125,87.0,71.667,47.0,10.9,5.754,1.1
2011-01-11,30.812,97.916,67.104,0.75,18.625,5.625,84.0,69.708,50.0,7.9,5.321,1.9
2011-01-12,30.52,80.104,49.583,0.521,8.062,4.625,71.0,50.042,33.0,7.4,3.271,-0.7
2011-01-13,32.39,92.566,60.176,0.862,16.771,5.55,90.0,67.083,50.0,8.8,4.708,1.3
2011-01-14,24.562,64.958,40.396,1.188,16.708,5.875,94.0,72.458,43.0,8.0,5.192,2.7
2011-01-15,20.021,38.625,18.604,0.416,14.375,5.167,89.0,74.958,54.0,8.0,4.692,1.6
2011-01-16,33.487,94.978,61.49,1.239,14.375,5.5,63.0,52.75,43.0,7.0,5.25,3.5
2011-01-17,31.792,87.771,55.979,1.312,14.916,5.0,80.0,58.375,33.0,9.7,5.667,2.5
2011-01-18,39.692,119.572,79.88,3.459,28.779,6.708,77.0,60.958,46.0,10.6,5.425,0.2
2011-01-19,41.271,118.771,77.5,3.938,34.896,6.917,99.0,75.417,48.0,9.4,5.746,3.3
2011-01-20,34.561,93.392,58.832,0.521,17.604,5.292,99.0,96.208,84.0,10.4,7.546,5.3
2011-01-21,30.021,74.084,44.062,0.417,19.562,5.667,99.0,98.042,90.0,9.5,7.971,7.1
2011-01-22,18.5,34.5,16.0,0.292,8.375,4.458,99.0,80.625,56.0,11.7,7.746,4.1
2011-01-23,26.858,78.228,51.37,0.869,11.042,5.0,92.0,71.292,48.0,10.9,6.925,4.1
2011-01-24,26.958,69.875,42.916,0.562,5.77,3.792,77.0,54.958,37.0,6.8,3.95,1.2
2011-01-25,26.708,64.104,37.396,0.77,11.146,4.333,73.0,54.625,37.0,6.1,3.4,1.3
2011-01-26,28.125,75.25,47.125,0.583,8.458,4.583,97.0,81.292,53.0,4.6,1.892,0.3
2011-01-27,33.407,87.846,54.439,0.997,18.552,5.476,97.0,79.75,58.0,6.7,2.871,0.1
2011-01-28,24.958,53.104,28.146,0.979,18.458,5.083,99.0,74.875,55.0,6.7,3.333,1.1
2011-01-29,18.026,30.979,12.953,0.334,6.562,4.333,66.0,48.208,29.0,7.1,2.808,0.0
2011-01-30,32.477,88.682,56.204,0.478,9.625,5.292,89.0,63.625,40.0,6.1,2.312,-1.1
2011-01-31,33.604,96.292,62.688,0.604,13.104,5.458,91.0,78.667,57.0,4.9,2.004,-0.9
2011-02-01,31.318,100.736,69.418,0.946,16.983,5.125,99.0,83.167,59.0,6.9,1.496,-1.8
2011-02-02,29.771,74.354,44.584,0.604,7.396,4.583,99.0,80.0,57.0,2.0,-0.075,-1.9
2011-02-03,38.75,114.104,75.354,0.562,17.27,6.917,86.0,74.333,59.0,3.7,-0.125,-4.7
2011-02-04,31.666,99.417,67.75,0.938,24.312,6.458,92.0,73.667,46.0,6.8,2.433,-2.4
2011-02-05,23.479,41.312,17.834,0.812,28.104,5.792,92.0,66.25,43.0,8.6,4.988,0.6
2011-02-06,34.957,102.87,67.913,0.956,34.084,7.261,99.0,89.542,66.0,6.6,5.35,3.9
2011-02-07,32.708,91.812,59.104,0.938,19.646,6.292,99.0,86.75,63.0,12.1,8.192,6.0
2011-02-08,24.166,60.812,36.646,0.334,8.667,3.583,90.0,70.625,55.0,5.9,3.079,-0.8
2011-02-09,26.416,69.084,42.666,0.208,11.458,3.833,96.0,80.083,54.0,5.0,1.45,-1.2
2011-02-10,29.375,73.583,44.208,0.333,16.417,4.292,93.0,76.333,39.0,7.3,3.238,0.1
2011-02-11,26.208,52.125,25.916,0.312,13.875,4.458,89.0,69.917,39.0,7.4,3.604,0.0
2011-02-12,20.592,31.85,11.259,0.146,12.125,4.524,94.0,63.792,35.0,7.9,3.879,0.7
2011-02-13,32.152,79.544,47.392,0.544,19.417,5.542,99.0,70.917,37.0,6.9,3.408,1.0
2011-02-14,35.646,120.542,84.896,0.812,28.375,7.292,99.0,98.5,93.0,6.8,5.133,2.9
2011-02-15,33.188,93.562,60.375,1.146,28.167,6.458,99.0,80.292,53.0,10.0,5.029,1.9
2011-02-16,31.896,81.25,49.354,0.896,16.0,4.5,67.0,51.708,27.0,9.6,4.646,0.9
2011-02-17,28.481,67.806,39.326,1.096,12.625,4.292,83.0,62.667,47.0,6.1,3.775,2.1
2011-02-18,25.125,53.896,28.771,0.5,10.583,4.667,94.0,55.083,30.0,4.6,1.871,-0.6
2011-02-19,20.542,32.208,11.666,0.666,13.208,4.625,84.0,58.083,37.0,6.3,1.938,-3.1
2011-02-20,34.374,80.318,45.945,0.54,17.333,4.696,84.0,59.958,40.0,9.1,4.133,-0.9
2011-02-21,36.02,89.104,53.084,1.625,26.292,4.625,74.0,59.542,43.0,10.3,5.904,0.5
2011-02-22,41.521,98.708,57.188,1.729,42.875,6.167,99.0,67.875,40.0,13.7,9.046,3.5
2011-02-23,30.854,80.521,49.666,0.875,35.458,6.042,99.0,84.292,48.0,14.2,9.971,7.5
