date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,THC_mean,PM25_mean
2011-01-01,82.5,67.0625,47.5,10.41675,12.194666666666668,2.1526666666666667,1.192,14.861333333333334,77.5,35.0415,-13.5,192.217,8.0,200.217,
2011-01-02,84.0,61.625,41.0,5.77175,6.420333333333333,0.71,1.6263333333333332,13.388666666666666,101.0,61.146,23.0,190.174,3.87,194.043,
2011-01-03,68.5,54.896,44.5,3.72925,4.083333333333333,0.3473333333333333,1.3333333333333333,7.833333333333333,86.0,60.6875,38.0,187.826,1.652,189.478,
2011-01-04,72.0,53.0,30.5,3.66675,4.097333333333333,0.4723333333333333,2.948,20.069333333333333,91.5,58.25,29.0,190.826,2.217,193.043,
2011-01-05,85.5,61.542,43.0,3.86625,4.425333333333334,0.5896666666666667,1.179,5.925666666666667,66.5,42.6665,18.5,188.909,2.682,191.591,
2011-01-06,72.5,61.0,50.5,13.9375,16.944333333333333,2.986,1.875,14.222,83.0,52.625,26.5,190.826,8.478,199.304,
2011-01-07,74.5,52.7915,36.0,6.91675,8.638666666666667,1.1806666666666665,1.9303333333333335,7.375,78.0,52.417,36.0,190.348,3.391,193.739,
2011-01-08,62.0,51.875,39.0,6.427,7.569333333333333,0.9583333333333334,1.8265,7.472333333333334,81.0,48.5835,23.0,190.087,3.87,193.957,
2011-01-09,72.0,58.9375,48.5,9.282499999999999,11.347999999999999,1.768,2.802,12.499666666666664,94.5,62.5625,31.0,190.304,5.783,196.087,
2011-01-10,75.5,64.5835,48.0,16.92725,21.930333333333333,4.236,2.7395,19.736333333333334,107.0,66.7705,39.0,189.957,8.783,198.739,
2011-01-11,72.5,56.1875,39.5,13.77075,15.222,1.861,3.18125,25.624666666666666,98.5,65.0,27.0,191.391,8.0,199.391,
2011-01-12,62.5,45.4795,34.0,5.802,7.014,0.9860000000000001,1.4997500000000001,6.555666666666667,64.0,33.1455,4.5,188.87,1.522,190.391,
2011-01-13,79.0,59.521,44.0,14.02075,18.208333333333332,4.0136666666666665,2.76775,14.069333333333333,90.0,48.2915,-12.0,190.565,9.957,200.522,
2011-01-14,74.0,59.625,48.5,7.4375,8.958666666666666,1.4583333333333333,3.302,15.014000000000001,81.0,60.104,39.0,191.652,3.13,194.783,
2011-01-15,77.0,63.75,53.0,7.499750000000001,8.194666666666667,0.5973333333333334,2.12525,9.333,74.0,59.729,39.0,189.696,2.304,192.0,
2011-01-16,91.0,58.375,48.0,18.29375,22.0,3.4783333333333335,1.4415,10.375,60.5,46.729,17.5,191.957,10.783,202.739,
2011-01-17,93.0,76.9375,45.5,18.96875,23.5,5.041666666666667,0.948,14.069666666666668,84.0,35.8125,-2.0,191.609,14.87,206.478,
2011-01-18,90.5,74.6875,50.0,21.9895,32.93066666666667,10.777666666666667,0.8125,24.611,96.0,35.5625,-16.5,189.043,12.826,201.87,
2011-01-19,93.0,76.542,55.5,24.76025,38.083666666666666,11.985999999999999,0.875,21.930333333333333,91.0,58.0835,27.5,190.043,17.0,207.043,
2011-01-20,95.5,94.021,92.5,20.6355,24.986,4.277666666666667,0.52075,17.389,83.5,69.583,54.0,188.478,12.13,200.609,
2011-01-21,95.5,92.3335,84.5,20.2915,25.444333333333333,4.875,0.8125,17.930666666666667,92.5,76.521,64.5,188.826,14.391,203.217,
2011-01-22,94.5,78.729,63.0,11.58325,14.069333333333333,2.4026666666666667,1.0625,12.805666666666667,112.0,80.4375,55.0,189.435,7.0,196.435,
2011-01-23,80.5,66.5625,49.5,6.8805,8.058,1.5073333333333334,0.6194999999999999,7.8053333333333335,109.5,78.1875,46.0,189.739,5.565,195.304,
2011-01-24,73.5,56.604,45.5,6.0,6.75,1.0,0.54175,6.097333333333334,69.5,43.625,28.0,190.391,4.826,195.217,
2011-01-25,55.5,46.7085,35.0,5.0105,5.791333333333334,0.9443333333333334,0.78125,11.194666666666668,64.5,37.2915,20.5,189.261,3.043,192.304,
2011-01-26,75.5,59.375,44.0,6.139,6.8293333333333335,1.0050000000000001,0.90625,8.166666666666666,54.0,28.021,8.5,190.045,3.409,193.455,
2011-01-27,82.5,59.75,49.0,7.5415,8.583,1.2220000000000002,1.65775,15.875,69.5,38.3335,5.5,190.435,4.043,194.478,
2011-01-28,88.5,66.042,51.0,9.0415,9.735999999999999,1.0833333333333333,1.229,19.305666666666667,64.5,38.5835,-6.0,192.696,5.87,198.565,
2011-01-29,56.0,45.25,33.5,4.0625,4.8196666666666665,0.4443333333333333,1.04175,7.541666666666667,65.0,33.6665,13.5,190.609,1.652,192.261,
2011-01-30,66.5,54.333,41.5,9.8585,12.406,2.029,1.2934999999999999,8.403,56.0,32.125,8.0,191.739,3.957,195.696,
2011-01-31,82.0,62.1405,43.0,8.09675,8.643,1.3470000000000002,0.75825,7.722,69.0,37.589,10.5,190.565,7.261,197.826,
2011-02-01,91.0,74.042,52.0,13.041666666666666,16.25,4.604,1.4165,16.972333333333335,76.0,17.5,-34.0,190.739,11.957,202.696,
2011-02-02,77.0,58.908,47.0,4.47275,5.967333333333333,1.3643333333333334,0.8290000000000001,7.162999999999999,21.0,7.1290000000000004,-6.0,190.182,2.0,192.182,
2011-02-03,81.5,59.667,44.0,9.229,9.792,1.5693333333333335,0.7916666666666666,9.802999999999999,43.0,15.1875,-23.5,191.565,7.87,199.435,
2011-02-04,68.5,54.458,37.0,8.53125,9.958666666666666,1.4583333333333333,1.7220000000000002,17.764,87.0,45.604,11.0,189.87,4.478,194.348,
2011-02-05,82.5,59.6875,39.0,9.375,10.25,1.0833333333333333,2.0276666666666667,25.999666666666666,89.5,53.7915,21.0,190.826,5.609,196.435,
2011-02-06,94.5,85.625,63.5,25.32625,41.086999999999996,14.840333333333334,1.232,37.541666666666664,67.5,56.896,45.5,193.043,17.391,210.435,
2011-02-07,96.0,82.167,60.0,18.76025,33.361333333333334,14.569333333333333,1.139,17.763666666666666,91.0,77.8335,63.5,195.391,15.261,210.652,
2011-02-08,65.0,55.0835,45.5,4.64575,5.291666666666667,0.8333333333333334,0.9306666666666666,8.374666666666668,63.5,41.1045,13.0,,,,
2011-02-09,66.5,52.875,40.5,5.9165,7.028,1.1666666666666667,0.9166666666666666,8.235999999999999,59.0,26.625,0.5,,,,
2011-02-10,68.0,55.7295,38.0,7.8315,9.244666666666665,1.594,1.0136666666666667,10.175666666666666,76.0,42.9795,18.5,188.417,2.417,190.833,
2011-02-11,71.5,55.7915,41.5,5.677,6.708333333333333,1.0,1.361,10.333333333333334,75.0,46.5,24.5,188.0,1.043,189.043,
2011-02-12,66.5,55.7915,42.0,4.45825,4.708333333333333,0.4306666666666667,1.2776666666666667,10.139000000000001,77.5,46.7915,28.0,189.304,1.696,191.0,
2011-02-13,94.5,64.1045,42.0,18.5545,22.608666666666664,3.3770000000000002,1.0436666666666665,17.819666666666667,65.5,43.7295,23.0,188.13,7.696,195.826,
2011-02-14,95.0,92.375,89.0,30.13525,41.639,9.763666666666667,1.125,22.736,65.0,52.896,39.0,191.391,18.435,209.826,
2011-02-15,92.0,75.271,54.0,20.6875,28.778000000000002,7.972333333333334,1.8333333333333333,23.5,85.0,56.9165,37.0,192.478,11.174,203.652,
2011-02-16,63.0,51.208,37.0,11.41675,13.541666666666666,2.1666666666666665,1.4583333333333333,12.555666666666667,81.5,44.4375,21.5,189.913,4.913,194.826,
2011-02-17,63.0,54.1455,45.5,5.92525,7.528,1.4303333333333335,1.125,9.847333333333333,67.5,44.75,26.5,188.391,3.348,191.739,
2011-02-18,66.5,46.271,32.5,5.03125,6.0,0.8056666666666666,1.3056666666666665,7.6946666666666665,53.0,25.3125,4.5,191.696,2.0,193.696,
2011-02-19,67.5,49.625,36.5,5.8645,6.8196666666666665,0.8193333333333334,1.0970000000000002,9.809,63.0,27.042,-10.0,189.565,2.522,192.087,
2011-02-20,76.5,59.708,41.5,13.3195,16.178333333333335,2.1576666666666666,1.4726666666666668,10.347333333333333,92.0,42.958,0.5,190.391,5.13,195.522,
2011-02-21,76.5,59.125,45.5,17.17025,21.879666666666665,3.3193333333333332,2.9026666666666667,16.194333333333333,107.0,60.875,3.0,189.348,9.652,199.0,
2011-02-22,88.0,69.104,47.5,10.2915,12.152666666666667,1.25,2.861333333333333,27.736333333333334,121.5,88.875,55.5,189.478,5.957,195.435,
2011-02-23,96.0,81.1875,51.0,12.146,17.708333333333332,4.514,2.1943333333333332,20.111333333333334,128.0,103.146,85.0,188.87,9.087,197.957,
2011-02-24,80.5,58.521,41.0,13.21875,13.319333333333333,1.0,4.180666666666666,34.236,134.5,91.75,67.0,193.348,11.522,204.87,
2011-02-25,95.0,80.8335,60.5,20.552,25.471999999999998,3.3193333333333332,2.9443333333333332,38.06966666666667,100.5,85.5625,70.5,192.783,12.957,205.739,
2011-02-26,70.0,54.0415,40.0,5.70825,6.430666666666667,0.5973333333333334,2.0693333333333332,10.305333333333333,83.5,57.5835,29.5,191.217,3.174,194.391,
2011-02-27,43.5,37.896,30.0,5.2935,6.884333333333333,1.087,2.044,10.444666666666667,79.0,41.8335,19.5,190.348,1.87,192.217,
2011-02-28,83.0,47.4585,33.0,11.337,14.9,1.7006666666666668,2.5036666666666667,13.597333333333333,84.0,42.1875,-0.5,189.818,10.0,199.818,
