date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean
2011-04-17,12.8545,14.2915,1.4375,18.042,21.583
2011-04-18,8.1085,8.934999999999999,0.826,19.8335,21.917
2011-04-19,8.375,10.104,1.729,7.8955,11.583
2011-04-20,15.1665,18.833,3.6665,13.0455,17.375
2011-04-21,19.3955,22.3955,3.0,22.396,26.174
2011-04-22,9.896,10.729,0.833,20.5625,22.125
2011-04-23,6.0625,6.5835,0.521,20.5625,23.542
2011-04-24,6.1455,6.2915,0.14600000000000002,26.229,29.542
2011-04-25,9.457,10.565,1.1084999999999998,22.375,25.542
2011-04-26,7.0835,8.2915,1.208,20.2085,23.917
2011-04-27,8.3335,9.0625,0.7295,20.771,26.5
2011-04-28,6.5835,7.417,0.8335,14.9165,16.542
2011-04-29,13.2295,15.104,1.875,14.6875,17.5
2011-04-30,5.2705,5.917,0.6455,22.604,28.917
2011-05-01,5.479,6.146,0.667,70.5,62.083
2011-05-02,11.652000000000001,13.413,1.7610000000000001,137.6875,105.458
2011-05-03,13.9165,15.354500000000002,1.4375,109.3695,85.522
2011-05-04,10.9585,11.917,0.9585,62.8125,54.458
2011-05-05,11.354,12.583,1.229,29.6875,37.042
2011-05-06,10.792,11.854,1.0625,14.354,21.917
2011-05-07,13.292,15.5415,2.25,8.75,17.792
2011-05-08,11.771,13.2085,1.4375,19.1045,24.75
2011-05-09,7.4565,9.369499999999999,1.913,13.229,20.75
2011-05-10,10.9795,19.6875,8.708,7.646,10.833
2011-05-11,9.2825,16.739,7.4565,4.9235,9.13
2011-05-12,11.5835,15.9165,4.3335,6.479,13.708
2011-05-13,4.8335,5.4375,0.6045,33.146,27.958
2011-05-14,8.4585,9.125,0.6665,26.1045,28.917
2011-05-15,7.542,8.1455,0.6045,28.333,30.542
2011-05-16,13.4565,15.370000000000001,1.913,34.0625,35.5
2011-05-17,14.396,16.0,1.604,37.5625,41.833
2011-05-18,13.4375,14.667,1.229,28.8125,33.565
2011-05-19,16.4165,18.2085,1.7915,34.646,41.417
2011-05-20,13.3955,15.25,1.854,21.146,29.583
2011-05-21,13.083,16.0,2.9165,14.125,22.125
2011-05-22,7.6665,8.604,0.9375,9.792,17.042
2011-05-23,18.152,22.5655,4.4135,5.0,12.625
2011-05-24,9.5625,12.104,2.542,3.083,10.5
2011-05-25,12.521,15.479,2.9585,8.146,16.167
2011-05-26,13.8955,15.6665,1.771,5.417,12.875
2011-05-27,25.125,33.5,8.375,22.0,23.667
2011-05-28,23.7705,29.2915,5.521,21.6875,24.375
2011-05-29,7.979,8.979,1.0,5.625,11.792
2011-05-30,10.8045,12.6735,1.8699999999999999,15.5625,17.958
2011-05-31,16.708,20.3335,3.625,8.0,15.75
2011-06-01,12.0835,13.5625,1.479,18.2175,24.739
2011-06-02,9.771,11.021,1.25,26.875,36.167
2011-06-03,15.3125,18.292,2.979,38.9165,45.708
2011-06-04,14.0625,16.9375,2.875,26.4585,34.083
2011-06-05,8.792,9.5205,0.7295,30.3125,39.083
2011-06-06,19.8915,23.3915,3.5,27.7915,35.542
2011-06-07,10.979,12.0,1.021,16.625,24.083
2011-06-08,15.75,17.792,2.0415,19.6455,29.542
2011-06-09,10.0625,11.2295,1.1665,36.625,45.167
2011-06-10,11.458,15.0,3.5415,13.5,21.125
2011-06-11,15.5835,17.9375,2.3545,6.646,14.667
2011-06-12,10.521,11.4375,0.9165,6.9585,14.333
2011-06-13,12.152000000000001,14.1955,2.043,20.7915,28.5
2011-06-14,13.1875,15.104,1.9165,43.333,51.542
2011-06-15,14.0,15.854,1.8544999999999998,45.6875,49.773
2011-06-16,17.229,19.3545,2.125,0.771,8.292
2011-06-17,22.9585,29.75,6.792,7.125,13.75
2011-06-18,22.2705,25.4585,3.1875,14.520499999999998,19.125
2011-06-19,16.021,18.5625,2.5415,5.4375,11.958
2011-06-20,8.1305,9.3695,1.2389999999999999,2.021,10.292
2011-06-21,13.5625,17.7705,4.2085,7.521,13.708
2011-06-22,5.7085,8.6045,2.896,6.75,13.773
2011-06-23,2.958,5.0415,2.0835,6.354,12.875
2011-06-24,3.8125,5.6875,1.875,9.4795,15.917
2011-06-25,8.7085,12.0835,3.375,11.292,17.917
2011-06-26,2.792,3.6875,0.8955,6.458,14.25
2011-06-27,11.913,13.782499999999999,1.8695,3.5,10.625
2011-06-28,4.7915,6.375,1.5835,9.458,16.125
2011-06-29,11.4165,17.979,6.5625,13.872499999999999,20.583
2011-06-30,10.1455,15.292000000000002,5.1455,8.5725,16.955
2011-07-01,9.646,13.6455,4.0,17.875,24.417
2011-07-02,7.7085,8.896,1.1875,23.0,28.208
2011-07-03,2.646,2.854,0.20800000000000002,23.042,26.875
2011-07-04,8.0435,9.4565,1.4129999999999998,15.5625,20.917
2011-07-05,13.083,15.5835,2.5,23.1875,29.042
2011-07-06,13.5625,17.0415,3.4795,5.8125,14.25
2011-07-07,3.9585,5.521,1.5625,2.5625,10.958
2011-07-08,4.146,6.104,1.9580000000000002,6.4375,13.25
2011-07-09,6.0415,8.125,2.0835,8.354,15.375
2011-07-10,7.1665,8.771,1.604,9.958,16.542
2011-07-11,8.8915,11.8695,2.9779999999999998,8.3335,17.25
2011-07-12,10.229,13.75,3.521,9.229,17.25
2011-07-13,8.7915,13.271,4.479,4.292,12.333
2011-07-14,7.5415,11.604,4.0625,5.9165,13.625
2011-07-15,11.125,14.75,3.625,13.854,21.667
2011-07-16,11.2915,14.104,2.8125,20.8545,27.375
2011-07-17,7.0835,9.8335,2.75,12.2705,19.333
2011-07-18,6.8695,11.913,5.0435,3.604,11.208
2011-07-19,6.375,11.1875,4.8125,14.625,18.042
2011-07-20,6.8335,9.7915,2.9585,23.1875,19.667
2011-07-21,10.4375,15.5415,5.104,8.3335,14.333
2011-07-22,10.8335,15.5415,4.7085,13.5625,20.167
2011-07-23,11.292,15.604500000000002,4.3125,13.0205,19.792
2011-07-24,9.396,11.104,1.7085,13.4585,21.042
2011-07-25,12.0435,14.6085,2.5655,37.0415,43.5
2011-07-26,6.2705,8.5415,2.271,19.271,20.708
2011-07-27,5.875,8.3335,2.458,4.896,12.25
2011-07-28,9.396,16.104,6.708,8.7295,15.25
2011-07-29,8.1455,13.0415,4.896,7.2829999999999995,13.739
2011-07-30,7.833,12.5,4.6665,6.2085,16.0
2011-07-31,5.5205,7.6045,2.083,8.0835,17.708
2011-08-01,16.2825,19.695500000000003,3.4130000000000003,17.646,24.333
2011-08-02,13.3545,15.479,2.125,23.3545,31.917
2011-08-03,9.25,13.292,4.042,5.4375,16.417
2011-08-04,6.5835,9.4165,2.833,1.396,10.417
2011-08-05,8.458,11.875,3.4165,5.8795,16.375
2011-08-06,5.2705,7.583,2.3125,1.125,7.917
2011-08-07,2.958,3.5415,0.5835,2.021,9.667
2011-08-08,5.652,7.3694999999999995,1.717,11.0625,18.13
2011-08-09,8.646,11.4165,2.7705,12.4585,19.333
2011-08-10,8.792,12.771,3.979,7.979,15.875
2011-08-11,6.333,9.7705,3.4375,8.396,14.625
2011-08-12,8.7295,13.229,4.5,6.6665,14.667
2011-08-13,4.375,5.021,0.646,3.771,11.167
2011-08-14,3.458,3.667,0.20800000000000002,1.0,8.5
2011-08-15,4.761,5.0865,0.326,8.3335,15.333
