date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,NMHC_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,5.396,71.0,53.375,42.0,26.0334,32.7082,6.675199999999999,27.25,90.0,68.833,42.0,202.37475,25.7915,,2.792,228.16649999999998
2011-01-02,3.729,61.0,45.792,29.0,16.2748,21.0998,4.8252,17.525,110.0,76.25,47.0,198.22899999999998,15.854,,1.625,214.083
2011-01-03,2.5625,35.0,29.667,20.0,11.883199999999999,13.9084,2.025,6.441599999999999,99.0,71.542,46.0,191.42725000000002,8.65625,,1.6045,200.08350000000002
2011-01-04,3.8955,53.0,39.125,29.0,15.8416,19.583199999999998,3.7418,13.1916,116.0,68.833,31.0,194.8645,13.3855,,1.9375,208.25
2011-01-05,3.0525,38.0,25.458,14.0,15.749199999999998,20.284,4.5348,8.3666,98.0,65.458,39.0,193.36849999999998,12.162749999999999,,1.246,205.5315
2011-01-06,5.6005,58.0,40.083,29.0,27.1766,40.3438,13.1672,13.012799999999999,92.0,60.208,37.0,196.93675000000002,22.4895,,2.0125,219.42625
2011-01-07,2.4585,43.0,31.5,20.0,12.716800000000001,15.625,2.9082,6.9998000000000005,85.0,65.333,51.0,192.927,9.5105,,1.479,202.4375
2011-01-08,2.5,36.0,29.167,22.0,11.7416,13.541599999999999,1.8001999999999998,6.9916,86.0,64.792,39.0,193.9895,10.34375,,1.854,204.33325
2011-01-09,6.0625,58.0,48.75,38.0,31.0,48.1834,17.1834,22.675,83.0,62.042,35.0,201.10399999999998,30.9895,,3.146,232.09375
2011-01-10,5.7295,68.0,53.625,42.0,29.458199999999998,40.5166,11.0584,23.5668,100.0,73.792,51.0,197.64575,26.229,,3.3125,223.875
2011-01-11,4.104,72.0,52.042,30.0,27.762999999999998,44.588800000000006,16.826,24.625,98.0,59.708,32.0,196.97825,25.99325,,2.4205,222.97175
2011-01-12,5.729,55.0,33.917,25.0,22.1182,38.159800000000004,16.0416,10.724799999999998,59.0,40.75,18.0,196.91675,22.42125,,1.7975,219.33775
2011-01-13,6.4565,55.0,44.125,33.0,33.1962,64.4256,31.2294,17.591,111.0,63.458,23.0,198.5785,36.07875,,1.9165,234.65699999999998
2011-01-14,4.521,47.0,39.708,30.0,20.6998,30.7582,10.0582,13.0916,68.0,56.5,39.0,198.656,19.4685,,2.729,218.125
2011-01-15,4.1045,50.0,41.417,34.0,21.5748,28.6918,7.1166,15.208400000000001,63.0,51.292,41.0,199.97899999999998,19.63525,,5.1045,219.61475000000002
2011-01-16,2.354,48.0,42.125,35.0,17.0248,20.689,3.6636,15.125200000000001,58.0,50.958,42.0,195.03425,14.32975,,3.0075000000000003,209.3635
2011-01-17,1.8125,52.0,45.042,34.0,15.083400000000001,18.3,3.2165999999999997,12.583400000000001,66.0,51.208,42.0,192.70825,15.25,,2.4375,207.95850000000002
2011-01-18,6.875,59.0,52.042,45.0,44.6418,81.7418,37.1,33.9416,75.0,51.375,17.0,202.875,44.948,,4.6875,247.82299999999998
2011-01-19,3.4905,66.0,55.542,47.0,27.9652,40.8334,12.868,30.4584,94.0,69.042,43.0,196.4355,25.32975,,3.5300000000000002,221.765
2011-01-20,2.2199999999999998,87.0,79.458,70.0,17.275399999999998,20.864600000000003,3.5885999999999996,20.924799999999998,56.0,35.458,23.0,192.14575,11.9165,,0.8335,204.0625
2011-01-21,2.25,86.0,78.875,70.0,14.2,17.2416,3.0416,13.375,45.0,38.5,33.0,190.7395,10.75,,0.45799999999999996,201.48975000000002
2011-01-22,3.3335,87.0,78.333,66.0,16.7916,23.2752,6.483199999999999,12.575,82.0,60.25,44.0,194.2605,15.8645,,0.521,210.125
2011-01-23,5.854,86.0,73.875,54.0,26.746199999999998,56.0394,29.293600000000005,20.525,89.0,66.042,17.0,201.72725,34.525999999999996,,2.086,236.25275
2011-01-24,3.896,82.0,54.667,35.0,18.675,26.107999999999997,7.433400000000001,9.333400000000001,46.0,33.833,17.0,194.28125,13.0105,,2.021,207.29149999999998
2011-01-25,4.75,74.0,54.958,28.0,22.85,36.225,13.375200000000001,14.708400000000001,89.0,48.333,12.0,195.38524999999998,23.031,,1.0625,218.41675
