date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,11.917,13.611,1.694,,4.708,48.583,190.458,12.125,202.583
2011-01-02,16.014,21.333,5.319,,1.478,22.681,191.696,13.391,205.087
2011-01-03,11.306,13.278,1.972,,4.917,36.417,191.167,10.583,201.75
2011-01-04,7.861,9.68,1.819,,2.833,17.722,188.292,7.333,195.625
2011-01-05,17.194,23.208,6.014,,1.75,13.736,188.542,9.5,198.042
2011-01-06,23.139,31.444,8.306,,2.125,16.131,190.958,12.875,203.833
2011-01-07,30.236,47.208,16.972,,2.333,21.097,194.792,20.125,214.917
2011-01-08,16.778,21.139,4.361,,1.958,17.611,191.625,14.458,206.083
2011-01-09,20.71,26.928,6.217,,8.13,42.625,195.87,15.478,211.348
2011-01-10,28.583,39.931,11.347,,6.875,62.181,197.583,19.083,216.667
2011-01-11,16.722,22.875,6.153,,3.375,25.625,190.708,10.542,201.25
2011-01-12,21.518,29.755,8.237,,1.727,18.27,191.125,14.417,205.542
2011-01-13,18.816,25.394,6.578,,6.458,30.283,190.773,10.182,200.955
2011-01-14,26.611,38.444,11.833,,3.958,35.222,193.417,16.917,210.333
2011-01-15,23.986,32.778,8.791,,2.542,17.097,193.375,17.625,211.0
2011-01-16,22.029,35.116,13.087,,2.739,15.069,188.087,14.217,202.304
2011-01-17,26.667,52.222,25.556,,2.167,11.5,189.875,18.917,208.792
2011-01-18,29.917,52.903,22.986,,2.375,16.444,191.25,25.0,216.25
2011-01-19,25.819,51.083,25.264,,1.25,25.681,188.083,21.5,209.583
2011-01-20,15.264,23.556,8.292,,2.174,10.028,185.292,11.583,196.875
2011-01-21,23.292,40.417,17.125,,2.0,11.653,186.208,15.25,201.458
2011-01-22,20.236,31.736,11.5,,1.571,16.75,189.625,16.875,206.5
2011-01-23,11.0,14.942,3.942,,1.13,6.236,186.609,7.174,193.783
2011-01-24,11.639,16.528,4.889,,1.773,12.083,188.667,7.0,195.667
2011-01-25,13.375,17.861,4.486,,2.833,19.32,189.958,8.542,198.5
2011-01-26,14.861,20.597,5.736,,1.792,10.222,190.739,9.261,200.0
2011-01-27,25.528,36.0,10.472,,2.905,23.111,193.292,18.0,211.292
2011-01-28,24.0,40.292,16.292,,2.786,33.056,193.875,19.583,213.458
2011-01-29,18.847,28.375,9.528,,2.462,22.292,192.5,15.208,207.708
2011-01-30,24.377,39.782,15.406,,2.733,17.236,190.696,15.522,206.217
2011-01-31,27.458,42.542,15.083,,4.3,24.403,193.542,19.0,212.542
2011-02-01,12.736,15.931,3.194,,3.333,28.445,189.0,10.708,199.708
2011-02-02,12.125,17.417,5.292,,1.542,9.542,188.667,8.625,197.292
2011-02-03,21.222,28.472,7.25,,1.542,17.889,192.292,14.917,207.208
2011-02-04,19.958,27.361,7.403,,3.545,31.042,191.792,13.667,205.458
2011-02-05,21.181,25.958,4.778,,2.0,41.695,193.958,17.208,211.167
2011-02-06,27.609,60.985,33.377,,3.769,43.011,191.217,22.478,213.696
2011-02-07,16.778,22.333,5.555,,2.583,24.986,189.042,12.792,201.833
2011-02-08,9.583,13.486,3.903,,1.5,9.611,188.5,9.042,197.542
2011-02-09,14.667,20.972,6.306,,1.833,12.32,189.375,10.708,200.083
2011-02-10,23.569,34.208,10.639,,2.375,13.741,191.625,16.375,208.0
2011-02-11,19.972,27.056,7.083,,2.391,10.597,191.75,17.0,208.75
2011-02-12,23.264,31.986,8.722,,2.667,18.264,194.583,22.167,216.75
2011-02-13,32.217,69.087,36.87,,1.522,26.611,192.391,26.348,218.739
2011-02-14,36.833,118.861,82.028,,1.5,26.694,197.292,42.708,240.0
2011-02-15,27.875,43.847,15.972,,1.75,34.028,190.083,20.917,211.0
2011-02-16,24.709,39.25,14.542,,1.417,19.153,189.125,16.417,205.542
2011-02-17,12.153,16.431,4.278,,2.458,15.028,187.75,9.833,197.583
2011-02-18,15.444,21.028,5.584,,1.708,14.264,191.167,11.917,203.083
2011-02-19,16.875,22.125,5.25,,1.708,21.069,193.083,14.208,207.292
2011-02-20,22.406,30.71,8.304,,1.947,16.07,188.913,14.87,203.783
2011-02-21,26.284,34.76,8.475,,2.25,19.096,187.208,16.875,204.083
2011-02-22,30.811,63.429,32.618,,1.538,24.069,186.417,24.375,210.792
2011-02-23,23.733,48.242,24.508,,,27.071,186.042,17.208,203.25
2011-02-24,20.618,27.153,6.535,,5.571,39.764,186.0,13.5,199.5
2011-02-25,25.007,34.04,9.034,,4.458,35.278,184.667,13.458,198.125
2011-02-26,14.665,18.781,4.116,,3.125,12.833,184.833,11.083,195.917
2011-02-27,22.159,34.638,12.594,,3.263,14.68,190.478,15.217,205.696
2011-02-28,27.005,41.083,14.12,,4.958,17.097,190.5,16.083,206.583
2011-03-01,38.193,94.654,56.461,19.917,5.042,35.764,193.333,30.375,223.708
2011-03-02,25.597,36.839,11.242,7.833,3.875,17.264,186.5,17.167,203.667
2011-03-03,17.16,22.154,4.994,15.458,3.917,20.653,187.708,12.417,200.125
2011-03-04,16.632,21.483,4.851,10.125,3.542,16.25,188.583,13.708,202.292
2011-03-05,35.58,68.203,32.623,7.667,4.391,15.319,190.696,23.348,214.043
2011-03-06,24.513,38.246,13.734,21.792,4.042,30.208,193.042,18.25,211.292
2011-03-07,28.28,40.885,12.605,42.478,5.75,55.374,196.0,18.375,214.375
2011-03-08,33.949,57.711,23.761,49.391,5.043,64.388,199.409,19.909,219.318
2011-03-09,16.653,21.375,4.722,22.292,3.792,29.457,191.167,11.417,202.583
2011-03-10,12.82,16.153,3.333,11.667,3.292,18.417,189.708,10.083,199.792
2011-03-11,12.403,13.653,1.25,24.167,5.75,31.889,191.667,10.0,201.667
2011-03-12,16.652,21.681,5.029,7.917,4.0,14.972,189.0,9.87,198.87
2011-03-13,21.347,26.458,5.111,10.417,4.083,17.458,190.25,13.833,204.083
2011-03-14,28.75,35.403,6.653,21.167,5.0,28.861,192.375,18.375,210.75
