date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,21.0415,34.8955,13.854,8.9585,187.833,5.083,22.125,209.958
2011-01-02,15.75,27.5835,11.8335,5.979,185.208,3.792,19.958,205.167
2011-01-03,10.1665,17.8545,7.6875,4.479,184.542,3.042,15.375,199.917
2011-01-04,14.29,24.387999999999998,10.098500000000001,5.625,185.125,3.167,16.333,201.458
2011-01-05,11.1915,19.634500000000003,8.443,5.667,188.435,3.0,14.565,203.0
2011-01-06,13.087,22.261,9.174,9.2175,190.091,3.318,15.591,205.682
2011-01-07,18.5,36.4585,17.9585,5.4375,189.8,4.542,17.6,207.4
2011-01-08,18.6045,33.042,14.4375,6.4795,189.65,3.417,16.1,205.75
2011-01-09,14.542000000000002,22.5415,8.0,7.0415,188.826,2.875,16.652,205.478
2011-01-10,14.937000000000001,23.8995,8.9625,7.375,189.238,3.917,17.0,206.238
2011-01-11,9.0,14.7915,5.792,4.7705,190.125,2.55,16.0,206.125
2011-01-12,19.655,34.074,14.418500000000002,5.4375,190.792,3.458,16.917,207.708
2011-01-13,17.359499999999997,29.801000000000002,12.441500000000001,9.1665,188.45,2.833,17.25,205.7
2011-01-14,7.8635,13.297,5.4335,7.021,187.682,3.083,15.182,202.864
2011-01-15,6.896,12.521,5.625,6.5415,187.958,3.25,14.667,202.625
2011-01-16,10.396,17.9165,7.5205,8.7915,188.773,3.167,15.182,203.955
2011-01-17,16.1665,28.271,12.104,8.2705,187.095,4.292,17.429,204.524
2011-01-18,27.738999999999997,52.3695,24.6305,9.8225,187.133,6.435,22.0,209.133
2011-01-19,26.0625,46.2915,20.229,7.9375,186.19,5.125,23.19,209.381
2011-01-20,20.6915,41.0115,20.32,10.0,187.091,4.958,20.273,207.364
2011-01-21,29.3295,56.1665,26.837,14.1665,187.467,6.583,24.2,211.667
2011-01-22,26.4375,54.583,28.1455,12.5415,187.278,7.25,28.833,216.111
2011-01-23,8.292,14.5625,6.271,9.125,186.375,3.792,16.542,202.917
2011-01-24,8.479,13.5415,5.0625,7.0835,186.182,3.208,13.864,200.045
2011-01-25,8.6875,13.3125,4.625,8.5835,186.875,2.875,14.375,201.25
2011-01-26,10.301,16.35,6.049,7.0,187.5,3.083,15.833,203.333
2011-01-27,9.1625,14.0325,4.8705,8.9585,188.75,2.583,15.208,203.958
2011-01-28,13.892,23.371,9.479,8.042,189.625,4.375,17.667,207.292
2011-01-29,13.1705,22.2785,9.108,5.625,187.458,3.292,15.667,203.125
2011-01-30,15.875,28.8335,12.9585,8.5,187.714,4.208,15.952,203.667
2011-01-31,11.369499999999999,18.3475,6.9785,7.534,188.13,2.727,15.0,203.13
2011-02-01,20.2705,36.7085,16.4375,6.8955,186.958,5.042,20.708,207.667
2011-02-02,15.925999999999998,32.152,16.2265,7.0205,185.875,5.333,21.875,207.75
2011-02-03,16.625,27.9375,11.3125,8.4165,187.083,4.292,18.167,205.25
2011-02-04,17.604,30.25,12.646,9.8545,186.875,4.042,19.042,205.917
2011-02-05,15.392,25.3125,9.9205,8.8125,187.0,4.125,17.458,204.458
2011-02-06,29.4675,54.1025,24.634500000000003,12.271,186.75,6.0,27.417,214.167
2011-02-07,21.958,44.1875,22.2295,17.104,185.667,6.5,26.042,211.708
2011-02-08,6.9375,11.9165,4.979,7.75,186.292,3.75,15.375,201.667
2011-02-09,10.0,16.2915,6.2915,7.125,187.167,3.792,16.667,203.833
2011-02-10,9.25,14.770499999999998,5.5205,7.5415,186.833,3.25,15.625,202.458
2011-02-11,8.4585,13.521,5.0625,7.646,187.125,3.5,14.333,201.458
2011-02-12,8.792,14.395499999999998,5.6045,8.8125,187.167,2.958,14.75,201.917
2011-02-13,18.733,30.7425,12.0095,9.6455,186.083,4.083,18.333,204.417
2011-02-14,32.3635,61.864,29.5,13.75,186.917,5.917,27.875,214.792
2011-02-15,10.7575,17.593,6.836,11.7455,186.917,3.864,16.583,203.5
2011-02-16,9.3125,15.104,5.792,7.333,186.542,3.125,14.583,201.125
2011-02-17,15.3125,24.8335,9.521,8.7085,187.458,3.833,17.708,205.167
2011-02-18,10.667,17.3125,6.646,8.5415,187.25,3.292,16.042,203.292
2011-02-19,18.458,31.979,13.521,12.375,188.542,3.583,18.958,207.5
2011-02-20,13.104,20.8335,7.729,10.0,186.458,3.042,16.917,203.375
2011-02-21,11.318,17.9015,6.5835,11.4375,187.042,3.375,15.833,202.875
2011-02-22,24.509500000000003,45.7065,21.197000000000003,12.6875,188.5,4.792,22.583,211.083
2011-02-23,23.9165,35.3125,11.396,26.417,189.333,6.0,23.417,212.75
2011-02-24,12.125,18.979,6.8545,10.1665,186.375,3.458,17.042,203.417
2011-02-25,22.8335,37.396,14.5625,12.271,187.875,4.542,21.708,209.583
2011-02-26,11.5,17.75,6.25,10.896,186.875,3.125,17.583,204.458
2011-02-27,10.0,15.5835,5.5835,9.0625,188.417,3.167,16.25,204.667
2011-02-28,23.9345,40.695499999999996,16.761,8.652000000000001,188.625,5.045,19.75,208.375
2011-03-01,41.9505,74.443,32.4925,15.792000000000002,187.458,6.75,31.542,219.0
2011-03-02,31.7915,49.5835,17.792,24.979,189.875,7.125,29.875,219.75
2011-03-03,14.729,25.104,10.375,10.417,,3.667,,
2011-03-04,22.75,35.9375,13.1875,11.917,,4.792,,
2011-03-05,26.021,39.125,13.104,11.875,,4.682,,
2011-03-06,27.1665,46.3125,19.1455,7.784,187.875,5.542,19.0,206.875
2011-03-07,17.583,30.104,12.521,4.8125,186.25,4.042,7.375,193.625
2011-03-08,28.1685,49.6915,21.5225,13.771,189.826,5.792,14.261,204.087
2011-03-09,27.322000000000003,46.638,19.3165,16.9585,190.478,6.042,13.261,203.739
2011-03-10,17.3335,30.667,13.3335,8.729,191.609,4.125,7.957,199.565
2011-03-11,14.9375,26.5205,11.5835,3.5835,191.208,3.542,4.917,196.125
2011-03-12,19.1875,32.7915,13.604,4.5625,191.652,4.708,8.87,200.522
2011-03-13,20.5835,33.729,13.146,6.917,193.333,3.958,6.75,200.083
2011-03-14,19.875,30.8335,10.9585,7.896,193.0,4.083,6.0,199.0
2011-03-15,15.9585,24.4165,8.458,14.4585,193.583,4.043,5.417,199.0
2011-03-16,23.6155,38.646,15.030000000000001,12.5835,194.208,5.042,8.667,202.875
2011-03-17,28.424500000000002,44.2485,15.824,19.4565,193.824,5.682,15.882,209.706
2011-03-18,16.3125,26.0415,9.729,16.354,193.739,4.417,11.087,204.826
2011-03-19,4.792,6.8335,2.0415,7.2085,194.375,2.958,4.083,198.458
2011-03-20,5.5625,7.6875,2.125,8.9585,193.875,3.125,4.167,198.042
2011-03-21,8.167,11.167,3.0,10.354,194.304,3.125,4.783,199.087
2011-03-22,12.0415,17.771,5.7295,19.729,192.667,4.625,6.0,198.667
2011-03-23,15.896,23.792,7.896,14.354,196.458,5.0,9.583,206.042
2011-03-24,20.0415,30.354,10.3125,3.5,194.625,5.042,9.417,204.042
2011-03-25,13.754000000000001,21.0795,7.3255,4.4165,191.905,3.667,6.095,198.0
2011-03-26,13.1875,19.1875,6.0,8.729,193.905,3.875,7.619,201.524
