date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,22.0,29.938,7.938,5.042,17.167,,197.174,5.043,20.609,217.783
2011-01-02,9.667,13.146,3.479,4.75,12.125,,189.708,4.5,7.917,197.625
2011-01-03,13.906,19.74,5.833,4.875,14.236,,189.292,4.5,9.917,199.208
2011-01-04,12.021,17.386,5.365,7.125,22.306,,192.087,4.833,9.0,201.087
2011-01-05,27.011,45.927,18.916,4.084,12.125,,195.833,5.625,21.083,216.917
2011-01-06,31.406,66.114,34.708,5.416,18.555,,200.417,6.167,28.75,229.167
2011-01-07,19.177,32.073,12.896,2.625,9.278,,193.391,4.542,15.174,208.565
2011-01-08,19.146,26.604,7.458,3.438,10.472,,199.542,4.522,18.167,217.708
2011-01-09,26.864,39.917,13.052,5.625,21.708,,199.708,5.667,25.25,224.958
2011-01-10,38.0,82.49,44.49,7.667,36.208,,202.478,7.333,33.652,236.13
2011-01-11,21.924,37.245,15.322,6.152,23.522,,190.727,5.304,14.273,205.0
2011-01-12,29.834,54.5,24.667,4.125,8.166,,194.375,5.111,19.833,214.208
2011-01-13,26.66,52.224,25.564,5.962,18.984,,190.708,5.75,16.292,207.0
2011-01-14,26.75,46.219,19.469,8.708,42.176,,196.455,7.0,20.591,217.045
2011-01-15,21.438,31.229,9.792,4.604,14.333,,195.625,5.25,19.708,215.333
2011-01-16,22.438,36.688,14.25,3.25,12.417,,191.875,4.083,14.542,206.417
2011-01-17,26.855,46.395,19.54,3.417,15.958,,193.739,4.261,22.957,216.696
2011-01-18,43.094,88.823,45.729,5.896,23.75,,201.667,5.545,44.0,245.667
2011-01-19,36.76,64.403,27.643,3.632,19.594,,193.5,4.957,29.042,222.542
2011-01-20,24.626,37.922,13.296,2.405,12.659,,189.0,4.542,20.522,209.522
2011-01-21,26.229,36.792,10.563,2.458,16.57,,191.0,4.625,21.792,212.792
2011-01-22,26.5,38.49,11.99,4.5,18.75,,195.083,5.292,24.333,219.417
2011-01-23,22.719,41.948,19.229,3.916,8.153,,192.565,4.833,12.826,205.391
2011-01-24,20.211,36.881,16.67,4.027,8.704,,191.083,4.417,11.083,202.167
2011-01-25,20.208,36.844,16.636,5.062,17.333,,192.708,4.792,11.0,203.708
2011-01-26,23.782,46.654,22.872,4.333,8.792,,192.348,4.957,13.652,206.0
2011-01-27,26.208,47.708,21.5,7.542,25.25,,192.417,5.583,14.792,207.208
2011-01-28,28.604,46.594,17.99,8.166,25.583,,193.125,6.083,16.792,209.917
2011-01-29,16.24,21.292,5.052,3.688,8.958,,193.87,4.125,13.174,207.043
2011-01-30,29.635,55.334,25.698,4.771,9.042,,196.875,5.375,21.417,218.292
2011-01-31,26.313,46.386,20.073,4.438,10.625,,191.417,4.833,16.917,208.333
2011-02-01,25.823,44.781,18.958,5.792,20.0,,194.043,6.167,20.217,214.261
2011-02-02,17.358,29.764,12.406,3.53,12.96,,190.75,4.783,9.875,200.625
2011-02-03,25.38,51.831,26.451,4.556,8.807,,195.667,6.0,17.333,213.0
2011-02-04,20.25,37.916,17.666,7.292,21.917,,190.913,6.167,12.652,203.565
2011-02-05,24.115,33.312,9.198,9.812,36.305,,195.667,6.417,16.458,212.125
2011-02-06,35.365,60.229,24.864,6.167,37.542,,196.083,7.042,30.875,226.958
2011-02-07,32.062,62.229,30.166,4.584,19.097,,194.87,7.167,24.217,219.087
2011-02-08,17.327,31.082,13.756,4.604,14.042,,191.583,4.583,11.125,202.708
2011-02-09,18.031,34.302,16.271,3.625,11.861,,193.0,5.13,9.292,202.292
2011-02-10,27.48,53.869,26.389,5.125,14.042,,191.524,5.917,18.619,210.143
2011-02-11,19.583,28.406,8.823,5.042,11.167,,190.0,5.0,13.833,203.833
2011-02-12,17.062,23.438,6.375,4.708,11.319,,190.478,5.0,11.0,201.478
2011-02-13,36.462,59.18,22.718,3.917,21.967,,196.273,6.174,28.0,224.273
2011-02-14,37.244,78.052,40.808,3.409,30.253,,200.167,8.0,47.542,247.708
2011-02-15,34.473,92.29,57.816,4.584,36.944,,204.6,8.458,54.2,258.8
2011-02-16,30.102,57.472,27.37,5.928,14.432,,,6.083,,
2011-02-17,19.427,36.854,17.427,4.125,13.361,,,5.167,,
2011-02-18,18.219,30.156,11.938,3.042,7.236,,,5.25,,
2011-02-19,20.802,27.812,7.01,4.292,13.611,,,4.783,,
2011-02-20,37.104,72.198,35.094,5.416,14.708,,,6.875,,
2011-02-21,49.406,108.271,58.864,11.334,40.153,,,8.542,,
2011-02-22,35.721,51.068,15.348,5.792,27.569,,,6.083,,
2011-02-23,32.136,70.042,37.906,4.02,21.028,,,7.833,,
2011-02-24,23.886,35.042,11.156,5.812,30.555,,,6.083,,
2011-02-25,33.156,55.875,22.719,5.125,32.736,,,7.125,,
2011-02-26,12.677,16.708,4.031,3.188,11.986,,,4.609,,
2011-02-27,22.438,34.416,11.979,3.604,11.403,,,5.0,,
2011-02-28,27.578,40.134,12.556,4.256,12.336,,,4.667,,
2011-03-01,49.604,102.135,52.531,8.718,33.75,,,7.667,,
2011-03-02,37.116,74.546,37.431,4.73,23.606,,,7.167,,
2011-03-03,18.062,25.958,7.896,4.375,16.722,,,5.5,,
2011-03-04,14.25,17.188,2.938,2.854,16.75,,,4.435,,
2011-03-05,33.886,63.688,29.802,4.062,19.042,,,7.0,,
2011-03-06,36.521,94.292,57.771,6.438,28.569,,193.636,8.792,25.818,219.455
2011-03-07,27.626,42.158,14.532,6.438,33.736,,196.292,7.417,18.167,214.458
2011-03-08,30.406,45.99,15.583,6.52,29.611,,197.083,7.25,20.208,217.292
2011-03-09,26.886,34.276,7.39,3.438,22.36,,193.636,6.167,19.318,212.955
2011-03-10,21.166,29.521,8.354,3.667,18.111,,193.667,5.833,17.042,210.708
2011-03-11,15.0,20.885,5.886,4.834,14.903,,192.917,4.609,9.583,202.5
2011-03-12,22.828,37.048,14.22,4.374,12.89,,193.0,5.727,14.696,207.696
2011-03-13,25.271,43.542,18.271,3.916,11.389,,193.042,5.333,20.167,213.208
2011-03-14,34.275,55.404,21.129,5.763,14.681,,196.955,5.667,43.636,240.591
2011-03-15,31.021,50.271,19.25,6.479,21.847,,195.087,6.5,25.87,220.957
2011-03-16,47.386,85.428,38.042,8.59,22.666,,200.917,6.458,37.375,238.292
2011-03-17,47.25,80.792,33.542,4.52,33.219,,201.0,8.75,49.167,250.167
2011-03-18,33.094,52.24,19.146,8.292,48.681,,201.174,9.0,31.739,232.913
2011-03-19,21.726,32.854,11.128,4.042,9.514,,195.167,4.333,13.208,208.375
2011-03-20,20.958,29.292,8.333,5.25,15.833,,193.833,4.25,13.5,207.333
2011-03-21,27.204,42.326,15.122,5.519,14.788,,192.091,5.091,15.591,207.682
2011-03-22,44.531,74.865,30.333,10.396,32.486,,197.917,6.708,31.875,229.792
2011-03-23,32.177,45.162,12.985,3.24,18.024,,190.0,5.25,26.0,216.0
2011-03-24,18.917,27.032,8.115,5.479,17.056,,192.087,6.167,13.304,205.391
