date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,20.604,39.479,18.875,,0.833,25.5,209.042,,27.667,236.708
2011-01-02,12.229,19.666,7.438,,0.333,16.25,192.5,,14.0,206.5
2011-01-03,8.084,13.625,5.542,,0.0,4.062,186.667,,7.75,194.417
2011-01-04,15.417,27.938,12.521,,0.75,10.5,197.583,,16.5,214.083
2011-01-05,16.176,32.009,15.834,,0.174,5.52,193.375,,13.875,207.25
2011-01-06,29.987,68.962,38.975,,1.0,14.646,196.833,,28.292,225.125
2011-01-07,11.75,24.104,12.355,,0.125,5.125,188.167,,8.667,196.833
2011-01-08,12.0,19.646,7.646,,0.167,7.25,188.583,,10.125,198.708
2011-01-09,25.979,51.979,26.0,,1.708,23.417,200.292,,31.875,232.167
2011-01-10,30.106,62.354,32.249,,1.217,21.174,191.818,,24.818,216.636
2011-01-11,22.5,56.729,34.229,,1.292,21.854,188.75,,27.625,216.375
2011-01-12,23.428,63.709,40.282,,0.696,10.938,194.667,,29.0,223.667
2011-01-13,37.758,97.693,59.935,,2.042,20.292,207.75,,44.375,252.125
2011-01-14,20.438,46.396,25.958,,1.042,11.812,199.0,,20.792,219.792
2011-01-15,24.958,46.23,21.271,,1.042,21.208,208.292,,29.083,237.375
2011-01-16,29.416,67.938,38.521,,1.083,27.417,196.583,,25.625,222.208
2011-01-17,29.958,71.396,41.438,,1.083,20.688,198.458,,28.042,226.5
2011-01-18,41.48,118.916,77.438,,2.458,35.23,209.875,,65.333,275.208
2011-01-19,25.802,71.648,45.846,,1.826,39.55,197.625,,36.542,234.167
2011-01-20,14.406,32.276,17.87,,0.304,9.411,186.105,,9.632,195.737
2011-01-21,13.584,28.438,14.854,,0.0,6.43,184.5,,9.833,194.333
2011-01-22,13.688,34.812,21.125,,0.083,4.333,196.667,,19.75,216.417
