date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,THC_mean
2011-01-01,24.458,30.812,6.354,4.375,22.834,204.875,24.708,,229.583
2011-01-02,14.834,17.708,2.875,3.667,14.292,197.708,17.583,,215.292
2011-01-03,13.021,14.771,1.75,3.0,6.958,195.375,14.25,,209.625
2011-01-04,18.75,26.604,7.854,4.125,12.729,200.458,19.042,,219.5
2011-01-05,26.188,39.479,13.292,3.292,9.396,200.0,22.542,,222.542
2011-01-06,35.114,63.94,28.826,3.783,13.271,201.833,29.833,,231.667
2011-01-07,17.542,21.188,3.646,3.167,7.979,196.125,16.917,,213.042
2011-01-08,15.23,16.958,1.729,3.0,8.125,197.583,15.583,,213.167
2011-01-09,31.667,50.833,19.167,5.083,20.334,205.458,28.208,,233.667
2011-01-10,33.938,55.334,21.396,5.333,23.625,200.708,28.083,,228.792
2011-01-11,25.152,44.348,19.196,4.13,21.046,197.773,23.455,,221.227
2011-01-12,29.042,53.562,24.521,3.75,12.875,200.417,29.75,,230.167
2011-01-13,38.562,88.166,49.604,4.75,21.416,201.708,35.833,,237.542
2011-01-14,26.708,42.938,16.229,4.792,16.292,202.542,26.25,,228.792
2011-01-15,27.188,39.812,12.625,5.667,18.396,205.042,27.042,,232.083
2011-01-16,27.979,36.875,8.896,3.833,20.312,198.833,21.583,,220.417
2011-01-17,36.812,60.584,23.771,4.583,23.667,201.75,29.25,,231.0
2011-01-18,48.304,96.0,47.696,7.913,33.782,204.913,41.261,,246.174
2011-01-19,29.562,42.854,13.292,5.0,27.5,194.917,24.042,,218.958
2011-01-20,18.166,23.25,5.084,2.667,15.605,190.375,14.292,,204.667
2011-01-21,15.77,18.938,3.166,2.0,9.354,188.75,12.833,,201.583
2011-01-22,16.875,28.292,11.417,2.208,9.604,193.667,23.333,,217.0
2011-01-23,28.562,88.292,59.729,3.458,16.438,205.875,41.208,,247.083
2011-01-24,27.042,42.896,15.854,3.208,12.396,194.208,23.375,,217.583
2011-01-25,30.834,66.574,35.739,3.435,19.176,197.292,31.417,,228.708
2011-01-26,30.79,49.233,18.443,3.875,14.6,197.957,28.087,,226.043
2011-01-27,32.083,68.979,36.896,4.0,17.146,199.5,29.375,,228.875
2011-01-28,23.229,34.292,11.062,3.833,16.729,196.375,20.667,,217.042
2011-01-29,10.958,11.854,0.896,2.792,11.167,193.042,12.125,,205.167
2011-01-30,28.916,46.646,17.73,3.75,13.625,197.125,23.25,,220.375
2011-01-31,30.146,58.166,28.02,3.75,14.688,198.333,28.125,,226.458
2011-02-01,19.585,28.574,8.989,4.542,23.868,195.357,22.643,,218.0
2011-02-02,20.921,29.468,8.546,3.043,11.206,194.25,19.083,,213.333
2011-02-03,32.666,65.229,32.562,4.25,15.084,202.0,30.292,,232.292
2011-02-04,35.146,77.167,42.021,4.0,18.042,205.125,40.25,,245.375
2011-02-05,32.834,49.104,16.27,6.0,23.229,204.417,31.833,,236.25
2011-02-06,37.812,59.021,21.208,4.458,40.688,200.75,31.5,,232.25
2011-02-07,31.498,55.744,24.248,2.864,45.688,197.833,34.833,,232.667
2011-02-08,21.77,30.012,8.241,3.667,11.058,193.522,20.609,,214.13
2011-02-09,27.334,47.5,20.166,3.208,10.292,194.625,21.75,,216.375
2011-02-10,35.729,64.958,29.23,4.167,16.625,198.833,29.958,,228.792
2011-02-11,27.25,35.688,8.438,4.292,18.042,196.25,26.167,,222.417
2011-02-12,15.938,20.521,4.584,3.25,14.48,195.333,19.583,,214.917
2011-02-13,36.396,51.438,15.042,5.833,24.02,198.208,25.792,,224.0
2011-02-14,33.333,46.146,12.812,4.167,36.48,195.583,26.125,,221.708
2011-02-15,27.152,43.304,16.152,3.762,37.609,195.739,29.13,,224.87
2011-02-16,22.771,27.729,4.958,3.958,23.084,193.25,18.292,,211.542
2011-02-17,29.416,41.458,12.042,4.292,25.0,196.5,25.792,,222.292
2011-02-18,13.688,16.146,2.458,3.333,11.875,193.042,14.875,,207.917
2011-02-19,18.917,24.146,5.229,4.208,14.625,198.083,20.417,,218.5
2011-02-20,29.084,43.958,14.875,4.375,18.916,199.625,26.125,,225.75
2011-02-21,38.208,62.104,23.896,4.75,22.77,200.625,30.542,,231.167
2011-02-22,26.084,31.396,5.312,6.583,28.916,196.417,22.417,,218.833
2011-02-23,29.65,45.108,15.458,3.217,28.788,195.375,28.75,,224.125
2011-02-24,25.032,32.525,7.492,6.458,28.444,195.238,23.714,,218.952
2011-02-25,24.875,29.146,4.271,3.583,19.77,196.792,22.667,,219.458
2011-02-26,16.354,18.084,1.729,3.625,12.438,197.375,18.75,,216.125
2011-02-27,12.938,15.292,2.354,3.042,12.77,193.083,13.042,,206.125
2011-02-28,22.584,26.979,4.396,4.708,15.084,196.083,19.375,,215.458
2011-03-01,32.332,62.676,30.345,3.25,17.182,197.87,32.261,,230.13
2011-03-02,33.208,65.875,32.666,3.167,25.375,197.875,34.625,,232.5
2011-03-03,18.333,21.104,2.77,4.458,16.729,193.333,18.375,,211.708
2011-03-04,16.708,17.354,0.646,4.75,24.438,197.208,17.375,,214.583
2011-03-05,27.521,41.5,13.98,2.25,10.542,196.125,22.25,,218.375
2011-03-06,40.146,93.75,53.604,6.208,33.416,206.5,54.542,,261.042
2011-03-07,26.0,35.456,9.456,5.609,35.61,196.182,28.818,,225.0
2011-03-08,27.875,33.834,5.958,3.75,25.729,195.5,22.25,,217.75
2011-03-09,26.0,33.875,7.875,2.375,21.458,195.167,20.75,,215.917
2011-03-10,15.938,17.666,1.729,2.083,7.812,192.667,13.875,,206.542
2011-03-11,17.688,20.729,3.042,3.625,17.75,195.375,18.458,,213.833
2011-03-12,18.688,27.792,9.105,2.958,10.125,193.208,15.083,,208.292
2011-03-13,16.875,20.833,3.958,3.042,10.188,194.625,14.625,,209.25
2011-03-14,30.542,39.416,8.875,4.167,14.917,198.0,22.5,,220.5
2011-03-15,26.652,49.326,22.674,3.783,20.88,196.435,22.435,,218.87
2011-03-16,18.75,23.584,4.833,3.917,21.854,195.583,14.792,,210.375
2011-03-17,39.792,55.271,15.479,2.833,44.042,201.417,33.75,,235.167
2011-03-18,30.333,41.938,11.604,3.542,45.5,204.417,35.083,,239.5
2011-03-19,22.875,30.375,7.5,3.583,14.646,194.417,18.458,,212.875
2011-03-20,20.438,24.854,4.416,4.167,18.188,195.125,18.583,,213.708
