date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean
2011-01-01,22.146,29.271,7.125,21.667,,4.792
2011-01-02,14.438,17.958,3.521,14.812,,3.875
2011-01-03,10.938,12.25,1.312,5.562,,3.167
2011-01-04,19.446,24.835,5.389,11.388,,4.652
2011-01-05,20.77,28.0,7.23,7.271,,4.125
2011-01-06,35.312,55.188,19.875,13.416,,6.25
2011-01-07,15.438,18.271,2.833,7.0,,4.292
2011-01-08,14.604,16.438,1.834,6.646,,3.875
2011-01-09,28.0,41.958,13.958,18.5,,6.167
2011-01-10,36.946,61.506,24.559,21.894,,6.875
2011-01-11,23.096,38.3,15.204,19.386,,5.409
2011-01-12,25.083,41.354,16.27,10.646,,5.421
2011-01-13,38.021,76.917,38.896,18.23,,7.417
2011-01-14,23.667,35.229,11.562,14.083,,5.833
2011-01-15,24.584,34.916,10.334,15.542,,6.542
2011-01-16,24.562,32.464,7.902,19.246,,4.522
2011-01-17,31.966,47.576,15.61,22.136,,5.625
2011-01-18,44.938,78.854,33.916,31.312,,8.917
2011-01-19,27.479,38.438,10.958,26.229,,6.583
2011-01-20,18.146,22.083,3.938,14.834,,4.292
2011-01-21,14.875,17.771,2.896,8.0,,3.0
2011-01-22,16.812,25.812,9.0,8.875,,3.458
2011-01-23,25.666,71.084,45.416,13.48,,4.208
2011-01-24,23.439,42.767,19.328,11.729,,4.25
2011-01-25,29.812,54.375,24.562,17.646,,4.917
2011-01-26,25.188,35.104,9.916,13.062,,4.917
2011-01-27,29.771,55.312,25.542,16.771,,5.833
2011-01-28,20.542,26.667,6.125,16.5,,5.042
2011-01-29,9.729,11.125,1.396,9.792,,4.125
2011-01-30,25.06,37.928,12.869,11.981,,4.75
2011-01-31,29.608,48.896,19.288,15.085,,5.957
2011-02-01,21.979,34.292,12.312,19.75,,6.25
2011-02-02,17.334,20.916,3.583,9.916,,4.542
2011-02-03,31.625,54.625,23.0,14.146,,6.542
2011-02-04,31.438,50.666,19.23,16.438,,6.375
2011-02-05,28.5,40.084,11.584,23.5,,7.75
2011-02-06,37.345,54.478,17.132,41.642,,6.0
2011-02-07,35.99,63.278,27.288,33.555,,4.957
2011-02-08,18.875,24.792,5.917,11.229,,5.042
2011-02-09,27.542,38.438,10.896,10.146,,5.125
2011-02-10,36.604,58.021,21.416,18.916,,7.583
2011-02-11,22.334,27.542,5.208,15.958,,6.125
2011-02-12,14.75,18.48,3.729,13.896,,4.833
2011-02-13,34.0,44.391,10.392,12.311,,6.87
2011-02-14,32.708,41.729,9.021,40.42,,6.208
2011-02-15,22.708,32.354,9.646,29.625,,5.917
2011-02-16,19.666,23.334,3.666,15.5,,5.0
2011-02-17,25.666,34.604,8.938,22.229,,5.75
2011-02-18,11.312,13.5,2.188,10.875,,4.417
2011-02-19,18.416,22.375,3.958,14.188,,5.5
2011-02-20,31.698,43.522,11.824,19.034,,6.217
2011-02-21,37.396,50.271,12.875,23.625,,7.417
2011-02-22,24.428,28.272,3.845,28.098,,8.875
2011-02-23,28.062,37.834,9.771,30.083,,6.042
2011-02-24,19.708,21.771,2.062,30.188,,9.636
2011-02-25,22.688,26.25,3.562,18.979,,5.292
2011-02-26,13.729,15.645,1.916,10.48,,4.292
2011-02-27,9.348,11.283,1.935,11.664,,3.609
2011-02-28,17.021,20.5,3.479,13.084,,4.958
2011-03-01,30.062,55.812,25.75,16.146,,6.083
2011-03-02,29.021,53.625,24.604,21.416,,5.125
2011-03-03,14.229,17.042,2.812,14.542,,4.958
2011-03-04,13.062,14.666,1.604,20.438,,4.875
2011-03-05,25.66,37.824,12.163,10.114,,3.739
2011-03-06,36.521,70.854,34.334,28.583,,6.5
2011-03-07,22.188,26.084,3.896,33.416,,7.333
2011-03-08,22.75,26.48,3.729,25.167,,6.083
2011-03-09,25.042,30.312,5.271,20.229,,4.792
2011-03-10,14.021,16.25,2.229,7.146,,3.417
2011-03-11,17.958,20.834,2.875,15.98,,5.292
2011-03-12,14.552,18.634,4.082,8.42,,4.136
2011-03-13,15.034,17.4,2.367,9.676,,4.316
2011-03-14,27.438,32.792,5.354,15.875,,6.083
2011-03-15,21.958,31.542,9.583,22.23,,5.792
2011-03-16,17.458,20.479,3.021,21.23,,5.958
2011-03-17,41.271,52.354,11.083,42.208,,5.625
2011-03-18,31.52,46.354,14.833,39.416,,5.625
2011-03-19,16.0,19.646,3.646,11.792,,4.625
2011-03-20,17.542,20.166,2.625,18.125,,6.25
2011-03-21,12.174,13.891,1.717,11.848,,4.87
2011-03-22,53.146,88.042,34.896,36.292,,8.917
2011-03-23,35.521,40.75,5.229,31.104,,6.5
2011-03-24,32.354,46.98,14.625,14.688,,4.958
2011-03-25,17.958,22.52,4.562,11.021,,5.375
2011-03-26,23.875,29.875,6.0,13.458,,5.042
2011-03-27,24.984,28.79,3.806,16.529,,6.208
2011-03-28,25.633,33.093,7.46,29.468,,7.174
2011-03-29,16.229,19.5,3.271,19.834,,6.25
2011-03-30,10.812,13.854,3.042,19.834,,5.292
2011-03-31,6.562,7.75,1.188,20.875,,4.583
2011-04-01,23.938,29.312,5.375,21.854,,6.167
2011-04-02,32.334,38.146,5.812,34.354,,7.708
2011-04-03,12.542,13.271,0.729,17.688,,5.583
2011-04-04,12.701,14.07,1.37,14.966,,4.125
2011-04-05,26.646,30.73,4.083,18.625,,6.083
2011-04-06,30.6,42.918,12.317,23.939,,7.333
2011-04-07,21.812,28.271,6.458,23.688,,6.125
2011-04-08,6.834,8.354,1.521,23.833,,4.167
2011-04-09,9.52,10.646,1.125,19.688,,4.167
2011-04-10,9.708,10.52,0.812,19.375,,6.542
2011-04-11,17.362,20.6,3.238,29.587,,6.542
2011-04-12,12.688,13.792,1.104,24.312,,5.25
2011-04-13,18.708,20.208,1.5,29.396,,6.875
2011-04-14,26.12,28.706,2.586,36.984,,8.696
2011-04-15,12.792,14.771,1.979,34.75,,7.708
2011-04-16,7.021,7.958,0.938,26.917,,5.667
2011-04-17,6.667,7.208,0.542,20.104,,6.458
2011-04-18,15.368,16.818,1.45,21.346,,7.125
2011-04-19,13.104,14.542,1.438,12.396,,4.417
2011-04-20,21.606,25.904,4.297,12.623,,5.913
2011-04-21,18.584,21.48,2.896,19.521,,7.25
2011-04-22,14.354,16.021,1.667,23.52,,5.667
2011-04-23,5.166,5.834,0.667,17.5,,4.333
2011-04-24,8.5,9.583,1.084,16.125,,5.708
2011-04-25,19.188,21.99,2.803,19.622,,5.792
2011-04-26,21.367,27.152,5.786,24.358,,6.083
2011-04-27,5.354,6.229,0.875,46.25,,5.042
2011-04-28,7.562,8.75,1.188,23.021,,5.25
2011-04-29,12.354,13.25,0.896,17.312,,6.417
2011-04-30,13.416,15.354,1.938,26.688,,6.833
2011-05-01,5.354,6.416,1.062,21.875,,4.708
2011-05-02,15.714,18.984,3.27,78.391,,5.957
2011-05-03,13.083,13.688,0.604,68.021,,5.0
2011-05-04,9.125,10.104,0.979,30.292,,5.917
2011-05-05,9.812,10.208,0.396,26.146,,5.542
2011-05-06,15.354,16.708,1.354,29.354,,5.792
2011-05-07,23.312,29.688,6.375,32.334,,4.75
2011-05-08,11.896,14.458,2.562,30.312,,6.167
2011-05-09,17.699,21.918,4.22,33.513,,7.087
2011-05-10,20.568,24.434,3.866,34.636,,6.182
2011-05-11,21.834,23.188,1.354,19.021,,5.292
2011-05-12,20.479,22.292,1.812,15.042,,4.208
2011-05-13,27.604,34.75,7.146,24.875,,6.708
2011-05-14,16.771,18.792,2.021,49.354,,7.125
2011-05-15,8.438,9.188,0.75,27.042,,6.375
2011-05-16,9.196,10.392,1.196,37.946,,5.696
2011-05-17,15.792,17.25,1.458,37.062,,5.625
2011-05-18,18.875,21.271,2.396,37.167,,7.333
2011-05-19,18.582,22.742,4.16,37.646,,7.625
2011-05-20,12.604,14.48,1.875,43.021,,7.0
2011-05-21,8.416,9.646,1.229,35.23,,6.25
2011-05-22,5.625,6.312,0.688,16.125,,5.042
2011-05-23,15.544,16.718,1.174,14.696,,4.409
2011-05-24,18.354,20.834,2.48,13.562,,4.471
2011-05-25,17.896,30.334,12.438,19.125,,6.042
2011-05-26,19.75,23.521,3.771,23.52,,7.208
2011-05-27,18.104,19.292,1.188,23.042,,7.167
2011-05-28,19.229,20.812,1.584,16.854,,4.042
2011-05-29,13.708,14.5,0.792,8.104,,3.917
2011-05-30,7.239,7.978,0.74,5.174,,3.478
2011-05-31,7.958,9.062,1.104,17.688,,3.792
2011-06-01,16.125,18.896,2.771,36.625,,5.667
2011-06-02,26.23,34.146,7.917,36.625,,5.292
2011-06-03,21.562,29.542,7.979,24.958,,6.5
2011-06-04,12.0,14.396,2.396,35.938,,6.25
2011-06-05,9.708,10.666,0.958,45.166,,6.292
2011-06-06,13.37,14.608,1.239,40.0,,6.652
2011-06-07,12.562,14.062,1.5,36.938,,9.208
2011-06-08,17.584,18.812,1.23,17.312,,5.542
2011-06-09,18.812,21.334,2.521,26.667,,8.75
2011-06-10,13.104,15.542,2.438,25.125,,6.583
2011-06-11,17.979,19.438,1.458,36.584,,6.333
2011-06-12,15.812,16.916,1.104,39.771,,7.917
2011-06-13,25.37,28.26,2.891,31.385,,8.318
2011-06-14,22.396,25.042,2.646,30.916,,8.333
2011-06-15,17.208,18.875,1.666,17.354,,7.458
2011-06-16,18.854,23.666,4.812,22.646,,5.708
2011-06-17,18.834,21.438,2.604,14.584,,4.125
2011-06-18,15.458,17.146,1.688,20.979,,4.917
2011-06-19,10.665,11.288,0.623,26.979,,5.0
2011-06-20,9.456,11.37,1.913,17.456,,4.174
2011-06-21,11.25,14.666,3.417,13.104,,3.708
2011-06-22,20.021,26.958,6.938,30.938,,5.083
2011-06-23,10.792,14.625,3.834,31.271,,4.208
2011-06-24,6.75,10.625,3.875,25.75,,3.833
2011-06-25,14.417,17.354,2.938,26.312,,5.875
2011-06-26,16.938,18.625,1.688,42.375,,6.042
2011-06-27,26.899,39.306,12.408,33.654,,5.042
2011-06-28,25.875,41.125,15.25,36.375,,6.833
2011-06-29,19.812,27.25,7.438,32.396,,7.167
2011-06-30,18.938,22.875,3.938,25.854,,5.542
2011-07-01,17.93,22.429,4.5,27.958,,5.292
2011-07-02,15.125,17.312,2.188,35.312,,5.958
2011-07-03,8.917,10.708,1.792,26.646,,4.917
2011-07-04,5.413,8.5,3.087,40.909,,3.609
2011-07-05,12.479,14.417,1.938,23.938,,4.75
2011-07-06,15.688,17.271,1.584,30.854,,6.792
2011-07-07,6.708,10.084,3.375,14.875,,3.875
2011-07-08,10.188,14.646,4.458,18.084,,3.083
2011-07-09,10.584,16.729,6.146,21.854,,3.333
2011-07-10,5.917,8.542,2.625,14.646,,3.208
2011-07-11,9.892,17.022,7.13,16.022,,3.609
2011-07-12,7.021,12.916,5.896,15.375,,3.167
2011-07-13,7.104,10.521,3.416,14.812,,3.25
2011-07-14,7.625,10.396,2.77,15.375,,3.667
2011-07-15,11.11,14.312,3.202,18.604,,4.292
2011-07-16,8.208,10.792,2.583,23.125,,7.542
2011-07-17,4.354,6.354,2.0,17.916,,4.375
2011-07-18,4.083,7.104,3.021,26.646,,5.0
2011-07-19,5.065,8.674,3.609,33.598,,3.13
2011-07-20,6.708,8.938,2.23,32.312,,3.417
2011-07-21,9.458,12.042,2.583,14.0,,3.542
2011-07-22,12.875,16.5,3.625,17.438,,4.0
2011-07-23,12.23,14.646,2.416,14.854,,4.0
2011-07-24,7.646,9.375,1.729,18.854,,4.625
2011-07-25,7.19,8.914,1.723,22.856,,3.75
2011-07-26,11.248,14.619,3.37,19.094,,3.273
2011-07-27,16.938,25.146,8.208,19.584,,3.458
2011-07-28,27.625,31.334,3.708,35.771,,6.083
2011-07-29,20.708,27.5,6.792,40.084,,4.708
2011-07-30,17.958,20.083,2.125,21.521,,4.75
2011-07-31,9.666,11.5,1.834,23.666,,4.0
2011-08-01,16.208,19.125,2.917,27.48,,5.167
2011-08-02,18.908,22.772,3.864,29.114,,6.652
2011-08-03,22.438,30.396,7.958,29.334,,5.458
2011-08-04,13.742,23.866,10.125,22.666,,4.292
2011-08-05,9.166,13.604,4.438,16.625,,3.583
2011-08-06,9.938,13.042,3.104,18.604,,3.083
2011-08-07,13.978,15.66,1.682,31.584,,4.792
2011-08-08,15.574,19.034,3.46,26.914,,4.542
2011-08-09,15.872,19.568,3.698,29.84,,4.304
2011-08-10,12.104,15.666,3.562,38.0,,3.708
2011-08-11,19.52,21.625,2.104,41.188,,5.458
2011-08-12,16.916,18.646,1.73,40.896,,6.458
2011-08-13,11.084,12.5,1.416,47.708,,5.917
2011-08-14,6.666,7.729,1.062,47.479,,5.5
2011-08-15,6.756,8.309,1.554,31.525,,4.87
2011-08-16,9.06,10.271,1.21,38.2,,4.458
2011-08-17,9.646,10.958,1.312,35.292,,4.708
2011-08-18,8.854,11.208,2.354,40.0,,4.292
2011-08-19,13.625,16.5,2.875,21.292,,4.375
2011-08-20,16.73,19.042,2.312,13.896,,5.375
2011-08-21,9.084,10.292,1.208,9.584,,4.708
2011-08-22,22.413,28.174,5.761,13.609,,4.0
2011-08-23,14.104,19.708,5.604,31.604,,4.292
2011-08-24,7.938,15.708,7.771,19.775,,4.208
2011-08-25,8.688,16.0,7.312,13.27,,3.0
2011-08-26,16.104,23.125,7.02,16.438,,3.667
2011-08-27,16.75,20.084,3.334,19.146,,4.25
2011-08-28,11.938,13.292,1.354,20.062,,5.417
2011-08-29,14.542,17.25,2.708,19.729,,4.583
2011-08-30,11.877,14.786,2.908,15.18,,4.167
2011-08-31,12.494,17.983,5.488,18.402,,4.435
2011-09-01,10.084,18.292,8.208,24.416,,4.667
2011-09-02,6.25,12.208,5.958,27.458,,4.167
2011-09-03,3.604,5.334,1.729,35.021,,3.0
2011-09-04,4.25,6.104,1.854,24.938,,3.708
