date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CO_mean
2011-01-01,17.396,23.312,5.917,19.271,6.042
2011-01-02,10.294,15.048,4.754,10.812,4.0
2011-01-03,9.75,11.5,1.75,6.604,4.083
2011-01-04,9.082,11.342,2.259,12.875,4.174
2011-01-05,14.25,17.104,2.854,6.416,3.25
2011-01-06,18.529,23.288,4.758,11.035,10.006
2011-01-07,8.681,10.019,1.338,4.653,8.877
2011-01-08,10.722,12.736,2.014,5.0,9.292
2011-01-09,14.641,19.054,4.413,10.834,10.458
2011-01-10,23.194,39.0,15.805,15.472,12.042
2011-01-11,14.527,28.508,13.981,13.333,10.568
2011-01-12,12.236,16.056,3.819,6.125,9.542
2011-01-13,18.842,37.101,18.26,9.997,10.89
2011-01-14,9.714,11.248,1.534,9.056,10.585
2011-01-15,9.083,10.403,1.319,7.056,9.812
2011-01-16,17.167,21.292,4.125,8.403,10.334
2011-01-17,23.972,39.347,15.375,10.625,10.75
2011-01-18,32.635,56.929,24.295,17.528,12.771
2011-01-19,35.513,66.608,31.095,23.069,13.146
2011-01-20,24.139,36.917,12.778,13.695,10.958
2011-01-21,21.487,26.137,4.65,11.833,10.587
2011-01-22,10.292,12.861,2.569,5.347,9.708
2011-01-23,16.482,24.704,8.222,5.403,10.812
2011-01-24,13.611,17.486,3.875,4.333,9.688
2011-01-25,18.825,26.715,7.89,9.153,10.53
2011-01-26,11.93,14.722,2.792,5.917,9.562
2011-01-27,19.653,40.736,21.083,12.417,10.584
2011-01-28,12.497,14.516,2.019,12.014,9.856
2011-01-29,5.097,6.097,1.0,5.472,8.792
2011-01-30,13.103,16.086,2.984,7.042,9.458
2011-01-31,18.778,26.578,7.8,7.415,9.582
2011-02-01,18.851,38.276,19.425,12.181,10.051
2011-02-02,13.208,15.583,2.375,7.111,8.792
2011-02-03,25.843,46.536,20.692,9.888,10.729
2011-02-04,16.716,25.87,9.154,15.403,10.31
2011-02-05,11.194,12.458,1.264,20.333,10.125
2011-02-06,26.234,41.696,15.462,24.542,11.646
2011-02-07,18.555,32.5,13.944,11.541,11.104
2011-02-08,5.946,6.947,1.0,5.014,8.108
2011-02-09,10.431,14.458,4.028,6.097,8.917
2011-02-10,14.181,20.639,6.458,8.57,9.25
2011-02-11,9.254,11.591,2.337,7.347,8.828
2011-02-12,6.375,7.334,0.958,7.736,8.916
2011-02-13,22.304,26.624,4.32,12.749,9.75
2011-02-14,28.111,52.764,24.653,14.931,11.479
2011-02-15,22.148,33.541,11.393,16.653,10.688
2011-02-16,13.361,15.181,1.819,7.903,8.812
2011-02-17,10.403,12.736,2.334,5.722,8.896
2011-02-18,7.793,9.494,1.701,5.417,5.466
2011-02-19,8.819,10.444,1.625,7.861,3.864
2011-02-20,19.817,24.837,5.02,7.788,3.591
2011-02-21,22.778,32.25,9.472,10.889,3.5
2011-02-22,27.157,36.347,9.19,21.32,3.739
2011-02-23,19.639,24.083,4.445,23.431,4.333
