date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,CO_mean
2011-04-14,17.583,19.542,1.958,,3.625,5.417
2011-04-15,17.917,19.208,1.292,,2.875,5.292
2011-04-16,8.25,8.917,0.667,,0.5,3.333
2011-04-17,6.348,6.609,0.261,,0.333,2.917
2011-04-18,11.333,12.208,0.875,,0.739,3.522
2011-04-19,11.624,13.336,1.711,,0.458,2.304
2011-04-20,7.729,9.042,1.312,,0.0,1.708
2011-04-21,23.562,35.375,11.812,,1.292,4.375
2011-04-22,28.625,45.666,17.042,,0.292,5.375
2011-04-23,21.292,36.708,15.416,,0.0,4.708
2011-04-24,12.046,15.16,3.114,,0.625,3.875
2011-04-25,20.196,30.544,10.348,,0.696,4.591
2011-04-26,22.202,33.388,11.187,,1.5,4.75
2011-04-27,27.125,39.792,12.666,,1.625,4.583
2011-04-28,17.375,22.208,4.834,,1.167,2.917
2011-04-29,18.375,24.479,6.104,,1.208,4.792
2011-04-30,20.375,30.938,10.562,,1.292,5.042
2011-05-01,17.302,23.48,6.178,,0.458,4.833
2011-05-02,11.0,15.108,4.108,,0.174,3.5
2011-05-03,16.736,21.164,4.428,,0.208,5.0
2011-05-04,13.27,17.0,3.729,,1.292,4.458
2011-05-05,11.584,13.542,1.958,,0.5,3.25
2011-05-06,17.02,23.23,6.208,,0.625,4.167
2011-05-07,11.895,14.521,2.625,,0.5,2.542
2011-05-08,12.394,15.236,2.842,,1.5,3.625
2011-05-09,17.044,22.718,5.674,,1.348,4.0
2011-05-10,17.81,35.402,17.592,,2.167,6.875
2011-05-11,17.938,35.812,17.875,,0.375,6.667
2011-05-12,20.458,33.73,13.27,,0.083,7.042
2011-05-13,14.104,17.625,3.521,,1.0,6.042
2011-05-14,12.917,15.104,2.188,,1.375,6.458
2011-05-15,14.396,17.014,2.618,,1.167,6.917
2011-05-16,24.282,31.63,7.348,,1.696,8.0
2011-05-17,17.229,22.13,4.902,,0.958,6.875
2011-05-18,25.666,32.917,7.25,,1.125,8.292
2011-05-19,20.125,25.73,5.604,,1.667,7.042
2011-05-20,23.625,33.854,10.229,,1.208,7.375
2011-05-21,14.729,23.5,8.771,,0.542,6.75
2011-05-22,6.746,8.708,1.962,,0.625,5.083
2011-05-23,6.312,7.938,1.625,,0.0,4.739
2011-05-24,18.176,25.668,7.491,,0.25,6.304
2011-05-25,26.98,35.188,8.208,,1.292,7.542
2011-05-26,12.792,15.708,2.916,,0.875,5.5
2011-05-27,10.333,12.708,2.375,,0.0,5.125
2011-05-28,16.625,24.604,7.98,,0.0,7.0
2011-05-29,3.644,4.248,0.604,,0.0,4.458
2011-05-30,2.37,2.544,0.174,,0.0,3.682
2011-05-31,10.774,13.769,2.994,,0.208,4.958
2011-06-01,14.188,21.062,6.875,,0.042,5.208
2011-06-02,20.77,34.125,13.354,,0.458,7.708
2011-06-03,21.438,29.438,8.0,,1.125,7.292
2011-06-04,17.666,24.73,7.062,,1.583,7.167
2011-06-05,17.899,22.704,4.805,,1.833,7.125
2011-06-06,18.354,23.562,5.208,,0.826,6.652
2011-06-07,16.6,22.193,5.593,,0.542,7.087
2011-06-08,25.062,31.625,6.562,,1.667,7.25
2011-06-09,24.917,37.104,12.188,,1.333,8.0
2011-06-10,28.562,45.604,17.042,,1.75,9.042
2011-06-11,9.584,11.604,2.021,,0.125,5.333
2011-06-12,12.87,15.208,2.338,,0.25,7.792
2011-06-13,19.646,27.146,7.5,,0.957,7.783
2011-06-14,6.673,7.966,1.294,,0.042,4.696
2011-06-15,10.833,14.312,3.48,,0.0,5.0
2011-06-16,13.812,19.958,6.146,,0.0,5.417
2011-06-17,22.334,28.792,6.458,,0.458,7.458
2011-06-18,22.5,30.208,7.708,,0.167,7.5
2011-06-19,16.616,21.466,4.85,,0.5,8.167
2011-06-20,27.98,48.417,20.438,,0.304,8.609
2011-06-21,27.116,47.654,20.539,,1.333,7.478
2011-06-22,18.458,36.208,17.75,,2.083,7.0
2011-06-23,9.938,22.729,12.792,,1.375,4.708
2011-06-24,9.792,23.375,13.584,,1.333,4.875
2011-06-25,8.792,20.521,11.729,,0.875,5.0
2011-06-26,8.674,17.778,9.104,,0.333,5.708
2011-06-27,11.667,30.146,18.479,,0.957,5.739
2011-06-28,11.256,26.476,15.22,,0.833,4.826
2011-06-29,19.542,33.521,13.979,,2.0,6.375
2011-06-30,14.812,21.27,6.458,,1.25,5.042
2011-07-01,15.75,32.5,16.75,,0.458,6.208
2011-07-02,14.23,20.562,6.334,,0.792,5.292
2011-07-03,13.691,19.608,5.916,,1.125,6.917
2011-07-04,18.146,31.084,12.938,,1.739,5.957
2011-07-05,16.528,21.181,4.653,,0.75,6.087
2011-07-06,19.75,30.708,10.958,,0.917,6.917
2011-07-07,18.729,44.52,25.792,,1.208,6.667
2011-07-08,13.729,36.0,22.271,,1.292,6.417
2011-07-09,10.062,24.062,14.0,,0.375,5.5
2011-07-10,8.623,16.369,7.746,,0.458,5.5
2011-07-11,11.958,24.854,12.895,,0.348,4.87
2011-07-12,13.36,36.771,23.411,,0.583,5.435
2011-07-13,12.938,31.854,18.916,,0.292,5.208
2011-07-14,15.062,33.75,18.688,6.556,0.833,5.708
2011-07-15,19.417,35.166,15.75,11.167,0.917,5.958
2011-07-16,21.958,31.933,9.975,18.625,0.923,7.0
2011-07-17,7.767,11.676,3.91,8.708,,4.042
2011-07-18,3.875,7.292,3.416,3.625,,3.435
2011-07-19,3.722,7.133,3.412,2.333,0.0,3.043
2011-07-20,4.312,7.146,2.833,4.333,0.0,2.375
2011-07-21,3.688,5.0,1.312,4.708,0.042,2.958
2011-07-22,21.125,34.354,13.229,10.167,1.208,5.333
2011-07-23,14.646,20.334,5.688,16.5,0.958,4.708
2011-07-24,11.627,15.011,3.384,16.875,0.875,5.125
2011-07-25,18.208,30.896,12.688,16.417,0.522,6.13
2011-07-26,14.921,26.216,11.296,9.25,0.583,
2011-07-27,14.562,34.812,20.25,6.333,1.458,
2011-07-28,17.458,34.167,16.708,13.583,1.458,
2011-07-29,18.166,26.375,8.208,18.958,1.042,6.2
2011-07-30,12.646,19.646,7.0,14.083,0.208,5.083
2011-07-31,7.589,9.173,1.584,16.542,0.167,4.5
2011-08-01,10.958,16.271,5.312,20.958,0.0,4.87
2011-08-02,11.326,15.583,4.258,13.708,0.0,4.783
2011-08-03,14.208,25.562,11.355,10.792,0.417,5.458
2011-08-04,10.104,18.188,8.084,8.0,0.333,4.25
2011-08-05,10.792,20.583,9.792,5.083,0.083,5.455
2011-08-06,11.166,28.188,17.02,5.208,0.25,6.083
2011-08-07,9.094,18.11,9.016,5.458,0.667,6.0
2011-08-08,16.833,34.0,17.166,9.417,1.348,6.0
2011-08-09,25.501,33.437,7.936,24.167,1.792,6.652
2011-08-10,25.312,37.5,12.188,26.75,1.875,7.0
2011-08-11,16.166,24.979,8.812,23.917,0.667,5.25
2011-08-12,14.292,19.0,4.708,18.833,0.417,5.042
2011-08-13,12.583,16.166,3.584,17.75,0.667,5.542
2011-08-14,8.788,12.22,3.432,19.042,2.0,5.042
2011-08-15,12.771,17.438,4.667,14.75,1.522,5.87
2011-08-16,13.75,18.162,4.412,19.25,1.417,5.826
2011-08-17,18.438,29.854,11.416,19.409,1.625,6.125
2011-08-18,18.375,31.042,12.666,19.167,1.667,5.875
2011-08-19,8.0,8.958,0.958,7.875,0.583,3.667
2011-08-20,10.062,11.916,1.854,9.958,0.0,4.75
2011-08-21,7.452,9.31,1.858,8.083,0.0,4.833
2011-08-22,12.938,17.834,4.896,8.5,0.087,5.261
2011-08-23,14.867,27.5,12.633,11.958,0.458,5.652
2011-08-24,13.105,26.708,13.604,10.875,0.5,5.417
2011-08-25,13.875,31.188,17.312,6.792,0.25,5.5
2011-08-26,11.396,22.292,10.896,5.875,0.125,4.708
2011-08-27,9.271,14.208,4.938,10.083,0.042,4.583
2011-08-28,9.416,12.09,2.673,18.5,0.75,5.25
2011-08-29,11.396,16.417,5.02,15.625,0.261,4.609
2011-08-30,14.1,18.358,4.259,14.5,0.125,5.435
2011-08-31,10.417,16.166,5.75,8.625,0.25,4.542
2011-09-01,6.208,12.667,6.458,6.083,0.0,4.75
2011-09-02,3.604,6.042,2.438,6.458,0.0,3.042
2011-09-03,3.604,5.104,1.5,6.833,0.0,2.917
2011-09-04,11.968,19.4,7.432,3.625,0.0,5.458
2011-09-05,11.208,17.02,5.812,3.25,0.0,4.261
2011-09-06,7.307,9.416,2.108,5.875,0.0,3.739
2011-09-07,20.896,30.354,9.458,12.292,0.542,5.875
2011-09-08,19.167,27.667,8.5,18.083,0.417,6.167
2011-09-09,15.583,26.334,10.75,14.583,0.125,5.792
2011-09-10,11.729,21.938,10.208,12.125,0.208,6.042
2011-09-11,10.63,17.342,6.712,8.375,0.375,5.583
2011-09-12,16.978,30.108,13.13,7.833,0.348,5.909
2011-09-13,18.926,28.914,9.987,12.625,0.583,5.958
