date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2011-01-01,189.479,84.0,64.562,42.5,16.521,9.106,11.371,2.265,1.318,8.966,10.3,6.25,1.7,206.0,4.771
2011-01-02,188.084,77.5,49.854,27.0,11.188,4.995,6.455,1.46,1.299,6.659,11.75,6.183,1.55,199.271,4.146
2011-01-03,188.698,72.5,50.646,36.5,12.421,8.197,10.374,2.177,1.271,4.379,8.95,4.242,-0.1,201.119,4.206
2011-01-04,190.41,84.0,53.666,29.5,13.16,9.389,12.305,2.916,1.846,8.776,9.1,3.746,-0.2,203.57,4.264
2011-01-05,190.756,59.5,43.52,23.5,17.059,16.926,27.923,10.998,1.391,5.787,9.05,2.642,-2.2,207.815,4.771
2011-01-06,190.778,74.0,55.73,37.5,18.986,20.42,35.099,14.679,1.368,8.455,8.55,3.088,-0.75,209.764,4.646
2011-01-07,191.35,81.5,60.979,40.5,22.357,19.655,34.076,14.421,1.433,9.511,9.85,3.85,0.0,213.707,5.312
2011-01-08,190.32,71.0,54.438,36.5,14.583,12.049,15.989,3.94,1.391,8.254,8.05,4.421,0.75,204.903,4.854
2011-01-09,192.0,80.5,65.208,44.5,19.694,17.892,25.816,7.924,1.475,11.992,10.2,5.204,1.4,211.695,5.458
2011-01-10,191.467,82.0,68.23,49.0,26.307,23.648,42.653,19.005,1.698,15.39,9.6,4.771,0.8,217.774,6.459
2011-01-11,191.484,91.5,70.23,43.0,23.019,20.609,37.632,17.024,1.743,16.72,11.4,5.012,0.15,214.503,4.919
2011-01-12,190.551,83.0,63.792,45.0,15.814,19.119,33.868,14.749,1.465,8.739,6.4,2.31,-1.4,206.365,4.48
2011-01-13,189.958,78.5,60.958,40.0,24.458,22.488,41.753,19.265,1.641,10.578,9.9,3.683,-0.85,214.416,5.48
2011-01-14,195.611,80.5,66.25,35.5,25.347,20.254,32.727,12.474,1.677,14.871,9.4,3.744,0.45,220.958,6.604
2011-01-15,195.153,81.0,69.646,54.0,21.486,16.746,24.402,7.655,1.507,14.356,6.7,2.994,0.0,216.639,6.25
2011-01-16,193.613,93.0,69.25,56.5,27.429,26.039,47.43,21.391,1.633,17.094,4.5,2.552,0.2,221.042,6.771
2011-01-17,192.068,98.5,84.334,56.5,27.987,26.44,49.243,22.804,1.632,19.451,6.55,1.771,-0.45,220.054,5.725
2011-01-18,190.556,90.0,72.604,45.5,24.597,23.333,45.172,21.838,2.062,20.386,8.85,3.431,-1.2,215.153,4.852
2011-01-19,189.139,97.0,68.708,40.0,20.459,21.657,36.156,14.499,1.931,16.034,10.4,5.246,1.7,209.597,4.562
2011-01-20,188.056,97.5,84.458,65.0,12.472,13.544,17.945,4.4,1.625,6.394,5.95,4.294,2.7,200.528,3.688
2011-01-21,186.792,98.5,92.479,78.5,14.083,15.485,23.098,7.614,1.632,6.447,5.75,4.579,3.75,200.875,4.334
2011-01-22,187.889,98.5,88.375,64.5,17.972,12.471,18.327,5.856,1.695,9.648,11.05,6.327,3.1,205.861,5.188
2011-01-23,189.493,91.5,75.625,58.0,16.901,17.8,32.782,14.982,1.862,12.357,11.85,7.204,3.55,206.394,6.021
2011-01-24,192.05,92.0,67.958,50.0,18.67,18.676,32.27,13.594,1.681,7.637,6.15,2.838,-0.15,210.72,4.898
2011-01-25,191.472,89.0,55.104,25.0,21.153,18.452,34.939,16.486,1.82,7.659,7.85,2.179,-1.2,212.625,5.042
2011-01-26,193.222,61.0,41.73,19.0,16.958,19.647,34.777,15.129,1.847,8.326,6.85,1.61,-2.2,210.181,5.166
2011-01-27,193.389,70.0,51.354,22.5,22.458,22.072,41.031,18.959,2.22,11.42,9.25,2.188,-3.05,215.847,5.562
2011-01-28,194.208,74.5,63.729,51.0,19.556,19.525,30.854,11.329,1.999,16.038,6.45,1.921,-1.65,213.764,5.938
2011-01-29,190.818,67.0,51.27,28.5,10.471,11.733,14.896,3.162,1.642,10.981,6.65,2.246,-0.65,201.289,4.5
2011-01-30,191.549,71.0,48.562,29.5,16.945,19.527,32.839,13.312,1.694,9.803,6.1,1.204,-2.0,208.493,4.958
2011-01-31,190.85,73.0,49.125,22.5,21.862,22.17,41.68,19.511,1.647,8.951,9.05,2.208,-2.55,212.712,5.333
2011-02-01,192.48,70.5,46.479,27.0,24.9,20.521,37.817,17.296,3.028,13.915,9.25,3.333,-2.15,217.38,4.591
2011-02-02,192.444,64.0,38.208,17.0,20.569,18.799,34.377,15.579,1.778,7.617,4.15,-0.196,-3.75,213.014,2.958
2011-02-03,191.264,58.0,38.916,17.0,15.903,19.586,32.895,13.309,1.698,7.776,4.7,-0.246,-5.05,207.167,3.292
2011-02-04,190.847,66.5,50.625,31.0,21.542,19.015,28.936,9.921,1.67,11.958,8.1,1.969,-3.4,212.389,4.125
2011-02-05,191.25,80.0,62.125,46.5,20.472,17.727,24.214,6.488,2.17,16.357,8.5,3.819,-0.95,211.722,5.125
2011-02-06,191.946,98.5,88.812,71.5,24.725,25.316,43.428,18.112,1.618,21.785,7.35,4.74,3.25,216.671,5.625
2011-02-07,186.687,98.5,94.271,80.5,25.519,19.165,31.053,11.888,1.549,21.106,14.7,11.704,6.35,212.205,5.087
2011-02-08,189.042,84.0,50.458,29.5,16.653,15.547,25.313,9.765,1.723,9.218,9.75,6.35,0.25,205.694,3.478
2011-02-09,190.616,65.5,44.958,24.0,20.758,19.502,36.841,17.338,1.778,6.75,8.0,2.36,-2.6,211.374,3.208
2011-02-10,190.764,75.5,57.188,32.5,23.764,21.68,39.479,17.799,1.702,9.652,8.45,3.188,-0.95,214.528,3.375
2011-02-11,190.472,74.5,59.333,41.0,18.153,15.314,22.602,7.288,1.743,9.53,8.4,3.988,1.05,208.625,3.625
2011-02-12,192.639,84.0,62.084,34.5,17.014,14.837,19.727,4.89,1.702,11.561,9.25,3.656,-1.05,209.653,4.292
2011-02-13,191.707,98.5,71.854,46.0,20.777,21.408,35.673,14.264,2.243,14.136,8.85,4.771,0.55,212.484,4.542
2011-02-14,189.924,98.5,96.834,90.0,21.996,22.949,41.969,19.02,1.585,17.473,5.95,4.898,3.3,211.921,4.739
2011-02-15,189.827,96.5,87.562,75.5,26.104,23.516,42.92,19.404,1.924,17.413,9.2,6.738,4.55,215.932,5.75
2011-02-16,190.403,94.0,76.354,59.0,20.75,22.827,35.879,13.052,1.598,15.545,6.25,3.954,1.9,211.153,5.083
2011-02-17,189.5,95.5,66.292,27.0,21.208,19.402,36.716,17.314,1.667,12.566,9.35,3.527,0.15,210.708,3.833
2011-02-18,191.597,83.5,38.708,14.5,13.014,12.53,18.386,5.856,1.522,6.678,6.2,1.617,-1.7,204.611,2.5
2011-02-19,190.625,75.5,54.708,33.5,13.75,12.102,15.875,3.773,1.624,9.405,5.6,1.258,-2.55,204.375,3.875
2011-02-20,190.289,75.0,56.812,31.5,19.883,19.794,31.59,11.795,1.694,10.636,8.4,3.19,-1.5,210.172,4.042
2011-02-21,189.408,78.0,58.354,38.0,20.599,23.789,38.641,14.852,1.739,14.659,9.5,5.194,-0.85,210.006,4.304
2011-02-22,190.16,98.0,63.333,48.5,22.06,24.083,36.854,12.772,2.66,24.877,11.0,7.215,3.8,212.221,5.792
2011-02-23,188.139,98.5,96.542,82.0,30.014,24.162,39.125,14.963,1.597,15.321,12.0,8.298,5.5,218.153,6.292
2011-02-24,189.58,98.5,69.062,36.5,24.574,21.611,33.419,11.808,2.994,21.701,13.95,9.8,5.95,214.153,6.208
2011-02-25,191.056,98.5,92.875,79.0,24.278,25.083,36.136,11.053,1.827,21.621,10.65,8.542,5.9,215.333,7.75
