date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CO_mean,PM25_mean
2011-01-01,18.833,27.208,8.375,12.438,4.208,
2011-01-02,8.708,15.27,6.562,14.125,4.167,
2011-01-03,13.0,22.021,9.02,15.438,4.042,
2011-01-04,9.271,16.521,7.25,21.5,4.042,
2011-01-05,22.334,45.5,23.166,8.812,3.917,
2011-01-06,31.646,81.288,49.642,14.396,5.417,
2011-01-07,13.98,34.042,20.062,7.5,3.522,
2011-01-08,17.083,32.125,15.042,9.48,4.25,
2011-01-09,22.396,42.354,19.958,15.666,4.792,
2011-01-10,36.833,90.084,53.25,29.73,7.042,
2011-01-11,22.771,57.771,35.0,22.688,4.958,
2011-01-12,29.822,75.406,45.584,10.522,4.75,
2011-01-13,30.375,83.458,53.083,16.0,5.625,
2011-01-14,21.77,51.25,29.479,21.146,5.875,
2011-01-15,16.347,31.728,15.38,12.812,4.333,
2011-01-16,21.854,51.875,30.021,12.396,4.0,
2011-01-17,25.042,51.458,26.416,13.208,3.833,
2011-01-18,34.048,79.62,45.572,13.335,5.042,
2011-01-19,32.23,71.646,39.417,11.062,4.875,
2011-01-20,25.938,58.354,32.416,7.666,4.5,
2011-01-21,25.916,60.771,34.854,11.0,4.917,
2011-01-22,18.375,34.854,16.48,8.646,4.083,
2011-01-23,17.5,42.396,24.896,5.25,3.792,
2011-01-24,21.41,51.701,30.292,7.354,3.458,
2011-01-25,22.99,50.789,27.799,15.584,4.652,
2011-01-26,25.854,58.666,32.812,8.416,3.875,
2011-01-27,29.062,64.521,35.458,19.021,5.167,
2011-01-28,25.27,52.438,27.166,16.979,4.583,
2011-01-29,15.77,27.084,11.312,8.542,3.542,
2011-01-30,29.0,76.771,47.77,9.834,4.958,
2011-01-31,29.916,75.334,45.417,10.125,4.5,
2011-02-01,25.25,63.438,38.188,16.27,5.208,
2011-02-02,15.299,35.916,20.617,8.708,3.375,
2011-02-03,32.354,74.604,42.25,13.0,5.304,
2011-02-04,23.958,51.979,28.021,18.083,5.458,
2011-02-05,21.02,32.375,11.354,32.75,5.583,
2011-02-06,34.708,69.667,34.958,25.0,6.458,
2011-02-07,26.916,65.167,38.25,12.916,5.917,
2011-02-08,15.889,37.019,21.13,8.066,3.625,
2011-02-09,22.583,51.75,29.166,11.354,4.375,
2011-02-10,28.416,69.854,41.438,11.334,4.458,
2011-02-11,15.864,31.153,15.29,10.938,4.083,
2011-02-12,15.834,26.416,10.584,11.188,3.652,
2011-02-13,34.188,68.938,34.75,15.271,5.125,
2011-02-14,38.834,99.604,60.77,16.875,6.458,
2011-02-15,29.917,73.646,43.729,16.188,5.167,
2011-02-16,30.354,71.25,40.896,15.458,4.75,
2011-02-17,17.916,43.312,25.396,9.354,3.958,
2011-02-18,14.375,32.896,18.521,7.042,3.792,
2011-02-19,18.583,34.729,16.146,10.188,4.042,
2011-02-20,32.549,69.875,37.326,13.333,5.167,
2011-02-21,39.125,89.0,49.875,21.188,6.435,
2011-02-22,31.438,65.789,34.352,22.566,5.167,
2011-02-23,23.542,51.167,27.625,14.666,4.75,
2011-02-24,21.52,42.375,20.854,26.812,4.625,
2011-02-25,25.208,53.27,28.062,20.146,5.083,
2011-02-26,10.166,18.146,7.979,10.292,3.167,
2011-02-27,22.25,46.396,24.146,12.75,3.75,
2011-02-28,27.084,59.125,32.042,11.125,3.792,
2011-03-01,35.292,73.5,38.208,13.854,5.304,
2011-03-02,27.584,61.188,33.604,12.646,4.708,
2011-03-03,14.104,26.666,12.562,14.812,3.917,
2011-03-04,16.25,24.312,8.062,15.292,4.083,
2011-03-05,32.48,73.312,40.834,10.396,5.708,
2011-03-06,38.264,77.748,39.484,15.292,6.875,
2011-03-07,24.5,49.666,25.167,30.666,6.417,
2011-03-08,25.271,55.458,30.188,28.084,6.583,
2011-03-09,29.636,53.408,23.772,18.896,5.625,
2011-03-10,16.146,30.875,14.729,10.667,4.13,
2011-03-11,11.729,19.458,7.73,12.875,3.375,
2011-03-12,16.167,33.688,17.521,10.854,3.75,
2011-03-13,19.562,46.208,26.646,9.667,4.167,
2011-03-14,35.833,67.0,31.166,14.021,4.792,
2011-03-15,30.458,66.812,36.354,16.574,4.958,
2011-03-16,37.188,78.75,41.562,15.395,4.958,
2011-03-17,31.875,62.833,30.958,15.125,5.542,
2011-03-18,28.084,63.983,35.9,22.542,7.75,
2011-03-19,16.354,35.188,18.834,9.542,3.652,
2011-03-20,19.708,36.958,17.25,13.73,3.625,
2011-03-21,22.646,47.875,25.229,14.0,3.833,
2011-03-22,33.896,60.828,26.932,19.782,4.833,
2011-03-23,33.188,59.396,26.208,13.834,4.375,
2011-03-24,22.25,39.084,16.834,12.062,5.25,
2011-03-25,11.417,19.104,7.688,14.084,3.583,
2011-03-26,23.584,51.458,27.875,12.188,4.042,
2011-03-27,34.978,68.332,33.354,17.225,4.583,
2011-03-28,28.542,56.062,27.521,32.095,5.478,
2011-03-29,31.458,60.521,29.062,17.548,4.958,
2011-03-30,31.27,60.521,29.25,17.5,4.5,
2011-03-31,22.583,40.938,18.354,11.125,4.167,
2011-04-01,26.833,43.021,16.188,21.062,4.375,
2011-04-02,22.854,37.854,15.0,27.521,4.5,
