date,NO2_mean,NOX_mean,NO_mean,SPM_mean,HUM_max,HUM_mean,HUM_min,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,17.781,24.521,6.74,31.813,73.0,58.188,39.0,0.708,7.8,3.148,-1.4
2011-01-02,10.587,15.502,4.914,16.604,84.0,59.125,33.5,1.083,10.25,5.085,1.9
2011-01-03,6.75,8.198,1.448,15.062,63.5,49.438,36.0,1.208,8.95,5.802,2.95
2011-01-04,5.833,7.177,1.344,25.646,67.5,48.375,30.0,3.188,7.9,3.538,-6.45
2011-01-05,8.524,10.508,1.984,10.4,85.0,60.438,38.0,0.875,7.35,3.74,1.15
2011-01-06,20.729,28.542,7.812,18.729,70.0,55.146,45.0,1.688,8.8,5.081,1.35
2011-01-07,11.698,14.708,3.01,11.594,73.0,49.312,29.5,0.875,8.5,4.738,1.8
2011-01-08,12.062,14.771,2.708,11.76,63.5,47.834,29.0,1.146,8.95,3.95,-0.05
2011-01-09,15.068,20.179,5.11,19.177,74.5,55.688,43.0,2.208,10.05,5.048,0.9
2011-01-10,26.61,41.42,14.81,31.521,82.5,61.916,39.5,2.375,10.7,5.606,0.4
2011-01-11,18.778,33.776,14.997,26.443,76.0,54.416,40.5,1.826,9.8,5.404,1.65
2011-01-12,14.041,18.999,4.958,12.246,63.0,41.229,28.0,0.744,7.05,2.806,-0.55
2011-01-13,21.604,43.802,22.198,22.364,67.5,52.562,33.0,2.562,10.05,4.765,-1.1
2011-01-14,11.521,14.312,2.792,18.937,65.0,54.208,39.5,2.896,8.9,5.862,4.35
2011-01-15,10.156,12.062,1.906,14.51,76.5,57.521,42.5,1.958,8.35,5.752,2.75
2011-01-16,20.207,25.986,5.779,19.969,88.5,49.584,37.5,1.333,6.4,4.629,1.4
2011-01-17,23.16,36.684,13.524,21.792,89.0,64.146,32.5,1.375,9.05,4.283,0.25
2011-01-18,30.573,74.573,44.0,36.344,85.0,65.938,43.5,2.5,10.05,4.05,-1.6
2011-01-19,37.177,84.25,47.073,45.469,89.0,72.583,46.0,1.729,8.5,5.175,2.3
2011-01-20,24.886,33.864,8.979,20.875,91.0,88.271,83.5,0.75,8.9,7.083,5.2
2011-01-21,24.031,32.802,8.771,25.354,90.5,86.458,75.0,0.75,9.85,7.654,6.55
2011-01-22,13.198,17.594,4.396,19.281,90.0,69.916,50.5,1.188,12.15,7.956,3.95
2011-01-23,14.469,23.181,8.712,12.786,84.5,63.875,40.0,1.163,11.4,7.042,3.35
2011-01-24,12.062,15.604,3.542,10.99,68.5,50.792,37.5,1.312,7.45,4.217,1.45
2011-01-25,10.688,13.021,2.334,14.812,58.0,44.75,31.0,1.584,7.0,3.41,1.0
2011-01-26,11.708,14.51,2.802,12.521,76.0,60.188,42.0,1.896,5.9,2.398,-0.2
2011-01-27,17.438,24.782,7.344,21.552,82.5,62.896,45.0,2.312,7.0,2.717,-1.7
2011-01-28,18.031,22.542,4.51,24.812,80.5,62.521,42.0,2.104,7.55,3.554,0.85
2011-01-29,8.594,9.948,1.354,13.208,55.5,42.896,27.0,1.479,7.4,3.015,0.05
2011-01-30,17.686,23.22,5.535,14.323,70.0,51.104,33.0,2.084,6.6,2.902,-1.4
2011-01-31,17.469,22.5,5.031,14.26,76.5,58.146,38.0,2.375,7.3,3.206,-1.0
2011-02-01,20.18,44.97,24.789,21.08,81.5,64.292,46.0,2.312,7.95,1.898,-2.65
2011-02-02,9.042,11.0,1.958,11.104,82.0,60.25,44.5,1.625,2.15,0.312,-1.55
2011-02-03,20.177,31.334,11.156,17.323,77.5,57.542,37.5,1.812,5.2,0.683,-4.2
2011-02-04,17.948,32.552,14.604,24.104,77.5,55.166,30.5,2.666,8.5,2.981,-3.35
2011-02-05,12.667,14.76,2.094,29.594,79.0,50.792,32.5,2.334,8.95,5.727,1.0
2011-02-06,30.787,58.016,27.229,42.042,90.5,81.167,64.5,1.458,6.25,5.169,4.0
2011-02-07,20.426,37.174,16.748,25.628,92.0,74.688,54.5,1.74,10.05,7.867,5.85
2011-02-08,7.875,10.386,2.51,11.927,62.5,49.354,39.0,1.625,6.9,3.788,0.45
2011-02-09,11.198,14.24,3.042,15.146,69.5,50.458,35.5,1.584,6.15,2.394,-1.4
2011-02-10,14.45,20.212,5.761,17.666,80.0,57.042,31.0,2.0,8.7,3.869,-0.65
2011-02-11,10.396,13.219,2.823,15.969,72.0,52.417,32.5,2.0,8.2,4.317,0.85
2011-02-12,7.49,9.136,1.646,16.583,70.0,51.542,35.0,2.042,8.3,4.165,0.7
2011-02-13,27.905,37.294,9.389,25.708,90.0,61.5,34.5,1.271,6.8,3.471,0.9
2011-02-14,34.531,61.927,27.396,35.042,91.5,88.958,85.5,0.875,6.35,4.765,2.75
2011-02-15,24.063,44.656,20.594,35.114,92.5,71.208,49.0,2.646,9.1,5.11,1.75
2011-02-16,18.479,23.781,5.302,17.719,61.0,44.229,22.5,2.125,9.9,4.521,1.25
2011-02-17,10.729,13.406,2.677,14.885,59.0,48.146,36.0,2.021,7.85,4.321,2.3
