date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,79.0,60.708,38.0,17.52,23.75,6.23,,1.375,6.812,8.6,2.029,-1.7,210.417,5.833,29.792,240.208
2011-01-02,88.0,59.5,33.0,10.334,15.292,4.958,,1.125,6.25,10.9,3.233,-2.1,203.417,4.042,24.417,227.833
2011-01-03,60.0,43.542,26.0,7.75,11.084,3.334,,0.958,3.562,8.7,4.525,1.8,191.708,3.625,17.375,209.083
2011-01-04,75.0,56.167,33.0,12.728,19.418,6.691,,1.273,3.208,8.4,2.412,-2.7,199.391,4.739,25.261,224.652
2011-01-05,65.0,48.625,28.0,10.521,16.125,5.604,,1.0,4.062,6.6,2.683,-0.4,195.167,3.5,19.833,215.0
2011-01-06,58.0,42.5,22.0,19.542,30.938,11.396,,1.458,6.208,10.3,4.421,-1.0,196.083,4.792,28.333,224.417
2011-01-07,64.0,46.625,28.0,11.916,18.708,6.792,,1.125,3.646,7.3,3.396,0.3,196.542,4.167,21.417,217.958
2011-01-08,67.0,45.5,30.0,12.729,20.438,7.708,,1.375,3.542,7.8,3.129,-0.2,196.833,4.583,24.167,221.0
2011-01-09,76.0,55.333,33.0,23.688,39.938,16.25,,1.792,12.188,8.5,2.479,-2.8,204.833,6.625,38.208,243.042
2011-01-10,74.0,53.917,33.0,26.166,42.916,16.75,,1.583,7.536,9.6,4.442,-0.4,201.208,5.792,36.167,237.375
2011-01-11,75.0,51.625,25.0,17.854,40.875,23.021,,1.542,8.646,9.2,2.846,-0.1,201.708,4.833,31.458,233.167
2011-01-12,55.0,38.792,24.0,16.812,31.021,14.208,,1.208,2.667,6.2,1.562,-1.8,197.0,5.25,26.25,223.25
2011-01-13,62.0,45.583,25.0,23.604,42.542,18.938,,2.25,4.604,11.9,3.2,-4.3,200.375,5.333,32.708,233.083
2011-01-14,56.0,40.625,26.0,12.625,20.562,7.938,,1.625,4.521,6.9,3.042,-0.1,197.208,5.0,28.917,226.125
2011-01-15,68.0,49.917,33.0,15.625,22.688,7.062,,1.875,7.854,7.1,2.829,-1.8,200.583,5.5,26.958,227.542
2011-01-16,66.0,49.208,40.0,23.063,37.478,14.414,,2.217,12.417,4.2,2.242,-0.7,198.762,5.87,27.667,226.429
2011-01-17,71.0,51.625,32.0,28.25,52.146,23.896,,2.167,11.396,7.0,2.579,-1.1,198.958,7.042,34.833,233.792
