date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean,CO_mean
2011-01-01,20.729,39.375,18.646,7.156,,2.565,5.417
2011-01-02,9.823,16.469,6.646,5.104,,2.458,2.792
2011-01-03,8.208,16.646,8.438,2.896,,4.833,2.583
2011-01-04,9.666,21.396,11.729,3.031,,2.333,2.958
2011-01-05,7.671,15.432,7.761,2.927,,2.826,2.909
2011-01-06,14.834,34.042,19.208,5.479,,2.0,3.667
2011-01-07,13.552,26.656,13.104,7.125,,2.875,4.375
2011-01-08,19.552,45.5,25.948,8.938,,2.292,4.708
2011-01-09,11.208,23.031,11.823,7.677,,2.333,3.708
2011-01-10,13.531,30.354,16.823,4.229,,2.375,4.375
2011-01-11,9.25,20.531,11.281,1.854,,2.5,3.208
2011-01-12,11.448,25.552,14.104,3.396,,2.478,4.083
2011-01-13,12.771,29.073,16.302,12.865,,3.958,4.364
2011-01-14,9.437,22.114,12.677,4.219,,2.417,3.375
2011-01-15,7.416,16.636,9.219,4.26,,2.167,3.042
2011-01-16,10.354,26.385,16.031,5.938,,2.5,4.0
2011-01-17,13.416,32.614,19.198,5.292,,3.0,4.333
2011-01-18,15.448,35.635,20.188,5.239,,2.375,4.875
2011-01-19,24.863,55.197,30.335,7.445,,3.696,5.364
2011-01-20,27.146,63.302,36.156,8.49,,3.13,7.042
2011-01-21,34.364,77.614,43.25,13.927,,5.5,7.208
2011-01-22,17.302,32.198,14.896,4.854,,3.5,4.083
2011-01-23,13.188,27.76,14.573,8.479,,2.875,4.042
2011-01-24,13.364,28.823,15.458,7.542,,2.75,3.958
2011-01-25,18.219,38.552,20.334,7.666,,2.958,5.083
2011-01-26,12.204,27.549,15.345,6.004,,2.75,4.182
2011-01-27,10.386,23.26,12.875,5.344,,2.833,4.292
2011-01-28,9.416,21.448,12.031,5.812,,2.542,4.458
2011-01-29,10.052,20.677,10.625,4.0,,2.333,3.833
2011-01-30,22.24,47.917,25.677,4.625,,3.375,5.583
2011-01-31,16.594,38.079,21.462,6.698,,3.917,4.625
2011-02-01,19.885,42.969,23.083,5.938,,5.125,4.875
2011-02-02,11.524,24.552,13.028,4.695,,2.375,3.476
2011-02-03,13.01,29.26,16.25,5.396,,2.5,4.625
2011-02-04,12.583,26.146,13.562,7.386,,2.167,4.75
2011-02-05,12.177,24.115,11.937,7.021,,2.25,3.792
2011-02-06,21.917,46.771,24.854,9.802,,3.25,6.583
2011-02-07,22.114,47.219,25.104,15.438,,4.375,6.792
2011-02-08,8.5,19.833,11.333,10.052,,3.75,3.833
2011-02-09,9.452,21.339,11.886,5.54,,2.833,4.048
2011-02-10,10.521,24.438,13.917,7.854,,2.917,3.708
2011-02-11,9.677,21.75,12.073,6.24,,2.625,3.458
2011-02-12,7.073,15.458,8.386,7.167,,2.208,2.792
2011-02-13,13.201,27.667,14.466,10.21,,3.174,4.625
2011-02-14,31.271,70.469,39.198,39.532,,9.043,9.917
2011-02-15,13.75,26.677,12.927,20.219,,5.167,4.833
2011-02-16,13.891,29.744,15.852,9.594,,3.391,4.792
