date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean,PM25_mean,CO_mean
2011-01-01,187.486,9.875,9.986166666666668,12.4375,2.4513333333333334,2.5106,197.36133333333336,9.792,4.8125
2011-01-02,184.83333333333334,7.305666666666667,6.517500000000001,8.401,1.8835,2.35,192.139,7.5,4.0945
2011-01-03,187.63966666666667,9.548333333333334,8.125,11.041666666666666,2.9168333333333334,2.243,197.188,2.167,4.0415
2011-01-04,189.389,8.75,8.7535,12.843833333333334,4.090333333333334,4.093,198.13866666666664,13.333,5.3335
2011-01-05,189.79133333333334,8.5,14.242166666666668,24.145833333333332,9.903666666666666,2.3332,198.29133333333334,3.625,4.0215
2011-01-06,190.448,14.076999999999998,22.21066666666667,42.0255,19.814666666666664,2.8286000000000002,204.52533333333335,5.625,4.396
2011-01-07,190.611,15.027666666666667,18.0075,34.207166666666666,16.1995,3.0834,205.639,5.75,4.4585
2011-01-08,190.23633333333336,8.791666666666666,10.9305,14.75,3.8193333333333332,2.4836,199.02766666666665,6.625,3.9585
2011-01-09,192.45833333333334,10.860999999999999,15.7665,24.623166666666666,8.856666666666667,2.9832,203.31933333333333,9.542,4.5225
2011-01-10,191.49333333333334,18.538666666666668,24.395833333333332,50.34733333333333,25.951333333333334,3.2346000000000004,210.03233333333333,11.917,5.7085
2011-01-11,189.58366666666666,15.153,19.514666666666667,41.071666666666665,21.557,3.5234,204.736,11.208,5.146
2011-01-12,190.486,10.625,16.303166666666666,28.407,12.103833333333334,2.7916,201.111,5.708,3.687
2011-01-13,189.53633333333335,15.039666666666667,21.825166666666664,45.22833333333333,23.403000000000002,3.2022,204.57566666666665,7.583,4.9375
2011-01-14,191.44466666666668,13.514000000000001,18.456500000000002,34.6915,16.235000000000003,3.8251999999999997,204.95833333333334,11.708,5.7705
2011-01-15,192.20833333333334,10.347333333333333,14.375,20.694333333333333,6.319500000000001,3.2832,202.55533333333332,12.5,5.1045
2011-01-16,191.30566666666667,12.417,18.773833333333332,28.558000000000003,9.784166666666668,3.0166,203.72199999999998,11.458,4.866
2011-01-17,189.08399999999997,10.974666666666666,17.979166666666668,26.8125,8.8335,2.5818,200.0583333333333,9.833,4.2915
2011-01-18,190.20833333333334,13.597,20.524,34.9765,14.451999999999998,3.7752000000000003,203.80533333333332,13.417,4.7085
2011-01-19,190.19466666666668,14.707999999999998,20.4515,36.02283333333333,15.571333333333333,3.2165999999999997,204.90266666666665,9.917,4.1705
2011-01-20,186.77833333333334,8.883000000000001,10.547166666666667,16.318833333333334,5.771833333333333,2.9272,195.66133333333335,2.125,3.146
2011-01-21,186.15266666666665,8.653,11.135666666666665,15.903333333333334,4.768,2.0166,194.80566666666667,1.458,3.521
2011-01-22,186.611,12.555333333333332,10.666666666666666,16.12516666666667,5.458333333333333,2.2516000000000003,199.16666666666666,6.583,4.25
2011-01-23,188.59699999999998,14.805666666666667,17.763666666666666,39.288666666666664,21.524833333333333,3.1414,203.40300000000002,10.167,5.025
2011-01-24,189.84433333333334,11.584666666666669,16.4416,30.8166,14.375,2.7992,201.429,1.917,3.896
2011-01-25,189.40300000000002,11.791666666666666,17.968333333333334,39.63616666666667,21.667833333333334,2.7834,201.19466666666668,5.125,4.604
2011-01-26,190.514,12.028,20.086333333333332,41.9645,21.878,3.0066,202.54133333333334,9.682,4.5440000000000005
