date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,NMHC_mean,THC_mean
2011-01-01,20.604,33.292,12.688,,13.084,183.609,17.913,201.522
2011-01-02,12.538,18.741,6.203,,9.146,180.913,11.348,192.261
2011-01-03,10.646,14.625,3.98,,6.229,179.174,10.043,189.217
2011-01-04,17.716,25.662,7.946,,9.521,180.957,14.478,195.435
2011-01-05,7.833,11.312,3.479,,7.73,179.565,9.391,188.957
2011-01-06,19.334,30.312,10.979,,10.229,182.826,14.217,197.043
2011-01-07,12.917,18.958,6.042,,9.562,179.609,11.826,191.435
2011-01-08,10.854,15.25,4.396,,7.834,180.182,12.409,192.591
2011-01-09,25.144,45.907,20.764,,10.73,182.826,18.391,201.217
2011-01-10,23.152,36.117,12.964,,10.809,181.826,16.957,198.783
2011-01-11,16.606,24.218,7.612,,9.218,179.957,13.826,193.783
2011-01-12,20.917,36.771,15.854,,8.104,181.318,19.318,200.636
2011-01-13,26.708,47.25,20.542,,12.542,182.478,22.043,204.522
2011-01-14,13.292,21.416,8.125,,9.77,182.348,13.652,196.0
2011-01-15,8.521,11.625,3.104,,10.0,179.957,9.565,189.522
2011-01-16,21.02,34.58,13.56,,11.625,182.261,15.826,198.087
2011-01-17,26.375,41.875,15.5,,12.084,183.913,22.0,205.913
2011-01-18,29.827,62.338,32.511,,14.438,182.696,22.478,205.174
2011-01-19,21.916,33.125,11.208,,16.458,180.478,19.0,199.478
2011-01-20,16.885,22.922,6.038,,11.208,179.478,12.478,191.957
2011-01-21,20.688,30.146,9.458,,12.292,179.478,15.609,195.087
2011-01-22,17.708,26.896,9.188,,8.334,178.391,13.826,192.217
2011-01-23,16.279,23.376,7.097,,8.229,182.217,13.043,195.261
2011-01-24,16.055,23.462,7.407,,10.125,180.045,14.955,195.0
2011-01-25,18.593,24.972,6.378,,10.688,181.348,15.087,196.435
2011-01-26,17.812,28.354,10.542,,9.438,182.087,12.783,194.87
2011-01-27,22.63,31.978,9.348,,15.326,182.909,15.727,198.636
2011-01-28,13.646,18.604,4.958,,11.167,181.773,10.909,192.682
2011-01-29,16.854,22.604,5.75,,9.208,181.304,14.217,195.522
