date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,PM25_mean
2011-01-01,191.326,2.75,72.0,54.333,40.0,29.37,23.125,39.444,16.319,1.625,19.236,6.9,4.05,1.1,220.696,
2011-01-02,188.792,1.708,78.0,55.667,30.0,14.23,16.208,22.528,6.319,1.416,15.236,11.1,4.571,0.7,203.02,
2011-01-03,182.312,1.333,52.0,37.958,23.0,9.958,15.583,19.736,4.153,0.958,5.986,10.5,5.6,1.7,192.271,
2011-01-04,185.239,1.833,66.0,48.417,33.0,13.652,22.194,36.93,14.736,1.542,9.208,9.5,4.108,-0.6,198.892,
2011-01-05,183.542,1.208,56.0,37.0,24.0,9.5,21.474,33.008,11.534,1.229,6.431,9.2,4.579,1.2,193.042,
2011-01-06,190.044,2.727,61.0,44.833,24.0,35.348,40.788,86.959,46.171,2.348,15.348,10.5,4.642,0.3,225.392,
2011-01-07,185.417,1.167,65.0,41.375,25.0,9.917,19.58,27.012,7.432,0.696,6.889,9.2,4.788,1.7,195.333,
2011-01-08,186.562,1.375,48.0,38.167,26.0,11.27,16.458,20.688,4.229,0.666,7.648,9.3,4.912,1.2,197.833,
2011-01-09,190.652,2.458,75.0,52.708,36.0,24.109,29.979,55.104,25.125,1.938,19.166,9.8,4.838,0.2,214.761,
2011-01-10,189.979,2.083,75.0,52.0,34.0,27.02,33.25,62.104,28.854,1.938,18.722,9.8,5.554,-0.3,217.0,
2011-01-11,186.583,1.667,68.0,53.208,38.0,19.084,27.854,59.688,31.834,1.625,17.75,11.3,4.725,0.9,205.666,
2011-01-12,187.0,2.125,49.0,36.417,25.0,24.13,28.97,61.034,32.065,0.854,9.583,7.1,2.867,-0.6,211.13,
2011-01-13,191.604,2.826,58.0,44.542,27.0,42.646,41.646,100.25,58.604,2.458,20.016,10.9,4.221,-2.2,234.25,
2011-01-14,188.75,2.125,58.0,40.0,27.0,20.646,25.178,47.022,21.844,1.456,11.278,8.4,4.35,1.2,209.396,
2011-01-15,197.326,2.792,55.0,46.292,32.0,31.348,28.334,48.938,20.604,2.292,20.875,6.5,3.304,-0.4,228.674,
2011-01-16,190.271,1.75,54.0,43.792,36.0,17.416,31.666,54.25,22.583,1.667,24.931,5.0,3.617,1.7,207.688,
2011-01-17,188.416,1.708,67.0,47.833,32.0,21.188,27.416,48.312,20.896,1.229,19.5,8.0,4.208,1.5,209.604,
2011-01-18,194.296,3.565,68.0,54.083,37.0,52.841,45.545,122.121,76.576,2.79,37.297,8.7,3.754,-1.4,247.136,
2011-01-19,191.125,2.125,71.0,59.208,47.0,31.562,30.148,77.28,47.132,2.834,31.93,10.2,4.912,-0.3,222.688,
2011-01-20,184.104,,91.0,86.0,76.0,10.222,20.611,29.06,8.449,1.257,18.584,3.5,2.267,1.5,194.326,
2011-01-21,183.108,,92.0,85.833,72.0,10.587,19.193,26.868,7.675,0.956,11.306,3.3,2.621,1.8,193.696,
2011-01-22,185.542,,94.0,83.75,71.0,24.042,16.361,35.389,19.028,1.02,8.18,7.5,4.75,2.4,209.584,
2011-01-23,195.896,,94.0,83.667,63.0,45.646,32.667,124.75,92.083,1.584,19.25,7.4,3.804,0.4,241.542,
2011-01-24,190.934,,92.0,63.958,44.0,30.87,31.819,66.403,34.583,1.229,12.75,4.5,2.017,-0.2,221.804,
2011-01-25,193.125,,82.0,60.792,30.0,35.834,35.569,95.791,60.222,1.708,21.055,8.8,3.108,-1.8,228.958,
2011-01-26,190.542,,83.0,50.625,30.0,26.104,31.021,64.991,33.97,1.542,15.722,6.2,2.1,-0.9,216.646,
2011-01-27,192.935,4.565,71.0,54.0,37.0,36.435,36.875,113.097,76.222,2.062,18.889,7.7,1.692,-3.4,229.37,
2011-01-28,190.854,3.542,73.0,47.125,27.0,26.708,27.34,66.243,38.903,1.87,19.042,6.3,1.483,-2.3,217.562,
2011-01-29,186.542,1.708,49.0,40.375,25.0,8.0,11.306,12.972,1.667,1.0,9.25,6.5,1.921,-0.6,194.542,
2011-01-30,191.435,4.958,60.0,41.375,26.0,37.652,36.806,112.486,75.681,1.542,14.222,6.6,1.85,-3.0,229.087,
2011-01-31,191.542,3.875,64.0,44.667,31.0,32.5,37.722,85.445,47.722,2.083,18.708,8.0,2.542,-3.0,224.042,
2011-02-01,191.25,4.25,68.0,48.208,30.0,35.77,33.194,104.486,71.291,2.729,19.319,12.4,3.454,-3.2,227.021,
2011-02-02,187.046,1.652,48.0,33.375,18.0,8.454,20.24,32.804,12.564,1.522,8.523,5.1,1.667,-1.2,195.5,
2011-02-03,193.875,3.696,57.0,40.5,19.0,42.958,41.597,116.139,74.541,2.521,20.625,6.8,1.629,-3.7,236.833,
2011-02-04,194.5,3.25,65.0,39.208,21.0,38.48,38.598,97.144,58.547,2.282,23.069,11.3,4.221,-3.0,232.979,
2011-02-05,188.152,2.042,73.0,50.708,34.0,14.565,20.791,25.806,5.014,2.458,20.125,8.7,5.021,0.0,202.718,
2011-02-06,191.188,2.958,89.0,75.792,60.0,32.271,41.847,84.959,43.111,2.0,53.292,5.0,3.662,1.7,223.458,
2011-02-07,189.167,2.958,94.0,89.792,81.0,34.042,35.319,79.292,43.972,1.438,41.347,8.9,6.983,4.2,223.208,
2011-02-08,186.37,1.333,87.0,45.958,35.0,13.282,26.028,45.25,19.222,1.229,8.542,8.3,6.062,2.1,199.652,
2011-02-09,187.125,1.375,53.0,36.667,20.0,13.604,26.79,49.553,22.763,1.0,9.767,8.0,3.717,-0.6,200.73,
2011-02-10,192.896,2.826,76.0,49.583,29.0,33.188,39.972,99.194,59.222,2.188,23.158,9.0,4.288,-0.5,226.083,
2011-02-11,187.0,1.667,78.0,45.792,26.0,16.456,23.382,40.577,17.196,1.391,12.542,9.6,4.45,-0.7,203.456,
2011-02-12,186.5,1.333,56.0,38.958,28.0,11.375,18.0,23.583,5.583,1.292,12.972,9.2,3.962,-0.7,197.875,
2011-02-13,188.417,1.917,54.0,44.167,32.0,17.966,33.875,56.389,22.514,2.479,23.389,9.5,4.829,0.3,206.382,
2011-02-14,186.304,2.125,89.0,74.792,52.0,28.522,37.028,70.917,33.889,1.875,41.653,5.6,4.242,3.0,214.826,
2011-02-15,188.544,2.478,91.0,67.5,40.0,31.976,32.627,77.302,44.675,2.202,36.696,10.4,6.225,4.2,220.519,
2011-02-16,185.812,1.333,90.0,57.917,39.0,15.604,25.7,36.891,11.192,1.292,17.431,3.9,2.579,0.9,201.416,
2011-02-17,186.686,1.478,91.0,69.333,31.0,17.335,23.861,41.208,17.347,1.646,25.097,8.7,3.217,0.5,204.021,
2011-02-18,185.669,1.083,86.0,46.375,22.0,7.864,16.317,22.698,6.381,1.13,9.458,5.9,1.808,-1.3,193.534,
2011-02-19,192.375,2.375,65.0,41.292,18.0,23.854,26.82,45.292,18.472,1.667,15.764,9.0,2.258,-3.6,216.229,
2011-02-20,194.412,2.375,61.0,43.542,22.0,27.332,36.917,66.542,29.625,2.688,19.139,10.2,4.425,-1.9,221.744,
2011-02-21,191.002,2.458,64.0,40.417,19.0,33.508,44.209,95.028,50.819,3.438,25.653,13.4,7.1,0.0,224.51,
2011-02-22,186.75,1.792,64.0,54.5,48.0,14.417,24.361,33.68,9.319,3.604,25.236,9.9,7.121,3.8,201.167,
2011-02-23,187.546,2.542,93.0,81.042,48.0,35.138,36.808,70.607,33.798,2.125,34.236,10.8,7.029,4.5,222.684,
2011-02-24,188.996,1.913,73.0,44.333,28.0,13.59,20.889,26.764,5.875,3.812,27.111,15.3,10.967,8.0,202.587,
2011-02-25,186.188,1.708,92.0,84.25,69.0,11.542,20.587,25.25,4.662,1.022,14.958,8.0,5.054,3.0,197.73,
2011-02-26,186.152,1.042,69.0,51.292,35.0,8.86,12.417,13.861,1.444,1.042,9.166,9.3,5.558,3.5,195.013,
2011-02-27,185.134,1.0,42.0,32.792,24.0,7.22,16.472,23.208,6.736,1.0,9.875,8.6,4.292,0.9,192.354,
2011-02-28,187.625,1.042,57.0,44.333,30.0,10.792,20.528,26.584,6.056,1.125,11.153,7.2,3.142,-0.5,198.416,
