date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,192.896,2.396,8.958,7.229,12.125,4.896,2.875,6.375,13.2,7.812,2.7,201.854
2011-01-02,188.448,2.396,5.723,4.104,7.229,3.125,3.625,7.833,15.2,8.867,3.8,194.171
2011-01-03,188.146,1.958,5.52,5.084,8.75,3.667,2.5,2.875,12.6,6.542,0.9,193.666
2011-01-04,188.604,2.875,4.604,3.812,6.542,2.73,3.167,15.729,10.4,6.358,2.9,193.208
2011-01-05,190.596,2.302,6.203,7.984,14.229,6.245,2.13,3.394,11.0,4.771,1.3,196.799
2011-01-06,191.604,3.188,10.042,15.792,32.354,16.562,2.417,4.25,11.4,5.083,-1.2,201.645
2011-01-07,191.584,2.625,9.458,14.334,26.458,12.125,2.25,3.854,12.9,6.033,-0.2,201.042
2011-01-08,193.542,3.042,10.125,12.5,22.0,9.5,2.5,5.625,11.4,6.308,2.3,203.666
2011-01-09,193.5,3.708,18.146,14.729,28.979,14.25,3.375,7.229,14.9,7.812,3.5,211.646
2011-01-10,192.938,3.896,13.666,19.792,41.062,21.271,3.375,10.729,12.9,7.038,1.4,206.604
2011-01-11,187.326,2.695,6.125,9.771,19.449,9.678,3.083,9.322,13.4,8.508,4.0,193.45
2011-01-12,193.028,3.687,13.084,19.506,41.99,22.484,2.792,5.021,9.6,4.162,-1.5,206.111
2011-01-13,187.271,2.542,5.764,10.188,21.646,11.458,2.875,5.375,12.5,6.483,0.7,193.036
2011-01-14,189.062,3.166,5.042,6.938,13.292,6.354,4.292,8.75,12.5,6.979,4.1,194.104
2011-01-15,190.438,3.375,7.979,10.73,19.584,8.854,2.875,6.708,10.9,6.662,2.7,198.416
2011-01-16,191.354,3.875,14.417,22.48,43.666,21.188,3.5,12.584,8.9,6.392,3.7,205.771
