date,HUM_max,HUM_mean,HUM_min,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,99.0,80.875,55.0,1.292,21.354,7.8,2.712,-2.0,12.583,15.542,2.958,
2011-01-02,99.0,73.333,46.0,0.913,15.895,10.9,5.717,1.6,8.87,10.043,1.174,
2011-01-03,80.0,65.625,47.0,0.583,9.542,10.6,6.175,3.6,3.542,3.625,0.083,
2011-01-04,96.0,62.333,33.0,2.833,21.521,10.6,5.788,2.3,4.458,4.583,0.125,
2011-01-05,96.0,74.333,54.0,0.583,6.5,8.4,4.483,2.1,3.875,4.083,0.208,
2011-01-06,94.0,73.042,54.0,1.542,13.229,9.3,5.117,0.7,11.167,12.458,1.292,
2011-01-07,82.0,60.5,40.0,1.0,6.666,10.0,5.567,2.9,4.167,4.333,0.167,
2011-01-08,84.0,62.083,41.0,0.75,6.562,10.1,4.838,-0.3,3.5,3.708,0.208,
2011-01-09,89.0,67.792,49.0,2.696,13.708,12.2,6.246,-0.5,10.696,12.348,1.652,
2011-01-10,96.0,76.5,49.0,2.0,21.28,13.2,7.125,3.5,14.043,17.174,3.13,
2011-01-11,85.0,62.792,44.0,2.25,23.75,12.0,6.692,2.4,9.417,9.75,0.333,
2011-01-12,90.0,53.958,35.0,1.083,7.104,8.9,3.017,-1.8,5.917,6.75,0.833,
2011-01-13,99.0,69.5,41.0,1.5,16.708,11.3,4.796,-3.2,13.917,20.292,6.375,
2011-01-14,88.0,70.0,51.0,2.083,15.958,10.0,5.946,1.8,5.958,6.167,0.208,
2011-01-15,91.0,74.25,57.0,0.875,10.938,8.4,5.942,2.2,5.375,5.458,0.083,
2011-01-16,99.0,62.542,51.0,2.478,15.084,6.5,4.812,1.5,12.87,13.913,1.043,
2011-01-17,99.0,80.625,37.0,0.75,16.938,10.8,4.329,-1.0,12.708,14.875,2.167,
2011-01-18,99.0,85.792,56.0,2.167,30.834,10.1,3.138,-2.9,25.0,43.583,18.583,
2011-01-19,99.0,92.833,70.0,2.833,37.812,8.2,4.696,0.2,34.208,56.292,22.083,
2011-01-20,99.0,99.0,99.0,0.833,20.166,9.1,7.129,5.3,21.917,24.542,2.625,
2011-01-21,99.0,98.708,95.0,1.5,21.938,10.3,7.696,6.7,18.083,21.417,3.333,
2011-01-22,99.0,86.542,69.0,1.458,13.25,12.4,8.121,3.7,10.917,13.167,2.25,
2011-01-23,94.0,77.958,52.0,0.652,7.875,13.1,8.271,4.6,6.217,6.696,0.478,
2011-01-24,83.0,65.583,50.0,0.375,6.75,8.7,4.762,3.1,5.417,5.625,0.208,
2011-01-25,60.0,50.792,33.0,1.083,12.375,8.8,4.108,1.7,5.167,5.208,0.042,
2011-01-26,93.0,70.208,47.0,1.083,6.271,7.4,3.038,-0.1,5.917,6.042,0.125,
2011-01-27,88.0,66.708,51.0,2.667,15.688,7.7,4.167,1.8,7.083,7.333,0.25,
2011-01-28,99.0,75.375,58.0,2.083,18.166,8.3,3.992,0.1,9.708,10.292,0.583,
2011-01-29,70.0,56.417,36.0,1.583,8.396,9.1,3.762,-0.1,4.708,4.833,0.125,
2011-01-30,89.0,66.958,41.0,0.957,8.188,8.0,3.2,-1.7,7.571,7.857,0.286,
2011-01-31,92.0,68.917,41.0,0.708,8.688,9.6,3.717,-2.3,6.417,7.0,0.583,
2011-02-01,99.0,85.208,64.0,1.375,17.208,8.1,1.608,-3.6,15.417,27.083,11.667,
2011-02-02,92.0,71.417,56.0,0.958,7.8,2.5,0.383,-0.8,3.652,3.652,0.0,
2011-02-03,87.0,64.75,43.0,1.25,8.48,7.3,2.367,-1.5,5.917,6.042,0.125,
2011-02-04,87.0,61.625,37.0,2.5,18.542,10.6,4.754,-0.1,8.667,9.208,0.542,
2011-02-05,85.0,62.917,42.0,2.5,26.396,10.1,6.662,3.8,8.667,9.417,0.75,
2011-02-06,99.0,95.958,81.0,2.348,45.584,6.3,5.392,4.4,28.348,39.739,11.391,
2011-02-07,99.0,90.875,70.0,1.25,20.812,9.7,7.908,5.6,16.917,24.25,7.333,
2011-02-08,78.0,61.375,45.0,0.75,7.75,8.5,4.333,0.9,3.292,3.667,0.375,
2011-02-09,73.0,58.792,45.0,0.917,9.938,6.6,2.788,-0.2,5.583,6.167,0.583,
2011-02-10,79.0,61.042,36.0,1.0,9.583,10.1,4.712,1.3,6.167,6.875,0.708,
2011-02-11,87.0,66.792,46.0,1.25,9.979,8.6,4.496,0.6,4.25,4.708,0.458,
2011-02-12,79.0,65.208,46.0,1.125,10.708,9.5,4.838,1.9,3.5,3.875,0.375,
2011-02-13,99.0,72.042,48.0,3.087,22.646,6.7,3.962,1.8,24.957,30.913,5.957,
2011-02-14,99.0,99.0,99.0,1.708,20.396,6.8,4.938,1.5,23.913,30.0,6.087,
2011-02-15,99.0,86.833,64.0,2.333,21.75,8.8,4.879,1.0,18.292,22.0,3.708,
2011-02-16,71.0,57.542,35.0,1.292,10.23,9.8,5.033,2.2,8.958,9.875,0.917,
