date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CO_mean,PM25_mean
2011-01-01,18.583,26.458,7.875,2.833,14.770499999999998,5.087,16.75
2011-01-02,10.042,16.4375,6.396,3.708,14.396,5.125,14.333
2011-01-03,15.082999999999998,25.0205,9.9375,4.292,18.146,5.583,18.708
2011-01-04,14.428999999999998,23.7835,9.354,7.0,22.521,6.0,23.667
2011-01-05,21.5885,40.7625,19.175,2.333,10.5,6.292,11.792
2011-01-06,36.729,98.9585,62.229,3.542,17.625,9.583,22.458
2011-01-07,14.4375,28.0625,13.625,1.792,8.5625,4.917,9.042
2011-01-08,19.5835,33.0625,13.479,2.292,9.5205,5.826,11.25
2011-01-09,25.9375,44.5835,18.646,3.625,19.708,6.75,21.583
2011-01-10,42.5625,108.833,66.271,5.5,39.125,11.583,42.125
2011-01-11,22.8335,46.729,23.896,3.917,25.3125,6.208,28.917
2011-01-12,29.15,65.1975,36.0475,2.87,11.2275,7.609,12.792
2011-01-13,32.1875,86.3335,54.146,4.333,19.917,8.625,25.5
2011-01-14,25.0835,46.833,21.75,6.25,34.521,7.875,38.625
2011-01-15,22.1665,39.5415,17.375,3.042,16.229,7.348,19.583
2011-01-16,17.6875,25.479,7.792,2.208,12.9165,3.5,13.417
2011-01-17,24.9795,49.8335,24.854,2.667,13.375,5.5,15.292
2011-01-18,37.835,69.5505,31.7155,3.0,16.364,4.864,19.435
2011-01-19,34.5,52.8335,18.333,1.875,16.7915,3.5,16.917
2011-01-20,23.396,33.2915,9.8955,1.292,9.25,2.958,7.708
2011-01-21,26.9585,38.0,11.042,1.583,17.208,3.708,13.083
2011-01-22,27.75,47.75,20.0,3.125,17.896,6.696,14.167
2011-01-23,18.292,40.646,22.354,2.458,7.8545,5.208,5.667
2011-01-24,20.167,43.6665,23.5,2.208,9.5835,4.833,7.708
2011-01-25,22.5,47.979,25.479,3.917,15.667000000000002,6.042,18.125
2011-01-26,24.9375,55.833,30.896,2.458,9.4165,6.25,9.542
2011-01-27,31.333,65.354,34.021,5.375,24.4375,7.75,28.042
2011-01-28,25.625,46.0,20.375,4.0,22.625,6.167,22.333
2011-01-29,12.6875,18.125,5.4375,2.5,9.0205,3.0,8.167
2011-01-30,27.9585,56.8125,28.8545,2.583,10.75,6.5,11.292
2011-01-31,29.4375,64.125,34.6875,2.792,12.0835,6.292,11.5
2011-02-01,27.708,70.833,43.125,4.5,20.708,7.375,22.083
2011-02-02,14.347999999999999,30.8915,16.5435,2.087,7.981,4.174,9.125
2011-02-03,26.6875,61.0,34.3125,3.208,12.042,7.292,15.458
2011-02-04,25.021,52.75,27.729,5.458,22.0835,7.333,26.125
2011-02-05,23.7915,38.417,14.625,7.417,35.354,7.043,39.042
2011-02-06,30.0625,41.729,11.6665,4.083,32.146,4.25,27.375
2011-02-07,31.583,63.5,31.9165,2.417,16.4375,7.75,16.13
2011-02-08,18.4165,40.792,22.375,2.958,13.1455,5.083,14.375
2011-02-09,20.771,43.229,22.4585,3.417,12.3335,5.75,14.667
2011-02-10,28.021,64.479,36.458,3.667,13.6455,6.25,15.958
2011-02-11,18.1045,34.1875,16.0835,3.083,11.0,5.208,13.833
2011-02-12,14.8125,22.875,8.0625,2.917,13.042,3.957,13.0
2011-02-13,33.4165,48.4375,15.021,2.583,18.771,4.333,17.833
2011-02-14,36.8125,73.458,36.6455,1.958,24.0,6.542,16.792
2011-02-15,29.4885,70.189,40.7005,2.304,26.119500000000002,6.696,20.0
2011-02-16,32.021,67.5835,35.5625,3.458,17.271,7.292,16.542
2011-02-17,21.8125,45.875,24.0625,3.083,12.542,5.458,13.958
2011-02-18,12.9165,25.396,12.479500000000002,2.167,9.521,3.75,8.875
2011-02-19,21.479,33.2915,11.8125,3.125,13.71,4.652,14.792
2011-02-20,42.3215,98.824,56.503,3.875,20.646,9.042,22.292
2011-02-21,50.6455,116.167,65.5205,5.75,35.104,10.083,37.25
2011-02-22,29.2915,39.354,10.0625,3.708,25.4375,4.083,24.542
2011-02-23,26.4795,53.021,26.5415,2.625,18.6665,5.833,16.375
2011-02-24,18.5655,26.113500000000002,7.5475,4.833,29.096,4.273,28.25
2011-02-25,29.5625,53.979,24.4165,3.458,30.625,6.25,27.583
2011-02-26,9.208,13.8335,4.625,2.208,11.2295,2.87,10.417
2011-02-27,16.2915,25.771,9.479,2.458,13.125,3.292,13.208
2011-02-28,24.9345,36.152,11.217,2.609,12.587,3.435,13.125
