date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,PM25_mean
2011-01-01,202.375,81.0,63.625,47.0,19.02,20.209,24.293,4.083,2.028,28.68,9.5,4.438,0.5,221.396,
2011-01-02,199.589,82.0,60.375,31.0,13.412,12.417,16.5,4.083,0.736,19.25,10.5,5.238,1.4,213.0,
2011-01-03,190.084,58.0,36.583,23.0,6.5,6.854,7.625,0.771,0.319,3.319,10.4,6.125,2.1,196.584,
2011-01-04,198.05,75.0,52.375,34.0,13.822,14.925,21.161,6.236,1.361,8.931,10.4,4.3,-1.3,211.872,
2011-01-05,192.283,49.0,34.042,22.0,6.217,11.061,12.65,1.589,0.782,3.25,9.3,5.162,2.3,198.5,
2011-01-06,198.542,76.0,51.458,36.0,16.271,23.939,39.203,15.264,1.319,15.496,8.9,3.388,-0.7,214.812,
2011-01-07,201.0,83.0,51.292,24.0,20.833,20.111,43.264,23.153,0.43,9.805,8.7,2.829,-2.6,221.834,
2011-01-08,196.917,71.0,51.958,28.0,12.833,14.236,18.93,4.694,0.347,8.056,9.4,2.988,-3.1,209.75,
2011-01-09,198.625,85.0,59.833,42.0,15.292,19.167,26.319,7.153,0.944,22.153,10.8,5.008,0.3,213.917,
2011-01-10,198.045,83.0,62.833,32.0,12.045,18.847,29.778,10.93,1.069,15.889,10.8,5.292,-0.5,210.091,
2011-01-11,194.958,81.0,69.542,43.0,9.833,16.695,27.861,11.167,0.917,12.917,10.7,4.442,1.1,204.792,
2011-01-12,196.455,69.0,46.125,32.0,19.864,16.389,25.78,9.391,0.419,10.106,6.2,1.775,-1.0,216.318,
2011-01-13,202.729,78.0,60.0,38.0,37.688,35.236,83.681,48.444,3.611,24.153,10.4,3.433,-2.8,240.416,
2011-01-14,197.524,84.0,54.708,29.0,17.386,19.653,38.264,18.611,0.722,9.569,8.1,2.462,-2.5,214.91,
2011-01-15,200.562,71.0,53.542,36.0,17.25,19.111,26.653,7.542,1.0,19.069,6.5,2.375,-2.1,217.812,
2011-01-16,191.259,63.0,49.542,39.0,7.758,13.431,15.486,2.056,0.694,11.667,4.8,3.242,1.2,199.017,
2011-01-17,190.208,78.0,55.25,37.0,9.104,13.489,19.946,6.457,0.894,10.815,7.3,3.533,-0.7,199.312,
2011-01-18,197.604,86.0,65.958,45.0,20.097,26.148,49.841,23.693,1.0,25.036,10.0,3.421,-2.8,217.701,
2011-01-19,193.542,76.0,63.458,54.0,16.729,19.82,35.889,16.069,1.972,26.292,9.9,5.467,0.1,210.271,
2011-01-20,186.5,91.0,84.875,64.0,1.083,7.111,7.736,0.625,0.806,12.319,5.7,3.771,2.8,187.583,
2011-01-21,187.208,92.0,85.75,78.0,2.583,10.111,11.125,1.014,0.125,7.736,4.2,3.271,2.5,189.792,
2011-01-22,192.609,94.0,91.917,89.0,12.304,11.708,16.667,4.958,0.014,6.167,7.0,4.404,1.8,204.913,
2011-01-23,200.042,94.0,87.167,70.0,23.75,16.931,43.444,26.514,0.486,11.25,8.2,3.808,0.2,223.792,
2011-01-24,197.369,92.0,75.917,50.0,13.592,17.541,26.889,9.347,0.417,7.083,4.7,1.471,-1.1,210.961,
2011-01-25,199.896,88.0,67.667,30.0,23.042,26.278,54.306,28.028,1.903,16.972,8.8,2.804,-1.4,222.938,
2011-01-26,195.686,85.0,58.75,29.0,15.424,20.305,28.514,8.208,1.097,11.389,6.3,1.275,-2.1,211.11,
2011-01-27,200.896,84.0,61.708,36.0,24.875,23.583,49.875,26.292,1.222,13.097,7.2,1.242,-4.8,225.771,
2011-01-28,195.796,76.0,53.042,28.0,10.072,15.986,21.917,5.93,1.25,12.222,6.3,1.267,-2.4,205.868,
2011-01-29,192.646,59.0,40.042,24.0,3.479,5.708,6.319,0.611,0.944,7.25,5.9,2.033,-1.1,196.125,
2011-01-30,194.667,62.0,38.375,25.0,7.958,14.417,21.556,7.139,0.986,5.556,6.2,2.121,-1.7,202.625,
2011-01-31,201.854,72.0,49.667,33.0,21.688,29.5,57.319,27.819,3.208,15.0,8.7,2.333,-4.3,223.542,
2011-02-01,192.022,70.0,50.25,36.0,8.587,15.099,18.712,3.613,2.991,15.882,11.7,5.562,-2.5,200.609,
2011-02-02,191.424,51.0,32.167,17.0,5.272,10.544,12.267,1.722,1.117,7.403,5.5,2.046,-0.7,196.696,
2011-02-03,198.534,72.0,46.333,21.0,14.479,24.083,40.555,16.472,1.542,7.903,6.2,0.979,-4.6,213.013,
2011-02-04,202.438,82.0,55.917,34.0,25.938,31.07,61.708,30.639,3.472,18.5,10.9,3.171,-4.2,228.375,
2011-02-05,196.02,80.0,56.5,33.0,9.667,13.583,17.069,3.486,1.611,15.958,9.2,4.542,-1.6,205.688,
2011-02-06,197.916,92.0,87.208,81.0,18.625,30.958,43.625,12.667,0.791,34.097,4.7,3.771,1.2,216.542,
2011-02-07,195.072,96.0,93.0,90.0,15.894,21.931,30.875,8.944,0.569,22.403,16.2,9.442,4.7,210.966,
2011-02-08,194.292,93.0,60.75,33.0,8.375,15.264,18.722,3.458,0.806,8.361,8.4,6.438,3.5,202.667,
2011-02-09,195.528,64.0,41.917,19.0,9.161,20.486,30.681,10.195,0.903,5.584,8.4,3.612,-1.3,204.69,
2011-02-10,198.334,82.0,57.167,35.0,14.125,26.611,45.681,19.069,2.458,13.806,9.2,4.179,-0.6,212.458,
2011-02-11,196.604,90.0,59.083,32.0,8.333,13.942,18.956,5.014,0.667,9.097,8.0,4.004,-1.2,204.938,
2011-02-12,197.77,67.0,39.958,26.0,7.916,13.222,15.25,2.028,0.958,10.069,9.5,4.388,-1.1,205.688,
