date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,SO2_mean
2011-01-01,19.916,27.292,7.375,,21.406,2.625
2011-01-02,11.581,17.889,6.308,,14.542,0.869
2011-01-03,4.917,6.444,1.528,,7.688,0.792
2011-01-04,4.292,5.583,1.292,,21.906,3.792
2011-01-05,6.689,9.231,2.541,,6.466,1.042
2011-01-06,17.947,25.888,7.941,,11.38,2.9
2011-01-07,5.111,7.125,2.014,,4.021,0.646
2011-01-08,6.542,8.736,2.195,,5.646,0.812
2011-01-09,12.312,17.022,4.711,,11.031,2.478
2011-01-10,18.278,25.611,7.333,,17.028,2.458
2011-01-11,16.333,23.125,6.792,,23.167,2.542
2011-01-12,11.222,15.556,4.334,,4.406,1.146
2011-01-13,22.014,39.056,17.042,,14.639,2.5
2011-01-14,6.931,9.069,2.139,,12.708,2.729
2011-01-15,5.764,7.555,1.792,,7.222,1.375
2011-01-16,16.286,21.536,5.25,,11.389,0.891
2011-01-17,18.553,27.358,8.806,,13.153,0.708
2011-01-18,36.625,72.028,35.403,,29.458,4.188
2011-01-19,38.111,74.389,36.278,,33.847,4.75
2011-01-20,25.019,35.909,10.89,,14.208,0.146
2011-01-21,21.347,29.333,7.986,,16.569,0.042
2011-01-22,11.75,15.972,4.222,,11.07,0.312
2011-01-23,8.596,11.402,2.806,,6.597,0.892
2011-01-24,7.208,9.68,2.472,,4.917,0.562
2011-01-25,6.222,8.25,2.028,,10.806,1.0
2011-01-26,9.264,11.944,2.68,,5.722,1.084
2011-01-27,10.528,13.403,2.875,,13.778,2.229
2011-01-28,10.417,12.861,2.444,,16.209,1.896
2011-01-29,5.569,7.028,1.458,,6.292,1.521
2011-01-30,11.286,14.971,3.685,,6.292,1.587
2011-01-31,10.264,13.806,3.542,,5.264,1.208
2011-02-01,19.556,34.722,15.167,,15.653,1.875
2011-02-02,4.889,6.82,1.93,,5.458,1.062
2011-02-03,9.806,13.209,3.403,,8.778,1.416
2011-02-04,11.444,16.861,5.417,,16.375,2.625
2011-02-05,10.389,13.0,2.611,,23.903,2.646
2011-02-06,30.537,54.359,23.822,,48.934,2.796
2011-02-07,17.819,27.709,9.889,,19.666,1.104
2011-02-08,4.489,6.674,2.186,,7.758,0.729
2011-02-09,7.584,10.681,3.097,,5.927,0.938
2011-02-10,8.555,11.945,3.389,,7.698,1.292
2011-02-11,5.93,7.889,1.959,,9.542,1.771
2011-02-12,3.667,5.097,1.431,,8.917,1.083
2011-02-13,28.082,44.067,15.986,,20.719,3.282
2011-02-14,31.611,52.334,20.722,,21.594,1.646
2011-02-15,22.396,36.804,14.408,,26.743,3.27
2011-02-16,11.681,15.472,3.792,,9.021,1.229
2011-02-17,6.417,8.847,2.431,,8.26,1.208
2011-02-18,3.889,5.403,1.514,,5.416,0.917
2011-02-19,8.792,11.833,3.042,,9.614,1.938
2011-02-20,14.388,18.994,4.606,,9.5,2.218
2011-02-21,23.454,32.106,8.652,,15.333,4.625
2011-02-22,26.417,35.042,8.625,,37.917,3.458
2011-02-23,20.161,30.155,9.994,,42.861,0.896
2011-02-24,14.681,17.653,2.972,,35.681,3.23
2011-02-25,20.375,26.694,6.319,,39.167,3.292
2011-02-26,4.5,5.764,1.264,,10.042,0.292
2011-02-27,7.645,10.213,2.568,,12.194,2.391
2011-02-28,16.236,20.639,4.403,,11.083,1.771
2011-03-01,27.167,36.431,9.264,,30.696,3.832
2011-03-02,29.792,64.986,35.195,,47.452,1.625
2011-03-03,7.056,8.833,1.778,,18.542,1.625
2011-03-04,18.805,22.944,4.139,,35.583,3.208
2011-03-05,27.298,38.656,11.359,,23.591,0.217
2011-03-06,23.417,36.291,12.875,,19.679,0.0
2011-03-07,11.574,14.944,3.37,,32.937,2.722
2011-03-08,25.736,33.778,8.042,,33.361,4.416
2011-03-09,15.597,19.278,3.681,,23.083,2.812
2011-03-10,6.014,7.736,1.722,,12.097,1.479
2011-03-11,4.333,5.639,1.305,,9.597,1.771
2011-03-12,4.623,6.268,1.645,,11.817,0.087
2011-03-13,4.847,6.681,1.833,,9.315,0.0
2011-03-14,20.347,26.806,6.458,,13.917,1.5
2011-03-15,19.585,29.051,9.466,,20.792,2.104
2011-03-16,16.333,22.403,6.069,,19.614,1.479
2011-03-17,24.653,35.264,10.611,,33.302,0.416
2011-03-18,22.153,30.972,8.819,,24.948,0.979
2011-03-19,4.102,5.693,1.591,,9.792,0.044
2011-03-20,5.695,7.486,1.792,,9.177,0.479
2011-03-21,5.611,7.389,1.778,,11.594,0.562
2011-03-22,20.736,32.861,12.125,,18.906,2.542
2011-03-23,25.781,33.54,7.759,,25.417,2.021
2011-03-24,12.319,15.208,2.889,,13.333,0.375
2011-03-25,3.903,4.986,1.083,,11.667,0.208
2011-03-26,7.442,9.612,2.17,,9.25,0.391
2011-03-27,10.806,13.25,2.444,,17.208,1.104
2011-03-28,20.069,28.472,8.403,,32.229,2.146
2011-03-29,14.917,18.583,3.667,,21.416,1.292
2011-03-30,25.625,37.764,12.139,,28.468,3.334
2011-03-31,3.389,4.319,0.931,,13.49,0.0
2011-04-01,18.542,24.319,5.778,,20.698,1.875
2011-04-02,16.306,21.208,4.903,,28.396,1.979
2011-04-03,4.264,5.5,1.236,,9.781,0.438
2011-04-04,8.438,11.056,2.617,,9.035,0.63
2011-04-05,13.889,17.43,3.542,,17.875,1.584
2011-04-06,20.125,26.917,6.792,,26.906,2.146
2011-04-07,18.611,25.25,6.639,,26.458,2.542
2011-04-08,5.366,7.216,1.85,,17.874,0.761
2011-04-09,10.528,14.528,4.0,,21.958,0.834
2011-04-10,8.0,9.306,1.306,,32.042,1.375
2011-04-11,14.635,18.38,3.745,,35.177,2.108
2011-04-12,8.486,10.306,1.82,,23.573,0.792
2011-04-13,26.653,35.778,9.125,,30.896,2.938
2011-04-14,21.347,27.347,6.0,,30.614,3.334
2011-04-15,23.708,29.875,6.167,,42.927,2.354
2011-04-16,10.667,13.125,2.459,,39.375,1.062
2011-04-17,5.958,7.625,1.667,,17.844,0.604
2011-04-18,12.427,17.059,4.633,,27.104,2.304
2011-04-19,9.25,11.718,2.468,,9.448,1.021
2011-04-20,5.236,7.111,1.875,,4.844,0.542
2011-04-21,16.389,21.209,4.819,,17.594,1.792
2011-04-22,19.49,25.852,6.362,,35.552,1.917
2011-04-23,4.222,4.875,0.653,,18.427,0.646
2011-04-24,9.472,11.153,1.68,,16.833,0.875
2011-04-25,16.958,21.17,4.212,,20.438,0.696
2011-04-26,25.305,32.653,7.347,,33.99,1.416
