date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-01-01,14.194666666666668,30.722333333333335,16.528000000000002,,14.347333333333333,190.348,6.708,21.87,212.217
2011-01-02,8.997333333333334,20.030333333333335,11.033000000000001,,8.458333333333334,186.0,4.5,15.13,201.13
2011-01-03,7.541666666666667,11.167000000000002,3.6253333333333333,,7.069333333333333,184.304,2.917,5.391,189.696
2011-01-04,12.039333333333333,17.49866666666667,5.459666666666667,,9.735999999999999,186.087,3.913,10.348,196.435
2011-01-05,7.666666666666667,11.777666666666667,4.111,,6.333333333333333,186.826,3.0,6.739,193.565
2011-01-06,17.055333333333333,33.833333333333336,16.777666666666665,,10.222333333333333,186.652,5.208,14.783,201.435
2011-01-07,9.916666666666666,15.555666666666667,5.639,,7.736,186.261,3.833,9.739,196.0
2011-01-08,9.944666666666667,15.028,5.083333333333333,,6.3613333333333335,186.348,3.833,9.0,195.348
2011-01-09,19.19333333333333,57.083333333333336,37.89,,11.569666666666668,189.0,9.042,45.391,234.391
2011-01-10,16.472,35.11366666666667,18.641666666666666,,12.972333333333333,186.261,5.542,24.435,210.696
2011-01-11,13.931666666666667,25.16,11.228333333333333,,11.986333333333334,185.591,3.455,9.0,194.591
2011-01-12,19.236666666666668,43.708,24.471,,8.427999999999999,186.783,5.125,16.87,203.652
2011-01-13,22.653000000000002,45.833333333333336,23.180666666666667,,13.985999999999999,186.391,4.958,12.87,199.261
2011-01-14,12.125,27.028000000000002,14.902666666666667,,9.458333333333334,189.304,4.25,11.696,201.0
2011-01-15,8.083333333333334,13.916666666666666,5.833666666666667,,12.097,188.13,3.417,9.522,197.652
2011-01-16,18.844666666666665,42.151666666666664,23.30666666666667,,11.985999999999999,187.043,5.792,17.565,204.609
2011-01-17,26.291666666666668,59.986,33.69433333333333,,13.125,186.826,6.292,21.739,208.565
2011-01-18,29.933999999999997,91.35566666666666,61.42166666666666,,16.29133333333333,187.913,8.304,37.783,225.696
2011-01-19,23.689666666666668,51.256,27.566666666666666,,19.87366666666667,186.522,5.417,20.261,206.783
