date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,6.271,5.188,7.664,2.476,23.375,1.299,13.596
2011-01-02,6.375,3.347,4.956,1.609,18.417,1.976,15.602
2011-01-03,5.646,4.238,6.241,2.004,9.0,1.129,4.938
2011-01-04,4.875,5.324,9.138,3.815,13.542,1.288,8.901
2011-01-05,6.416,5.843,9.102,3.259,5.25,1.439,4.909
2011-01-06,7.274,6.746,10.453,3.933,3.5,1.137,2.831
2011-01-07,5.75,4.133,6.636,2.503,9.125,1.085,4.728
2011-01-08,6.938,4.111,6.181,2.07,14.167,1.297,8.038
2011-01-09,6.188,4.145,6.044,1.899,8.958,1.506,4.751
2011-01-10,6.5,6.14,9.612,3.472,10.583,1.534,7.295
2011-01-11,6.812,5.926,8.283,2.358,32.625,2.423,26.855
2011-01-12,6.73,4.665,6.986,2.321,12.708,2.195,11.382
2011-01-13,7.604,6.812,10.161,3.348,9.417,1.675,8.088
2011-01-14,4.458,5.201,7.152,1.952,10.542,1.616,10.627
2011-01-15,3.208,2.577,3.999,1.422,10.917,1.375,12.388
2011-01-16,6.002,5.641,10.022,4.38,4.5,1.395,2.253
2011-01-17,6.104,4.853,9.136,4.283,6.083,1.568,5.126
2011-01-18,4.812,5.393,7.287,1.894,7.583,1.432,6.319
2011-01-19,3.812,6.131,9.295,3.165,8.625,0.869,5.341
2011-01-20,6.646,6.402,9.041,2.639,15.667,1.235,11.449
2011-01-21,7.562,5.851,7.924,2.073,12.375,1.371,12.018
2011-01-22,6.188,4.197,5.631,1.434,7.833,0.857,8.417
2011-01-23,5.896,4.983,7.822,2.838,18.167,1.047,11.625
2011-01-24,7.854,5.386,8.232,2.847,17.542,1.005,11.911
2011-01-25,5.729,5.234,8.261,3.027,14.917,1.265,10.133
2011-01-26,6.796,5.003,7.524,2.521,8.208,2.339,8.103
2011-01-27,3.02,4.442,5.916,1.474,6.833,1.967,7.471
2011-01-28,5.917,6.849,9.562,2.713,9.292,0.873,7.819
2011-01-29,7.125,4.327,5.979,1.652,5.833,1.067,7.725
2011-01-30,6.625,4.041,6.013,1.972,12.583,1.262,14.756
2011-01-31,6.666,5.137,7.48,2.343,13.875,1.555,16.378
2011-02-01,7.375,6.815,10.434,3.619,10.417,1.358,11.26
2011-02-02,6.292,3.574,4.94,1.366,17.708,1.318,15.562
2011-02-03,6.292,5.669,8.505,2.836,3.958,1.095,9.525
2011-02-04,5.062,6.078,8.427,2.349,4.167,1.554,7.24
2011-02-05,2.739,2.374,3.178,0.804,13.875,1.281,13.761
2011-02-06,2.666,3.361,4.584,1.223,15.167,1.278,19.518
2011-02-07,4.229,4.066,6.293,2.227,14.292,1.48,16.957
2011-02-08,4.458,7.145,12.734,5.588,11.208,1.482,16.025
2011-02-09,6.375,5.344,8.125,2.781,14.25,1.513,16.379
2011-02-10,5.208,6.37,9.44,3.07,16.958,2.306,15.605
